# _root_ " Per això és bo que tinguin totes les facilitats , com el sistema informàtic i els models que han de fer_servir en català " , ha dit .
#goldHeads=4,4,2,28,4,7,4,9,10,7,12,10,14,12,14,14,18,14,22,22,22,18,14,23,12,12,28,0,28,
#predictedHeads=4,4,2,28,4,7,4,9,10,7,12,7,14,12,14,14,18,14,22,22,22,18,22,23,4,4,28,0,28,
(0,2),-4.56786 # DEPENDENCYPART_ARC
(0,4),-1.9463 # DEPENDENCYPART_ARC
(0,7),-3.91221 # DEPENDENCYPART_ARC
(0,27),-4.01361 # DEPENDENCYPART_ARC
(0,28),-2.27933 # DEPENDENCYPART_ARC
(2,1),-0.452677 # DEPENDENCYPART_ARC
(2,3),3.05166 # DEPENDENCYPART_ARC
(2,4),-0.341569 # DEPENDENCYPART_ARC
(2,5),-1.61638 # DEPENDENCYPART_ARC
(2,6),-1.57168 # DEPENDENCYPART_ARC
(2,7),-1.13674 # DEPENDENCYPART_ARC
(2,11),-0.370608 # DEPENDENCYPART_ARC
(2,12),-1.56842 # DEPENDENCYPART_ARC
(2,21),-3.80489 # DEPENDENCYPART_ARC
(2,25),-1.04877 # DEPENDENCYPART_ARC
(2,26),-1.7216 # DEPENDENCYPART_ARC
(2,29),-2.67283 # DEPENDENCYPART_ARC
(3,2),-1.66344 # DEPENDENCYPART_ARC
(3,4),-0.801632 # DEPENDENCYPART_ARC
(3,5),-1.24907 # DEPENDENCYPART_ARC
(3,7),-1.82805 # DEPENDENCYPART_ARC
(3,29),-1.93857 # DEPENDENCYPART_ARC
(4,1),0.544482 # DEPENDENCYPART_ARC
(4,2),0.2759 # DEPENDENCYPART_ARC
(4,3),1.20926 # DEPENDENCYPART_ARC
(4,5),1.64619 # DEPENDENCYPART_ARC
(4,6),-0.443584 # DEPENDENCYPART_ARC
(4,7),0.612981 # DEPENDENCYPART_ARC
(4,10),-1.30199 # DEPENDENCYPART_ARC
(4,11),-0.399841 # DEPENDENCYPART_ARC
(4,12),-1.27541 # DEPENDENCYPART_ARC
(4,14),-1.91579 # DEPENDENCYPART_ARC
(4,15),-1.63971 # DEPENDENCYPART_ARC
(4,16),-0.99845 # DEPENDENCYPART_ARC
(4,18),-2.38264 # DEPENDENCYPART_ARC
(4,20),-1.51458 # DEPENDENCYPART_ARC
(4,22),-1.69562 # DEPENDENCYPART_ARC
(4,25),-0.164158 # DEPENDENCYPART_ARC
(4,26),-0.689158 # DEPENDENCYPART_ARC
(4,27),-2.89698 # DEPENDENCYPART_ARC
(4,28),-2.26981 # DEPENDENCYPART_ARC
(4,29),-0.890539 # DEPENDENCYPART_ARC
(5,1),-2.37131 # DEPENDENCYPART_ARC
(5,2),-1.46587 # DEPENDENCYPART_ARC
(5,4),-1.23443 # DEPENDENCYPART_ARC
(5,6),-1.25342 # DEPENDENCYPART_ARC
(5,7),-2.04807 # DEPENDENCYPART_ARC
(5,10),-2.76062 # DEPENDENCYPART_ARC
(5,11),-1.71574 # DEPENDENCYPART_ARC
(5,12),-2.21942 # DEPENDENCYPART_ARC
(5,14),-2.57135 # DEPENDENCYPART_ARC
(5,15),-2.51576 # DEPENDENCYPART_ARC
(5,16),-2.34039 # DEPENDENCYPART_ARC
(5,18),-3.05116 # DEPENDENCYPART_ARC
(5,22),-2.62569 # DEPENDENCYPART_ARC
(6,7),-1.2328 # DEPENDENCYPART_ARC
(6,12),-1.89098 # DEPENDENCYPART_ARC
(7,1),-1.32044 # DEPENDENCYPART_ARC
(7,2),-1.46267 # DEPENDENCYPART_ARC
(7,3),-2.07974 # DEPENDENCYPART_ARC
(7,4),-2.00376 # DEPENDENCYPART_ARC
(7,5),-2.41327 # DEPENDENCYPART_ARC
(7,6),1.29593 # DEPENDENCYPART_ARC
(7,10),0.941898 # DEPENDENCYPART_ARC
(7,11),-0.149327 # DEPENDENCYPART_ARC
(7,12),-0.774435 # DEPENDENCYPART_ARC
(7,14),-0.981057 # DEPENDENCYPART_ARC
(7,15),-1.92863 # DEPENDENCYPART_ARC
(7,16),-0.554714 # DEPENDENCYPART_ARC
(7,18),-0.639336 # DEPENDENCYPART_ARC
(7,20),-0.824581 # DEPENDENCYPART_ARC
(7,21),-1.96789 # DEPENDENCYPART_ARC
(7,22),-1.41208 # DEPENDENCYPART_ARC
(7,23),-1.72813 # DEPENDENCYPART_ARC
(7,25),-0.522892 # DEPENDENCYPART_ARC
(7,26),-0.531341 # DEPENDENCYPART_ARC
(7,27),-2.58431 # DEPENDENCYPART_ARC
(7,28),-1.88251 # DEPENDENCYPART_ARC
(7,29),-1.3575 # DEPENDENCYPART_ARC
(8,10),-1.07315 # DEPENDENCYPART_ARC
(9,8),1.62438 # DEPENDENCYPART_ARC
(9,10),-1.28859 # DEPENDENCYPART_ARC
(10,2),-2.3589 # DEPENDENCYPART_ARC
(10,5),-3.30459 # DEPENDENCYPART_ARC
(10,6),-2.00467 # DEPENDENCYPART_ARC
(10,7),-1.64272 # DEPENDENCYPART_ARC
(10,8),0.574106 # DEPENDENCYPART_ARC
(10,9),1.6622 # DEPENDENCYPART_ARC
(10,11),-0.732581 # DEPENDENCYPART_ARC
(10,12),-0.811786 # DEPENDENCYPART_ARC
(10,14),-1.94106 # DEPENDENCYPART_ARC
(10,15),-3.23917 # DEPENDENCYPART_ARC
(10,16),-0.920936 # DEPENDENCYPART_ARC
(10,18),-1.92133 # DEPENDENCYPART_ARC
(10,20),-1.30835 # DEPENDENCYPART_ARC
(11,10),-1.56815 # DEPENDENCYPART_ARC
(12,11),-0.0817213 # DEPENDENCYPART_ARC
(12,14),-0.806448 # DEPENDENCYPART_ARC
(12,15),-1.61544 # DEPENDENCYPART_ARC
(12,16),-0.980347 # DEPENDENCYPART_ARC
(12,21),-2.17212 # DEPENDENCYPART_ARC
(12,26),-2.15187 # DEPENDENCYPART_ARC
(12,29),-1.63411 # DEPENDENCYPART_ARC
(13,14),-1.16079 # DEPENDENCYPART_ARC
(14,2),-1.44029 # DEPENDENCYPART_ARC
(14,4),-2.62946 # DEPENDENCYPART_ARC
(14,6),-2.05327 # DEPENDENCYPART_ARC
(14,8),-3.94935 # DEPENDENCYPART_ARC
(14,9),-3.33214 # DEPENDENCYPART_ARC
(14,10),-3.27964 # DEPENDENCYPART_ARC
(14,11),-1.90633 # DEPENDENCYPART_ARC
(14,12),-1.43681 # DEPENDENCYPART_ARC
(14,13),1.62791 # DEPENDENCYPART_ARC
(14,15),1.77009 # DEPENDENCYPART_ARC
(14,16),0.102736 # DEPENDENCYPART_ARC
(14,18),-0.989882 # DEPENDENCYPART_ARC
(14,20),-1.18187 # DEPENDENCYPART_ARC
(14,21),-1.71544 # DEPENDENCYPART_ARC
(14,22),-1.52617 # DEPENDENCYPART_ARC
(14,23),-1.50925 # DEPENDENCYPART_ARC
(14,25),-1.27741 # DEPENDENCYPART_ARC
(14,28),-2.05933 # DEPENDENCYPART_ARC
(14,29),-1.93355 # DEPENDENCYPART_ARC
(15,10),-3.36911 # DEPENDENCYPART_ARC
(15,11),-1.94605 # DEPENDENCYPART_ARC
(15,13),-1.45875 # DEPENDENCYPART_ARC
(15,16),-0.53967 # DEPENDENCYPART_ARC
(15,18),-1.95306 # DEPENDENCYPART_ARC
(15,20),-1.99073 # DEPENDENCYPART_ARC
(15,21),-2.42692 # DEPENDENCYPART_ARC
(15,22),-1.83702 # DEPENDENCYPART_ARC
(15,23),-2.33288 # DEPENDENCYPART_ARC
(17,16),-1.036 # DEPENDENCYPART_ARC
(18,2),-1.48386 # DEPENDENCYPART_ARC
(18,4),-0.846012 # DEPENDENCYPART_ARC
(18,7),-1.5531 # DEPENDENCYPART_ARC
(18,12),-2.31248 # DEPENDENCYPART_ARC
(18,13),-1.5249 # DEPENDENCYPART_ARC
(18,14),-2.67258 # DEPENDENCYPART_ARC
(18,15),-1.786 # DEPENDENCYPART_ARC
(18,16),-1.15242 # DEPENDENCYPART_ARC
(18,17),2.66122 # DEPENDENCYPART_ARC
(18,19),-0.591976 # DEPENDENCYPART_ARC
(18,20),0.409276 # DEPENDENCYPART_ARC
(18,21),-0.456543 # DEPENDENCYPART_ARC
(18,22),-0.748135 # DEPENDENCYPART_ARC
(18,23),-1.00897 # DEPENDENCYPART_ARC
(18,25),-1.07565 # DEPENDENCYPART_ARC
(18,26),-1.08606 # DEPENDENCYPART_ARC
(18,27),-2.03773 # DEPENDENCYPART_ARC
(18,28),-1.11872 # DEPENDENCYPART_ARC
(18,29),-1.57981 # DEPENDENCYPART_ARC
(20,6),-4.65939 # DEPENDENCYPART_ARC
(20,14),-4.50331 # DEPENDENCYPART_ARC
(20,18),-2.39431 # DEPENDENCYPART_ARC
(20,19),0.630243 # DEPENDENCYPART_ARC
(20,21),-0.650242 # DEPENDENCYPART_ARC
(20,22),-1.77344 # DEPENDENCYPART_ARC
(20,23),-1.28796 # DEPENDENCYPART_ARC
(20,25),-2.13769 # DEPENDENCYPART_ARC
(20,26),-1.72536 # DEPENDENCYPART_ARC
(20,28),-3.29815 # DEPENDENCYPART_ARC
(21,19),-3.35012 # DEPENDENCYPART_ARC
(21,22),1.00039 # DEPENDENCYPART_ARC
(21,23),-1.06385 # DEPENDENCYPART_ARC
(21,24),-0.888445 # DEPENDENCYPART_ARC
(21,26),-1.51704 # DEPENDENCYPART_ARC
(21,28),-1.97267 # DEPENDENCYPART_ARC
(22,1),-2.81581 # DEPENDENCYPART_ARC
(22,2),-1.53429 # DEPENDENCYPART_ARC
(22,3),-4.09639 # DEPENDENCYPART_ARC
