# _root_ A_més_a_més , el 40% de la població de Rússia viu en la pobresa , en_especial després de l' última crisi .
#goldHeads=10,1,4,10,4,7,5,4,8,0,10,13,11,16,16,10,16,20,20,17,10,
#predictedHeads=10,1,4,10,4,7,5,7,8,0,10,13,11,16,16,10,16,20,20,17,10,
(0,1),-3.90578 # DEPENDENCYPART_ARC
(0,5),-5.22758 # DEPENDENCYPART_ARC
(0,10),-1.83891 # DEPENDENCYPART_ARC
(1,2),1.0689 # DEPENDENCYPART_ARC
(1,4),-1.30749 # DEPENDENCYPART_ARC
(1,5),-1.61372 # DEPENDENCYPART_ARC
(1,8),-2.2182 # DEPENDENCYPART_ARC
(1,10),-1.80027 # DEPENDENCYPART_ARC
(1,14),-1.53318 # DEPENDENCYPART_ARC
(1,21),-2.23465 # DEPENDENCYPART_ARC
(3,1),-1.77218 # DEPENDENCYPART_ARC
(3,5),-1.94655 # DEPENDENCYPART_ARC
(3,6),-2.04219 # DEPENDENCYPART_ARC
(4,2),-0.737375 # DEPENDENCYPART_ARC
(4,3),0.760296 # DEPENDENCYPART_ARC
(4,5),0.44517 # DEPENDENCYPART_ARC
(4,7),-1.1458 # DEPENDENCYPART_ARC
(4,8),-0.748428 # DEPENDENCYPART_ARC
(4,10),-1.04057 # DEPENDENCYPART_ARC
(4,11),-1.48501 # DEPENDENCYPART_ARC
(4,13),-1.68691 # DEPENDENCYPART_ARC
(4,14),-1.20737 # DEPENDENCYPART_ARC
(4,21),-1.57025 # DEPENDENCYPART_ARC
(5,1),-2.16932 # DEPENDENCYPART_ARC
(5,2),-1.93483 # DEPENDENCYPART_ARC
(5,3),-2.06987 # DEPENDENCYPART_ARC
(5,4),-1.66118 # DEPENDENCYPART_ARC
(5,6),-1.52495 # DEPENDENCYPART_ARC
(5,7),1.62616 # DEPENDENCYPART_ARC
(5,8),-1.37919 # DEPENDENCYPART_ARC
(5,9),-1.21814 # DEPENDENCYPART_ARC
(5,10),-2.62304 # DEPENDENCYPART_ARC
(5,14),-1.68021 # DEPENDENCYPART_ARC
(5,15),-2.45805 # DEPENDENCYPART_ARC
(5,16),-2.55896 # DEPENDENCYPART_ARC
(5,17),-2.35617 # DEPENDENCYPART_ARC
(6,4),-1.17994 # DEPENDENCYPART_ARC
(6,5),-0.993334 # DEPENDENCYPART_ARC
(6,7),-0.139545 # DEPENDENCYPART_ARC
(6,8),-0.701347 # DEPENDENCYPART_ARC
(7,1),-1.93856 # DEPENDENCYPART_ARC
(7,2),-1.95603 # DEPENDENCYPART_ARC
(7,3),-2.75213 # DEPENDENCYPART_ARC
(7,5),-1.63692 # DEPENDENCYPART_ARC
(7,6),1.20077 # DEPENDENCYPART_ARC
(7,8),1.32395 # DEPENDENCYPART_ARC
(7,9),-0.517293 # DEPENDENCYPART_ARC
(7,10),-0.787957 # DEPENDENCYPART_ARC
(7,11),-1.14925 # DEPENDENCYPART_ARC
(7,15),-1.9 # DEPENDENCYPART_ARC
(7,16),-1.56398 # DEPENDENCYPART_ARC
(7,17),-2.62378 # DEPENDENCYPART_ARC
(7,20),-1.26607 # DEPENDENCYPART_ARC
(7,21),-1.91088 # DEPENDENCYPART_ARC
(8,4),-2.83794 # DEPENDENCYPART_ARC
(8,6),-1.60866 # DEPENDENCYPART_ARC
(8,9),1.65963 # DEPENDENCYPART_ARC
(8,10),-1.91604 # DEPENDENCYPART_ARC
(8,15),-2.77008 # DEPENDENCYPART_ARC
(8,17),-2.51725 # DEPENDENCYPART_ARC
(9,6),-2.39328 # DEPENDENCYPART_ARC
(9,8),-0.273856 # DEPENDENCYPART_ARC
(9,10),-1.57294 # DEPENDENCYPART_ARC
(10,1),-0.968917 # DEPENDENCYPART_ARC
(10,2),-0.929007 # DEPENDENCYPART_ARC
(10,3),-3.07666 # DEPENDENCYPART_ARC
(10,4),-1.04231 # DEPENDENCYPART_ARC
(10,5),-1.14833 # DEPENDENCYPART_ARC
(10,6),-2.17278 # DEPENDENCYPART_ARC
(10,7),0.112624 # DEPENDENCYPART_ARC
(10,8),-0.635288 # DEPENDENCYPART_ARC
(10,9),0.067186 # DEPENDENCYPART_ARC
(10,11),1.44605 # DEPENDENCYPART_ARC
(10,13),-0.0989926 # DEPENDENCYPART_ARC
(10,14),-0.558146 # DEPENDENCYPART_ARC
(10,15),-1.24763 # DEPENDENCYPART_ARC
(10,16),-0.816255 # DEPENDENCYPART_ARC
(10,17),-1.88305 # DEPENDENCYPART_ARC
(10,19),-1.64297 # DEPENDENCYPART_ARC
(10,20),-1.29547 # DEPENDENCYPART_ARC
(10,21),-0.768799 # DEPENDENCYPART_ARC
(11,4),-3.39727 # DEPENDENCYPART_ARC
(11,12),-1.32695 # DEPENDENCYPART_ARC
(11,13),2.15668 # DEPENDENCYPART_ARC
(11,14),-0.737961 # DEPENDENCYPART_ARC
(11,15),-1.51519 # DEPENDENCYPART_ARC
(11,16),-1.71142 # DEPENDENCYPART_ARC
(11,17),-1.5303 # DEPENDENCYPART_ARC
(11,20),-0.856564 # DEPENDENCYPART_ARC
(13,1),-2.06015 # DEPENDENCYPART_ARC
(13,5),-2.21813 # DEPENDENCYPART_ARC
(13,8),-2.49255 # DEPENDENCYPART_ARC
(13,11),-1.49144 # DEPENDENCYPART_ARC
(13,12),1.71764 # DEPENDENCYPART_ARC
(13,14),-0.694645 # DEPENDENCYPART_ARC
(13,15),-1.55919 # DEPENDENCYPART_ARC
(13,16),-1.40099 # DEPENDENCYPART_ARC
(13,17),-1.18535 # DEPENDENCYPART_ARC
(13,19),-0.871385 # DEPENDENCYPART_ARC
(13,20),-0.714997 # DEPENDENCYPART_ARC
(13,21),-1.50428 # DEPENDENCYPART_ARC
(15,11),-2.19815 # DEPENDENCYPART_ARC
(15,13),-1.98002 # DEPENDENCYPART_ARC
(15,14),-0.9788 # DEPENDENCYPART_ARC
(15,16),-0.866831 # DEPENDENCYPART_ARC
(15,17),-1.27069 # DEPENDENCYPART_ARC
(15,20),-2.23882 # DEPENDENCYPART_ARC
(15,21),-1.73949 # DEPENDENCYPART_ARC
(16,5),-1.45856 # DEPENDENCYPART_ARC
(16,8),-1.6045 # DEPENDENCYPART_ARC
(16,11),-1.42632 # DEPENDENCYPART_ARC
(16,13),-1.16128 # DEPENDENCYPART_ARC
(16,14),-0.434553 # DEPENDENCYPART_ARC
