# _root_ La velocitat màxima calculada és d' entre 30 i 60 quilòmetres per hora , de_forma_que el trajecte entre la frontera i Escaldes-Engordany podria fer -se entre 22 i 29 minuts , incloent -hi la durada de les parades .
#goldHeads=2,5,2,2,0,5,8,11,8,8,6,11,12,24,24,17,24,17,20,18,20,20,24,5,24,24,30,27,27,26,32,24,32,35,32,35,38,36,5,
#predictedHeads=2,5,2,2,0,5,8,11,8,8,6,11,12,5,5,17,24,17,20,18,20,20,24,5,24,24,30,27,27,26,32,24,32,35,32,35,38,36,5,
(0,2),-4.59033 # DEPENDENCYPART_ARC
(0,5),-1.53064 # DEPENDENCYPART_ARC
(0,8),-5.34768 # DEPENDENCYPART_ARC
(0,23),-4.15816 # DEPENDENCYPART_ARC
(0,24),-6.98603 # DEPENDENCYPART_ARC
(1,2),-0.945506 # DEPENDENCYPART_ARC
(2,1),1.83024 # DEPENDENCYPART_ARC
(2,3),2.11042 # DEPENDENCYPART_ARC
(2,4),1.38219 # DEPENDENCYPART_ARC
(2,5),-0.659187 # DEPENDENCYPART_ARC
(2,6),-0.817752 # DEPENDENCYPART_ARC
(2,7),-1.3329 # DEPENDENCYPART_ARC
(2,8),-1.753 # DEPENDENCYPART_ARC
(2,9),-1.1962 # DEPENDENCYPART_ARC
(2,10),-2.16692 # DEPENDENCYPART_ARC
(2,11),-1.80587 # DEPENDENCYPART_ARC
(2,12),-1.05421 # DEPENDENCYPART_ARC
(2,15),-1.38342 # DEPENDENCYPART_ARC
(2,17),-2.46553 # DEPENDENCYPART_ARC
(2,18),-1.58319 # DEPENDENCYPART_ARC
(3,1),-1.31983 # DEPENDENCYPART_ARC
(3,4),0.122287 # DEPENDENCYPART_ARC
(3,6),-2.13495 # DEPENDENCYPART_ARC
(3,7),-2.26672 # DEPENDENCYPART_ARC
(3,9),-1.5993 # DEPENDENCYPART_ARC
(3,12),-2.78482 # DEPENDENCYPART_ARC
(4,1),-2.27569 # DEPENDENCYPART_ARC
(4,2),-2.01798 # DEPENDENCYPART_ARC
(4,3),-1.31073 # DEPENDENCYPART_ARC
(4,5),-1.17192 # DEPENDENCYPART_ARC
(4,6),-0.949168 # DEPENDENCYPART_ARC
(4,7),-1.27543 # DEPENDENCYPART_ARC
(4,9),-1.94824 # DEPENDENCYPART_ARC
(4,11),-2.75056 # DEPENDENCYPART_ARC
(5,1),-2.34919 # DEPENDENCYPART_ARC
(5,2),-0.276684 # DEPENDENCYPART_ARC
(5,3),-1.09896 # DEPENDENCYPART_ARC
(5,4),0.0713574 # DEPENDENCYPART_ARC
(5,6),0.923496 # DEPENDENCYPART_ARC
(5,7),-0.0954618 # DEPENDENCYPART_ARC
(5,8),-0.966527 # DEPENDENCYPART_ARC
(5,9),0.0442012 # DEPENDENCYPART_ARC
(5,10),-1.17868 # DEPENDENCYPART_ARC
(5,11),-1.04391 # DEPENDENCYPART_ARC
(5,12),-0.141139 # DEPENDENCYPART_ARC
(5,13),-1.62882 # DEPENDENCYPART_ARC
(5,14),-0.331633 # DEPENDENCYPART_ARC
(5,15),-0.901694 # DEPENDENCYPART_ARC
(5,17),-1.66473 # DEPENDENCYPART_ARC
(5,18),-1.20574 # DEPENDENCYPART_ARC
(5,20),-1.77264 # DEPENDENCYPART_ARC
(5,21),-0.497676 # DEPENDENCYPART_ARC
(5,23),-0.928787 # DEPENDENCYPART_ARC
(5,24),-1.95407 # DEPENDENCYPART_ARC
(5,27),-2.25544 # DEPENDENCYPART_ARC
(5,28),-0.639174 # DEPENDENCYPART_ARC
(5,29),-2.08058 # DEPENDENCYPART_ARC
(5,31),-0.83899 # DEPENDENCYPART_ARC
(5,32),-1.6792 # DEPENDENCYPART_ARC
(5,39),2.3358 # DEPENDENCYPART_ARC
(6,4),-2.2977 # DEPENDENCYPART_ARC
(6,5),-0.665336 # DEPENDENCYPART_ARC
(6,7),0.695328 # DEPENDENCYPART_ARC
(6,8),-0.636329 # DEPENDENCYPART_ARC
(6,9),-1.34385 # DEPENDENCYPART_ARC
