# _root_ alderdiak kargu_hartu diola esan zuen atzo iturgaitzek , baina haren_kontrako neurririk ez dela hartuko , legebiltzarreko_mahaiak ere egin ez duelako .
#goldHeads=2,9,2,0,4,4,4,7,4,11,14,14,14,9,14,18,0,14,18,18,20,
#predictedHeads=2,4,2,9,4,4,4,7,0,14,14,14,14,9,14,18,0,14,18,18,20,
(0,1),-0.83142 # DEPENDENCYPART_ARC
(0,2),0.157421 # DEPENDENCYPART_ARC
(0,3),-0.411962 # DEPENDENCYPART_ARC
(0,4),0.474539 # DEPENDENCYPART_ARC
(0,5),-0.634214 # DEPENDENCYPART_ARC
(0,6),-0.71392 # DEPENDENCYPART_ARC
(0,7),-2.0752 # DEPENDENCYPART_ARC
(0,8),-0.961276 # DEPENDENCYPART_ARC
(0,9),1.46957 # DEPENDENCYPART_ARC
(0,10),-1.75352 # DEPENDENCYPART_ARC
(0,11),-1.73404 # DEPENDENCYPART_ARC
(0,12),-1.30891 # DEPENDENCYPART_ARC
(0,13),-1.51372 # DEPENDENCYPART_ARC
(0,14),-0.705852 # DEPENDENCYPART_ARC
(0,15),-0.580578 # DEPENDENCYPART_ARC
(0,16),-1.52581 # DEPENDENCYPART_ARC
(0,17),0.743809 # DEPENDENCYPART_ARC
(0,18),-1.89017 # DEPENDENCYPART_ARC
(0,19),-1.82096 # DEPENDENCYPART_ARC
(0,20),-0.536741 # DEPENDENCYPART_ARC
(0,21),-2.66541 # DEPENDENCYPART_ARC
(1,2),-1.29244 # DEPENDENCYPART_ARC
(1,3),-1.9232 # DEPENDENCYPART_ARC
(1,4),-2.62629 # DEPENDENCYPART_ARC
(1,5),-1.95148 # DEPENDENCYPART_ARC
(1,6),-1.50397 # DEPENDENCYPART_ARC
(1,7),-1.76876 # DEPENDENCYPART_ARC
(1,8),-2.1467 # DEPENDENCYPART_ARC
(1,9),-1.03984 # DEPENDENCYPART_ARC
(1,10),-3.37622 # DEPENDENCYPART_ARC
(1,11),-2.69066 # DEPENDENCYPART_ARC
(1,12),-2.46789 # DEPENDENCYPART_ARC
(1,13),-2.77497 # DEPENDENCYPART_ARC
(1,14),-2.63115 # DEPENDENCYPART_ARC
(1,15),-2.70248 # DEPENDENCYPART_ARC
(1,16),-3.47404 # DEPENDENCYPART_ARC
(1,17),-2.08053 # DEPENDENCYPART_ARC
(1,18),-2.99852 # DEPENDENCYPART_ARC
(1,19),-2.64899 # DEPENDENCYPART_ARC
(1,20),-3.84749 # DEPENDENCYPART_ARC
(1,21),-2.15541 # DEPENDENCYPART_ARC
(2,1),2.89944 # DEPENDENCYPART_ARC
(2,3),2.12272 # DEPENDENCYPART_ARC
(2,4),-0.261948 # DEPENDENCYPART_ARC
(2,5),-0.119138 # DEPENDENCYPART_ARC
(2,6),0.57902 # DEPENDENCYPART_ARC
(2,7),0.911551 # DEPENDENCYPART_ARC
(2,8),-0.66049 # DEPENDENCYPART_ARC
(2,9),-0.164432 # DEPENDENCYPART_ARC
(2,10),-1.40096 # DEPENDENCYPART_ARC
(2,11),-0.999245 # DEPENDENCYPART_ARC
(2,12),-0.817463 # DEPENDENCYPART_ARC
