# _root_ otsailean egindako bileran , arabera , giza_eskubideak urratzen dituen ekintzarik ez babesteko konpromisoa hartu zuten sinatzaileek .
#goldHeads=2,3,14,3,14,5,8,10,8,12,12,13,14,0,14,14,16,
#predictedHeads=2,3,12,3,8,5,8,10,8,12,12,13,14,0,14,14,16,
(0,1),-0.638393 # DEPENDENCYPART_ARC
(0,2),-1.0998 # DEPENDENCYPART_ARC
(0,3),-1.26485 # DEPENDENCYPART_ARC
(0,4),-0.999353 # DEPENDENCYPART_ARC
(0,5),-1.13388 # DEPENDENCYPART_ARC
(0,6),-0.990493 # DEPENDENCYPART_ARC
(0,7),-0.534432 # DEPENDENCYPART_ARC
(0,8),-0.122924 # DEPENDENCYPART_ARC
(0,9),-0.0188899 # DEPENDENCYPART_ARC
(0,10),-1.5554 # DEPENDENCYPART_ARC
(0,11),-1.44345 # DEPENDENCYPART_ARC
(0,12),-1.34587 # DEPENDENCYPART_ARC
(0,13),-1.98458 # DEPENDENCYPART_ARC
(0,14),-0.442468 # DEPENDENCYPART_ARC
(0,15),-0.230189 # DEPENDENCYPART_ARC
(0,16),-2.45623 # DEPENDENCYPART_ARC
(0,17),-2.49223 # DEPENDENCYPART_ARC
(1,2),-0.158812 # DEPENDENCYPART_ARC
(1,3),-1.21557 # DEPENDENCYPART_ARC
(1,4),-1.56721 # DEPENDENCYPART_ARC
(1,5),-1.17072 # DEPENDENCYPART_ARC
(1,6),-1.82253 # DEPENDENCYPART_ARC
(1,7),-1.82356 # DEPENDENCYPART_ARC
(1,8),-1.62594 # DEPENDENCYPART_ARC
(1,9),-3.9798 # DEPENDENCYPART_ARC
(1,10),-1.97788 # DEPENDENCYPART_ARC
(1,11),-2.5283 # DEPENDENCYPART_ARC
(1,12),-2.32099 # DEPENDENCYPART_ARC
(1,13),-2.8803 # DEPENDENCYPART_ARC
(1,14),-3.35611 # DEPENDENCYPART_ARC
(1,15),-3.37699 # DEPENDENCYPART_ARC
(1,16),-2.51688 # DEPENDENCYPART_ARC
(1,17),-2.03602 # DEPENDENCYPART_ARC
(2,1),2.56282 # DEPENDENCYPART_ARC
