# _root_ " antidemokratiko " eta " baztertzailetzat " jo zuen udalbiltza erakundea , eta haren xedeak lurraldetasuna , subiranotasuna eta eraikuntza nazionala direla azpimarratu zuen .
#goldHeads=0,4,2,8,4,4,6,13,8,11,8,11,0,15,22,19,16,19,22,19,20,23,13,23,24,
#predictedHeads=0,4,2,0,4,8,6,13,8,11,8,11,0,15,22,13,16,19,22,19,20,23,0,23,24,
(0,1),1.52128 # DEPENDENCYPART_ARC
(0,2),-0.604019 # DEPENDENCYPART_ARC
(0,3),0.230864 # DEPENDENCYPART_ARC
(0,4),1.06939 # DEPENDENCYPART_ARC
(0,5),-0.172138 # DEPENDENCYPART_ARC
(0,6),-0.828426 # DEPENDENCYPART_ARC
(0,7),0.158379 # DEPENDENCYPART_ARC
(0,8),0.656079 # DEPENDENCYPART_ARC
(0,9),-0.403303 # DEPENDENCYPART_ARC
(0,10),-1.05829 # DEPENDENCYPART_ARC
(0,11),-0.564338 # DEPENDENCYPART_ARC
(0,12),-0.511541 # DEPENDENCYPART_ARC
(0,13),0.962495 # DEPENDENCYPART_ARC
(0,14),-1.11257 # DEPENDENCYPART_ARC
(0,15),-0.572692 # DEPENDENCYPART_ARC
(0,16),-1.32428 # DEPENDENCYPART_ARC
(0,17),-0.571972 # DEPENDENCYPART_ARC
(0,18),-1.09892 # DEPENDENCYPART_ARC
(0,19),-1.24856 # DEPENDENCYPART_ARC
(0,20),-0.838571 # DEPENDENCYPART_ARC
(0,21),-1.48383 # DEPENDENCYPART_ARC
(0,22),-1.31478 # DEPENDENCYPART_ARC
(0,23),1.87665 # DEPENDENCYPART_ARC
(0,24),-1.27471 # DEPENDENCYPART_ARC
(0,25),-2.16698 # DEPENDENCYPART_ARC
(1,2),-1.2661 # DEPENDENCYPART_ARC
(1,3),-0.838495 # DEPENDENCYPART_ARC
(1,4),-1.74986 # DEPENDENCYPART_ARC
(1,5),-1.26518 # DEPENDENCYPART_ARC
(1,6),-2.31884 # DEPENDENCYPART_ARC
(1,7),-1.40405 # DEPENDENCYPART_ARC
(1,8),-2.24431 # DEPENDENCYPART_ARC
(1,9),-1.95122 # DEPENDENCYPART_ARC
(1,10),-2.59752 # DEPENDENCYPART_ARC
(1,11),-2.50819 # DEPENDENCYPART_ARC
(1,12),-2.21306 # DEPENDENCYPART_ARC
(1,13),-2.35897 # DEPENDENCYPART_ARC
(1,14),-2.84032 # DEPENDENCYPART_ARC
(1,15),-2.75878 # DEPENDENCYPART_ARC
(1,16),-2.63178 # DEPENDENCYPART_ARC
(1,17),-2.87479 # DEPENDENCYPART_ARC
(1,18),-2.78611 # DEPENDENCYPART_ARC
(1,19),-2.79548 # DEPENDENCYPART_ARC
(1,20),-2.95428 # DEPENDENCYPART_ARC
(1,21),-2.35736 # DEPENDENCYPART_ARC
(1,22),-2.67253 # DEPENDENCYPART_ARC
(1,23),-2.9444 # DEPENDENCYPART_ARC
(1,24),-2.0012 # DEPENDENCYPART_ARC
