# _root_ gasteizko_udaleko alderdi guztietako ordezkariek , ehkoak izan_ezik , isilean iragan zituzten bilkurak iraun zituen hamabost minutuak ;
#goldHeads=2,4,2,7,4,7,10,7,10,0,10,13,16,13,16,10,16,
#predictedHeads=4,4,2,10,4,7,10,7,10,12,10,13,0,13,16,13,16,
(0,1),-0.580396 # DEPENDENCYPART_ARC
(0,2),-1.05079 # DEPENDENCYPART_ARC
(0,3),-1.4106 # DEPENDENCYPART_ARC
(0,4),-1.5718 # DEPENDENCYPART_ARC
(0,5),-1.0727 # DEPENDENCYPART_ARC
(0,6),-0.694348 # DEPENDENCYPART_ARC
(0,7),-0.169797 # DEPENDENCYPART_ARC
(0,8),-1.21151 # DEPENDENCYPART_ARC
(0,9),-0.87597 # DEPENDENCYPART_ARC
(0,10),-0.0531547 # DEPENDENCYPART_ARC
(0,11),-1.08425 # DEPENDENCYPART_ARC
(0,12),-1.61683 # DEPENDENCYPART_ARC
(0,13),-0.297698 # DEPENDENCYPART_ARC
(0,14),-1.60845 # DEPENDENCYPART_ARC
(0,15),-1.28193 # DEPENDENCYPART_ARC
(0,16),-1.87262 # DEPENDENCYPART_ARC
(0,17),-0.479651 # DEPENDENCYPART_ARC
(1,2),-0.0373282 # DEPENDENCYPART_ARC
(1,3),-2.02722 # DEPENDENCYPART_ARC
(1,4),-1.36784 # DEPENDENCYPART_ARC
(1,5),-2.40817 # DEPENDENCYPART_ARC
(1,6),-2.29694 # DEPENDENCYPART_ARC
(1,7),-1.28694 # DEPENDENCYPART_ARC
(1,8),-2.3162 # DEPENDENCYPART_ARC
(1,9),-1.92062 # DEPENDENCYPART_ARC
(1,10),-3.98651 # DEPENDENCYPART_ARC
(1,11),-3.41799 # DEPENDENCYPART_ARC
(1,12),-2.2283 # DEPENDENCYPART_ARC
(1,13),-4.33222 # DEPENDENCYPART_ARC
(1,14),-3.04438 # DEPENDENCYPART_ARC
(1,15),-4.90648 # DEPENDENCYPART_ARC
(1,16),-3.22538 # DEPENDENCYPART_ARC
(1,17),-2.72062 # DEPENDENCYPART_ARC
(2,1),1.32322 # DEPENDENCYPART_ARC
(2,3),1.89209 # DEPENDENCYPART_ARC
(2,4),-0.182091 # DEPENDENCYPART_ARC
(2,5),-0.113388 # DEPENDENCYPART_ARC
(2,6),-0.552254 # DEPENDENCYPART_ARC
(2,7),-0.642465 # DEPENDENCYPART_ARC
(2,8),-0.661814 # DEPENDENCYPART_ARC
(2,9),-0.801788 # DEPENDENCYPART_ARC
(2,10),-0.691214 # DEPENDENCYPART_ARC
(2,11),-1.14431 # DEPENDENCYPART_ARC
(2,12),-0.816949 # DEPENDENCYPART_ARC
(2,13),-0.935035 # DEPENDENCYPART_ARC
(2,14),-1.2287 # DEPENDENCYPART_ARC
(2,15),-1.33117 # DEPENDENCYPART_ARC
(2,16),-1.56203 # DEPENDENCYPART_ARC
(2,17),-0.741545 # DEPENDENCYPART_ARC
(3,1),-1.6807 # DEPENDENCYPART_ARC
(3,2),-0.382628 # DEPENDENCYPART_ARC
(3,4),-0.743014 # DEPENDENCYPART_ARC
(3,5),-0.604212 # DEPENDENCYPART_ARC
(3,8),-1.26337 # DEPENDENCYPART_ARC
(3,9),-1.41065 # DEPENDENCYPART_ARC
(3,10),-2.08501 # DEPENDENCYPART_ARC
