# _root_ lau euskal_herritar horiek 1996an epaitu zituzten , eta sei urteko zigorra ezarri zieten , etari laguntza ematea leporatuta .
#goldHeads=2,5,2,5,8,5,6,0,10,11,12,8,12,13,17,17,18,12,18,
#predictedHeads=2,5,2,5,8,5,6,0,10,11,12,8,12,13,17,17,18,12,18,
(0,1),-0.438645 # DEPENDENCYPART_ARC
(0,2),-0.917572 # DEPENDENCYPART_ARC
(0,3),-1.55528 # DEPENDENCYPART_ARC
(0,4),-1.3612 # DEPENDENCYPART_ARC
(0,5),0.376663 # DEPENDENCYPART_ARC
(0,6),-1.11232 # DEPENDENCYPART_ARC
(0,7),-0.744202 # DEPENDENCYPART_ARC
(0,8),1.19308 # DEPENDENCYPART_ARC
(0,9),-1.52184 # DEPENDENCYPART_ARC
(0,10),-1.27366 # DEPENDENCYPART_ARC
(0,11),-1.11934 # DEPENDENCYPART_ARC
(0,12),-0.0159312 # DEPENDENCYPART_ARC
(0,13),-1.57211 # DEPENDENCYPART_ARC
(0,14),-0.860631 # DEPENDENCYPART_ARC
(0,15),-1.1053 # DEPENDENCYPART_ARC
(0,16),-1.37481 # DEPENDENCYPART_ARC
(0,17),-1.9989 # DEPENDENCYPART_ARC
(0,18),-1.71639 # DEPENDENCYPART_ARC
(0,19),-2.46254 # DEPENDENCYPART_ARC
(1,2),-0.717357 # DEPENDENCYPART_ARC
(1,3),-1.2461 # DEPENDENCYPART_ARC
(1,5),-1.91381 # DEPENDENCYPART_ARC
(1,7),-1.5249 # DEPENDENCYPART_ARC
(1,8),-1.53144 # DEPENDENCYPART_ARC
(1,9),-1.72973 # DEPENDENCYPART_ARC
(1,10),-2.06589 # DEPENDENCYPART_ARC
(1,11),-2.00699 # DEPENDENCYPART_ARC
(1,12),-2.03382 # DEPENDENCYPART_ARC
(1,14),-2.35271 # DEPENDENCYPART_ARC
(1,16),-2.2257 # DEPENDENCYPART_ARC
(1,17),-2.07652 # DEPENDENCYPART_ARC
(1,18),-1.91799 # DEPENDENCYPART_ARC
(1,19),-2.37717 # DEPENDENCYPART_ARC
(2,1),1.21767 # DEPENDENCYPART_ARC
(2,3),2.00935 # DEPENDENCYPART_ARC
(2,4),-0.12192 # DEPENDENCYPART_ARC
(2,5),-0.909263 # DEPENDENCYPART_ARC
(2,6),-1.15375 # DEPENDENCYPART_ARC
(2,7),-0.717477 # DEPENDENCYPART_ARC
(2,8),-0.610144 # DEPENDENCYPART_ARC
(2,9),-1.27869 # DEPENDENCYPART_ARC
(2,10),-1.54806 # DEPENDENCYPART_ARC
(2,11),-1.40731 # DEPENDENCYPART_ARC
(2,12),-1.31192 # DEPENDENCYPART_ARC
(2,13),-1.45181 # DEPENDENCYPART_ARC
(2,14),-1.2549 # DEPENDENCYPART_ARC
(2,15),-2.02669 # DEPENDENCYPART_ARC
(2,16),-1.6545 # DEPENDENCYPART_ARC
(2,17),-1.08745 # DEPENDENCYPART_ARC
(2,18),-1.31059 # DEPENDENCYPART_ARC
(2,19),-1.08566 # DEPENDENCYPART_ARC
(3,1),-0.0327856 # DEPENDENCYPART_ARC
(3,2),0.0969566 # DEPENDENCYPART_ARC
(3,5),-1.7606 # DEPENDENCYPART_ARC
(3,7),-1.02127 # DEPENDENCYPART_ARC
(3,8),-1.5647 # DEPENDENCYPART_ARC
(3,9),-1.38318 # DEPENDENCYPART_ARC
(3,10),-0.949385 # DEPENDENCYPART_ARC
(3,11),-1.80044 # DEPENDENCYPART_ARC
(3,12),-2.07024 # DEPENDENCYPART_ARC
(3,14),-1.5129 # DEPENDENCYPART_ARC
(3,16),-2.18809 # DEPENDENCYPART_ARC
(3,17),-2.08868 # DEPENDENCYPART_ARC
(3,18),-1.72766 # DEPENDENCYPART_ARC
(3,19),-1.87627 # DEPENDENCYPART_ARC
(4,2),-0.150633 # DEPENDENCYPART_ARC
(4,7),-0.760237 # DEPENDENCYPART_ARC
(4,10),-2.18276 # DEPENDENCYPART_ARC
(4,11),-2.4439 # DEPENDENCYPART_ARC
(4,14),-1.3517 # DEPENDENCYPART_ARC
(4,16),-2.70684 # DEPENDENCYPART_ARC
(4,19),-1.32663 # DEPENDENCYPART_ARC
(5,1),0.119421 # DEPENDENCYPART_ARC
(5,2),1.04472 # DEPENDENCYPART_ARC
(5,3),0.44147 # DEPENDENCYPART_ARC
(5,4),2.53113 # DEPENDENCYPART_ARC
(5,6),2.0588 # DEPENDENCYPART_ARC
(5,7),-0.256257 # DEPENDENCYPART_ARC
(5,8),-0.0109887 # DEPENDENCYPART_ARC
(5,9),-0.89121 # DEPENDENCYPART_ARC
(5,10),-1.43067 # DEPENDENCYPART_ARC
(5,11),-0.517514 # DEPENDENCYPART_ARC
(5,12),-0.947653 # DEPENDENCYPART_ARC
(5,13),-0.523039 # DEPENDENCYPART_ARC
(5,14),-1.13735 # DEPENDENCYPART_ARC
(5,15),-0.787997 # DEPENDENCYPART_ARC
(5,16),-1.13497 # DEPENDENCYPART_ARC
(5,17),-0.788375 # DEPENDENCYPART_ARC
(5,18),-0.197449 # DEPENDENCYPART_ARC
(5,19),-0.900565 # DEPENDENCYPART_ARC
(6,1),-1.39087 # DEPENDENCYPART_ARC
(6,2),-0.828521 # DEPENDENCYPART_ARC
(6,3),-0.854297 # DEPENDENCYPART_ARC
(6,5),-0.801384 # DEPENDENCYPART_ARC
(6,7),1.59712 # DEPENDENCYPART_ARC
(6,8),-1.13519 # DEPENDENCYPART_ARC
(6,9),-1.48855 # DEPENDENCYPART_ARC
(6,10),-1.96998 # DEPENDENCYPART_ARC
(6,11),-2.03204 # DEPENDENCYPART_ARC
(6,12),-1.93751 # DEPENDENCYPART_ARC
(6,13),-1.6037 # DEPENDENCYPART_ARC
(6,14),-0.658826 # DEPENDENCYPART_ARC
(6,15),-2.71817 # DEPENDENCYPART_ARC
(6,16),-2.4482 # DEPENDENCYPART_ARC
(6,17),-1.26531 # DEPENDENCYPART_ARC
(6,18),-1.37887 # DEPENDENCYPART_ARC
(6,19),-1.64063 # DEPENDENCYPART_ARC
(7,1),-1.52391 # DEPENDENCYPART_ARC
(7,2),-0.913753 # DEPENDENCYPART_ARC
(7,5),-0.373548 # DEPENDENCYPART_ARC
(7,6),-0.110461 # DEPENDENCYPART_ARC
(7,8),-0.592766 # DEPENDENCYPART_ARC
(7,9),-1.50186 # DEPENDENCYPART_ARC
(7,10),-1.31272 # DEPENDENCYPART_ARC
(7,11),-1.47464 # DEPENDENCYPART_ARC
(7,12),-1.21706 # DEPENDENCYPART_ARC
(7,13),-1.45674 # DEPENDENCYPART_ARC
(7,15),-2.11784 # DEPENDENCYPART_ARC
(7,16),-1.95842 # DEPENDENCYPART_ARC
(7,17),-1.68214 # DEPENDENCYPART_ARC
(7,18),-1.62282 # DEPENDENCYPART_ARC
(8,1),-0.655529 # DEPENDENCYPART_ARC
(8,2),-0.520746 # DEPENDENCYPART_ARC
(8,3),-0.89917 # DEPENDENCYPART_ARC
(8,4),-0.946734 # DEPENDENCYPART_ARC
(8,5),1.54542 # DEPENDENCYPART_ARC
(8,6),-0.675694 # DEPENDENCYPART_ARC
(8,7),-0.245825 # DEPENDENCYPART_ARC
(8,9),-0.382445 # DEPENDENCYPART_ARC
(8,10),-0.0102305 # DEPENDENCYPART_ARC
(8,11),0.21314 # DEPENDENCYPART_ARC
(8,12),1.24626 # DEPENDENCYPART_ARC
(8,13),-0.538146 # DEPENDENCYPART_ARC
