# _root_ ia atean obrero bat , gau lanetik itzultzen dirudiena , sumindu aurpegiarekin .
#goldHeads=2,0,0,3,4,7,8,9,3,9,12,0,12,
#predictedHeads=8,3,8,3,4,8,8,0,8,9,12,8,12,
(0,1),-0.132482 # DEPENDENCYPART_ARC
(0,2),-0.613159 # DEPENDENCYPART_ARC
(0,3),-0.758939 # DEPENDENCYPART_ARC
(0,4),-1.17586 # DEPENDENCYPART_ARC
(0,5),-1.21981 # DEPENDENCYPART_ARC
(0,6),-0.866586 # DEPENDENCYPART_ARC
(0,7),-1.08757 # DEPENDENCYPART_ARC
(0,8),-0.880616 # DEPENDENCYPART_ARC
(0,9),-0.976375 # DEPENDENCYPART_ARC
(0,10),-1.19999 # DEPENDENCYPART_ARC
(0,11),-0.27157 # DEPENDENCYPART_ARC
(0,12),-1.37815 # DEPENDENCYPART_ARC
(0,13),-2.13449 # DEPENDENCYPART_ARC
(1,2),-0.492955 # DEPENDENCYPART_ARC
(1,3),-1.55993 # DEPENDENCYPART_ARC
(1,4),-1.81055 # DEPENDENCYPART_ARC
(1,5),-1.67006 # DEPENDENCYPART_ARC
(1,6),-1.85112 # DEPENDENCYPART_ARC
(1,7),-1.88597 # DEPENDENCYPART_ARC
(1,8),-2.28504 # DEPENDENCYPART_ARC
(1,9),-1.98266 # DEPENDENCYPART_ARC
(1,10),-1.92204 # DEPENDENCYPART_ARC
(1,11),-2.33332 # DEPENDENCYPART_ARC
(1,12),-2.08974 # DEPENDENCYPART_ARC
(1,13),-2.07554 # DEPENDENCYPART_ARC
(2,1),-0.00989106 # DEPENDENCYPART_ARC
(2,3),0.516011 # DEPENDENCYPART_ARC
(2,4),-0.980131 # DEPENDENCYPART_ARC
(2,5),-0.994246 # DEPENDENCYPART_ARC
(2,6),-1.52172 # DEPENDENCYPART_ARC
(2,7),-2.05422 # DEPENDENCYPART_ARC
(2,8),-2.08973 # DEPENDENCYPART_ARC
(2,9),-2.22933 # DEPENDENCYPART_ARC
(2,10),-1.44091 # DEPENDENCYPART_ARC
(2,11),-1.91839 # DEPENDENCYPART_ARC
(2,12),-2.60865 # DEPENDENCYPART_ARC
(2,13),-0.959987 # DEPENDENCYPART_ARC
(3,1),-0.254531 # DEPENDENCYPART_ARC
(3,2),1.55654 # DEPENDENCYPART_ARC
(3,4),1.95697 # DEPENDENCYPART_ARC
(3,5),-0.0590598 # DEPENDENCYPART_ARC
(3,6),-0.493762 # DEPENDENCYPART_ARC
(3,7),-0.488619 # DEPENDENCYPART_ARC
(3,8),-0.716244 # DEPENDENCYPART_ARC
(3,9),-0.647575 # DEPENDENCYPART_ARC
(3,10),-0.983433 # DEPENDENCYPART_ARC
(3,11),-0.928341 # DEPENDENCYPART_ARC
(3,12),-1.06183 # DEPENDENCYPART_ARC
(3,13),-0.653189 # DEPENDENCYPART_ARC
(4,1),-0.353529 # DEPENDENCYPART_ARC
(4,2),-0.396433 # DEPENDENCYPART_ARC
(4,3),-0.36017 # DEPENDENCYPART_ARC
(4,5),1.91072 # DEPENDENCYPART_ARC
(4,6),-0.52297 # DEPENDENCYPART_ARC
(4,7),-0.650932 # DEPENDENCYPART_ARC
(4,8),-0.934056 # DEPENDENCYPART_ARC
(4,9),-0.467799 # DEPENDENCYPART_ARC
(4,10),-0.161386 # DEPENDENCYPART_ARC
(4,11),-1.46137 # DEPENDENCYPART_ARC
(4,12),-1.57346 # DEPENDENCYPART_ARC
(4,13),-0.536249 # DEPENDENCYPART_ARC
(5,1),-1.07505 # DEPENDENCYPART_ARC
(5,2),-0.558714 # DEPENDENCYPART_ARC
(5,3),-0.696928 # DEPENDENCYPART_ARC
(5,4),-0.744808 # DEPENDENCYPART_ARC
(5,6),-0.587483 # DEPENDENCYPART_ARC
(5,7),-1.13961 # DEPENDENCYPART_ARC
(5,8),-0.797466 # DEPENDENCYPART_ARC
(5,9),-0.928909 # DEPENDENCYPART_ARC
(5,10),-0.655471 # DEPENDENCYPART_ARC
(5,11),-1.16511 # DEPENDENCYPART_ARC
(5,12),-1.41782 # DEPENDENCYPART_ARC
(5,13),-0.95429 # DEPENDENCYPART_ARC
(6,1),-1.29438 # DEPENDENCYPART_ARC
(6,2),-2.11222 # DEPENDENCYPART_ARC
