# _root_ hala , aznarri " doluminik sentituena " helarazi dio chiracek , eta jauregiren senide eta lagunei " frantziaren laguntasuna " helarazteko eskaera egin dio .
#goldHeads=0,3,8,3,8,5,6,12,8,8,10,0,14,15,21,15,16,19,21,19,22,23,12,23,24,
#predictedHeads=0,3,8,3,6,8,6,12,8,8,10,0,14,15,23,15,16,19,21,19,22,23,12,23,24,
(0,1),0.725259 # DEPENDENCYPART_ARC
(0,2),-0.97105 # DEPENDENCYPART_ARC
(0,3),-0.329104 # DEPENDENCYPART_ARC
(0,4),-0.337915 # DEPENDENCYPART_ARC
(0,5),-0.288587 # DEPENDENCYPART_ARC
(0,6),0.401251 # DEPENDENCYPART_ARC
(0,7),-0.621687 # DEPENDENCYPART_ARC
(0,8),0.429866 # DEPENDENCYPART_ARC
(0,9),0.356787 # DEPENDENCYPART_ARC
(0,10),-1.26853 # DEPENDENCYPART_ARC
(0,11),-0.803122 # DEPENDENCYPART_ARC
(0,12),0.664862 # DEPENDENCYPART_ARC
(0,13),-0.942057 # DEPENDENCYPART_ARC
(0,14),-0.900092 # DEPENDENCYPART_ARC
(0,15),-1.09295 # DEPENDENCYPART_ARC
(0,16),-1.31482 # DEPENDENCYPART_ARC
(0,17),-2.24666 # DEPENDENCYPART_ARC
(0,18),-0.965069 # DEPENDENCYPART_ARC
(0,19),-0.632817 # DEPENDENCYPART_ARC
(0,20),-3.0055 # DEPENDENCYPART_ARC
(0,21),-1.34782 # DEPENDENCYPART_ARC
(0,22),-0.902567 # DEPENDENCYPART_ARC
(0,23),-0.440057 # DEPENDENCYPART_ARC
(0,24),-0.0205287 # DEPENDENCYPART_ARC
(0,25),-3.15651 # DEPENDENCYPART_ARC
(1,2),-0.765527 # DEPENDENCYPART_ARC
(1,3),-1.41978 # DEPENDENCYPART_ARC
(1,4),-1.33531 # DEPENDENCYPART_ARC
(1,5),-1.65236 # DEPENDENCYPART_ARC
(1,6),-2.01426 # DEPENDENCYPART_ARC
(1,7),-1.59301 # DEPENDENCYPART_ARC
(1,8),-2.18951 # DEPENDENCYPART_ARC
(1,9),-1.89156 # DEPENDENCYPART_ARC
(1,10),-1.91441 # DEPENDENCYPART_ARC
(1,11),-2.09729 # DEPENDENCYPART_ARC
(1,12),-1.80386 # DEPENDENCYPART_ARC
