# _root_ aurtengo ekoizpenen erakusketez_gainera , bertso txapelketak eta lete , valverde eta lertxundiren kantaldiek hartuko dute lekurik nabarmenena .
#goldHeads=2,3,14,3,6,7,14,11,8,11,13,11,7,0,14,14,16,17,
#predictedHeads=2,3,7,3,6,7,13,11,8,11,13,11,14,0,14,14,16,17,
(0,1),-0.344947 # DEPENDENCYPART_ARC
(0,2),-1.01074 # DEPENDENCYPART_ARC
(0,3),-1.26625 # DEPENDENCYPART_ARC
(0,4),-1.28841 # DEPENDENCYPART_ARC
(0,5),-0.770729 # DEPENDENCYPART_ARC
(0,6),-1.07761 # DEPENDENCYPART_ARC
(0,7),-1.51533 # DEPENDENCYPART_ARC
(0,8),-1.55492 # DEPENDENCYPART_ARC
(0,9),-1.53915 # DEPENDENCYPART_ARC
(0,10),-1.22951 # DEPENDENCYPART_ARC
(0,11),-1.83731 # DEPENDENCYPART_ARC
(0,12),-1.33947 # DEPENDENCYPART_ARC
(0,13),-1.71784 # DEPENDENCYPART_ARC
(0,14),0.201074 # DEPENDENCYPART_ARC
(0,15),-0.960664 # DEPENDENCYPART_ARC
(0,16),-2.06321 # DEPENDENCYPART_ARC
(0,17),-1.46137 # DEPENDENCYPART_ARC
(0,18),-2.60126 # DEPENDENCYPART_ARC
(1,2),-1.00114 # DEPENDENCYPART_ARC
(1,3),-1.96483 # DEPENDENCYPART_ARC
(1,4),-1.57765 # DEPENDENCYPART_ARC
(1,5),-2.04679 # DEPENDENCYPART_ARC
(1,6),-2.29009 # DEPENDENCYPART_ARC
(1,7),-1.82691 # DEPENDENCYPART_ARC
(1,8),-2.24891 # DEPENDENCYPART_ARC
(1,9),-1.96564 # DEPENDENCYPART_ARC
(1,10),-2.23071 # DEPENDENCYPART_ARC
(1,11),-2.01443 # DEPENDENCYPART_ARC
(1,12),-2.64325 # DEPENDENCYPART_ARC
(1,13),-2.67733 # DEPENDENCYPART_ARC
(1,14),-2.74323 # DEPENDENCYPART_ARC
(1,15),-2.27855 # DEPENDENCYPART_ARC
(1,16),-2.65203 # DEPENDENCYPART_ARC
(1,17),-3.08506 # DEPENDENCYPART_ARC
(1,18),-2.24156 # DEPENDENCYPART_ARC
(2,1),0.580153 # DEPENDENCYPART_ARC
(2,3),-1.01894 # DEPENDENCYPART_ARC
(2,4),-0.337143 # DEPENDENCYPART_ARC
(2,5),-1.3642 # DEPENDENCYPART_ARC
(2,6),-1.3628 # DEPENDENCYPART_ARC
(2,7),-1.27706 # DEPENDENCYPART_ARC
(2,8),-1.81643 # DEPENDENCYPART_ARC
(2,9),-1.34496 # DEPENDENCYPART_ARC
(2,10),-1.29518 # DEPENDENCYPART_ARC
(2,11),-1.41942 # DEPENDENCYPART_ARC
(2,12),-2.12314 # DEPENDENCYPART_ARC
(2,13),-1.70657 # DEPENDENCYPART_ARC
(2,14),-2.24476 # DEPENDENCYPART_ARC
(2,15),-2.47627 # DEPENDENCYPART_ARC
(2,16),-2.39162 # DEPENDENCYPART_ARC
(2,17),-2.782 # DEPENDENCYPART_ARC
(2,18),-1.43998 # DEPENDENCYPART_ARC
(3,1),0.136726 # DEPENDENCYPART_ARC
(3,2),2.1458 # DEPENDENCYPART_ARC
(3,4),1.68079 # DEPENDENCYPART_ARC
(3,5),-0.880125 # DEPENDENCYPART_ARC
(3,6),-1.4541 # DEPENDENCYPART_ARC
(3,7),-1.4215 # DEPENDENCYPART_ARC
(3,8),-1.14086 # DEPENDENCYPART_ARC
(3,9),-0.316523 # DEPENDENCYPART_ARC
(3,10),-0.674322 # DEPENDENCYPART_ARC
(3,11),-1.60336 # DEPENDENCYPART_ARC
(3,12),-1.94861 # DEPENDENCYPART_ARC
(3,13),-1.78073 # DEPENDENCYPART_ARC
(3,14),-2.29376 # DEPENDENCYPART_ARC
(3,15),-2.53023 # DEPENDENCYPART_ARC
(3,16),-2.84369 # DEPENDENCYPART_ARC
(3,17),-3.07361 # DEPENDENCYPART_ARC
(3,18),-0.78892 # DEPENDENCYPART_ARC
(4,2),-0.612035 # DEPENDENCYPART_ARC
(4,3),-0.478597 # DEPENDENCYPART_ARC
(4,5),-0.384247 # DEPENDENCYPART_ARC
(4,6),-1.0339 # DEPENDENCYPART_ARC
(4,7),-1.23644 # DEPENDENCYPART_ARC
(4,10),-1.43774 # DEPENDENCYPART_ARC
(4,11),-1.91405 # DEPENDENCYPART_ARC
(4,12),-1.33897 # DEPENDENCYPART_ARC
(4,13),-1.33749 # DEPENDENCYPART_ARC
(4,14),-1.42123 # DEPENDENCYPART_ARC
(4,15),-1.20007 # DEPENDENCYPART_ARC
(4,16),-2.08366 # DEPENDENCYPART_ARC
(4,17),-1.54472 # DEPENDENCYPART_ARC
(5,1),-1.02042 # DEPENDENCYPART_ARC
(5,2),-0.757138 # DEPENDENCYPART_ARC
(5,3),-0.428517 # DEPENDENCYPART_ARC
(5,4),-0.0344588 # DEPENDENCYPART_ARC
(5,6),0.913442 # DEPENDENCYPART_ARC
(5,7),-0.350496 # DEPENDENCYPART_ARC
(5,8),-0.901138 # DEPENDENCYPART_ARC
(5,9),-0.620421 # DEPENDENCYPART_ARC
(5,10),-0.889091 # DEPENDENCYPART_ARC
(5,11),-0.843061 # DEPENDENCYPART_ARC
(5,12),-1.15595 # DEPENDENCYPART_ARC
(5,13),-0.918067 # DEPENDENCYPART_ARC
(5,14),-1.04497 # DEPENDENCYPART_ARC
(5,15),-1.55695 # DEPENDENCYPART_ARC
(5,16),-1.65766 # DEPENDENCYPART_ARC
(5,17),-1.23206 # DEPENDENCYPART_ARC
(5,18),-1.04855 # DEPENDENCYPART_ARC
(6,1),-0.283084 # DEPENDENCYPART_ARC
(6,2),0.234871 # DEPENDENCYPART_ARC
(6,3),-0.632074 # DEPENDENCYPART_ARC
(6,4),-0.703001 # DEPENDENCYPART_ARC
(6,5),1.56753 # DEPENDENCYPART_ARC
(6,7),-0.689855 # DEPENDENCYPART_ARC
(6,8),-1.46222 # DEPENDENCYPART_ARC
(6,9),-0.968421 # DEPENDENCYPART_ARC
(6,10),-1.04938 # DEPENDENCYPART_ARC
(6,11),-1.93558 # DEPENDENCYPART_ARC
(6,12),-2.45698 # DEPENDENCYPART_ARC
(6,13),-1.96963 # DEPENDENCYPART_ARC
(6,14),-2.32163 # DEPENDENCYPART_ARC
(6,15),-3.53096 # DEPENDENCYPART_ARC
(6,16),-2.62372 # DEPENDENCYPART_ARC
(6,17),-2.02483 # DEPENDENCYPART_ARC
(6,18),-1.59341 # DEPENDENCYPART_ARC
(7,1),-1.09283 # DEPENDENCYPART_ARC
(7,2),-0.252658 # DEPENDENCYPART_ARC
(7,3),-0.239913 # DEPENDENCYPART_ARC
(7,4),-1.43868 # DEPENDENCYPART_ARC
(7,5),0.535596 # DEPENDENCYPART_ARC
(7,6),1.6635 # DEPENDENCYPART_ARC
(7,8),1.48876 # DEPENDENCYPART_ARC
(7,9),-0.214271 # DEPENDENCYPART_ARC
(7,10),-0.586737 # DEPENDENCYPART_ARC
(7,11),-0.578893 # DEPENDENCYPART_ARC
(7,12),-0.28971 # DEPENDENCYPART_ARC
(7,13),1.05717 # DEPENDENCYPART_ARC
(7,14),-0.862135 # DEPENDENCYPART_ARC
(7,15),-0.721569 # DEPENDENCYPART_ARC
(7,16),-0.503564 # DEPENDENCYPART_ARC
(7,17),-0.646883 # DEPENDENCYPART_ARC
(7,18),-1.28168 # DEPENDENCYPART_ARC
(8,1),-2.17452 # DEPENDENCYPART_ARC
(8,2),-2.95573 # DEPENDENCYPART_ARC
(8,3),-3.02428 # DEPENDENCYPART_ARC
(8,4),-2.68731 # DEPENDENCYPART_ARC
(8,5),-2.17185 # DEPENDENCYPART_ARC
(8,6),-2.37129 # DEPENDENCYPART_ARC
(8,7),-1.12441 # DEPENDENCYPART_ARC
(8,9),1.89188 # DEPENDENCYPART_ARC
(8,10),0.205646 # DEPENDENCYPART_ARC
(8,11),-0.520996 # DEPENDENCYPART_ARC
(8,12),-0.535406 # DEPENDENCYPART_ARC
(8,13),-0.727643 # DEPENDENCYPART_ARC
(8,14),-0.933188 # DEPENDENCYPART_ARC
(8,16),-1.53789 # DEPENDENCYPART_ARC
(8,17),-1.75683 # DEPENDENCYPART_ARC
(8,18),-0.481565 # DEPENDENCYPART_ARC
(9,2),-1.00923 # DEPENDENCYPART_ARC
(9,3),-1.45385 # DEPENDENCYPART_ARC
(9,5),-0.799021 # DEPENDENCYPART_ARC
(9,6),-0.769037 # DEPENDENCYPART_ARC
(9,7),-0.70462 # DEPENDENCYPART_ARC
(9,10),-0.402168 # DEPENDENCYPART_ARC
(9,11),-1.12672 # DEPENDENCYPART_ARC
(9,12),-0.807362 # DEPENDENCYPART_ARC
(9,13),-0.925906 # DEPENDENCYPART_ARC
(9,14),-0.889128 # DEPENDENCYPART_ARC
(9,15),-0.992146 # DEPENDENCYPART_ARC
(9,16),-1.77249 # DEPENDENCYPART_ARC
(9,17),-1.28265 # DEPENDENCYPART_ARC
(10,1),-1.89944 # DEPENDENCYPART_ARC
