# _root_ jean_francois_lefort_koordinaketako kidearekin_batera eskainitako prentsaurrekoan , abuztuko polizi operazioak " porrot hutsa " izan direla esan zuen , eta " poliziaren azpijokoak porrot " egin duela .
#goldHeads=2,3,4,15,4,8,8,13,8,24,10,11,18,13,0,15,16,15,18,21,24,24,22,18,24,25,
#predictedHeads=2,3,4,13,4,7,8,13,8,13,10,11,15,13,18,15,16,0,18,21,24,24,22,18,24,25,
(0,1),-0.390319 # DEPENDENCYPART_ARC
(0,2),-0.879458 # DEPENDENCYPART_ARC
(0,3),-0.775565 # DEPENDENCYPART_ARC
(0,4),-1.46467 # DEPENDENCYPART_ARC
(0,5),-0.961014 # DEPENDENCYPART_ARC
(0,6),-0.89464 # DEPENDENCYPART_ARC
(0,7),-1.01234 # DEPENDENCYPART_ARC
(0,8),-1.01612 # DEPENDENCYPART_ARC
(0,9),-2.04489 # DEPENDENCYPART_ARC
(0,10),-1.12915 # DEPENDENCYPART_ARC
(0,11),-0.983925 # DEPENDENCYPART_ARC
(0,12),-2.18381 # DEPENDENCYPART_ARC
(0,13),0.182839 # DEPENDENCYPART_ARC
(0,14),-1.48775 # DEPENDENCYPART_ARC
(0,15),1.3306 # DEPENDENCYPART_ARC
(0,16),-0.816768 # DEPENDENCYPART_ARC
(0,17),-1.17572 # DEPENDENCYPART_ARC
(0,18),0.665865 # DEPENDENCYPART_ARC
(0,19),-3.26055 # DEPENDENCYPART_ARC
(0,20),-1.68822 # DEPENDENCYPART_ARC
(0,21),-1.857 # DEPENDENCYPART_ARC
(0,22),-1.62231 # DEPENDENCYPART_ARC
(0,23),-4.53638 # DEPENDENCYPART_ARC
(0,24),-1.10067 # DEPENDENCYPART_ARC
(0,25),-1.87889 # DEPENDENCYPART_ARC
(0,26),-3.70962 # DEPENDENCYPART_ARC
(1,2),-0.675863 # DEPENDENCYPART_ARC
(1,3),-2.21737 # DEPENDENCYPART_ARC
(1,4),-0.837793 # DEPENDENCYPART_ARC
(1,5),-2.18886 # DEPENDENCYPART_ARC
(1,6),-1.80125 # DEPENDENCYPART_ARC
(1,7),-1.19423 # DEPENDENCYPART_ARC
(1,8),-1.76769 # DEPENDENCYPART_ARC
(1,9),-2.43015 # DEPENDENCYPART_ARC
(1,10),-2.66133 # DEPENDENCYPART_ARC
(1,11),-4.46672 # DEPENDENCYPART_ARC
(1,12),-2.25763 # DEPENDENCYPART_ARC
(1,13),-3.79866 # DEPENDENCYPART_ARC
(1,14),-3.49387 # DEPENDENCYPART_ARC
(1,15),-3.99125 # DEPENDENCYPART_ARC
(1,16),-2.05575 # DEPENDENCYPART_ARC
(1,17),-2.94666 # DEPENDENCYPART_ARC
(1,18),-2.35507 # DEPENDENCYPART_ARC
(1,19),-3.02551 # DEPENDENCYPART_ARC
(1,20),-2.26299 # DEPENDENCYPART_ARC
(1,21),-2.08234 # DEPENDENCYPART_ARC
(1,22),-2.12267 # DEPENDENCYPART_ARC
(1,23),-3.3261 # DEPENDENCYPART_ARC
(1,24),-4.2012 # DEPENDENCYPART_ARC
(1,25),-3.70289 # DEPENDENCYPART_ARC
(1,26),-2.48985 # DEPENDENCYPART_ARC
(2,1),2.7447 # DEPENDENCYPART_ARC
(2,3),-0.573037 # DEPENDENCYPART_ARC
(2,4),-0.63215 # DEPENDENCYPART_ARC
(2,5),-0.4678 # DEPENDENCYPART_ARC
(2,6),-1.52636 # DEPENDENCYPART_ARC
(2,7),-0.718198 # DEPENDENCYPART_ARC
(2,8),-2.02993 # DEPENDENCYPART_ARC
(2,9),-0.772235 # DEPENDENCYPART_ARC
(2,10),-2.0393 # DEPENDENCYPART_ARC
(2,11),-4.38668 # DEPENDENCYPART_ARC
(2,12),-1.35062 # DEPENDENCYPART_ARC
(2,13),-3.35775 # DEPENDENCYPART_ARC
(2,14),-3.5396 # DEPENDENCYPART_ARC
(2,15),-3.65436 # DEPENDENCYPART_ARC
(2,16),-2.49766 # DEPENDENCYPART_ARC
(2,17),-1.73861 # DEPENDENCYPART_ARC
(2,18),-1.80593 # DEPENDENCYPART_ARC
(2,19),-1.71311 # DEPENDENCYPART_ARC
(2,20),-2.25277 # DEPENDENCYPART_ARC
(2,21),-2.27246 # DEPENDENCYPART_ARC
(2,22),-1.67261 # DEPENDENCYPART_ARC
(2,23),-1.98362 # DEPENDENCYPART_ARC
(2,24),-3.83001 # DEPENDENCYPART_ARC
(2,25),-4.27 # DEPENDENCYPART_ARC
(2,26),-1.72599 # DEPENDENCYPART_ARC
(3,1),1.48092 # DEPENDENCYPART_ARC
(3,2),2.77116 # DEPENDENCYPART_ARC
(3,4),0.721363 # DEPENDENCYPART_ARC
(3,5),-0.519005 # DEPENDENCYPART_ARC
(3,6),-2.07623 # DEPENDENCYPART_ARC
(3,7),-1.01443 # DEPENDENCYPART_ARC
(3,8),-2.1264 # DEPENDENCYPART_ARC
(3,9),-0.992038 # DEPENDENCYPART_ARC
(3,10),-2.28634 # DEPENDENCYPART_ARC
(3,11),-2.42078 # DEPENDENCYPART_ARC
(3,12),-1.26259 # DEPENDENCYPART_ARC
(3,13),-1.59057 # DEPENDENCYPART_ARC
(3,14),-0.182289 # DEPENDENCYPART_ARC
(3,15),-1.92664 # DEPENDENCYPART_ARC
(3,16),-1.77129 # DEPENDENCYPART_ARC
(3,17),-1.81481 # DEPENDENCYPART_ARC
(3,18),-1.28525 # DEPENDENCYPART_ARC
(3,19),-1.97558 # DEPENDENCYPART_ARC
(3,20),-4.5012 # DEPENDENCYPART_ARC
