# _root_ irakaskuntza esparruan hezkuntza sistema propioa eduki beharra azpimarratzen da , eta kultura arloa naziotasuna , euskaltasuna eta herritasunaren_gainean oinarritzeko proposatzen da .
#goldHeads=2,8,4,6,4,8,6,11,8,9,0,13,19,17,14,17,0,17,20,11,20,21,
#predictedHeads=2,6,4,6,4,7,8,11,8,9,0,13,19,17,14,17,19,17,20,11,20,21,
(0,1),-0.308788 # DEPENDENCYPART_ARC
(0,2),-0.75091 # DEPENDENCYPART_ARC
(0,3),-0.776624 # DEPENDENCYPART_ARC
(0,4),-1.05935 # DEPENDENCYPART_ARC
(0,5),-1.39016 # DEPENDENCYPART_ARC
(0,6),-0.44769 # DEPENDENCYPART_ARC
(0,7),-1.2226 # DEPENDENCYPART_ARC
(0,8),-0.329342 # DEPENDENCYPART_ARC
(0,9),-1.1987 # DEPENDENCYPART_ARC
(0,10),-0.846369 # DEPENDENCYPART_ARC
(0,11),0.656255 # DEPENDENCYPART_ARC
(0,12),-1.73089 # DEPENDENCYPART_ARC
(0,13),-1.22909 # DEPENDENCYPART_ARC
(0,14),-2.04732 # DEPENDENCYPART_ARC
(0,15),-1.09801 # DEPENDENCYPART_ARC
(0,16),-1.33107 # DEPENDENCYPART_ARC
(0,17),-1.71484 # DEPENDENCYPART_ARC
(0,18),-2.18795 # DEPENDENCYPART_ARC
(0,19),-1.67999 # DEPENDENCYPART_ARC
(0,20),-0.86893 # DEPENDENCYPART_ARC
(0,21),-1.93766 # DEPENDENCYPART_ARC
(0,22),-3.33188 # DEPENDENCYPART_ARC
(1,2),0.77749 # DEPENDENCYPART_ARC
(1,3),-0.430951 # DEPENDENCYPART_ARC
(1,4),-1.13724 # DEPENDENCYPART_ARC
(1,5),-0.460736 # DEPENDENCYPART_ARC
(1,6),-1.10148 # DEPENDENCYPART_ARC
(1,7),-0.973356 # DEPENDENCYPART_ARC
(1,8),-1.6706 # DEPENDENCYPART_ARC
(1,9),-1.79762 # DEPENDENCYPART_ARC
