# _root_ madrilek aurtengo finantzaketa osatzeko borondatea agertu arren , arazo sakonak konpondu gabe daudela uste_du : diru hori nondik etorriko den , zenbat izango den eta hobetuzen menpekotasuna forcem-ekiko .
#goldHeads=6,3,4,5,6,14,6,7,13,9,13,11,14,0,14,19,16,19,25,19,20,23,25,23,9,27,25,27,28,
#predictedHeads=14,3,4,5,6,25,6,7,11,9,13,11,14,0,14,19,16,19,25,19,20,23,25,23,14,27,25,26,28,
(0,1),-0.969213 # DEPENDENCYPART_ARC
(0,2),-1.3117 # DEPENDENCYPART_ARC
(0,3),-1.52252 # DEPENDENCYPART_ARC
(0,4),-1.14932 # DEPENDENCYPART_ARC
(0,5),-1.04672 # DEPENDENCYPART_ARC
(0,6),-0.844759 # DEPENDENCYPART_ARC
(0,7),0.235581 # DEPENDENCYPART_ARC
(0,8),-0.85567 # DEPENDENCYPART_ARC
(0,9),-1.48476 # DEPENDENCYPART_ARC
(0,10),-1.58354 # DEPENDENCYPART_ARC
(0,11),-0.86288 # DEPENDENCYPART_ARC
(0,12),-1.17067 # DEPENDENCYPART_ARC
(0,13),-1.52462 # DEPENDENCYPART_ARC
(0,14),0.548128 # DEPENDENCYPART_ARC
(0,15),-0.0938404 # DEPENDENCYPART_ARC
(0,16),-1.27314 # DEPENDENCYPART_ARC
(0,17),-1.69396 # DEPENDENCYPART_ARC
(0,18),-1.11555 # DEPENDENCYPART_ARC
(0,19),-0.637318 # DEPENDENCYPART_ARC
(0,20),-1.45141 # DEPENDENCYPART_ARC
(0,21),-1.02887 # DEPENDENCYPART_ARC
(0,22),-2.0223 # DEPENDENCYPART_ARC
(0,23),-0.803842 # DEPENDENCYPART_ARC
(0,24),-1.62369 # DEPENDENCYPART_ARC
(0,25),-0.714815 # DEPENDENCYPART_ARC
(0,26),-2.85773 # DEPENDENCYPART_ARC
(0,27),-2.74983 # DEPENDENCYPART_ARC
(0,28),-3.53327 # DEPENDENCYPART_ARC
(0,29),-3.52274 # DEPENDENCYPART_ARC
(1,2),-0.451722 # DEPENDENCYPART_ARC
(1,3),-1.39443 # DEPENDENCYPART_ARC
(1,4),-2.42427 # DEPENDENCYPART_ARC
(1,5),-1.60904 # DEPENDENCYPART_ARC
(1,6),-2.3729 # DEPENDENCYPART_ARC
(1,8),-2.37627 # DEPENDENCYPART_ARC
(1,9),-2.29887 # DEPENDENCYPART_ARC
(1,10),-4.81738 # DEPENDENCYPART_ARC
(1,11),-2.61873 # DEPENDENCYPART_ARC
(1,12),-1.17076 # DEPENDENCYPART_ARC
(1,13),-3.02862 # DEPENDENCYPART_ARC
(1,15),-2.78144 # DEPENDENCYPART_ARC
(1,16),-1.91783 # DEPENDENCYPART_ARC
(1,17),-5.1978 # DEPENDENCYPART_ARC
(1,19),-2.97101 # DEPENDENCYPART_ARC
(1,21),-3.06851 # DEPENDENCYPART_ARC
(1,23),-3.55183 # DEPENDENCYPART_ARC
(1,25),-3.20562 # DEPENDENCYPART_ARC
(1,26),-3.34242 # DEPENDENCYPART_ARC
(1,27),-2.91485 # DEPENDENCYPART_ARC
(1,28),-1.84702 # DEPENDENCYPART_ARC
(1,29),-3.00765 # DEPENDENCYPART_ARC
