# _root_ juan jose_ibarretxe_eaeko lehendakariaren ustez , herritarrek " sendotasun moralaz_gain beste zerbait espero_dute erakundeetatik etarekin amaitzeko , indakerkeriari eta heriotzari aurre_egiteko " .
#goldHeads=3,1,4,12,4,12,6,12,8,11,12,0,12,15,16,12,18,20,18,12,20,21,
#predictedHeads=3,3,4,12,4,12,6,9,12,9,12,0,15,15,12,15,18,20,18,12,20,21,
(0,1),-0.567809 # DEPENDENCYPART_ARC
(0,2),-1.14951 # DEPENDENCYPART_ARC
(0,3),-1.142 # DEPENDENCYPART_ARC
(0,4),-0.821998 # DEPENDENCYPART_ARC
(0,5),-1.2303 # DEPENDENCYPART_ARC
(0,6),-1.07305 # DEPENDENCYPART_ARC
(0,7),-1.06123 # DEPENDENCYPART_ARC
(0,8),-0.726126 # DEPENDENCYPART_ARC
(0,9),-1.01823 # DEPENDENCYPART_ARC
(0,10),-1.35094 # DEPENDENCYPART_ARC
(0,11),-0.873096 # DEPENDENCYPART_ARC
(0,12),0.535362 # DEPENDENCYPART_ARC
(0,13),-1.68195 # DEPENDENCYPART_ARC
(0,14),-1.43751 # DEPENDENCYPART_ARC
(0,15),-0.989027 # DEPENDENCYPART_ARC
(0,16),-1.14164 # DEPENDENCYPART_ARC
(0,17),-1.23006 # DEPENDENCYPART_ARC
(0,18),-1.84658 # DEPENDENCYPART_ARC
(0,19),-1.58614 # DEPENDENCYPART_ARC
(0,20),-1.05283 # DEPENDENCYPART_ARC
(0,21),-4.08778 # DEPENDENCYPART_ARC
(0,22),-3.11057 # DEPENDENCYPART_ARC
(1,2),0.682202 # DEPENDENCYPART_ARC
(1,3),0.483966 # DEPENDENCYPART_ARC
(1,4),-0.493303 # DEPENDENCYPART_ARC
(1,5),-1.16642 # DEPENDENCYPART_ARC
(1,6),-0.100885 # DEPENDENCYPART_ARC
(1,7),-1.33009 # DEPENDENCYPART_ARC
(1,8),-0.694078 # DEPENDENCYPART_ARC
(1,9),-0.584109 # DEPENDENCYPART_ARC
(1,10),-0.832951 # DEPENDENCYPART_ARC
(1,11),-1.02194 # DEPENDENCYPART_ARC
(1,12),-0.86935 # DEPENDENCYPART_ARC
(1,13),-1.00869 # DEPENDENCYPART_ARC
(1,14),-1.13185 # DEPENDENCYPART_ARC
(1,15),-1.02623 # DEPENDENCYPART_ARC
(1,16),-2.07591 # DEPENDENCYPART_ARC
(1,17),-1.39501 # DEPENDENCYPART_ARC
(1,18),-1.34076 # DEPENDENCYPART_ARC
(1,19),-1.46277 # DEPENDENCYPART_ARC
(1,20),-1.18165 # DEPENDENCYPART_ARC
(1,21),-1.99114 # DEPENDENCYPART_ARC
(1,22),-1.58131 # DEPENDENCYPART_ARC
(2,1),0.0746635 # DEPENDENCYPART_ARC
(2,3),-0.644112 # DEPENDENCYPART_ARC
(2,4),-0.918247 # DEPENDENCYPART_ARC
(2,5),-0.542917 # DEPENDENCYPART_ARC
(2,6),-1.84831 # DEPENDENCYPART_ARC
(2,7),-0.729596 # DEPENDENCYPART_ARC
(2,8),-1.92403 # DEPENDENCYPART_ARC
(2,9),-2.76392 # DEPENDENCYPART_ARC
(2,10),-1.59006 # DEPENDENCYPART_ARC
(2,11),-1.52575 # DEPENDENCYPART_ARC
(2,12),-2.18121 # DEPENDENCYPART_ARC
(2,13),-2.73767 # DEPENDENCYPART_ARC
(2,14),-2.86437 # DEPENDENCYPART_ARC
(2,15),-2.09408 # DEPENDENCYPART_ARC
(2,16),-0.935483 # DEPENDENCYPART_ARC
(2,17),-2.82153 # DEPENDENCYPART_ARC
(2,18),-1.92436 # DEPENDENCYPART_ARC
(2,19),-2.9318 # DEPENDENCYPART_ARC
(2,20),-2.20762 # DEPENDENCYPART_ARC
(2,21),-1.02615 # DEPENDENCYPART_ARC
(2,22),-1.0234 # DEPENDENCYPART_ARC
(3,1),1.27096 # DEPENDENCYPART_ARC
(3,2),2.8951 # DEPENDENCYPART_ARC
(3,4),-0.00771702 # DEPENDENCYPART_ARC
(3,5),-0.511903 # DEPENDENCYPART_ARC
(3,6),-0.917895 # DEPENDENCYPART_ARC
(3,7),-1.01522 # DEPENDENCYPART_ARC
(3,8),-1.35007 # DEPENDENCYPART_ARC
(3,9),-1.68392 # DEPENDENCYPART_ARC
(3,10),-1.42663 # DEPENDENCYPART_ARC
(3,11),-1.80551 # DEPENDENCYPART_ARC
(3,12),-2.63352 # DEPENDENCYPART_ARC
(3,13),-1.58584 # DEPENDENCYPART_ARC
(3,14),-2.01072 # DEPENDENCYPART_ARC
(3,15),-2.68409 # DEPENDENCYPART_ARC
(3,16),-2.2682 # DEPENDENCYPART_ARC
(3,17),-1.63073 # DEPENDENCYPART_ARC
(3,18),-1.78085 # DEPENDENCYPART_ARC
(3,19),-1.71239 # DEPENDENCYPART_ARC
(3,20),-3.10974 # DEPENDENCYPART_ARC
(3,21),-2.27917 # DEPENDENCYPART_ARC
(3,22),-1.71149 # DEPENDENCYPART_ARC
(4,1),-0.647467 # DEPENDENCYPART_ARC
(4,2),-0.529183 # DEPENDENCYPART_ARC
(4,3),0.175939 # DEPENDENCYPART_ARC
(4,5),1.67286 # DEPENDENCYPART_ARC
(4,6),-0.817348 # DEPENDENCYPART_ARC
(4,7),0.00705383 # DEPENDENCYPART_ARC
(4,8),-1.14118 # DEPENDENCYPART_ARC
(4,9),-1.15859 # DEPENDENCYPART_ARC
(4,10),-1.14575 # DEPENDENCYPART_ARC
(4,11),-1.17177 # DEPENDENCYPART_ARC
(4,12),-1.39184 # DEPENDENCYPART_ARC
(4,13),-1.31075 # DEPENDENCYPART_ARC
(4,14),-1.24855 # DEPENDENCYPART_ARC
(4,15),-1.5447 # DEPENDENCYPART_ARC
(4,16),-0.669212 # DEPENDENCYPART_ARC
(4,17),-1.68422 # DEPENDENCYPART_ARC
(4,18),-1.37455 # DEPENDENCYPART_ARC
(4,19),-1.43613 # DEPENDENCYPART_ARC
(4,20),-1.81028 # DEPENDENCYPART_ARC
(4,21),-0.831182 # DEPENDENCYPART_ARC
(4,22),-0.987507 # DEPENDENCYPART_ARC
(5,1),-1.05269 # DEPENDENCYPART_ARC
(5,2),-1.03085 # DEPENDENCYPART_ARC
(5,3),-0.800555 # DEPENDENCYPART_ARC
(5,4),-0.766255 # DEPENDENCYPART_ARC
(5,6),-0.617388 # DEPENDENCYPART_ARC
(5,7),0.0487451 # DEPENDENCYPART_ARC
(5,8),-1.17912 # DEPENDENCYPART_ARC
(5,9),-1.12228 # DEPENDENCYPART_ARC
(5,10),-1.25235 # DEPENDENCYPART_ARC
(5,11),-1.42033 # DEPENDENCYPART_ARC
(5,12),-1.44221 # DEPENDENCYPART_ARC
(5,13),-1.39789 # DEPENDENCYPART_ARC
(5,14),-1.38588 # DEPENDENCYPART_ARC
(5,15),-1.61481 # DEPENDENCYPART_ARC
(5,16),-1.44443 # DEPENDENCYPART_ARC
(5,17),-1.81211 # DEPENDENCYPART_ARC
(5,18),-2.16526 # DEPENDENCYPART_ARC
(5,19),-1.7271 # DEPENDENCYPART_ARC
(5,20),-1.77562 # DEPENDENCYPART_ARC
(5,21),-1.70703 # DEPENDENCYPART_ARC
(5,22),-1.66425 # DEPENDENCYPART_ARC
(6,1),-0.645389 # DEPENDENCYPART_ARC
(6,2),0.363689 # DEPENDENCYPART_ARC
(6,3),-0.165028 # DEPENDENCYPART_ARC
(6,4),-0.557637 # DEPENDENCYPART_ARC
(6,5),0.248889 # DEPENDENCYPART_ARC
(6,7),2.02127 # DEPENDENCYPART_ARC
(6,8),-0.282271 # DEPENDENCYPART_ARC
(6,9),-1.88815 # DEPENDENCYPART_ARC
(6,10),-0.253331 # DEPENDENCYPART_ARC
(6,11),-1.01919 # DEPENDENCYPART_ARC
(6,12),-2.18874 # DEPENDENCYPART_ARC
(6,13),-1.63383 # DEPENDENCYPART_ARC
(6,14),-2.35892 # DEPENDENCYPART_ARC
(6,15),-2.112 # DEPENDENCYPART_ARC
(6,16),-0.96526 # DEPENDENCYPART_ARC
(6,17),-1.85332 # DEPENDENCYPART_ARC
(6,18),-1.48213 # DEPENDENCYPART_ARC
(6,19),-2.24804 # DEPENDENCYPART_ARC
(6,20),-2.77752 # DEPENDENCYPART_ARC
(6,21),-1.09673 # DEPENDENCYPART_ARC
(6,22),-0.839761 # DEPENDENCYPART_ARC
(7,1),-1.62366 # DEPENDENCYPART_ARC
(7,2),-1.53485 # DEPENDENCYPART_ARC
(7,3),-1.33021 # DEPENDENCYPART_ARC
(7,4),-1.29567 # DEPENDENCYPART_ARC
(7,5),-1.51949 # DEPENDENCYPART_ARC
(7,6),-0.723157 # DEPENDENCYPART_ARC
(7,8),-0.970507 # DEPENDENCYPART_ARC
(7,9),-1.66575 # DEPENDENCYPART_ARC
(7,10),-1.48281 # DEPENDENCYPART_ARC
(7,11),-1.62252 # DEPENDENCYPART_ARC
(7,12),-1.50033 # DEPENDENCYPART_ARC
(7,13),-1.72145 # DEPENDENCYPART_ARC
(7,14),-1.75399 # DEPENDENCYPART_ARC
(7,15),-1.64412 # DEPENDENCYPART_ARC
(7,16),-1.05039 # DEPENDENCYPART_ARC
(7,17),-2.12824 # DEPENDENCYPART_ARC
(7,18),-2.04785 # DEPENDENCYPART_ARC
(7,19),-2.0937 # DEPENDENCYPART_ARC
(7,20),-1.93415 # DEPENDENCYPART_ARC
(7,21),-1.51094 # DEPENDENCYPART_ARC
(7,22),-1.44121 # DEPENDENCYPART_ARC
(8,1),-1.28828 # DEPENDENCYPART_ARC
(8,2),-1.44549 # DEPENDENCYPART_ARC
(8,3),-1.48193 # DEPENDENCYPART_ARC
(8,4),-1.11431 # DEPENDENCYPART_ARC
(8,5),-0.642467 # DEPENDENCYPART_ARC
(8,6),-0.634072 # DEPENDENCYPART_ARC
(8,7),0.000833703 # DEPENDENCYPART_ARC
(8,9),0.209221 # DEPENDENCYPART_ARC
(8,10),0.132943 # DEPENDENCYPART_ARC
(8,11),-0.896278 # DEPENDENCYPART_ARC
(8,12),-1.30012 # DEPENDENCYPART_ARC
(8,13),-0.793015 # DEPENDENCYPART_ARC
(8,14),-1.0104 # DEPENDENCYPART_ARC
(8,15),-1.05679 # DEPENDENCYPART_ARC
