# _root_ gogoan_hartu zenuen , ez zenuen ulertu , baina berehala ezabatu zenuen beste inork irakurri ez zezan .
#goldHeads=8,1,2,6,6,8,6,0,10,8,10,13,14,10,14,14,16,
#predictedHeads=6,1,2,6,6,8,6,0,10,8,10,13,14,10,14,14,16,
(0,1),0.337398 # DEPENDENCYPART_ARC
(0,2),-0.276713 # DEPENDENCYPART_ARC
(0,3),-0.526761 # DEPENDENCYPART_ARC
(0,4),-0.947016 # DEPENDENCYPART_ARC
(0,5),-0.582999 # DEPENDENCYPART_ARC
(0,6),-0.256 # DEPENDENCYPART_ARC
(0,7),-0.463421 # DEPENDENCYPART_ARC
(0,8),0.787291 # DEPENDENCYPART_ARC
(0,9),-0.60785 # DEPENDENCYPART_ARC
(0,10),-0.226798 # DEPENDENCYPART_ARC
(0,11),-0.315174 # DEPENDENCYPART_ARC
(0,12),-1.29376 # DEPENDENCYPART_ARC
(0,13),-1.28944 # DEPENDENCYPART_ARC
(0,14),-1.76657 # DEPENDENCYPART_ARC
(0,15),-0.81254 # DEPENDENCYPART_ARC
(0,16),-0.399967 # DEPENDENCYPART_ARC
(0,17),-1.4311 # DEPENDENCYPART_ARC
(1,2),2.28087 # DEPENDENCYPART_ARC
(1,3),-0.480084 # DEPENDENCYPART_ARC
(1,4),-0.486787 # DEPENDENCYPART_ARC
(1,5),0.0344993 # DEPENDENCYPART_ARC
(1,6),-0.519182 # DEPENDENCYPART_ARC
(1,7),-1.04662 # DEPENDENCYPART_ARC
(1,8),-0.323849 # DEPENDENCYPART_ARC
(1,9),-1.14791 # DEPENDENCYPART_ARC
(1,10),-1.40128 # DEPENDENCYPART_ARC
(1,11),-0.35631 # DEPENDENCYPART_ARC
(1,12),-1.37665 # DEPENDENCYPART_ARC
(1,13),-1.43559 # DEPENDENCYPART_ARC
(1,14),-1.16719 # DEPENDENCYPART_ARC
(1,15),-1.15086 # DEPENDENCYPART_ARC
(1,16),-1.2568 # DEPENDENCYPART_ARC
(1,17),-1.78284 # DEPENDENCYPART_ARC
(2,1),-1.20625 # DEPENDENCYPART_ARC
(2,3),1.39326 # DEPENDENCYPART_ARC
(2,4),-0.597957 # DEPENDENCYPART_ARC
(2,5),-0.812748 # DEPENDENCYPART_ARC
(2,6),-1.60059 # DEPENDENCYPART_ARC
(2,7),-0.405122 # DEPENDENCYPART_ARC
(2,8),-1.12866 # DEPENDENCYPART_ARC
(2,9),-1.0226 # DEPENDENCYPART_ARC
(2,10),-1.96307 # DEPENDENCYPART_ARC
(2,11),-1.19173 # DEPENDENCYPART_ARC
(2,14),-1.51282 # DEPENDENCYPART_ARC
(2,15),-1.39476 # DEPENDENCYPART_ARC
(2,16),-0.987209 # DEPENDENCYPART_ARC
(2,17),-0.496107 # DEPENDENCYPART_ARC
(3,1),-0.0205664 # DEPENDENCYPART_ARC
(3,2),0.147036 # DEPENDENCYPART_ARC
(3,5),-0.666086 # DEPENDENCYPART_ARC
(3,6),-0.533272 # DEPENDENCYPART_ARC
(3,8),-0.527302 # DEPENDENCYPART_ARC
(3,10),-0.837403 # DEPENDENCYPART_ARC
(3,11),-1.24229 # DEPENDENCYPART_ARC
(3,12),-1.90224 # DEPENDENCYPART_ARC
(3,14),-1.1296 # DEPENDENCYPART_ARC
