# _root_ aznar rodriguez_zapaterorekin eta nicolas_redondo pse-eeko idazkariarekin bildu zen , ez ordea ibarretxerekin , lehendakaritzak adierazitakoaren arabera .
#goldHeads=7,3,7,6,6,3,10,7,8,0,0,11,12,15,11,15,16,
#predictedHeads=7,3,7,3,6,7,0,7,8,7,0,7,12,15,7,15,16,
(0,1),0.111514 # DEPENDENCYPART_ARC
(0,2),-0.950141 # DEPENDENCYPART_ARC
(0,3),-0.673679 # DEPENDENCYPART_ARC
(0,4),-0.963973 # DEPENDENCYPART_ARC
(0,5),-0.926252 # DEPENDENCYPART_ARC
(0,6),-1.26546 # DEPENDENCYPART_ARC
(0,7),-0.00516851 # DEPENDENCYPART_ARC
(0,8),-1.18957 # DEPENDENCYPART_ARC
(0,9),-0.98481 # DEPENDENCYPART_ARC
(0,10),-1.91797 # DEPENDENCYPART_ARC
(0,11),0.551071 # DEPENDENCYPART_ARC
(0,12),-1.69102 # DEPENDENCYPART_ARC
(0,13),-1.16872 # DEPENDENCYPART_ARC
(0,14),-1.25283 # DEPENDENCYPART_ARC
(0,15),-1.60085 # DEPENDENCYPART_ARC
(0,16),-1.42611 # DEPENDENCYPART_ARC
(0,17),-2.20101 # DEPENDENCYPART_ARC
(1,2),-0.955683 # DEPENDENCYPART_ARC
(1,4),-2.52387 # DEPENDENCYPART_ARC
(1,5),-1.97989 # DEPENDENCYPART_ARC
(1,6),-1.44675 # DEPENDENCYPART_ARC
(1,7),-3.0322 # DEPENDENCYPART_ARC
(1,9),-2.09056 # DEPENDENCYPART_ARC
(1,11),-1.08997 # DEPENDENCYPART_ARC
(1,12),-3.12798 # DEPENDENCYPART_ARC
(1,13),-2.64257 # DEPENDENCYPART_ARC
(1,14),-2.4059 # DEPENDENCYPART_ARC
(1,15),-2.66794 # DEPENDENCYPART_ARC
(1,16),-1.6036 # DEPENDENCYPART_ARC
(1,17),-1.91453 # DEPENDENCYPART_ARC
(2,1),-1.09533 # DEPENDENCYPART_ARC
(2,4),-2.00545 # DEPENDENCYPART_ARC
(2,5),-2.01424 # DEPENDENCYPART_ARC
(2,6),-1.74221 # DEPENDENCYPART_ARC
(2,7),-3.3762 # DEPENDENCYPART_ARC
(2,9),-1.69998 # DEPENDENCYPART_ARC
(2,11),-1.36763 # DEPENDENCYPART_ARC
(2,12),-3.20582 # DEPENDENCYPART_ARC
(2,13),-1.57436 # DEPENDENCYPART_ARC
(2,14),-2.0644 # DEPENDENCYPART_ARC
(2,15),-3.34487 # DEPENDENCYPART_ARC
(2,16),-1.9083 # DEPENDENCYPART_ARC
(2,17),-1.57039 # DEPENDENCYPART_ARC
(3,1),0.00346093 # DEPENDENCYPART_ARC
(3,2),1.58686 # DEPENDENCYPART_ARC
(3,4),2.20418 # DEPENDENCYPART_ARC
(3,5),0.360323 # DEPENDENCYPART_ARC
(3,6),0.691548 # DEPENDENCYPART_ARC
(3,7),-0.133578 # DEPENDENCYPART_ARC
(3,8),-0.625594 # DEPENDENCYPART_ARC
(3,9),-0.717809 # DEPENDENCYPART_ARC
(3,10),-1.04412 # DEPENDENCYPART_ARC
(3,11),-0.717206 # DEPENDENCYPART_ARC
(3,12),-0.731274 # DEPENDENCYPART_ARC
(3,13),-1.48226 # DEPENDENCYPART_ARC
(3,14),-0.00782326 # DEPENDENCYPART_ARC
(3,15),-1.97428 # DEPENDENCYPART_ARC
(3,16),-1.1523 # DEPENDENCYPART_ARC
(3,17),-1.59159 # DEPENDENCYPART_ARC
(4,1),-5.1171 # DEPENDENCYPART_ARC
(4,2),-5.00468 # DEPENDENCYPART_ARC
(4,5),-0.0883845 # DEPENDENCYPART_ARC
(4,6),-0.31983 # DEPENDENCYPART_ARC
(4,7),-2.74943 # DEPENDENCYPART_ARC
(4,9),-1.09118 # DEPENDENCYPART_ARC
(4,11),-0.918878 # DEPENDENCYPART_ARC
