# _root_ azkenik , lizarra-garaziko_akordioaren bilera eskatu duela iragarri zuen , ehren jarrera zein den jakin asmoz .
#goldHeads=0,3,4,5,7,5,0,7,8,11,13,13,14,7,14,15,
#predictedHeads=5,3,4,5,7,5,0,7,8,11,13,13,14,15,7,15,
(0,1),0.236743 # DEPENDENCYPART_ARC
(0,2),-1.17849 # DEPENDENCYPART_ARC
(0,3),-0.230305 # DEPENDENCYPART_ARC
(0,4),-0.0547957 # DEPENDENCYPART_ARC
(0,5),0.404652 # DEPENDENCYPART_ARC
(0,6),-0.455816 # DEPENDENCYPART_ARC
(0,7),0.255047 # DEPENDENCYPART_ARC
(0,8),-0.507559 # DEPENDENCYPART_ARC
(0,9),-0.943145 # DEPENDENCYPART_ARC
(0,10),-0.84015 # DEPENDENCYPART_ARC
(0,11),-0.185023 # DEPENDENCYPART_ARC
(0,12),-1.50056 # DEPENDENCYPART_ARC
(0,13),-2.03583 # DEPENDENCYPART_ARC
(0,14),-1.55355 # DEPENDENCYPART_ARC
(0,15),-1.62444 # DEPENDENCYPART_ARC
(0,16),-2.26874 # DEPENDENCYPART_ARC
(1,2),-0.595351 # DEPENDENCYPART_ARC
(1,3),-1.37471 # DEPENDENCYPART_ARC
(1,4),-1.48651 # DEPENDENCYPART_ARC
(1,5),-1.97603 # DEPENDENCYPART_ARC
(1,6),-1.59865 # DEPENDENCYPART_ARC
(1,7),-2.07727 # DEPENDENCYPART_ARC
(1,8),-1.75791 # DEPENDENCYPART_ARC
(1,9),-1.82444 # DEPENDENCYPART_ARC
(1,10),-1.86665 # DEPENDENCYPART_ARC
(1,11),-1.80549 # DEPENDENCYPART_ARC
(1,12),-1.97411 # DEPENDENCYPART_ARC
(1,13),-2.00649 # DEPENDENCYPART_ARC
(1,14),-2.44147 # DEPENDENCYPART_ARC
(1,15),-1.99886 # DEPENDENCYPART_ARC
(1,16),-1.80235 # DEPENDENCYPART_ARC
(2,1),-0.676812 # DEPENDENCYPART_ARC
(2,3),-0.793945 # DEPENDENCYPART_ARC
(2,4),-1.34438 # DEPENDENCYPART_ARC
(2,5),-1.14657 # DEPENDENCYPART_ARC
(2,6),-1.01038 # DEPENDENCYPART_ARC
(2,7),-1.37102 # DEPENDENCYPART_ARC
