# _root_ adierazi zuenez , " oso erantzun ona " jaso du orain_arte egindako sinadura bilketak , eta hori oso itxaropentsua da .
#goldHeads=16,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
#predictedHeads=9,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
(0,1),0.303935 # DEPENDENCYPART_ARC
(0,2),0.00536142 # DEPENDENCYPART_ARC
(0,3),-0.740214 # DEPENDENCYPART_ARC
(0,4),-0.216123 # DEPENDENCYPART_ARC
(0,5),-0.939696 # DEPENDENCYPART_ARC
(0,6),-0.689283 # DEPENDENCYPART_ARC
(0,7),-1.49221 # DEPENDENCYPART_ARC
(0,8),-0.676013 # DEPENDENCYPART_ARC
(0,9),0.409223 # DEPENDENCYPART_ARC
(0,10),0.119206 # DEPENDENCYPART_ARC
(0,11),-0.746569 # DEPENDENCYPART_ARC
(0,12),-1.59084 # DEPENDENCYPART_ARC
(0,13),-1.70371 # DEPENDENCYPART_ARC
(0,14),-1.84027 # DEPENDENCYPART_ARC
(0,15),-1.0185 # DEPENDENCYPART_ARC
(0,16),0.661994 # DEPENDENCYPART_ARC
(0,17),-1.1826 # DEPENDENCYPART_ARC
(0,18),-1.06216 # DEPENDENCYPART_ARC
(0,19),-1.58777 # DEPENDENCYPART_ARC
(0,20),0.242771 # DEPENDENCYPART_ARC
(0,21),-2.35182 # DEPENDENCYPART_ARC
(1,2),1.70731 # DEPENDENCYPART_ARC
(1,3),-0.989509 # DEPENDENCYPART_ARC
(1,4),-1.1334 # DEPENDENCYPART_ARC
(1,5),-0.968903 # DEPENDENCYPART_ARC
(1,6),-1.26856 # DEPENDENCYPART_ARC
(1,7),-1.31917 # DEPENDENCYPART_ARC
(1,8),-1.43627 # DEPENDENCYPART_ARC
(1,9),-1.51892 # DEPENDENCYPART_ARC
(1,10),-1.67594 # DEPENDENCYPART_ARC
(1,11),-1.39331 # DEPENDENCYPART_ARC
(1,12),-2.04547 # DEPENDENCYPART_ARC
(1,13),-2.45049 # DEPENDENCYPART_ARC
(1,14),-1.27951 # DEPENDENCYPART_ARC
(1,15),-2.00653 # DEPENDENCYPART_ARC
(1,16),-1.09781 # DEPENDENCYPART_ARC
(1,17),-2.14088 # DEPENDENCYPART_ARC
(1,18),-2.46861 # DEPENDENCYPART_ARC
(1,19),-2.02236 # DEPENDENCYPART_ARC
(1,20),-2.46134 # DEPENDENCYPART_ARC
(1,21),-2.20085 # DEPENDENCYPART_ARC
(2,1),-0.78134 # DEPENDENCYPART_ARC
(2,3),1.60823 # DEPENDENCYPART_ARC
(2,4),0.052502 # DEPENDENCYPART_ARC
(2,5),-0.82108 # DEPENDENCYPART_ARC
(2,6),-1.42572 # DEPENDENCYPART_ARC
(2,7),-1.64271 # DEPENDENCYPART_ARC
(2,8),-0.532754 # DEPENDENCYPART_ARC
(2,9),-2.62077 # DEPENDENCYPART_ARC
(2,10),-0.998955 # DEPENDENCYPART_ARC
(2,11),-1.08808 # DEPENDENCYPART_ARC
(2,12),-2.04082 # DEPENDENCYPART_ARC
(2,13),-2.00218 # DEPENDENCYPART_ARC
(2,14),-1.95691 # DEPENDENCYPART_ARC
(2,15),-1.23718 # DEPENDENCYPART_ARC
(2,16),-1.38397 # DEPENDENCYPART_ARC
(2,17),-2.00383 # DEPENDENCYPART_ARC
(2,18),-1.05639 # DEPENDENCYPART_ARC
(2,19),-2.10563 # DEPENDENCYPART_ARC
(2,20),-1.98117 # DEPENDENCYPART_ARC
(2,21),-1.45025 # DEPENDENCYPART_ARC
(3,1),0.0455333 # DEPENDENCYPART_ARC
(3,2),0.220411 # DEPENDENCYPART_ARC
(3,4),1.90007 # DEPENDENCYPART_ARC
(3,5),-1.22544 # DEPENDENCYPART_ARC
(3,6),-0.75897 # DEPENDENCYPART_ARC
(3,7),-0.910528 # DEPENDENCYPART_ARC
(3,8),-0.0387023 # DEPENDENCYPART_ARC
(3,9),-0.902526 # DEPENDENCYPART_ARC
(3,10),-0.605608 # DEPENDENCYPART_ARC
(3,11),-1.45711 # DEPENDENCYPART_ARC
(3,12),-1.09763 # DEPENDENCYPART_ARC
(3,13),-1.49444 # DEPENDENCYPART_ARC
(3,14),-1.53783 # DEPENDENCYPART_ARC
(3,15),-1.25941 # DEPENDENCYPART_ARC
(3,16),-1.40542 # DEPENDENCYPART_ARC
(3,17),-1.61262 # DEPENDENCYPART_ARC
(3,18),-1.48264 # DEPENDENCYPART_ARC
(3,19),-1.3347 # DEPENDENCYPART_ARC
(3,20),-0.838413 # DEPENDENCYPART_ARC
(3,21),-1.3376 # DEPENDENCYPART_ARC
(4,1),-1.08453 # DEPENDENCYPART_ARC
(4,2),-0.988939 # DEPENDENCYPART_ARC
(4,3),-0.6615 # DEPENDENCYPART_ARC
(4,5),-1.00096 # DEPENDENCYPART_ARC
(4,6),-1.70863 # DEPENDENCYPART_ARC
(4,7),-1.32798 # DEPENDENCYPART_ARC
(4,8),-0.479373 # DEPENDENCYPART_ARC
(4,9),-1.77921 # DEPENDENCYPART_ARC
(4,10),-1.15145 # DEPENDENCYPART_ARC
(4,11),-1.93092 # DEPENDENCYPART_ARC
(4,12),-1.8431 # DEPENDENCYPART_ARC
(4,13),-2.10558 # DEPENDENCYPART_ARC
(4,14),-2.03332 # DEPENDENCYPART_ARC
(4,15),-1.23095 # DEPENDENCYPART_ARC
(4,16),-1.88283 # DEPENDENCYPART_ARC
(4,17),-2.2269 # DEPENDENCYPART_ARC
(4,18),-2.13811 # DEPENDENCYPART_ARC
(4,19),-1.77877 # DEPENDENCYPART_ARC
(4,20),-1.63826 # DEPENDENCYPART_ARC
(4,21),-1.60365 # DEPENDENCYPART_ARC
(5,1),-0.635524 # DEPENDENCYPART_ARC
(5,2),-0.665021 # DEPENDENCYPART_ARC
(5,3),-0.571256 # DEPENDENCYPART_ARC
(5,4),0.115976 # DEPENDENCYPART_ARC
(5,6),-0.541088 # DEPENDENCYPART_ARC
(5,7),-1.30342 # DEPENDENCYPART_ARC
(5,8),-0.555825 # DEPENDENCYPART_ARC
(5,9),-1.64004 # DEPENDENCYPART_ARC
(5,10),-1.34299 # DEPENDENCYPART_ARC
(5,11),-1.11802 # DEPENDENCYPART_ARC
(5,12),-1.68926 # DEPENDENCYPART_ARC
(5,13),-1.6462 # DEPENDENCYPART_ARC
(5,14),-1.60199 # DEPENDENCYPART_ARC
(5,15),-1.21668 # DEPENDENCYPART_ARC
(5,16),-1.4609 # DEPENDENCYPART_ARC
(5,17),-1.82044 # DEPENDENCYPART_ARC
(5,18),-1.45263 # DEPENDENCYPART_ARC
(5,19),-2.31742 # DEPENDENCYPART_ARC
(5,20),-1.77786 # DEPENDENCYPART_ARC
(5,21),-1.38785 # DEPENDENCYPART_ARC
(6,1),-0.832648 # DEPENDENCYPART_ARC
(6,2),-0.949674 # DEPENDENCYPART_ARC
(6,3),-0.959264 # DEPENDENCYPART_ARC
(6,4),-0.786323 # DEPENDENCYPART_ARC
(6,5),0.362879 # DEPENDENCYPART_ARC
(6,7),2.69166 # DEPENDENCYPART_ARC
(6,8),0.357485 # DEPENDENCYPART_ARC
(6,9),-0.637988 # DEPENDENCYPART_ARC
(6,10),-0.575212 # DEPENDENCYPART_ARC
(6,11),0.471056 # DEPENDENCYPART_ARC
(6,12),-0.37084 # DEPENDENCYPART_ARC
(6,13),-0.504983 # DEPENDENCYPART_ARC
(6,14),-0.570434 # DEPENDENCYPART_ARC
(6,15),-0.63426 # DEPENDENCYPART_ARC
(6,16),0.0103568 # DEPENDENCYPART_ARC
(6,17),-0.520354 # DEPENDENCYPART_ARC
(6,18),-0.493679 # DEPENDENCYPART_ARC
(6,19),-0.544066 # DEPENDENCYPART_ARC
(6,20),-0.965887 # DEPENDENCYPART_ARC
(6,21),-0.786802 # DEPENDENCYPART_ARC
(7,1),-1.31087 # DEPENDENCYPART_ARC
(7,2),-1.95485 # DEPENDENCYPART_ARC
(7,3),-1.26087 # DEPENDENCYPART_ARC
(7,4),-1.0725 # DEPENDENCYPART_ARC
(7,5),0.851525 # DEPENDENCYPART_ARC
(7,6),-0.237917 # DEPENDENCYPART_ARC
(7,8),1.80084 # DEPENDENCYPART_ARC
(7,9),-1.59922 # DEPENDENCYPART_ARC
(7,10),-1.26523 # DEPENDENCYPART_ARC
(7,11),-0.840953 # DEPENDENCYPART_ARC
(7,12),-1.13939 # DEPENDENCYPART_ARC
(7,13),-1.2208 # DEPENDENCYPART_ARC
(7,14),-1.57217 # DEPENDENCYPART_ARC
(7,15),-0.236035 # DEPENDENCYPART_ARC
(7,16),-0.618403 # DEPENDENCYPART_ARC
(7,17),-2.26635 # DEPENDENCYPART_ARC
(7,18),-0.661183 # DEPENDENCYPART_ARC
(7,19),-1.37224 # DEPENDENCYPART_ARC
(7,20),-1.92052 # DEPENDENCYPART_ARC
(7,21),-0.553142 # DEPENDENCYPART_ARC
(8,1),-1.11252 # DEPENDENCYPART_ARC
(8,2),-0.93944 # DEPENDENCYPART_ARC
(8,3),-1.25834 # DEPENDENCYPART_ARC
(8,4),-1.09267 # DEPENDENCYPART_ARC
(8,5),-0.850417 # DEPENDENCYPART_ARC
(8,6),-0.716123 # DEPENDENCYPART_ARC
(8,7),-0.018856 # DEPENDENCYPART_ARC
