# _root_ herri bazkarian bapo jan ostean , ezkio-itsaso eta legazpi pasa , eta zumarraga-urretxura iritsi ziren .
#goldHeads=2,4,4,12,4,5,8,10,8,12,10,0,14,12,14,15,
#predictedHeads=2,4,4,12,4,5,8,10,10,12,10,0,14,12,14,15,
(0,1),-0.435379 # DEPENDENCYPART_ARC
(0,2),-0.963514 # DEPENDENCYPART_ARC
(0,3),-0.541139 # DEPENDENCYPART_ARC
(0,4),-0.721027 # DEPENDENCYPART_ARC
(0,5),-1.63544 # DEPENDENCYPART_ARC
(0,6),-0.927325 # DEPENDENCYPART_ARC
(0,7),-1.08286 # DEPENDENCYPART_ARC
(0,8),-1.23726 # DEPENDENCYPART_ARC
(0,9),-1.02236 # DEPENDENCYPART_ARC
(0,10),0.000905416 # DEPENDENCYPART_ARC
(0,11),-1.0439 # DEPENDENCYPART_ARC
(0,12),0.366294 # DEPENDENCYPART_ARC
(0,13),-1.4401 # DEPENDENCYPART_ARC
(0,14),-0.923743 # DEPENDENCYPART_ARC
(0,15),-0.928765 # DEPENDENCYPART_ARC
(0,16),-2.38925 # DEPENDENCYPART_ARC
(1,2),0.770868 # DEPENDENCYPART_ARC
(1,3),-0.250714 # DEPENDENCYPART_ARC
(1,4),-0.487649 # DEPENDENCYPART_ARC
(1,5),-0.866635 # DEPENDENCYPART_ARC
(1,6),-1.78845 # DEPENDENCYPART_ARC
(1,7),-1.14201 # DEPENDENCYPART_ARC
(1,8),-0.863297 # DEPENDENCYPART_ARC
(1,9),-1.18892 # DEPENDENCYPART_ARC
(1,10),-0.921045 # DEPENDENCYPART_ARC
(1,11),-1.91799 # DEPENDENCYPART_ARC
(1,12),-1.13886 # DEPENDENCYPART_ARC
(1,13),-1.39123 # DEPENDENCYPART_ARC
(1,14),-1.55703 # DEPENDENCYPART_ARC
(1,15),-1.67275 # DEPENDENCYPART_ARC
(1,16),-1.37965 # DEPENDENCYPART_ARC
(2,1),2.10689 # DEPENDENCYPART_ARC
(2,3),0.0819165 # DEPENDENCYPART_ARC
(2,4),-1.25554 # DEPENDENCYPART_ARC
(2,5),-1.56835 # DEPENDENCYPART_ARC
(2,6),-0.993402 # DEPENDENCYPART_ARC
(2,7),-1.94127 # DEPENDENCYPART_ARC
(2,8),-1.52981 # DEPENDENCYPART_ARC
(2,9),-2.6302 # DEPENDENCYPART_ARC
(2,10),-2.72606 # DEPENDENCYPART_ARC
(2,11),-1.72659 # DEPENDENCYPART_ARC
(2,12),-1.67309 # DEPENDENCYPART_ARC
(2,13),-2.39121 # DEPENDENCYPART_ARC
(2,14),-3.17483 # DEPENDENCYPART_ARC
(2,15),-3.73908 # DEPENDENCYPART_ARC
(2,16),-1.57534 # DEPENDENCYPART_ARC
(3,1),-0.438389 # DEPENDENCYPART_ARC
(3,2),0.123053 # DEPENDENCYPART_ARC
(3,4),0.000936451 # DEPENDENCYPART_ARC
(3,5),-0.438522 # DEPENDENCYPART_ARC
(3,6),-0.118504 # DEPENDENCYPART_ARC
(3,7),-0.802973 # DEPENDENCYPART_ARC
(3,8),-0.761552 # DEPENDENCYPART_ARC
(3,9),-0.884824 # DEPENDENCYPART_ARC
(3,10),-1.27634 # DEPENDENCYPART_ARC
(3,11),-0.586959 # DEPENDENCYPART_ARC
(3,12),-0.935026 # DEPENDENCYPART_ARC
(3,13),-1.01418 # DEPENDENCYPART_ARC
(3,14),-1.53997 # DEPENDENCYPART_ARC
(3,15),-1.04736 # DEPENDENCYPART_ARC
(3,16),-0.921081 # DEPENDENCYPART_ARC
(4,1),0.493482 # DEPENDENCYPART_ARC
(4,2),1.97106 # DEPENDENCYPART_ARC
(4,3),1.62341 # DEPENDENCYPART_ARC
(4,5),2.23428 # DEPENDENCYPART_ARC
(4,6),0.0919716 # DEPENDENCYPART_ARC
(4,7),-0.479369 # DEPENDENCYPART_ARC
(4,8),-0.224414 # DEPENDENCYPART_ARC
(4,9),-0.799239 # DEPENDENCYPART_ARC
(4,10),0.096897 # DEPENDENCYPART_ARC
(4,11),-0.381055 # DEPENDENCYPART_ARC
(4,12),-0.525152 # DEPENDENCYPART_ARC
(4,13),-1.55644 # DEPENDENCYPART_ARC
(4,14),-1.01227 # DEPENDENCYPART_ARC
(4,15),-0.142634 # DEPENDENCYPART_ARC
(4,16),-1.2252 # DEPENDENCYPART_ARC
(5,1),-0.632825 # DEPENDENCYPART_ARC
(5,2),-1.87858 # DEPENDENCYPART_ARC
(5,3),-0.538429 # DEPENDENCYPART_ARC
(5,4),0.544801 # DEPENDENCYPART_ARC
(5,6),1.56384 # DEPENDENCYPART_ARC
(5,7),-0.861701 # DEPENDENCYPART_ARC
(5,8),-0.696142 # DEPENDENCYPART_ARC
(5,9),-2.57791 # DEPENDENCYPART_ARC
(5,10),-1.35509 # DEPENDENCYPART_ARC
(5,11),-0.733545 # DEPENDENCYPART_ARC
(5,12),-1.00252 # DEPENDENCYPART_ARC
(5,13),-2.5666 # DEPENDENCYPART_ARC
