# _root_ umeak ginen artean , eta gauzak betirako zirela uste_genuen , eta ziur nengoen gure konplizitatea ez zuela ezerk zirdinduko .
#goldHeads=2,5,2,3,0,8,8,9,5,9,0,13,5,15,19,19,19,19,13,19,
#predictedHeads=2,5,2,3,0,8,8,9,11,9,0,13,11,15,19,19,19,19,13,19,
(0,1),-0.0941579 # DEPENDENCYPART_ARC
(0,2),-0.463853 # DEPENDENCYPART_ARC
(0,3),-0.837466 # DEPENDENCYPART_ARC
(0,4),-1.07407 # DEPENDENCYPART_ARC
(0,5),0.800326 # DEPENDENCYPART_ARC
(0,6),-0.796881 # DEPENDENCYPART_ARC
(0,7),-0.648717 # DEPENDENCYPART_ARC
(0,8),-0.977664 # DEPENDENCYPART_ARC
(0,9),0.19036 # DEPENDENCYPART_ARC
(0,10),-0.812826 # DEPENDENCYPART_ARC
(0,11),0.298642 # DEPENDENCYPART_ARC
(0,12),-0.878153 # DEPENDENCYPART_ARC
(0,13),-0.201395 # DEPENDENCYPART_ARC
(0,14),-1.44091 # DEPENDENCYPART_ARC
(0,15),-1.61676 # DEPENDENCYPART_ARC
(0,16),-1.01616 # DEPENDENCYPART_ARC
(0,17),-1.00974 # DEPENDENCYPART_ARC
(0,18),-1.42763 # DEPENDENCYPART_ARC
(0,19),-1.17918 # DEPENDENCYPART_ARC
(0,20),-1.15147 # DEPENDENCYPART_ARC
(1,2),-0.449265 # DEPENDENCYPART_ARC
(1,3),-0.821461 # DEPENDENCYPART_ARC
(1,4),-1.55542 # DEPENDENCYPART_ARC
(1,5),-1.43333 # DEPENDENCYPART_ARC
(1,6),-1.86075 # DEPENDENCYPART_ARC
(1,7),-1.31838 # DEPENDENCYPART_ARC
(1,8),-2.3385 # DEPENDENCYPART_ARC
(1,9),-1.49364 # DEPENDENCYPART_ARC
(1,10),-2.16557 # DEPENDENCYPART_ARC
(1,11),-1.35094 # DEPENDENCYPART_ARC
(1,12),-2.88164 # DEPENDENCYPART_ARC
(1,13),-2.36406 # DEPENDENCYPART_ARC
(1,14),-2.72636 # DEPENDENCYPART_ARC
(1,15),-2.37561 # DEPENDENCYPART_ARC
(1,16),-2.78547 # DEPENDENCYPART_ARC
(1,17),-1.80722 # DEPENDENCYPART_ARC
(1,18),-2.47087 # DEPENDENCYPART_ARC
(1,19),-2.06259 # DEPENDENCYPART_ARC
(1,20),-2.19402 # DEPENDENCYPART_ARC
(2,1),2.44054 # DEPENDENCYPART_ARC
(2,3),1.09989 # DEPENDENCYPART_ARC
(2,4),0.143018 # DEPENDENCYPART_ARC
(2,5),-0.312165 # DEPENDENCYPART_ARC
