# _root_ gasteizek onartu egingo luke eaeko kuotetara iristen ez den diru kopuru bat , kontuan_hartuz forcem_espainiako langileen prestakuntzarako erakundeak ere eaen jarduten duela , hobetuzekin_batera .
#goldHeads=2,0,2,2,6,7,10,7,7,2,10,10,12,2,16,17,18,21,0,21,0,14,22,21,24,
#predictedHeads=2,3,0,2,6,7,10,7,7,14,10,11,12,21,16,17,18,21,0,21,2,21,22,23,24,
(0,1),-0.672734 # DEPENDENCYPART_ARC
(0,2),-0.424999 # DEPENDENCYPART_ARC
(0,3),0.432136 # DEPENDENCYPART_ARC
(0,4),-0.363027 # DEPENDENCYPART_ARC
(0,5),-1.60004 # DEPENDENCYPART_ARC
(0,6),-1.39595 # DEPENDENCYPART_ARC
(0,7),-0.873612 # DEPENDENCYPART_ARC
(0,8),-1.74456 # DEPENDENCYPART_ARC
(0,9),-0.839302 # DEPENDENCYPART_ARC
(0,10),-1.24596 # DEPENDENCYPART_ARC
(0,11),-1.80911 # DEPENDENCYPART_ARC
(0,12),-1.40523 # DEPENDENCYPART_ARC
(0,13),-0.8298 # DEPENDENCYPART_ARC
(0,14),-1.74296 # DEPENDENCYPART_ARC
(0,15),-1.9766 # DEPENDENCYPART_ARC
(0,16),-2.18682 # DEPENDENCYPART_ARC
(0,17),-1.92577 # DEPENDENCYPART_ARC
(0,18),-2.17954 # DEPENDENCYPART_ARC
(0,19),1.69496 # DEPENDENCYPART_ARC
(0,20),-2.58453 # DEPENDENCYPART_ARC
(0,21),-1.69592 # DEPENDENCYPART_ARC
(0,22),-2.20871 # DEPENDENCYPART_ARC
(0,23),-1.69392 # DEPENDENCYPART_ARC
(0,24),-2.73892 # DEPENDENCYPART_ARC
(0,25),-4.2289 # DEPENDENCYPART_ARC
(1,2),-0.25874 # DEPENDENCYPART_ARC
(1,3),-1.68702 # DEPENDENCYPART_ARC
(1,4),-1.64726 # DEPENDENCYPART_ARC
(1,5),-1.72145 # DEPENDENCYPART_ARC
(1,6),-0.910955 # DEPENDENCYPART_ARC
(1,7),-1.85569 # DEPENDENCYPART_ARC
(1,8),-2.71247 # DEPENDENCYPART_ARC
(1,9),-2.96114 # DEPENDENCYPART_ARC
(1,10),-2.06981 # DEPENDENCYPART_ARC
(1,11),-1.90955 # DEPENDENCYPART_ARC
(1,12),-3.70059 # DEPENDENCYPART_ARC
(1,13),-2.30179 # DEPENDENCYPART_ARC
(1,14),-2.91004 # DEPENDENCYPART_ARC
(1,15),-2.06787 # DEPENDENCYPART_ARC
(1,16),-2.08955 # DEPENDENCYPART_ARC
