# _root_ kataluniako kofradiek , berriz , akordioa lortu zuten generalitatearekin .
#goldHeads=2,7,2,0,4,7,0,7,7,9,
#predictedHeads=2,7,2,0,4,7,0,7,7,9,
(0,1),-0.449882 # DEPENDENCYPART_ARC
(0,2),-1.08174 # DEPENDENCYPART_ARC
(0,3),-0.748546 # DEPENDENCYPART_ARC
(0,4),2.0106 # DEPENDENCYPART_ARC
(0,5),-1.04022 # DEPENDENCYPART_ARC
(0,6),-0.112049 # DEPENDENCYPART_ARC
(0,7),0.165605 # DEPENDENCYPART_ARC
(0,8),-0.747144 # DEPENDENCYPART_ARC
(0,9),-1.5993 # DEPENDENCYPART_ARC
(0,10),-1.4894 # DEPENDENCYPART_ARC
(1,2),-0.457297 # DEPENDENCYPART_ARC
(1,3),-1.73123 # DEPENDENCYPART_ARC
(1,4),-1.39258 # DEPENDENCYPART_ARC
(1,5),-2.45955 # DEPENDENCYPART_ARC
(1,6),-2.33448 # DEPENDENCYPART_ARC
(1,7),-3.43178 # DEPENDENCYPART_ARC
(1,8),-3.96491 # DEPENDENCYPART_ARC
(1,9),-3.27649 # DEPENDENCYPART_ARC
(1,10),-2.3272 # DEPENDENCYPART_ARC
(2,1),2.49801 # DEPENDENCYPART_ARC
(2,3),1.65392 # DEPENDENCYPART_ARC
(2,4),-0.230744 # DEPENDENCYPART_ARC
(2,5),-0.570924 # DEPENDENCYPART_ARC
(2,6),-1.57251 # DEPENDENCYPART_ARC
(2,7),-1.96353 # DEPENDENCYPART_ARC
(2,8),-2.07843 # DEPENDENCYPART_ARC
(2,9),-2.78531 # DEPENDENCYPART_ARC
(2,10),-0.364479 # DEPENDENCYPART_ARC
(3,1),-0.848253 # DEPENDENCYPART_ARC
(3,2),-0.43423 # DEPENDENCYPART_ARC
(3,4),-0.359673 # DEPENDENCYPART_ARC
(3,5),-0.388252 # DEPENDENCYPART_ARC
(3,6),-0.830969 # DEPENDENCYPART_ARC
(3,7),-0.718711 # DEPENDENCYPART_ARC
(3,8),-0.818775 # DEPENDENCYPART_ARC
(3,9),-1.18574 # DEPENDENCYPART_ARC
(3,10),-0.947935 # DEPENDENCYPART_ARC
(4,1),-2.42102 # DEPENDENCYPART_ARC
(4,2),-1.49515 # DEPENDENCYPART_ARC
(4,3),-0.0985371 # DEPENDENCYPART_ARC
(4,5),2.056 # DEPENDENCYPART_ARC
(4,6),-0.611789 # DEPENDENCYPART_ARC
(4,7),-0.400825 # DEPENDENCYPART_ARC
(4,8),-0.901963 # DEPENDENCYPART_ARC
(4,9),-1.10042 # DEPENDENCYPART_ARC
(4,10),-0.696915 # DEPENDENCYPART_ARC
(5,1),-0.993216 # DEPENDENCYPART_ARC
(5,2),-1.01369 # DEPENDENCYPART_ARC
(5,3),-1.25696 # DEPENDENCYPART_ARC
(5,4),-0.230463 # DEPENDENCYPART_ARC
(5,6),-0.685548 # DEPENDENCYPART_ARC
(5,7),-0.9738 # DEPENDENCYPART_ARC
(5,8),-0.593314 # DEPENDENCYPART_ARC
(5,9),-1.3605 # DEPENDENCYPART_ARC
(5,10),-0.664955 # DEPENDENCYPART_ARC
(6,1),-0.68295 # DEPENDENCYPART_ARC
(6,2),-2.91668 # DEPENDENCYPART_ARC
(6,3),-0.925937 # DEPENDENCYPART_ARC
(6,4),-0.716657 # DEPENDENCYPART_ARC
(6,5),0.404312 # DEPENDENCYPART_ARC
(6,7),-1.07819 # DEPENDENCYPART_ARC
(6,8),-1.17625 # DEPENDENCYPART_ARC
(6,9),-2.16532 # DEPENDENCYPART_ARC
(6,10),-0.413177 # DEPENDENCYPART_ARC
(7,1),-1.23745 # DEPENDENCYPART_ARC
(7,2),0.160725 # DEPENDENCYPART_ARC
(7,3),-1.00913 # DEPENDENCYPART_ARC
(7,4),0.0840787 # DEPENDENCYPART_ARC
(7,5),-0.831906 # DEPENDENCYPART_ARC
(7,6),2.463 # DEPENDENCYPART_ARC
(7,8),2.27687 # DEPENDENCYPART_ARC
(7,9),1.45575 # DEPENDENCYPART_ARC
(7,10),-0.100917 # DEPENDENCYPART_ARC
(8,1),-1.75171 # DEPENDENCYPART_ARC
(8,2),-1.38875 # DEPENDENCYPART_ARC
(8,3),-1.74328 # DEPENDENCYPART_ARC
(8,4),-1.4245 # DEPENDENCYPART_ARC
(8,5),-1.36657 # DEPENDENCYPART_ARC
(8,6),-0.838582 # DEPENDENCYPART_ARC
(8,7),-1.65594 # DEPENDENCYPART_ARC
(8,9),-1.60536 # DEPENDENCYPART_ARC
(8,10),-0.379237 # DEPENDENCYPART_ARC
(9,1),-2.10922 # DEPENDENCYPART_ARC
(9,2),-5.03996 # DEPENDENCYPART_ARC
(9,3),-1.93888 # DEPENDENCYPART_ARC
(9,4),-1.73163 # DEPENDENCYPART_ARC
(9,5),-1.77025 # DEPENDENCYPART_ARC
(9,6),-3.56872 # DEPENDENCYPART_ARC
(9,7),-0.610507 # DEPENDENCYPART_ARC
(9,8),-0.877329 # DEPENDENCYPART_ARC
(9,10),1.83545 # DEPENDENCYPART_ARC
(10,1),-1.6416 # DEPENDENCYPART_ARC
(10,2),-1.70032 # DEPENDENCYPART_ARC
(10,3),-1.43363 # DEPENDENCYPART_ARC
(10,4),-1.05625 # DEPENDENCYPART_ARC
(10,5),-1.37121 # DEPENDENCYPART_ARC
(10,6),-0.901991 # DEPENDENCYPART_ARC
(10,7),-0.891151 # DEPENDENCYPART_ARC
(10,8),-0.984109 # DEPENDENCYPART_ARC
(10,9),-0.396694 # DEPENDENCYPART_ARC
