# _root_ aparicio ez zen atzoko bileran izan , haren menpeko juan chozas_lan idazkaria baizik , eta chozasek auzia bideratu beharra dagoela onartu du .
#goldHeads=6,6,6,5,6,13,6,9,12,12,10,13,15,13,0,21,18,19,20,21,15,21,22,
#predictedHeads=6,6,6,5,6,13,6,9,10,12,10,15,18,13,0,18,18,19,20,21,15,21,22,
(0,1),-0.265731 # DEPENDENCYPART_ARC
(0,2),-0.935951 # DEPENDENCYPART_ARC
(0,3),-0.448813 # DEPENDENCYPART_ARC
(0,4),-0.571182 # DEPENDENCYPART_ARC
(0,5),-1.23344 # DEPENDENCYPART_ARC
(0,6),-0.133084 # DEPENDENCYPART_ARC
(0,7),-0.548397 # DEPENDENCYPART_ARC
(0,8),-1.3043 # DEPENDENCYPART_ARC
(0,9),-1.38012 # DEPENDENCYPART_ARC
(0,10),-1.29942 # DEPENDENCYPART_ARC
(0,11),-1.34664 # DEPENDENCYPART_ARC
(0,12),-1.4377 # DEPENDENCYPART_ARC
(0,13),0.259827 # DEPENDENCYPART_ARC
(0,14),-1.3213 # DEPENDENCYPART_ARC
(0,15),0.61952 # DEPENDENCYPART_ARC
(0,16),-1.56136 # DEPENDENCYPART_ARC
(0,17),-1.05575 # DEPENDENCYPART_ARC
(0,18),-0.373418 # DEPENDENCYPART_ARC
(0,19),-1.30173 # DEPENDENCYPART_ARC
(0,20),-1.9823 # DEPENDENCYPART_ARC
(0,21),-0.344082 # DEPENDENCYPART_ARC
(0,22),-1.68969 # DEPENDENCYPART_ARC
(0,23),-3.41735 # DEPENDENCYPART_ARC
(1,2),-1.1618 # DEPENDENCYPART_ARC
(1,3),-1.22891 # DEPENDENCYPART_ARC
(1,4),-1.69507 # DEPENDENCYPART_ARC
(1,5),-2.70012 # DEPENDENCYPART_ARC
(1,6),-2.57744 # DEPENDENCYPART_ARC
(1,7),-2.10258 # DEPENDENCYPART_ARC
(1,8),-2.76916 # DEPENDENCYPART_ARC
(1,9),-1.98977 # DEPENDENCYPART_ARC
(1,10),-2.35615 # DEPENDENCYPART_ARC
(1,11),-1.49219 # DEPENDENCYPART_ARC
(1,12),-2.79702 # DEPENDENCYPART_ARC
(1,13),-1.54859 # DEPENDENCYPART_ARC
(1,14),-2.85307 # DEPENDENCYPART_ARC
(1,15),-2.5177 # DEPENDENCYPART_ARC
(1,16),-2.10874 # DEPENDENCYPART_ARC
(1,17),-3.16506 # DEPENDENCYPART_ARC
(1,18),-2.2261 # DEPENDENCYPART_ARC
(1,19),-2.9359 # DEPENDENCYPART_ARC
(1,20),-2.95256 # DEPENDENCYPART_ARC
(1,21),-3.57826 # DEPENDENCYPART_ARC
(1,22),-2.62769 # DEPENDENCYPART_ARC
(1,23),-2.48299 # DEPENDENCYPART_ARC
(2,1),-0.454471 # DEPENDENCYPART_ARC
(2,3),-0.591357 # DEPENDENCYPART_ARC
(2,4),-0.92151 # DEPENDENCYPART_ARC
(2,5),-0.861263 # DEPENDENCYPART_ARC
(2,6),-1.05493 # DEPENDENCYPART_ARC
(2,7),-0.390994 # DEPENDENCYPART_ARC
(2,8),-1.23295 # DEPENDENCYPART_ARC
(2,9),-1.26783 # DEPENDENCYPART_ARC
(2,10),-1.32219 # DEPENDENCYPART_ARC
(2,11),-1.32097 # DEPENDENCYPART_ARC
(2,12),-1.51482 # DEPENDENCYPART_ARC
(2,13),-1.04285 # DEPENDENCYPART_ARC
(2,14),-0.800815 # DEPENDENCYPART_ARC
(2,15),-1.29685 # DEPENDENCYPART_ARC
(2,16),-0.934972 # DEPENDENCYPART_ARC
(2,17),-1.35732 # DEPENDENCYPART_ARC
(2,18),-1.2349 # DEPENDENCYPART_ARC
(2,19),-1.45368 # DEPENDENCYPART_ARC
(2,20),-2.05905 # DEPENDENCYPART_ARC
(2,21),-1.30365 # DEPENDENCYPART_ARC
(2,22),-2.32289 # DEPENDENCYPART_ARC
(2,23),-1.30838 # DEPENDENCYPART_ARC
(3,1),-0.639245 # DEPENDENCYPART_ARC
(3,2),-0.0994977 # DEPENDENCYPART_ARC
(3,4),-0.196167 # DEPENDENCYPART_ARC
(3,5),-0.355688 # DEPENDENCYPART_ARC
(3,6),-1.74478 # DEPENDENCYPART_ARC
(3,7),-0.779793 # DEPENDENCYPART_ARC
(3,8),-1.92568 # DEPENDENCYPART_ARC
(3,9),-1.47044 # DEPENDENCYPART_ARC
(3,10),-1.56808 # DEPENDENCYPART_ARC
(3,11),-1.79818 # DEPENDENCYPART_ARC
(3,12),-1.89243 # DEPENDENCYPART_ARC
(3,13),-1.12954 # DEPENDENCYPART_ARC
(3,14),-1.4756 # DEPENDENCYPART_ARC
(3,15),-2.27385 # DEPENDENCYPART_ARC
(3,16),-2.07244 # DEPENDENCYPART_ARC
(3,17),-2.30324 # DEPENDENCYPART_ARC
(3,18),-1.84924 # DEPENDENCYPART_ARC
(3,19),-2.44068 # DEPENDENCYPART_ARC
(3,20),-1.57213 # DEPENDENCYPART_ARC
(3,21),-2.38845 # DEPENDENCYPART_ARC
(3,22),-1.1998 # DEPENDENCYPART_ARC
(3,23),-2.09529 # DEPENDENCYPART_ARC
(4,1),-1.21156 # DEPENDENCYPART_ARC
(4,2),-0.981987 # DEPENDENCYPART_ARC
(4,3),-0.486294 # DEPENDENCYPART_ARC
(4,5),-0.555206 # DEPENDENCYPART_ARC
(4,6),-1.28859 # DEPENDENCYPART_ARC
(4,7),-0.536408 # DEPENDENCYPART_ARC
(4,8),-1.24741 # DEPENDENCYPART_ARC
(4,9),-1.36089 # DEPENDENCYPART_ARC
(4,10),-1.45009 # DEPENDENCYPART_ARC
(4,11),-1.4758 # DEPENDENCYPART_ARC
(4,12),-1.60938 # DEPENDENCYPART_ARC
(4,13),-1.35669 # DEPENDENCYPART_ARC
(4,14),-0.96304 # DEPENDENCYPART_ARC
(4,15),-1.31617 # DEPENDENCYPART_ARC
(4,16),-2.07621 # DEPENDENCYPART_ARC
(4,17),-2.13827 # DEPENDENCYPART_ARC
(4,18),-1.95353 # DEPENDENCYPART_ARC
(4,19),-1.99938 # DEPENDENCYPART_ARC
