# _root_ irlandan aurrera doaz , eta zergatik ez hemen ? " , itaundu zuen .
#goldHeads=3,3,5,3,12,5,5,5,8,9,10,0,12,13,
#predictedHeads=3,3,5,3,0,5,6,12,8,9,10,0,12,13,
(0,1),-0.64411 # DEPENDENCYPART_ARC
(0,2),-0.504245 # DEPENDENCYPART_ARC
(0,3),0.368474 # DEPENDENCYPART_ARC
(0,4),-0.953861 # DEPENDENCYPART_ARC
(0,5),1.29084 # DEPENDENCYPART_ARC
(0,6),-0.29761 # DEPENDENCYPART_ARC
(0,7),-0.540347 # DEPENDENCYPART_ARC
(0,8),-0.665596 # DEPENDENCYPART_ARC
(0,9),-0.775478 # DEPENDENCYPART_ARC
(0,10),-0.568323 # DEPENDENCYPART_ARC
(0,11),-0.490287 # DEPENDENCYPART_ARC
(0,12),0.82111 # DEPENDENCYPART_ARC
(0,13),-0.622439 # DEPENDENCYPART_ARC
(0,14),-1.31162 # DEPENDENCYPART_ARC
(1,2),0.116383 # DEPENDENCYPART_ARC
(1,3),-1.43087 # DEPENDENCYPART_ARC
(1,4),-1.85417 # DEPENDENCYPART_ARC
(1,5),-1.99094 # DEPENDENCYPART_ARC
(1,6),-1.55033 # DEPENDENCYPART_ARC
(1,7),-2.88637 # DEPENDENCYPART_ARC
(1,8),-1.69247 # DEPENDENCYPART_ARC
(1,9),-1.94359 # DEPENDENCYPART_ARC
(1,10),-2.08023 # DEPENDENCYPART_ARC
(1,11),-2.26905 # DEPENDENCYPART_ARC
(1,12),-2.8457 # DEPENDENCYPART_ARC
(1,13),-3.13094 # DEPENDENCYPART_ARC
(1,14),-2.35507 # DEPENDENCYPART_ARC
(2,1),0.147492 # DEPENDENCYPART_ARC
(2,3),0.342098 # DEPENDENCYPART_ARC
(2,4),0.268407 # DEPENDENCYPART_ARC
(2,5),-0.486378 # DEPENDENCYPART_ARC
(2,6),-0.7307 # DEPENDENCYPART_ARC
(2,7),-0.898196 # DEPENDENCYPART_ARC
(2,8),-0.611105 # DEPENDENCYPART_ARC
(2,9),-0.287869 # DEPENDENCYPART_ARC
(2,10),-0.420419 # DEPENDENCYPART_ARC
(2,11),-0.715649 # DEPENDENCYPART_ARC
(2,12),-1.46757 # DEPENDENCYPART_ARC
(2,13),-1.03684 # DEPENDENCYPART_ARC
(2,14),-0.7522 # DEPENDENCYPART_ARC
(3,1),2.21958 # DEPENDENCYPART_ARC
(3,2),1.38481 # DEPENDENCYPART_ARC
(3,4),1.7047 # DEPENDENCYPART_ARC
(3,5),0.146978 # DEPENDENCYPART_ARC
