# _root_ burutzean , amoranteak , apalki eta elkarri begiratu gabe berezirik joango dira garbilekura .
#goldHeads=11,3,11,3,11,0,8,11,8,11,6,11,11,13,
#predictedHeads=3,1,6,3,6,8,8,11,8,11,0,11,11,13,
(0,1),-0.373156 # DEPENDENCYPART_ARC
(0,2),-0.416355 # DEPENDENCYPART_ARC
(0,3),-0.192459 # DEPENDENCYPART_ARC
(0,4),-0.647176 # DEPENDENCYPART_ARC
(0,5),-0.932564 # DEPENDENCYPART_ARC
(0,6),-0.234436 # DEPENDENCYPART_ARC
(0,8),-0.45294 # DEPENDENCYPART_ARC
(0,9),-0.66257 # DEPENDENCYPART_ARC
(0,10),-1.08362 # DEPENDENCYPART_ARC
(0,11),-0.075084 # DEPENDENCYPART_ARC
(0,12),-0.0551732 # DEPENDENCYPART_ARC
(0,13),-1.53234 # DEPENDENCYPART_ARC
(0,14),-1.11122 # DEPENDENCYPART_ARC
(1,2),0.805371 # DEPENDENCYPART_ARC
(1,3),-0.740322 # DEPENDENCYPART_ARC
(1,4),-0.803248 # DEPENDENCYPART_ARC
(1,5),-1.28619 # DEPENDENCYPART_ARC
(1,6),-1.09256 # DEPENDENCYPART_ARC
(1,7),-1.23534 # DEPENDENCYPART_ARC
(1,8),-1.19792 # DEPENDENCYPART_ARC
(1,9),-1.43146 # DEPENDENCYPART_ARC
(1,10),-1.16837 # DEPENDENCYPART_ARC
(1,11),-1.65382 # DEPENDENCYPART_ARC
(1,12),-1.74804 # DEPENDENCYPART_ARC
(1,13),-1.49138 # DEPENDENCYPART_ARC
(1,14),-1.59409 # DEPENDENCYPART_ARC
(2,1),0.094141 # DEPENDENCYPART_ARC
(2,3),-0.624519 # DEPENDENCYPART_ARC
(2,6),-1.04962 # DEPENDENCYPART_ARC
(2,8),-0.98959 # DEPENDENCYPART_ARC
(2,10),-1.25343 # DEPENDENCYPART_ARC
(2,11),-1.24209 # DEPENDENCYPART_ARC
(2,12),-1.04052 # DEPENDENCYPART_ARC
(2,13),-1.81675 # DEPENDENCYPART_ARC
(3,1),0.27033 # DEPENDENCYPART_ARC
(3,2),-0.0538848 # DEPENDENCYPART_ARC
(3,4),1.51883 # DEPENDENCYPART_ARC
(3,5),-0.481301 # DEPENDENCYPART_ARC
(3,6),-0.791345 # DEPENDENCYPART_ARC
(3,7),-1.86948 # DEPENDENCYPART_ARC
(3,8),-1.12321 # DEPENDENCYPART_ARC
(3,9),-0.680311 # DEPENDENCYPART_ARC
(3,10),-2.07827 # DEPENDENCYPART_ARC
(3,11),-1.52883 # DEPENDENCYPART_ARC
(3,12),-2.11454 # DEPENDENCYPART_ARC
(3,13),-1.35295 # DEPENDENCYPART_ARC
(3,14),-0.325135 # DEPENDENCYPART_ARC
(4,1),-0.630035 # DEPENDENCYPART_ARC
(4,3),-0.29068 # DEPENDENCYPART_ARC
(4,6),-0.898493 # DEPENDENCYPART_ARC
(4,8),-0.906624 # DEPENDENCYPART_ARC
(4,10),-1.27819 # DEPENDENCYPART_ARC
(4,11),-0.983444 # DEPENDENCYPART_ARC
(4,12),-1.16682 # DEPENDENCYPART_ARC
(4,13),-1.42825 # DEPENDENCYPART_ARC
(5,1),-1.14438 # DEPENDENCYPART_ARC
(5,2),-1.01293 # DEPENDENCYPART_ARC
(5,3),-0.726139 # DEPENDENCYPART_ARC
(5,4),0.0470161 # DEPENDENCYPART_ARC
(5,6),-0.352213 # DEPENDENCYPART_ARC
(5,8),-1.43387 # DEPENDENCYPART_ARC
(5,9),-1.3044 # DEPENDENCYPART_ARC
(5,10),-1.86323 # DEPENDENCYPART_ARC
(5,11),-1.72767 # DEPENDENCYPART_ARC
(5,12),-1.54982 # DEPENDENCYPART_ARC
(5,13),-1.75493 # DEPENDENCYPART_ARC
(5,14),-1.13639 # DEPENDENCYPART_ARC
(6,1),-0.413276 # DEPENDENCYPART_ARC
(6,2),-1.2866 # DEPENDENCYPART_ARC
(6,3),0.140693 # DEPENDENCYPART_ARC
(6,4),-0.91651 # DEPENDENCYPART_ARC
(6,5),0.842589 # DEPENDENCYPART_ARC
(6,8),0.29053 # DEPENDENCYPART_ARC
(6,9),-0.406857 # DEPENDENCYPART_ARC
(6,10),-0.24872 # DEPENDENCYPART_ARC
(6,11),0.305846 # DEPENDENCYPART_ARC
(6,12),-0.692266 # DEPENDENCYPART_ARC
(6,13),-1.10769 # DEPENDENCYPART_ARC
(6,14),-0.594254 # DEPENDENCYPART_ARC
(7,14),-0.367456 # DEPENDENCYPART_ARC
(8,1),-0.61539 # DEPENDENCYPART_ARC
(8,2),-1.46656 # DEPENDENCYPART_ARC
(8,3),-0.333451 # DEPENDENCYPART_ARC
(8,4),-1.31966 # DEPENDENCYPART_ARC
(8,5),-0.179381 # DEPENDENCYPART_ARC
(8,6),0.229331 # DEPENDENCYPART_ARC
(8,7),1.69117 # DEPENDENCYPART_ARC
(8,9),1.77171 # DEPENDENCYPART_ARC
(8,10),0.742927 # DEPENDENCYPART_ARC
(8,11),0.401813 # DEPENDENCYPART_ARC
(8,12),0.582077 # DEPENDENCYPART_ARC
(8,13),0.797722 # DEPENDENCYPART_ARC
(8,14),-0.163734 # DEPENDENCYPART_ARC
(9,1),-1.54209 # DEPENDENCYPART_ARC
(9,2),-1.49552 # DEPENDENCYPART_ARC
(9,3),-1.38755 # DEPENDENCYPART_ARC
(9,4),-1.29137 # DEPENDENCYPART_ARC
(9,5),-0.943039 # DEPENDENCYPART_ARC
(9,6),-0.725923 # DEPENDENCYPART_ARC
(9,8),-0.244466 # DEPENDENCYPART_ARC
(9,10),-0.0741029 # DEPENDENCYPART_ARC
(9,11),-1.01025 # DEPENDENCYPART_ARC
(9,12),-0.792145 # DEPENDENCYPART_ARC
(9,13),-1.04368 # DEPENDENCYPART_ARC
(9,14),-0.452313 # DEPENDENCYPART_ARC
(10,1),-2.12085 # DEPENDENCYPART_ARC
(10,2),-1.58117 # DEPENDENCYPART_ARC
(10,3),-0.998572 # DEPENDENCYPART_ARC
(10,4),-1.50428 # DEPENDENCYPART_ARC
(10,5),-0.671511 # DEPENDENCYPART_ARC
(10,6),-0.798769 # DEPENDENCYPART_ARC
(10,8),-0.362961 # DEPENDENCYPART_ARC
(10,9),0.677117 # DEPENDENCYPART_ARC
(10,11),-0.322139 # DEPENDENCYPART_ARC
(10,12),-0.436519 # DEPENDENCYPART_ARC
(10,13),-1.18867 # DEPENDENCYPART_ARC
(10,14),-0.232949 # DEPENDENCYPART_ARC
(11,1),-0.280133 # DEPENDENCYPART_ARC
(11,2),-1.31216 # DEPENDENCYPART_ARC
(11,3),-0.104711 # DEPENDENCYPART_ARC
(11,4),-1.2787 # DEPENDENCYPART_ARC
(11,5),-0.343113 # DEPENDENCYPART_ARC
(11,6),0.164554 # DEPENDENCYPART_ARC
(11,7),0.528144 # DEPENDENCYPART_ARC
(11,8),0.591212 # DEPENDENCYPART_ARC
(11,9),-0.210245 # DEPENDENCYPART_ARC
(11,10),1.13822 # DEPENDENCYPART_ARC
(11,12),1.8428 # DEPENDENCYPART_ARC
(11,13),1.91444 # DEPENDENCYPART_ARC
(11,14),0.0319419 # DEPENDENCYPART_ARC
(12,1),-1.15195 # DEPENDENCYPART_ARC
(12,2),-1.60977 # DEPENDENCYPART_ARC
(12,3),-1.22678 # DEPENDENCYPART_ARC
(12,4),-1.60883 # DEPENDENCYPART_ARC
(12,5),-1.25711 # DEPENDENCYPART_ARC
(12,6),-1.28985 # DEPENDENCYPART_ARC
(12,8),-1.29213 # DEPENDENCYPART_ARC
(12,9),-0.805942 # DEPENDENCYPART_ARC
(12,10),-0.687592 # DEPENDENCYPART_ARC
(12,11),-0.474505 # DEPENDENCYPART_ARC
(12,13),-0.219842 # DEPENDENCYPART_ARC
(12,14),-0.48079 # DEPENDENCYPART_ARC
(13,1),-2.76265 # DEPENDENCYPART_ARC
(13,2),-2.028 # DEPENDENCYPART_ARC
(13,3),-3.8572 # DEPENDENCYPART_ARC
(13,4),-1.76654 # DEPENDENCYPART_ARC
(13,5),-1.50624 # DEPENDENCYPART_ARC
(13,6),-1.25008 # DEPENDENCYPART_ARC
(13,7),-2.18132 # DEPENDENCYPART_ARC
(13,8),-0.995248 # DEPENDENCYPART_ARC
(13,9),-1.24521 # DEPENDENCYPART_ARC
(13,10),-2.07661 # DEPENDENCYPART_ARC
(13,11),-0.187269 # DEPENDENCYPART_ARC
(13,12),-1.59191 # DEPENDENCYPART_ARC
(13,14),2.01912 # DEPENDENCYPART_ARC
(14,1),-1.74644 # DEPENDENCYPART_ARC
(14,2),-1.52917 # DEPENDENCYPART_ARC
(14,3),-1.97281 # DEPENDENCYPART_ARC
(14,4),-1.33804 # DEPENDENCYPART_ARC
(14,6),-0.937785 # DEPENDENCYPART_ARC
(14,8),-1.3333 # DEPENDENCYPART_ARC
(14,11),-0.967389 # DEPENDENCYPART_ARC
(14,13),-0.549313 # DEPENDENCYPART_ARC
