# _root_ hala_nola , uno_first_group-en sorrera eta teknologia berrien arloan , telefonicarekin batez_ere egindako aliantzak .
#goldHeads=0,1,4,5,7,8,6,12,8,12,12,13,0,13,
#predictedHeads=0,1,4,5,0,5,6,5,8,12,12,13,5,13,
(0,1),1.5391 # DEPENDENCYPART_ARC
(0,2),-0.979179 # DEPENDENCYPART_ARC
(0,3),-0.163616 # DEPENDENCYPART_ARC
(0,4),-0.545974 # DEPENDENCYPART_ARC
(0,5),-0.626064 # DEPENDENCYPART_ARC
(0,6),-0.757213 # DEPENDENCYPART_ARC
(0,7),-1.70113 # DEPENDENCYPART_ARC
(0,8),-1.33031 # DEPENDENCYPART_ARC
(0,9),-0.804423 # DEPENDENCYPART_ARC
(0,10),-0.765489 # DEPENDENCYPART_ARC
(0,11),-0.906774 # DEPENDENCYPART_ARC
(0,12),-1.28585 # DEPENDENCYPART_ARC
(0,13),-1.08169 # DEPENDENCYPART_ARC
(0,14),-1.61967 # DEPENDENCYPART_ARC
(1,2),0.594871 # DEPENDENCYPART_ARC
(1,3),-2.98409 # DEPENDENCYPART_ARC
(1,4),-1.83826 # DEPENDENCYPART_ARC
(1,5),-1.67892 # DEPENDENCYPART_ARC
(1,6),-2.26651 # DEPENDENCYPART_ARC
(1,7),-2.73736 # DEPENDENCYPART_ARC
(1,8),-2.66321 # DEPENDENCYPART_ARC
(1,9),-1.85121 # DEPENDENCYPART_ARC
(1,10),-3.36148 # DEPENDENCYPART_ARC
(1,11),-2.00103 # DEPENDENCYPART_ARC
(1,12),-3.16908 # DEPENDENCYPART_ARC
(1,13),-2.74817 # DEPENDENCYPART_ARC
(1,14),-2.4565 # DEPENDENCYPART_ARC
(2,1),-0.26367 # DEPENDENCYPART_ARC
(2,3),-0.844434 # DEPENDENCYPART_ARC
(2,4),-1.36125 # DEPENDENCYPART_ARC
(2,5),-1.35237 # DEPENDENCYPART_ARC
(2,6),-1.57524 # DEPENDENCYPART_ARC
(2,7),-1.17912 # DEPENDENCYPART_ARC
(2,8),-1.49097 # DEPENDENCYPART_ARC
(2,9),-1.09589 # DEPENDENCYPART_ARC
(2,10),-1.86904 # DEPENDENCYPART_ARC
(2,11),-1.52497 # DEPENDENCYPART_ARC
(2,12),-1.61107 # DEPENDENCYPART_ARC
(2,13),-1.85588 # DEPENDENCYPART_ARC
(2,14),-1.49741 # DEPENDENCYPART_ARC
(3,1),-1.58386 # DEPENDENCYPART_ARC
(3,2),-0.204961 # DEPENDENCYPART_ARC
(3,4),1.0679 # DEPENDENCYPART_ARC
(3,5),-0.940062 # DEPENDENCYPART_ARC
(3,6),-1.65804 # DEPENDENCYPART_ARC
(3,7),-2.95351 # DEPENDENCYPART_ARC
(3,8),-1.6745 # DEPENDENCYPART_ARC
(3,9),-0.567365 # DEPENDENCYPART_ARC
(3,10),-1.37208 # DEPENDENCYPART_ARC
(3,11),-1.39011 # DEPENDENCYPART_ARC
(3,12),-1.85142 # DEPENDENCYPART_ARC
(3,13),-1.32555 # DEPENDENCYPART_ARC
(3,14),-0.388758 # DEPENDENCYPART_ARC
(4,1),-0.76001 # DEPENDENCYPART_ARC
(4,2),-1.03911 # DEPENDENCYPART_ARC
(4,3),1.14347 # DEPENDENCYPART_ARC
(4,5),0.383779 # DEPENDENCYPART_ARC
(4,6),-0.25868 # DEPENDENCYPART_ARC
(4,7),0.0568295 # DEPENDENCYPART_ARC
(4,8),-0.758474 # DEPENDENCYPART_ARC
(4,9),-0.55283 # DEPENDENCYPART_ARC
(4,10),-0.821036 # DEPENDENCYPART_ARC
(4,11),-0.794661 # DEPENDENCYPART_ARC
(4,12),-0.792643 # DEPENDENCYPART_ARC
(4,13),-1.1254 # DEPENDENCYPART_ARC
(4,14),-0.495007 # DEPENDENCYPART_ARC
(5,1),-0.68003 # DEPENDENCYPART_ARC
(5,2),-1.39223 # DEPENDENCYPART_ARC
(5,3),0.849761 # DEPENDENCYPART_ARC
(5,4),2.18034 # DEPENDENCYPART_ARC
(5,6),2.21306 # DEPENDENCYPART_ARC
(5,7),0.0486591 # DEPENDENCYPART_ARC
(5,8),0.645584 # DEPENDENCYPART_ARC
(5,9),-0.561458 # DEPENDENCYPART_ARC
(5,10),-0.346262 # DEPENDENCYPART_ARC
(5,11),-0.508833 # DEPENDENCYPART_ARC
(5,12),-0.512633 # DEPENDENCYPART_ARC
(5,13),0.135998 # DEPENDENCYPART_ARC
(5,14),-1.11134 # DEPENDENCYPART_ARC
(6,1),-2.14219 # DEPENDENCYPART_ARC
(6,2),-2.24127 # DEPENDENCYPART_ARC
(6,3),-1.30331 # DEPENDENCYPART_ARC
(6,4),-0.505345 # DEPENDENCYPART_ARC
(6,5),-0.74006 # DEPENDENCYPART_ARC
(6,7),2.13775 # DEPENDENCYPART_ARC
(6,8),-0.313659 # DEPENDENCYPART_ARC
(6,9),-0.42437 # DEPENDENCYPART_ARC
(6,10),-0.748998 # DEPENDENCYPART_ARC
(6,11),-0.757197 # DEPENDENCYPART_ARC
(6,12),-0.835727 # DEPENDENCYPART_ARC
(6,13),-0.898877 # DEPENDENCYPART_ARC
(6,14),-0.551184 # DEPENDENCYPART_ARC
(7,1),-0.746808 # DEPENDENCYPART_ARC
(7,2),-1.51474 # DEPENDENCYPART_ARC
(7,3),-0.597963 # DEPENDENCYPART_ARC
(7,4),-0.969735 # DEPENDENCYPART_ARC
(7,5),-0.206292 # DEPENDENCYPART_ARC
(7,6),0.656442 # DEPENDENCYPART_ARC
(7,8),-1.05308 # DEPENDENCYPART_ARC
(7,9),-0.287921 # DEPENDENCYPART_ARC
(7,10),-2.17742 # DEPENDENCYPART_ARC
(7,11),-1.40547 # DEPENDENCYPART_ARC
(7,12),-1.6189 # DEPENDENCYPART_ARC
(7,13),-1.83715 # DEPENDENCYPART_ARC
(7,14),-0.820235 # DEPENDENCYPART_ARC
(8,1),-1.12782 # DEPENDENCYPART_ARC
(8,2),-1.25979 # DEPENDENCYPART_ARC
(8,3),-0.555044 # DEPENDENCYPART_ARC
(8,4),-0.361788 # DEPENDENCYPART_ARC
(8,5),0.565821 # DEPENDENCYPART_ARC
(8,6),1.38845 # DEPENDENCYPART_ARC
(8,7),0.401114 # DEPENDENCYPART_ARC
(8,9),1.49978 # DEPENDENCYPART_ARC
(8,10),-1.8677 # DEPENDENCYPART_ARC
(8,11),-0.953594 # DEPENDENCYPART_ARC
(8,12),-1.22627 # DEPENDENCYPART_ARC
(8,13),-1.63857 # DEPENDENCYPART_ARC
(8,14),-0.0792301 # DEPENDENCYPART_ARC
(9,1),-0.926537 # DEPENDENCYPART_ARC
(9,2),-1.42254 # DEPENDENCYPART_ARC
(9,3),-0.891464 # DEPENDENCYPART_ARC
(9,4),-1.00565 # DEPENDENCYPART_ARC
(9,5),-0.590187 # DEPENDENCYPART_ARC
(9,6),-0.604737 # DEPENDENCYPART_ARC
(9,7),-0.639013 # DEPENDENCYPART_ARC
(9,8),-0.267401 # DEPENDENCYPART_ARC
(9,10),-0.358707 # DEPENDENCYPART_ARC
(9,11),-0.891603 # DEPENDENCYPART_ARC
(9,12),-0.508915 # DEPENDENCYPART_ARC
(9,13),-0.881578 # DEPENDENCYPART_ARC
(9,14),-0.574178 # DEPENDENCYPART_ARC
(10,1),-2.26631 # DEPENDENCYPART_ARC
(10,2),-1.69559 # DEPENDENCYPART_ARC
(10,3),-3.28708 # DEPENDENCYPART_ARC
(10,4),-1.70084 # DEPENDENCYPART_ARC
(10,5),-1.11666 # DEPENDENCYPART_ARC
(10,6),-1.6095 # DEPENDENCYPART_ARC
(10,7),-1.43441 # DEPENDENCYPART_ARC
(10,8),-3.03429 # DEPENDENCYPART_ARC
(10,9),0.124044 # DEPENDENCYPART_ARC
(10,11),-0.776418 # DEPENDENCYPART_ARC
(10,12),-2.13312 # DEPENDENCYPART_ARC
(10,13),-2.0395 # DEPENDENCYPART_ARC
(10,14),-1.01944 # DEPENDENCYPART_ARC
(11,1),-1.09528 # DEPENDENCYPART_ARC
(11,2),-1.65051 # DEPENDENCYPART_ARC
(11,3),-2.03593 # DEPENDENCYPART_ARC
(11,4),-0.47259 # DEPENDENCYPART_ARC
(11,5),-0.731826 # DEPENDENCYPART_ARC
(11,6),-0.984899 # DEPENDENCYPART_ARC
(11,7),-0.85749 # DEPENDENCYPART_ARC
(11,8),-1.47678 # DEPENDENCYPART_ARC
(11,9),-0.968117 # DEPENDENCYPART_ARC
(11,10),0.0572869 # DEPENDENCYPART_ARC
(11,12),0.208256 # DEPENDENCYPART_ARC
(11,13),-0.732368 # DEPENDENCYPART_ARC
(11,14),-0.333234 # DEPENDENCYPART_ARC
(12,1),-0.891071 # DEPENDENCYPART_ARC
(12,2),-2.03719 # DEPENDENCYPART_ARC
(12,3),-0.581556 # DEPENDENCYPART_ARC
(12,4),-0.81758 # DEPENDENCYPART_ARC
(12,5),-0.55952 # DEPENDENCYPART_ARC
(12,6),-0.0993703 # DEPENDENCYPART_ARC
(12,7),-1.02383 # DEPENDENCYPART_ARC
(12,8),0.337088 # DEPENDENCYPART_ARC
(12,9),-1.00164 # DEPENDENCYPART_ARC
(12,10),1.20171 # DEPENDENCYPART_ARC
(12,11),1.29542 # DEPENDENCYPART_ARC
(12,13),-0.742833 # DEPENDENCYPART_ARC
(12,14),-0.416976 # DEPENDENCYPART_ARC
(13,1),-1.69767 # DEPENDENCYPART_ARC
(13,2),-1.84138 # DEPENDENCYPART_ARC
(13,3),-1.74616 # DEPENDENCYPART_ARC
(13,4),-1.46492 # DEPENDENCYPART_ARC
(13,5),-0.516142 # DEPENDENCYPART_ARC
(13,6),-0.458074 # DEPENDENCYPART_ARC
(13,7),-1.75488 # DEPENDENCYPART_ARC
(13,8),-2.57537 # DEPENDENCYPART_ARC
(13,9),-1.10568 # DEPENDENCYPART_ARC
(13,10),-2.68699 # DEPENDENCYPART_ARC
(13,11),0.238284 # DEPENDENCYPART_ARC
(13,12),2.36542 # DEPENDENCYPART_ARC
(13,14),2.06885 # DEPENDENCYPART_ARC
(14,1),-1.3066 # DEPENDENCYPART_ARC
(14,2),-1.53429 # DEPENDENCYPART_ARC
(14,3),-1.69637 # DEPENDENCYPART_ARC
(14,4),-1.61871 # DEPENDENCYPART_ARC
(14,5),-1.03173 # DEPENDENCYPART_ARC
(14,6),-1.5455 # DEPENDENCYPART_ARC
(14,7),-1.5204 # DEPENDENCYPART_ARC
(14,8),-1.72666 # DEPENDENCYPART_ARC
(14,9),-1.41979 # DEPENDENCYPART_ARC
(14,10),-1.09387 # DEPENDENCYPART_ARC
(14,11),-0.694585 # DEPENDENCYPART_ARC
(14,12),-0.752664 # DEPENDENCYPART_ARC
(14,13),-0.327802 # DEPENDENCYPART_ARC
