# _root_ erresistentzia talde tipitan antolatzen zen han_hemenka , baina gure jendeak ez zuen apenas harmarik enperadoreari aurre_egiteko , eta bere harmada handiak bere larderia ezarri zuen nahinon .
#goldHeads=4,4,2,8,4,4,6,0,10,12,12,18,12,12,16,12,16,8,20,24,20,23,24,18,24,24,26,
#predictedHeads=4,4,2,8,4,4,6,0,10,12,12,8,12,12,16,18,16,0,20,24,20,23,24,18,24,24,26,
(0,1),0.3789 # DEPENDENCYPART_ARC
(0,2),-0.831255 # DEPENDENCYPART_ARC
(0,3),-0.756743 # DEPENDENCYPART_ARC
(0,4),0.168746 # DEPENDENCYPART_ARC
(0,5),-0.435109 # DEPENDENCYPART_ARC
(0,6),-0.637641 # DEPENDENCYPART_ARC
(0,7),-0.818629 # DEPENDENCYPART_ARC
(0,8),1.8178 # DEPENDENCYPART_ARC
(0,9),-1.14237 # DEPENDENCYPART_ARC
(0,10),-1.90516 # DEPENDENCYPART_ARC
(0,11),-0.753707 # DEPENDENCYPART_ARC
(0,12),0.453058 # DEPENDENCYPART_ARC
(0,13),-0.717621 # DEPENDENCYPART_ARC
(0,14),-1.63272 # DEPENDENCYPART_ARC
(0,15),-1.45387 # DEPENDENCYPART_ARC
(0,16),-1.28106 # DEPENDENCYPART_ARC
(0,17),-0.706194 # DEPENDENCYPART_ARC
(0,18),0.80569 # DEPENDENCYPART_ARC
(0,19),-1.75851 # DEPENDENCYPART_ARC
(0,20),-2.01299 # DEPENDENCYPART_ARC
(0,21),-1.8932 # DEPENDENCYPART_ARC
(0,22),-2.11844 # DEPENDENCYPART_ARC
(0,23),-2.22894 # DEPENDENCYPART_ARC
(0,24),-0.474095 # DEPENDENCYPART_ARC
(0,25),-1.5212 # DEPENDENCYPART_ARC
(0,26),-1.04842 # DEPENDENCYPART_ARC
(0,27),-3.21261 # DEPENDENCYPART_ARC
(1,2),-0.652111 # DEPENDENCYPART_ARC
(1,3),-2.17456 # DEPENDENCYPART_ARC
(1,4),-1.9857 # DEPENDENCYPART_ARC
(1,5),-2.24273 # DEPENDENCYPART_ARC
(1,6),-1.64857 # DEPENDENCYPART_ARC
(1,7),-2.13778 # DEPENDENCYPART_ARC
(1,8),-1.21522 # DEPENDENCYPART_ARC
(1,9),-2.5407 # DEPENDENCYPART_ARC
(1,10),-2.46484 # DEPENDENCYPART_ARC
(1,11),-2.8777 # DEPENDENCYPART_ARC
(1,12),-2.44973 # DEPENDENCYPART_ARC
(1,13),-1.84631 # DEPENDENCYPART_ARC
(1,14),-3.00286 # DEPENDENCYPART_ARC
(1,15),-2.79248 # DEPENDENCYPART_ARC
(1,16),-2.61847 # DEPENDENCYPART_ARC
(1,17),-2.94335 # DEPENDENCYPART_ARC
(1,18),-2.07654 # DEPENDENCYPART_ARC
(1,19),-3.8649 # DEPENDENCYPART_ARC
(1,20),-3.18464 # DEPENDENCYPART_ARC
(1,21),-3.73631 # DEPENDENCYPART_ARC
(1,22),-3.77134 # DEPENDENCYPART_ARC
(1,23),-3.11485 # DEPENDENCYPART_ARC
(1,24),-3.73024 # DEPENDENCYPART_ARC
(1,25),-3.12514 # DEPENDENCYPART_ARC
(1,26),-2.20465 # DEPENDENCYPART_ARC
(1,27),-2.57938 # DEPENDENCYPART_ARC
(2,1),0.610414 # DEPENDENCYPART_ARC
(2,3),2.82152 # DEPENDENCYPART_ARC
(2,4),-0.521404 # DEPENDENCYPART_ARC
(2,5),-0.558477 # DEPENDENCYPART_ARC
(2,6),-0.579423 # DEPENDENCYPART_ARC
(2,7),-0.526859 # DEPENDENCYPART_ARC
(2,8),-0.25159 # DEPENDENCYPART_ARC
(2,9),-0.465256 # DEPENDENCYPART_ARC
(2,10),-0.608633 # DEPENDENCYPART_ARC
(2,11),-1.07209 # DEPENDENCYPART_ARC
(2,12),-1.23274 # DEPENDENCYPART_ARC
(2,13),-0.72871 # DEPENDENCYPART_ARC
(2,14),-0.897596 # DEPENDENCYPART_ARC
(2,15),-0.996698 # DEPENDENCYPART_ARC
(2,16),-1.09681 # DEPENDENCYPART_ARC
