# _root_ honi oxidazio-prozesu bat eta , ondoren kondentsazioko beste bat jarraikitzen bazaio , hortik konposatu kimiko edo eraldaketaren produktu mugatu bat sortuko da .
#goldHeads=10,10,2,21,4,10,10,9,10,4,10,11,21,16,14,21,18,16,18,18,0,21,22,
#predictedHeads=10,10,2,0,4,10,10,7,10,4,10,11,21,16,14,10,16,16,18,18,19,21,22,
(0,1),-0.316987 # DEPENDENCYPART_ARC
(0,2),-0.581351 # DEPENDENCYPART_ARC
(0,3),-1.04775 # DEPENDENCYPART_ARC
(0,4),0.107613 # DEPENDENCYPART_ARC
(0,5),-0.890501 # DEPENDENCYPART_ARC
(0,6),-0.198251 # DEPENDENCYPART_ARC
(0,7),-0.867841 # DEPENDENCYPART_ARC
(0,8),-1.35531 # DEPENDENCYPART_ARC
(0,9),-1.22757 # DEPENDENCYPART_ARC
(0,10),-0.588832 # DEPENDENCYPART_ARC
(0,11),-0.830215 # DEPENDENCYPART_ARC
(0,12),-0.579154 # DEPENDENCYPART_ARC
(0,13),-0.320112 # DEPENDENCYPART_ARC
(0,14),-1.58498 # DEPENDENCYPART_ARC
(0,15),-0.741989 # DEPENDENCYPART_ARC
(0,16),-1.06327 # DEPENDENCYPART_ARC
(0,17),-1.59697 # DEPENDENCYPART_ARC
(0,18),-1.7153 # DEPENDENCYPART_ARC
(0,19),-0.994663 # DEPENDENCYPART_ARC
(0,20),-1.27667 # DEPENDENCYPART_ARC
(0,21),0.0158378 # DEPENDENCYPART_ARC
(0,22),-1.79689 # DEPENDENCYPART_ARC
(0,23),-2.69084 # DEPENDENCYPART_ARC
(1,2),-1.13768 # DEPENDENCYPART_ARC
(1,3),-1.35569 # DEPENDENCYPART_ARC
(1,4),-1.55376 # DEPENDENCYPART_ARC
(1,5),-1.53159 # DEPENDENCYPART_ARC
(1,6),-1.72532 # DEPENDENCYPART_ARC
(1,7),-2.27158 # DEPENDENCYPART_ARC
(1,8),-1.13042 # DEPENDENCYPART_ARC
(1,9),-1.78468 # DEPENDENCYPART_ARC
(1,10),-2.34693 # DEPENDENCYPART_ARC
(1,11),-2.74103 # DEPENDENCYPART_ARC
(1,12),-1.88841 # DEPENDENCYPART_ARC
(1,13),-2.00737 # DEPENDENCYPART_ARC
(1,14),-2.60301 # DEPENDENCYPART_ARC
(1,15),-2.68027 # DEPENDENCYPART_ARC
(1,16),-1.90084 # DEPENDENCYPART_ARC
(1,17),-2.42029 # DEPENDENCYPART_ARC
(1,18),-2.41816 # DEPENDENCYPART_ARC
(1,19),-2.08107 # DEPENDENCYPART_ARC
(1,20),-1.69404 # DEPENDENCYPART_ARC
(1,21),-2.26349 # DEPENDENCYPART_ARC
(1,22),-2.66869 # DEPENDENCYPART_ARC
(1,23),-2.70407 # DEPENDENCYPART_ARC
(2,1),-0.376086 # DEPENDENCYPART_ARC
(2,3),2.58945 # DEPENDENCYPART_ARC
(2,4),-0.191238 # DEPENDENCYPART_ARC
(2,5),-0.644051 # DEPENDENCYPART_ARC
(2,6),-0.950275 # DEPENDENCYPART_ARC
(2,7),-0.898121 # DEPENDENCYPART_ARC
(2,8),-0.959589 # DEPENDENCYPART_ARC
(2,9),0.284066 # DEPENDENCYPART_ARC
(2,10),-1.18887 # DEPENDENCYPART_ARC
(2,11),-1.79792 # DEPENDENCYPART_ARC
(2,12),-1.24695 # DEPENDENCYPART_ARC
(2,13),-1.00083 # DEPENDENCYPART_ARC
(2,14),-1.6054 # DEPENDENCYPART_ARC
(2,15),-2.67855 # DEPENDENCYPART_ARC
(2,16),-0.940328 # DEPENDENCYPART_ARC
(2,17),-1.39154 # DEPENDENCYPART_ARC
(2,18),-1.61827 # DEPENDENCYPART_ARC
(2,19),-0.73807 # DEPENDENCYPART_ARC
(2,20),-0.117142 # DEPENDENCYPART_ARC
(2,21),-1.25131 # DEPENDENCYPART_ARC
(2,22),-1.6445 # DEPENDENCYPART_ARC
(2,23),-1.53616 # DEPENDENCYPART_ARC
(3,1),-0.670009 # DEPENDENCYPART_ARC
(3,2),-0.0485471 # DEPENDENCYPART_ARC
(3,4),0.23487 # DEPENDENCYPART_ARC
(3,5),-0.186679 # DEPENDENCYPART_ARC
(3,6),-0.808196 # DEPENDENCYPART_ARC
(3,7),-1.40814 # DEPENDENCYPART_ARC
(3,8),-1.12554 # DEPENDENCYPART_ARC
(3,9),-1.52586 # DEPENDENCYPART_ARC
(3,10),-2.01479 # DEPENDENCYPART_ARC
(3,11),-2.27833 # DEPENDENCYPART_ARC
(3,12),-1.02713 # DEPENDENCYPART_ARC
(3,13),-1.19387 # DEPENDENCYPART_ARC
(3,14),-1.63641 # DEPENDENCYPART_ARC
(3,15),-1.80981 # DEPENDENCYPART_ARC
(3,16),-1.2296 # DEPENDENCYPART_ARC
(3,17),-2.01391 # DEPENDENCYPART_ARC
(3,18),-1.79623 # DEPENDENCYPART_ARC
(3,19),-1.81008 # DEPENDENCYPART_ARC
(3,20),-1.75406 # DEPENDENCYPART_ARC
(3,21),-2.0699 # DEPENDENCYPART_ARC
(3,22),-1.89973 # DEPENDENCYPART_ARC
(3,23),-1.62318 # DEPENDENCYPART_ARC
(4,1),-0.508114 # DEPENDENCYPART_ARC
(4,2),0.500497 # DEPENDENCYPART_ARC
(4,3),0.573056 # DEPENDENCYPART_ARC
(4,5),1.791 # DEPENDENCYPART_ARC
(4,6),0.018728 # DEPENDENCYPART_ARC
(4,7),-0.118427 # DEPENDENCYPART_ARC
(4,8),-0.163789 # DEPENDENCYPART_ARC
(4,9),-0.228597 # DEPENDENCYPART_ARC
(4,10),-0.00772277 # DEPENDENCYPART_ARC
(4,11),-0.279099 # DEPENDENCYPART_ARC
(4,12),-0.467609 # DEPENDENCYPART_ARC
(4,13),-0.487691 # DEPENDENCYPART_ARC
(4,14),-1.15475 # DEPENDENCYPART_ARC
(4,15),-0.769929 # DEPENDENCYPART_ARC
(4,16),-0.542468 # DEPENDENCYPART_ARC
(4,17),-1.24302 # DEPENDENCYPART_ARC
(4,18),-1.04066 # DEPENDENCYPART_ARC
(4,19),-0.928854 # DEPENDENCYPART_ARC
(4,20),-0.447255 # DEPENDENCYPART_ARC
(4,21),-0.62838 # DEPENDENCYPART_ARC
(4,22),-0.599105 # DEPENDENCYPART_ARC
(4,23),-1.17566 # DEPENDENCYPART_ARC
(5,1),-2.16831 # DEPENDENCYPART_ARC
(5,2),-1.38682 # DEPENDENCYPART_ARC
(5,3),-1.88339 # DEPENDENCYPART_ARC
(5,4),-0.755481 # DEPENDENCYPART_ARC
(5,6),-0.904659 # DEPENDENCYPART_ARC
(5,7),-1.30714 # DEPENDENCYPART_ARC
(5,8),-1.52811 # DEPENDENCYPART_ARC
(5,9),-1.64939 # DEPENDENCYPART_ARC
(5,10),-1.31145 # DEPENDENCYPART_ARC
(5,11),-1.15701 # DEPENDENCYPART_ARC
(5,12),-1.00847 # DEPENDENCYPART_ARC
(5,13),-2.02025 # DEPENDENCYPART_ARC
(5,14),-1.72667 # DEPENDENCYPART_ARC
(5,15),-1.56264 # DEPENDENCYPART_ARC
(5,16),-1.2139 # DEPENDENCYPART_ARC
(5,17),-1.9471 # DEPENDENCYPART_ARC
(5,18),-2.0794 # DEPENDENCYPART_ARC
(5,19),-2.0901 # DEPENDENCYPART_ARC
(5,20),-1.90341 # DEPENDENCYPART_ARC
(5,21),-2.03472 # DEPENDENCYPART_ARC
(5,22),-1.19071 # DEPENDENCYPART_ARC
(5,23),-1.75719 # DEPENDENCYPART_ARC
(6,1),-1.17025 # DEPENDENCYPART_ARC
(6,2),-0.929786 # DEPENDENCYPART_ARC
(6,3),-0.831969 # DEPENDENCYPART_ARC
(6,4),-0.688937 # DEPENDENCYPART_ARC
(6,5),-0.0339379 # DEPENDENCYPART_ARC
(6,7),-0.287048 # DEPENDENCYPART_ARC
(6,8),-0.772391 # DEPENDENCYPART_ARC
(6,9),-1.12509 # DEPENDENCYPART_ARC
(6,10),-1.36941 # DEPENDENCYPART_ARC
(6,11),-1.1043 # DEPENDENCYPART_ARC
(6,12),-0.593974 # DEPENDENCYPART_ARC
(6,13),-0.943395 # DEPENDENCYPART_ARC
(6,14),-1.64533 # DEPENDENCYPART_ARC
(6,15),-1.78528 # DEPENDENCYPART_ARC
(6,16),-1.19442 # DEPENDENCYPART_ARC
(6,17),-1.58563 # DEPENDENCYPART_ARC
(6,18),-1.60074 # DEPENDENCYPART_ARC
(6,19),-1.88451 # DEPENDENCYPART_ARC
(6,20),-1.68038 # DEPENDENCYPART_ARC
(6,21),-1.77705 # DEPENDENCYPART_ARC
(6,22),-1.50229 # DEPENDENCYPART_ARC
(6,23),-1.1552 # DEPENDENCYPART_ARC
(7,1),-1.46267 # DEPENDENCYPART_ARC
(7,2),-0.778216 # DEPENDENCYPART_ARC
(7,3),-1.11577 # DEPENDENCYPART_ARC
(7,4),-0.404413 # DEPENDENCYPART_ARC
(7,5),-1.06607 # DEPENDENCYPART_ARC
(7,6),0.117023 # DEPENDENCYPART_ARC
(7,8),1.39611 # DEPENDENCYPART_ARC
(7,9),0.729786 # DEPENDENCYPART_ARC
(7,10),-1.04332 # DEPENDENCYPART_ARC
(7,11),-1.03972 # DEPENDENCYPART_ARC
