# _root_ " askatasunak eta demokraziak ez dezakete gal , haietan baita zuzenbidea , justizia eta garapena .
#goldHeads=0,3,0,3,7,7,0,7,10,7,14,11,14,10,14,15,
#predictedHeads=0,3,7,3,7,7,0,7,10,7,10,11,14,10,14,15,
(0,1),1.38705 # DEPENDENCYPART_ARC
(0,2),-0.607033 # DEPENDENCYPART_ARC
(0,3),-0.859989 # DEPENDENCYPART_ARC
(0,4),-0.75584 # DEPENDENCYPART_ARC
(0,5),-1.22278 # DEPENDENCYPART_ARC
(0,6),-0.991093 # DEPENDENCYPART_ARC
(0,7),-0.435346 # DEPENDENCYPART_ARC
(0,8),-0.681713 # DEPENDENCYPART_ARC
(0,9),-1.37311 # DEPENDENCYPART_ARC
(0,10),-0.991372 # DEPENDENCYPART_ARC
(0,11),-0.919363 # DEPENDENCYPART_ARC
(0,12),-0.622799 # DEPENDENCYPART_ARC
(0,13),-0.799148 # DEPENDENCYPART_ARC
(0,14),-1.25146 # DEPENDENCYPART_ARC
(0,15),-1.331 # DEPENDENCYPART_ARC
(0,16),-1.86969 # DEPENDENCYPART_ARC
(1,2),-1.79836 # DEPENDENCYPART_ARC
(1,3),-2.19399 # DEPENDENCYPART_ARC
(1,4),-2.25031 # DEPENDENCYPART_ARC
(1,5),-2.28573 # DEPENDENCYPART_ARC
(1,6),-1.9534 # DEPENDENCYPART_ARC
(1,7),-2.00815 # DEPENDENCYPART_ARC
(1,8),-1.51398 # DEPENDENCYPART_ARC
(1,9),-2.73252 # DEPENDENCYPART_ARC
(1,10),-1.99676 # DEPENDENCYPART_ARC
(1,11),-2.62377 # DEPENDENCYPART_ARC
(1,12),-1.906 # DEPENDENCYPART_ARC
(1,13),-3.09984 # DEPENDENCYPART_ARC
(1,14),-2.80577 # DEPENDENCYPART_ARC
(1,15),-2.88056 # DEPENDENCYPART_ARC
(1,16),-2.2606 # DEPENDENCYPART_ARC
(2,1),0.126217 # DEPENDENCYPART_ARC
(2,3),-0.599182 # DEPENDENCYPART_ARC
(2,4),-1.524 # DEPENDENCYPART_ARC
(2,5),-2.15633 # DEPENDENCYPART_ARC
(2,6),-2.29252 # DEPENDENCYPART_ARC
(2,7),-1.53816 # DEPENDENCYPART_ARC
(2,8),-1.44935 # DEPENDENCYPART_ARC
(2,9),-2.44684 # DEPENDENCYPART_ARC
(2,10),-2.90257 # DEPENDENCYPART_ARC
(2,11),-2.53042 # DEPENDENCYPART_ARC
(2,12),-1.44911 # DEPENDENCYPART_ARC
(2,13),-2.67582 # DEPENDENCYPART_ARC
(2,14),-2.36729 # DEPENDENCYPART_ARC
(2,15),-3.38891 # DEPENDENCYPART_ARC
(2,16),-1.29986 # DEPENDENCYPART_ARC
(3,1),-0.927331 # DEPENDENCYPART_ARC
(3,2),2.43332 # DEPENDENCYPART_ARC
(3,4),2.82609 # DEPENDENCYPART_ARC
(3,5),-0.124048 # DEPENDENCYPART_ARC
(3,6),-0.177981 # DEPENDENCYPART_ARC
(3,7),-0.0897316 # DEPENDENCYPART_ARC
(3,8),-0.356804 # DEPENDENCYPART_ARC
(3,9),-1.15352 # DEPENDENCYPART_ARC
(3,10),-0.124434 # DEPENDENCYPART_ARC
(3,11),-0.447764 # DEPENDENCYPART_ARC
(3,12),-0.918545 # DEPENDENCYPART_ARC
(3,13),-0.869062 # DEPENDENCYPART_ARC
(3,14),-0.778863 # DEPENDENCYPART_ARC
(3,15),-0.224337 # DEPENDENCYPART_ARC
(3,16),-1.59511 # DEPENDENCYPART_ARC
(4,1),-2.01998 # DEPENDENCYPART_ARC
(4,2),-2.96366 # DEPENDENCYPART_ARC
(4,3),-0.0523276 # DEPENDENCYPART_ARC
(4,5),-1.0923 # DEPENDENCYPART_ARC
(4,6),-1.59799 # DEPENDENCYPART_ARC
(4,7),-1.56848 # DEPENDENCYPART_ARC
(4,8),-1.41574 # DEPENDENCYPART_ARC
(4,9),-2.23601 # DEPENDENCYPART_ARC
(4,10),-2.79288 # DEPENDENCYPART_ARC
(4,11),-2.51648 # DEPENDENCYPART_ARC
(4,12),-1.39815 # DEPENDENCYPART_ARC
(4,13),-2.61057 # DEPENDENCYPART_ARC
(4,14),-1.96623 # DEPENDENCYPART_ARC
(4,15),-3.21322 # DEPENDENCYPART_ARC
(4,16),-1.28363 # DEPENDENCYPART_ARC
(5,1),-1.37588 # DEPENDENCYPART_ARC
(5,2),-1.4409 # DEPENDENCYPART_ARC
(5,3),-1.01531 # DEPENDENCYPART_ARC
(5,4),-0.561021 # DEPENDENCYPART_ARC
(5,6),-0.806193 # DEPENDENCYPART_ARC
(5,7),-1.07851 # DEPENDENCYPART_ARC
(5,8),-0.306103 # DEPENDENCYPART_ARC
(5,9),-1.25348 # DEPENDENCYPART_ARC
(5,10),-1.72792 # DEPENDENCYPART_ARC
(5,11),-1.48698 # DEPENDENCYPART_ARC
(5,12),-0.655629 # DEPENDENCYPART_ARC
(5,13),-1.56672 # DEPENDENCYPART_ARC
(5,14),-1.06753 # DEPENDENCYPART_ARC
(5,15),-1.6097 # DEPENDENCYPART_ARC
(5,16),-0.770031 # DEPENDENCYPART_ARC
(6,1),-1.23243 # DEPENDENCYPART_ARC
(6,2),-0.205519 # DEPENDENCYPART_ARC
(6,3),-0.831877 # DEPENDENCYPART_ARC
(6,4),0.207595 # DEPENDENCYPART_ARC
(6,5),0.313849 # DEPENDENCYPART_ARC
(6,7),-0.481693 # DEPENDENCYPART_ARC
(6,8),-0.177775 # DEPENDENCYPART_ARC
(6,9),-1.24932 # DEPENDENCYPART_ARC
(6,10),-0.223658 # DEPENDENCYPART_ARC
(6,11),-2.48086 # DEPENDENCYPART_ARC
(6,12),-0.785523 # DEPENDENCYPART_ARC
(6,13),-2.81188 # DEPENDENCYPART_ARC
(6,14),-1.54713 # DEPENDENCYPART_ARC
(6,15),-2.52171 # DEPENDENCYPART_ARC
(6,16),-1.17066 # DEPENDENCYPART_ARC
(7,1),-1.08255 # DEPENDENCYPART_ARC
(7,2),1.11274 # DEPENDENCYPART_ARC
(7,3),0.471037 # DEPENDENCYPART_ARC
(7,4),1.84816 # DEPENDENCYPART_ARC
(7,5),1.58536 # DEPENDENCYPART_ARC
(7,6),1.5972 # DEPENDENCYPART_ARC
(7,8),1.7141 # DEPENDENCYPART_ARC
(7,9),-0.00408685 # DEPENDENCYPART_ARC
(7,10),0.339719 # DEPENDENCYPART_ARC
(7,11),0.225547 # DEPENDENCYPART_ARC
(7,12),-0.149872 # DEPENDENCYPART_ARC
(7,13),-0.777305 # DEPENDENCYPART_ARC
(7,14),-0.311305 # DEPENDENCYPART_ARC
(7,15),-0.663801 # DEPENDENCYPART_ARC
(7,16),-0.399136 # DEPENDENCYPART_ARC
(8,1),-1.29639 # DEPENDENCYPART_ARC
(8,2),-0.849728 # DEPENDENCYPART_ARC
(8,3),-0.632201 # DEPENDENCYPART_ARC
(8,4),-0.620802 # DEPENDENCYPART_ARC
(8,5),-0.671432 # DEPENDENCYPART_ARC
(8,6),-0.601124 # DEPENDENCYPART_ARC
(8,7),0.282286 # DEPENDENCYPART_ARC
(8,9),-0.416498 # DEPENDENCYPART_ARC
(8,10),-0.0766801 # DEPENDENCYPART_ARC
(8,11),-0.390705 # DEPENDENCYPART_ARC
(8,12),-0.444952 # DEPENDENCYPART_ARC
(8,13),-0.711476 # DEPENDENCYPART_ARC
(8,14),-0.940537 # DEPENDENCYPART_ARC
(8,15),-0.735604 # DEPENDENCYPART_ARC
(8,16),-0.744137 # DEPENDENCYPART_ARC
(9,1),-1.27834 # DEPENDENCYPART_ARC
(9,2),-1.82679 # DEPENDENCYPART_ARC
(9,3),-0.469789 # DEPENDENCYPART_ARC
(9,4),-1.6062 # DEPENDENCYPART_ARC
(9,5),-0.328774 # DEPENDENCYPART_ARC
(9,6),-0.872556 # DEPENDENCYPART_ARC
(9,7),-0.197889 # DEPENDENCYPART_ARC
(9,8),0.288705 # DEPENDENCYPART_ARC
(9,10),-0.0909497 # DEPENDENCYPART_ARC
(9,11),-1.00801 # DEPENDENCYPART_ARC
(9,12),-0.412044 # DEPENDENCYPART_ARC
(9,13),-1.26238 # DEPENDENCYPART_ARC
(9,14),-1.13156 # DEPENDENCYPART_ARC
(9,15),-1.3707 # DEPENDENCYPART_ARC
(9,16),-0.816107 # DEPENDENCYPART_ARC
(10,1),-1.58121 # DEPENDENCYPART_ARC
(10,2),-0.509371 # DEPENDENCYPART_ARC
(10,3),-0.477233 # DEPENDENCYPART_ARC
(10,4),-0.0967059 # DEPENDENCYPART_ARC
(10,5),-0.115616 # DEPENDENCYPART_ARC
(10,6),-0.291213 # DEPENDENCYPART_ARC
(10,7),-0.736173 # DEPENDENCYPART_ARC
(10,8),-0.463024 # DEPENDENCYPART_ARC
(10,9),1.19225 # DEPENDENCYPART_ARC
(10,11),1.87116 # DEPENDENCYPART_ARC
(10,12),0.403897 # DEPENDENCYPART_ARC
(10,13),0.377942 # DEPENDENCYPART_ARC
(10,14),0.692021 # DEPENDENCYPART_ARC
(10,15),-0.187902 # DEPENDENCYPART_ARC
(10,16),-0.32156 # DEPENDENCYPART_ARC
(11,1),-1.90088 # DEPENDENCYPART_ARC
(11,2),-3.8501 # DEPENDENCYPART_ARC
(11,3),-0.70612 # DEPENDENCYPART_ARC
(11,4),-3.35483 # DEPENDENCYPART_ARC
(11,5),-1.01173 # DEPENDENCYPART_ARC
(11,6),-1.72961 # DEPENDENCYPART_ARC
(11,7),-1.28849 # DEPENDENCYPART_ARC
(11,8),-1.09786 # DEPENDENCYPART_ARC
(11,9),-1.96643 # DEPENDENCYPART_ARC
(11,10),-0.301775 # DEPENDENCYPART_ARC
(11,12),1.34796 # DEPENDENCYPART_ARC
(11,13),-0.57144 # DEPENDENCYPART_ARC
(11,14),-0.677232 # DEPENDENCYPART_ARC
(11,15),-2.0553 # DEPENDENCYPART_ARC
(11,16),-0.112439 # DEPENDENCYPART_ARC
(12,1),-1.60372 # DEPENDENCYPART_ARC
(12,2),-1.21011 # DEPENDENCYPART_ARC
(12,3),-0.955534 # DEPENDENCYPART_ARC
(12,4),-1.08817 # DEPENDENCYPART_ARC
(12,5),-1.12646 # DEPENDENCYPART_ARC
(12,6),-0.84173 # DEPENDENCYPART_ARC
(12,7),-0.858609 # DEPENDENCYPART_ARC
(12,8),-1.10829 # DEPENDENCYPART_ARC
(12,9),-1.14922 # DEPENDENCYPART_ARC
(12,10),-0.0809523 # DEPENDENCYPART_ARC
(12,11),-0.15767 # DEPENDENCYPART_ARC
(12,13),-0.287618 # DEPENDENCYPART_ARC
(12,14),-1.04765 # DEPENDENCYPART_ARC
(12,15),-0.4997 # DEPENDENCYPART_ARC
(12,16),-0.394735 # DEPENDENCYPART_ARC
(13,1),-2.10331 # DEPENDENCYPART_ARC
(13,2),-4.45379 # DEPENDENCYPART_ARC
(13,3),-1.212 # DEPENDENCYPART_ARC
(13,4),-4.13288 # DEPENDENCYPART_ARC
(13,5),-1.26896 # DEPENDENCYPART_ARC
(13,6),-2.04638 # DEPENDENCYPART_ARC
(13,7),-2.35904 # DEPENDENCYPART_ARC
(13,8),-1.67098 # DEPENDENCYPART_ARC
(13,9),-3.10663 # DEPENDENCYPART_ARC
(13,10),-2.02983 # DEPENDENCYPART_ARC
(13,11),-2.08521 # DEPENDENCYPART_ARC
(13,12),0.402542 # DEPENDENCYPART_ARC
(13,14),-0.422073 # DEPENDENCYPART_ARC
(13,15),-2.13656 # DEPENDENCYPART_ARC
(13,16),-0.790747 # DEPENDENCYPART_ARC
(14,1),-1.66008 # DEPENDENCYPART_ARC
(14,2),-0.199837 # DEPENDENCYPART_ARC
(14,3),-0.679763 # DEPENDENCYPART_ARC
(14,4),-0.530741 # DEPENDENCYPART_ARC
(14,5),-0.733333 # DEPENDENCYPART_ARC
(14,6),-0.991792 # DEPENDENCYPART_ARC
(14,7),-1.19852 # DEPENDENCYPART_ARC
(14,8),-1.53852 # DEPENDENCYPART_ARC
(14,9),-0.921644 # DEPENDENCYPART_ARC
(14,10),0.0662634 # DEPENDENCYPART_ARC
(14,11),0.969147 # DEPENDENCYPART_ARC
(14,12),-1.08371 # DEPENDENCYPART_ARC
(14,13),2.74631 # DEPENDENCYPART_ARC
(14,15),2.5512 # DEPENDENCYPART_ARC
(14,16),-0.059002 # DEPENDENCYPART_ARC
(15,1),-3.20592 # DEPENDENCYPART_ARC
(15,2),-4.40853 # DEPENDENCYPART_ARC
(15,3),-2.87591 # DEPENDENCYPART_ARC
(15,4),-4.05217 # DEPENDENCYPART_ARC
(15,5),-1.85021 # DEPENDENCYPART_ARC
(15,6),-2.8122 # DEPENDENCYPART_ARC
(15,7),-3.07623 # DEPENDENCYPART_ARC
(15,8),-2.77891 # DEPENDENCYPART_ARC
(15,9),-3.91738 # DEPENDENCYPART_ARC
(15,10),-2.91488 # DEPENDENCYPART_ARC
(15,11),-2.62541 # DEPENDENCYPART_ARC
(15,12),-2.05009 # DEPENDENCYPART_ARC
(15,13),-1.65123 # DEPENDENCYPART_ARC
(15,14),-0.823043 # DEPENDENCYPART_ARC
(15,16),1.89646 # DEPENDENCYPART_ARC
(16,1),-1.7154 # DEPENDENCYPART_ARC
(16,2),-1.82862 # DEPENDENCYPART_ARC
(16,3),-1.35735 # DEPENDENCYPART_ARC
(16,4),-1.7702 # DEPENDENCYPART_ARC
(16,5),-1.75903 # DEPENDENCYPART_ARC
(16,6),-1.31769 # DEPENDENCYPART_ARC
(16,7),-1.69889 # DEPENDENCYPART_ARC
(16,8),-1.44728 # DEPENDENCYPART_ARC
(16,9),-1.80257 # DEPENDENCYPART_ARC
(16,10),-1.11353 # DEPENDENCYPART_ARC
(16,11),-1.75076 # DEPENDENCYPART_ARC
(16,12),-1.34974 # DEPENDENCYPART_ARC
(16,13),-0.990882 # DEPENDENCYPART_ARC
(16,14),-0.960415 # DEPENDENCYPART_ARC
(16,15),-0.537879 # DEPENDENCYPART_ARC
