# _root_ gainera , ez da kasu honetan bakarrik ezagutzen zientziaren praktika , baina gutxi_batzuek bakarrik ezagutzen dituzte zientzia horren oinarri diren lege eta arauak .
#goldHeads=0,3,8,8,8,5,8,12,10,8,10,0,15,15,12,15,19,17,20,21,22,15,22,23,
#predictedHeads=0,3,8,8,8,5,8,12,10,8,10,0,15,15,12,15,19,17,20,21,22,15,22,23,
(0,1),1.68456 # DEPENDENCYPART_ARC
(0,2),-1.01955 # DEPENDENCYPART_ARC
(0,3),-0.591772 # DEPENDENCYPART_ARC
(0,4),-0.115247 # DEPENDENCYPART_ARC
(0,5),-0.939684 # DEPENDENCYPART_ARC
(0,6),-1.12086 # DEPENDENCYPART_ARC
(0,7),-0.497378 # DEPENDENCYPART_ARC
(0,8),-0.341267 # DEPENDENCYPART_ARC
(0,9),-1.06239 # DEPENDENCYPART_ARC
(0,10),-0.669877 # DEPENDENCYPART_ARC
(0,11),-0.790433 # DEPENDENCYPART_ARC
(0,12),1.71232 # DEPENDENCYPART_ARC
(0,13),-1.56258 # DEPENDENCYPART_ARC
(0,14),-0.738559 # DEPENDENCYPART_ARC
(0,15),-0.445173 # DEPENDENCYPART_ARC
(0,16),-0.543137 # DEPENDENCYPART_ARC
(0,17),-1.67964 # DEPENDENCYPART_ARC
(0,18),-1.36546 # DEPENDENCYPART_ARC
(0,19),-1.14385 # DEPENDENCYPART_ARC
(0,20),-0.795728 # DEPENDENCYPART_ARC
(0,21),-2.37987 # DEPENDENCYPART_ARC
(0,22),-1.42194 # DEPENDENCYPART_ARC
(0,23),-2.12731 # DEPENDENCYPART_ARC
(0,24),-3.07897 # DEPENDENCYPART_ARC
(1,2),-0.998277 # DEPENDENCYPART_ARC
(1,3),-2.37079 # DEPENDENCYPART_ARC
(1,4),-2.57166 # DEPENDENCYPART_ARC
(1,5),-3.02183 # DEPENDENCYPART_ARC
(1,6),-3.52747 # DEPENDENCYPART_ARC
(1,7),-2.79709 # DEPENDENCYPART_ARC
(1,8),-3.19655 # DEPENDENCYPART_ARC
(1,9),-3.30747 # DEPENDENCYPART_ARC
(1,10),-2.71209 # DEPENDENCYPART_ARC
(1,11),-3.23963 # DEPENDENCYPART_ARC
(1,12),-2.61366 # DEPENDENCYPART_ARC
(1,13),-3.40396 # DEPENDENCYPART_ARC
(1,14),-3.15355 # DEPENDENCYPART_ARC
(1,15),-3.75858 # DEPENDENCYPART_ARC
(1,16),-2.96055 # DEPENDENCYPART_ARC
(1,17),-3.86489 # DEPENDENCYPART_ARC
(1,18),-4.31776 # DEPENDENCYPART_ARC
(1,19),-3.23611 # DEPENDENCYPART_ARC
(1,20),-3.82065 # DEPENDENCYPART_ARC
(1,21),-4.06322 # DEPENDENCYPART_ARC
(1,22),-3.38988 # DEPENDENCYPART_ARC
(1,23),-3.3771 # DEPENDENCYPART_ARC
(1,24),-3.98408 # DEPENDENCYPART_ARC
(2,1),-0.0756284 # DEPENDENCYPART_ARC
(2,3),-0.936238 # DEPENDENCYPART_ARC
(2,4),-0.855144 # DEPENDENCYPART_ARC
(2,5),-1.19489 # DEPENDENCYPART_ARC
(2,6),-1.68202 # DEPENDENCYPART_ARC
(2,7),-1.76249 # DEPENDENCYPART_ARC
(2,8),-1.37125 # DEPENDENCYPART_ARC
(2,9),-1.58652 # DEPENDENCYPART_ARC
(2,10),-1.52359 # DEPENDENCYPART_ARC
(2,11),-1.29299 # DEPENDENCYPART_ARC
(2,12),-1.00438 # DEPENDENCYPART_ARC
(2,13),-1.78185 # DEPENDENCYPART_ARC
