# _root_ berrogei urte hor_nonbait kalkulatu zizkion , gizonak gaztaroa aspaldi utzi eta heldutasunaren goi_mailara heltzen direneko adina , nahiz_eta arintasun fisikoa jadanik gain_behera joan .
#goldHeads=2,4,4,0,4,5,10,10,10,11,16,13,14,11,14,2,16,0,23,19,23,23,4,23,
#predictedHeads=2,4,4,0,4,5,10,10,10,11,4,13,14,11,14,14,16,0,23,19,23,23,11,23,
(0,1),-0.44368 # DEPENDENCYPART_ARC
(0,2),-0.191725 # DEPENDENCYPART_ARC
(0,3),-0.281856 # DEPENDENCYPART_ARC
(0,4),0.317914 # DEPENDENCYPART_ARC
(0,5),-0.646605 # DEPENDENCYPART_ARC
(0,6),-0.622494 # DEPENDENCYPART_ARC
(0,7),-0.405994 # DEPENDENCYPART_ARC
(0,8),-0.552449 # DEPENDENCYPART_ARC
(0,9),-0.601934 # DEPENDENCYPART_ARC
(0,10),-1.07019 # DEPENDENCYPART_ARC
(0,11),-0.163605 # DEPENDENCYPART_ARC
(0,12),-1.11456 # DEPENDENCYPART_ARC
(0,13),-1.03219 # DEPENDENCYPART_ARC
(0,14),-0.788187 # DEPENDENCYPART_ARC
(0,15),-0.806337 # DEPENDENCYPART_ARC
(0,16),-1.51004 # DEPENDENCYPART_ARC
(0,17),-1.33916 # DEPENDENCYPART_ARC
(0,18),1.16059 # DEPENDENCYPART_ARC
(0,19),-1.76687 # DEPENDENCYPART_ARC
(0,20),-1.32148 # DEPENDENCYPART_ARC
(0,21),-0.986397 # DEPENDENCYPART_ARC
(0,22),-1.06246 # DEPENDENCYPART_ARC
(0,23),-2.74964 # DEPENDENCYPART_ARC
(0,24),-3.43111 # DEPENDENCYPART_ARC
(1,2),-0.511697 # DEPENDENCYPART_ARC
(1,3),-1.05973 # DEPENDENCYPART_ARC
(1,4),-1.6546 # DEPENDENCYPART_ARC
(1,5),-1.84215 # DEPENDENCYPART_ARC
(1,6),-1.40104 # DEPENDENCYPART_ARC
(1,7),-1.41288 # DEPENDENCYPART_ARC
(1,8),-1.7772 # DEPENDENCYPART_ARC
(1,9),-1.53399 # DEPENDENCYPART_ARC
(1,10),-1.65821 # DEPENDENCYPART_ARC
(1,11),-1.46876 # DEPENDENCYPART_ARC
(1,12),-1.98683 # DEPENDENCYPART_ARC
(1,13),-1.9798 # DEPENDENCYPART_ARC
