# _root_ hasieran bazirudien hegan_egitera zihoala , baina laster_egin zuen goitik_behera , harriak bezala
#goldHeads=2,6,4,2,4,0,6,7,7,9,7,11,
#predictedHeads=2,6,4,6,4,0,6,7,7,9,7,11,
(0,1),-0.533063 # DEPENDENCYPART_ARC
(0,2),-0.701909 # DEPENDENCYPART_ARC
(0,3),-1.16947 # DEPENDENCYPART_ARC
(0,4),-1.40834 # DEPENDENCYPART_ARC
(0,5),-0.818457 # DEPENDENCYPART_ARC
(0,6),1.31181 # DEPENDENCYPART_ARC
(0,7),0.240176 # DEPENDENCYPART_ARC
(0,8),-1.06502 # DEPENDENCYPART_ARC
(0,9),-1.88356 # DEPENDENCYPART_ARC
(0,10),-0.614911 # DEPENDENCYPART_ARC
(0,11),-1.05046 # DEPENDENCYPART_ARC
(0,12),-0.779735 # DEPENDENCYPART_ARC
(1,2),-0.873595 # DEPENDENCYPART_ARC
(1,3),-1.92694 # DEPENDENCYPART_ARC
(1,4),-1.38399 # DEPENDENCYPART_ARC
(1,5),-2.04207 # DEPENDENCYPART_ARC
(1,6),-1.35303 # DEPENDENCYPART_ARC
(1,7),-2.53742 # DEPENDENCYPART_ARC
(1,8),-2.93363 # DEPENDENCYPART_ARC
(1,9),-4.02531 # DEPENDENCYPART_ARC
(1,10),-2.69406 # DEPENDENCYPART_ARC
(1,11),-2.42185 # DEPENDENCYPART_ARC
(1,12),-1.64744 # DEPENDENCYPART_ARC
(2,1),2.49405 # DEPENDENCYPART_ARC
(2,3),0.469364 # DEPENDENCYPART_ARC
(2,4),-0.114297 # DEPENDENCYPART_ARC
(2,5),-0.0174359 # DEPENDENCYPART_ARC
(2,6),-0.325414 # DEPENDENCYPART_ARC
(2,7),0.253759 # DEPENDENCYPART_ARC
(2,8),-1.39855 # DEPENDENCYPART_ARC
(2,9),1.46272 # DEPENDENCYPART_ARC
(2,10),-0.775862 # DEPENDENCYPART_ARC
(2,11),-0.640075 # DEPENDENCYPART_ARC
(2,12),-0.89625 # DEPENDENCYPART_ARC
(3,1),0.214131 # DEPENDENCYPART_ARC
(3,2),-0.0669558 # DEPENDENCYPART_ARC
(3,4),0.983341 # DEPENDENCYPART_ARC
(3,5),-0.0618001 # DEPENDENCYPART_ARC
(3,6),-0.575716 # DEPENDENCYPART_ARC
(3,7),-2.00779 # DEPENDENCYPART_ARC
(3,8),-2.25683 # DEPENDENCYPART_ARC
(3,9),-1.41342 # DEPENDENCYPART_ARC
(3,10),-0.963779 # DEPENDENCYPART_ARC
(3,11),-1.50841 # DEPENDENCYPART_ARC
(3,12),-1.57373 # DEPENDENCYPART_ARC
(4,1),0.964277 # DEPENDENCYPART_ARC
(4,2),0.295069 # DEPENDENCYPART_ARC
(4,3),2.29127 # DEPENDENCYPART_ARC
(4,5),1.47799 # DEPENDENCYPART_ARC
(4,6),-0.113289 # DEPENDENCYPART_ARC
(4,7),-0.576844 # DEPENDENCYPART_ARC
(4,8),-1.04432 # DEPENDENCYPART_ARC
