# _root_ pisu baten erosteko , beren seme-alaben ikasketen pagatzeko edo erretreta gehigarri baten segurtatzeko erabil daiteke , ministerioak eman zituen adibideen_arabera .
#goldHeads=3,1,9,3,6,7,8,9,14,13,10,10,9,0,14,15,18,20,18,14,20,
#predictedHeads=3,1,9,3,6,7,8,9,14,13,10,10,14,0,14,15,18,9,18,18,20,
(0,1),-0.673851 # DEPENDENCYPART_ARC
(0,2),-1.08307 # DEPENDENCYPART_ARC
(0,3),-0.975834 # DEPENDENCYPART_ARC
(0,4),-0.579857 # DEPENDENCYPART_ARC
(0,5),-1.76758 # DEPENDENCYPART_ARC
(0,6),-1.30502 # DEPENDENCYPART_ARC
(0,7),-1.08697 # DEPENDENCYPART_ARC
(0,8),-1.33952 # DEPENDENCYPART_ARC
(0,9),-0.695334 # DEPENDENCYPART_ARC
(0,10),-1.56439 # DEPENDENCYPART_ARC
(0,11),-0.889638 # DEPENDENCYPART_ARC
(0,12),-1.37557 # DEPENDENCYPART_ARC
(0,13),-1.12953 # DEPENDENCYPART_ARC
(0,14),-0.178212 # DEPENDENCYPART_ARC
(0,15),-1.37795 # DEPENDENCYPART_ARC
(0,16),-0.553883 # DEPENDENCYPART_ARC
(0,17),-1.92124 # DEPENDENCYPART_ARC
(0,18),-0.289069 # DEPENDENCYPART_ARC
(0,19),-1.2826 # DEPENDENCYPART_ARC
(0,20),-3.10597 # DEPENDENCYPART_ARC
(0,21),-2.91575 # DEPENDENCYPART_ARC
(1,2),3.26462 # DEPENDENCYPART_ARC
(1,3),-0.542102 # DEPENDENCYPART_ARC
(1,4),-1.10836 # DEPENDENCYPART_ARC
(1,5),-0.263847 # DEPENDENCYPART_ARC
(1,6),-0.701609 # DEPENDENCYPART_ARC
(1,7),-0.556761 # DEPENDENCYPART_ARC
(1,8),-1.09932 # DEPENDENCYPART_ARC
(1,9),-0.629448 # DEPENDENCYPART_ARC
(1,10),-1.0997 # DEPENDENCYPART_ARC
(1,11),-1.4967 # DEPENDENCYPART_ARC
(1,12),0.39502 # DEPENDENCYPART_ARC
(1,13),-1.24176 # DEPENDENCYPART_ARC
(1,14),-1.72897 # DEPENDENCYPART_ARC
(1,15),-1.36784 # DEPENDENCYPART_ARC
(1,16),-2.17446 # DEPENDENCYPART_ARC
(1,17),-1.23629 # DEPENDENCYPART_ARC
(1,18),-1.82339 # DEPENDENCYPART_ARC
(1,19),-1.54495 # DEPENDENCYPART_ARC
(1,20),-1.35244 # DEPENDENCYPART_ARC
(1,21),-1.8393 # DEPENDENCYPART_ARC
(2,1),-0.0265713 # DEPENDENCYPART_ARC
(2,3),-0.0869153 # DEPENDENCYPART_ARC
(2,4),-0.0561408 # DEPENDENCYPART_ARC
(2,5),-1.63417 # DEPENDENCYPART_ARC
(2,6),-1.4003 # DEPENDENCYPART_ARC
(2,7),-1.26355 # DEPENDENCYPART_ARC
(2,8),-0.934554 # DEPENDENCYPART_ARC
(2,9),-0.714502 # DEPENDENCYPART_ARC
(2,10),-1.67044 # DEPENDENCYPART_ARC
(2,11),-1.55331 # DEPENDENCYPART_ARC
(2,12),-1.47403 # DEPENDENCYPART_ARC
(2,13),-1.76344 # DEPENDENCYPART_ARC
(2,14),-1.70254 # DEPENDENCYPART_ARC
(2,15),-1.68449 # DEPENDENCYPART_ARC
(2,16),-1.23432 # DEPENDENCYPART_ARC
