# _root_ baina oraingoan , alderdiko ordezkaritza guztiek eman die abisu alderdikideei , " abenturazko bideetara eraman nahi_gaituztenak berriz_ere uxatzeko " agindurik .
#goldHeads=0,7,2,5,7,5,0,7,7,7,10,11,14,15,16,18,18,20,18,7,20,
#predictedHeads=0,7,2,5,7,5,0,7,7,7,10,11,14,15,18,15,18,7,18,15,20,
(0,1),1.89019 # DEPENDENCYPART_ARC
(0,2),-0.486588 # DEPENDENCYPART_ARC
(0,3),-0.812041 # DEPENDENCYPART_ARC
(0,4),-0.503724 # DEPENDENCYPART_ARC
(0,5),-0.564087 # DEPENDENCYPART_ARC
(0,6),-1.26684 # DEPENDENCYPART_ARC
(0,7),0.503089 # DEPENDENCYPART_ARC
(0,8),-0.626727 # DEPENDENCYPART_ARC
(0,9),-0.55182 # DEPENDENCYPART_ARC
(0,10),-1.2058 # DEPENDENCYPART_ARC
(0,11),-0.970662 # DEPENDENCYPART_ARC
(0,12),-1.57828 # DEPENDENCYPART_ARC
(0,13),-1.07127 # DEPENDENCYPART_ARC
(0,14),-1.26514 # DEPENDENCYPART_ARC
(0,15),-0.338798 # DEPENDENCYPART_ARC
(0,16),-0.440337 # DEPENDENCYPART_ARC
(0,17),-1.02821 # DEPENDENCYPART_ARC
(0,18),-1.39639 # DEPENDENCYPART_ARC
(0,19),-2.90519 # DEPENDENCYPART_ARC
(0,20),-1.01 # DEPENDENCYPART_ARC
(0,21),-3.01721 # DEPENDENCYPART_ARC
(1,2),-0.744739 # DEPENDENCYPART_ARC
(1,3),-1.26342 # DEPENDENCYPART_ARC
(1,4),-1.85666 # DEPENDENCYPART_ARC
(1,5),-1.89848 # DEPENDENCYPART_ARC
(1,6),-2.45493 # DEPENDENCYPART_ARC
(1,7),-1.30566 # DEPENDENCYPART_ARC
(1,8),-1.78526 # DEPENDENCYPART_ARC
(1,9),-1.88777 # DEPENDENCYPART_ARC
(1,10),-1.68334 # DEPENDENCYPART_ARC
(1,11),-1.80012 # DEPENDENCYPART_ARC
(1,12),-2.10753 # DEPENDENCYPART_ARC
(1,13),-2.21402 # DEPENDENCYPART_ARC
(1,14),-1.92934 # DEPENDENCYPART_ARC
(1,15),-2.41022 # DEPENDENCYPART_ARC
(1,16),-2.42174 # DEPENDENCYPART_ARC
(1,17),-2.37865 # DEPENDENCYPART_ARC
(1,18),-2.34913 # DEPENDENCYPART_ARC
(1,19),-2.39582 # DEPENDENCYPART_ARC
(1,20),-2.79945 # DEPENDENCYPART_ARC
(1,21),-2.46979 # DEPENDENCYPART_ARC
(2,1),-0.384976 # DEPENDENCYPART_ARC
(2,3),1.6027 # DEPENDENCYPART_ARC
(2,4),-0.78353 # DEPENDENCYPART_ARC
(2,5),-0.889354 # DEPENDENCYPART_ARC
(2,6),-1.06993 # DEPENDENCYPART_ARC
(2,7),-1.30733 # DEPENDENCYPART_ARC
