# _root_ zu ados agertu eta , gainera , alderdikideei gai hori alde batera uztea galdegin diezu .
#goldHeads=3,3,4,0,4,14,6,14,13,9,13,11,14,4,14,15,
#predictedHeads=3,3,4,0,4,0,6,13,13,9,13,11,14,4,14,15,
(0,1),0.343957 # DEPENDENCYPART_ARC
(0,2),-0.562144 # DEPENDENCYPART_ARC
(0,3),-0.533875 # DEPENDENCYPART_ARC
(0,4),0.04152 # DEPENDENCYPART_ARC
(0,5),-0.951492 # DEPENDENCYPART_ARC
(0,6),1.57191 # DEPENDENCYPART_ARC
(0,7),-0.69779 # DEPENDENCYPART_ARC
(0,8),-0.521451 # DEPENDENCYPART_ARC
(0,9),-0.897022 # DEPENDENCYPART_ARC
(0,10),-1.25788 # DEPENDENCYPART_ARC
(0,11),-0.998536 # DEPENDENCYPART_ARC
(0,12),-1.65429 # DEPENDENCYPART_ARC
(0,13),-1.16362 # DEPENDENCYPART_ARC
(0,14),-0.0972039 # DEPENDENCYPART_ARC
(0,15),-0.836318 # DEPENDENCYPART_ARC
(0,16),-1.69576 # DEPENDENCYPART_ARC
(1,2),0.0736883 # DEPENDENCYPART_ARC
(1,3),-1.38573 # DEPENDENCYPART_ARC
(1,4),-0.827342 # DEPENDENCYPART_ARC
(1,5),-0.873047 # DEPENDENCYPART_ARC
(1,6),-0.972603 # DEPENDENCYPART_ARC
(1,7),-0.873946 # DEPENDENCYPART_ARC
(1,8),-1.53674 # DEPENDENCYPART_ARC
(1,9),-2.06575 # DEPENDENCYPART_ARC
(1,10),-0.119037 # DEPENDENCYPART_ARC
(1,11),-1.51003 # DEPENDENCYPART_ARC
(1,12),-0.896555 # DEPENDENCYPART_ARC
(1,13),-2.18349 # DEPENDENCYPART_ARC
(1,14),-2.57612 # DEPENDENCYPART_ARC
(1,15),-2.08023 # DEPENDENCYPART_ARC
(1,16),-1.10172 # DEPENDENCYPART_ARC
(2,1),0.292776 # DEPENDENCYPART_ARC
(2,3),-0.243792 # DEPENDENCYPART_ARC
(2,4),-0.61796 # DEPENDENCYPART_ARC
(2,5),-0.446114 # DEPENDENCYPART_ARC
(2,6),-0.843107 # DEPENDENCYPART_ARC
(2,7),-0.723775 # DEPENDENCYPART_ARC
(2,8),-1.27731 # DEPENDENCYPART_ARC
(2,9),-1.27126 # DEPENDENCYPART_ARC
(2,10),-1.37204 # DEPENDENCYPART_ARC
(2,11),-1.36586 # DEPENDENCYPART_ARC
(2,12),-1.40896 # DEPENDENCYPART_ARC
(2,13),-1.53874 # DEPENDENCYPART_ARC
(2,14),-1.78859 # DEPENDENCYPART_ARC
(2,15),-1.45184 # DEPENDENCYPART_ARC
(2,16),-1.13871 # DEPENDENCYPART_ARC
(3,1),1.72862 # DEPENDENCYPART_ARC
(3,2),1.43671 # DEPENDENCYPART_ARC
(3,4),0.682302 # DEPENDENCYPART_ARC
(3,5),-0.31307 # DEPENDENCYPART_ARC
(3,6),-0.341766 # DEPENDENCYPART_ARC
(3,7),-1.06782 # DEPENDENCYPART_ARC
(3,8),-1.43755 # DEPENDENCYPART_ARC
(3,9),-1.7974 # DEPENDENCYPART_ARC
(3,10),-1.02717 # DEPENDENCYPART_ARC
(3,11),-2.18615 # DEPENDENCYPART_ARC
(3,12),-1.2401 # DEPENDENCYPART_ARC
(3,13),-0.992579 # DEPENDENCYPART_ARC
(3,14),-1.57359 # DEPENDENCYPART_ARC
(3,15),-0.0819832 # DEPENDENCYPART_ARC
(3,16),-1.53823 # DEPENDENCYPART_ARC
(4,1),0.130456 # DEPENDENCYPART_ARC
(4,2),0.174271 # DEPENDENCYPART_ARC
(4,3),2.0756 # DEPENDENCYPART_ARC
(4,5),1.57051 # DEPENDENCYPART_ARC
(4,6),-0.130055 # DEPENDENCYPART_ARC
(4,7),0.179449 # DEPENDENCYPART_ARC
