# _root_ hasieran hitz bat izan zen : " agur " ; orain , keinu hotz bat ... eta bihar , auskalo ... .
#goldHeads=4,4,2,17,4,5,6,2,8,9,17,11,17,13,13,15,0,17,18,17,20,21,
#predictedHeads=4,4,2,0,4,5,6,4,8,9,14,11,17,13,13,15,0,17,18,19,20,21,
(0,1),-0.211945 # DEPENDENCYPART_ARC
(0,2),-0.833449 # DEPENDENCYPART_ARC
(0,3),-1.03435 # DEPENDENCYPART_ARC
(0,4),0.218213 # DEPENDENCYPART_ARC
(0,5),-0.747088 # DEPENDENCYPART_ARC
(0,6),-0.3175 # DEPENDENCYPART_ARC
(0,7),-0.52383 # DEPENDENCYPART_ARC
(0,8),-0.788703 # DEPENDENCYPART_ARC
(0,9),-1.12968 # DEPENDENCYPART_ARC
(0,10),0.149415 # DEPENDENCYPART_ARC
(0,11),-0.742737 # DEPENDENCYPART_ARC
(0,12),-1.10943 # DEPENDENCYPART_ARC
(0,13),-1.10484 # DEPENDENCYPART_ARC
(0,14),-0.816366 # DEPENDENCYPART_ARC
(0,15),-0.81809 # DEPENDENCYPART_ARC
(0,16),-1.17311 # DEPENDENCYPART_ARC
(0,17),1.04462 # DEPENDENCYPART_ARC
(0,18),-0.325711 # DEPENDENCYPART_ARC
(0,19),-1.30832 # DEPENDENCYPART_ARC
(0,20),-0.948285 # DEPENDENCYPART_ARC
(0,21),-1.92494 # DEPENDENCYPART_ARC
(0,22),-2.03098 # DEPENDENCYPART_ARC
(1,2),-0.315823 # DEPENDENCYPART_ARC
(1,3),-1.08042 # DEPENDENCYPART_ARC
(1,4),-3.07532 # DEPENDENCYPART_ARC
(1,5),-2.55188 # DEPENDENCYPART_ARC
(1,6),-1.907 # DEPENDENCYPART_ARC
(1,7),-2.02161 # DEPENDENCYPART_ARC
(1,8),-1.68156 # DEPENDENCYPART_ARC
(1,9),-2.14852 # DEPENDENCYPART_ARC
(1,10),-2.39459 # DEPENDENCYPART_ARC
(1,11),-1.9281 # DEPENDENCYPART_ARC
(1,12),-2.72481 # DEPENDENCYPART_ARC
(1,13),-2.192 # DEPENDENCYPART_ARC
(1,14),-3.88783 # DEPENDENCYPART_ARC
(1,15),-2.45104 # DEPENDENCYPART_ARC
(1,16),-2.6598 # DEPENDENCYPART_ARC
(1,17),-2.30124 # DEPENDENCYPART_ARC
(1,18),-2.06247 # DEPENDENCYPART_ARC
(1,19),-3.02336 # DEPENDENCYPART_ARC
(1,20),-2.06666 # DEPENDENCYPART_ARC
(1,21),-2.77099 # DEPENDENCYPART_ARC
(1,22),-2.801 # DEPENDENCYPART_ARC
(2,1),0.756947 # DEPENDENCYPART_ARC
(2,3),2.91397 # DEPENDENCYPART_ARC
(2,4),-1.00529 # DEPENDENCYPART_ARC
(2,5),-0.852517 # DEPENDENCYPART_ARC
(2,6),-0.743983 # DEPENDENCYPART_ARC
(2,7),-0.902 # DEPENDENCYPART_ARC
(2,8),-0.820831 # DEPENDENCYPART_ARC
(2,9),-0.942051 # DEPENDENCYPART_ARC
(2,10),-1.15525 # DEPENDENCYPART_ARC
(2,11),-1.21156 # DEPENDENCYPART_ARC
(2,12),-1.25403 # DEPENDENCYPART_ARC
(2,13),-1.17906 # DEPENDENCYPART_ARC
(2,14),-1.76517 # DEPENDENCYPART_ARC
(2,15),0.138607 # DEPENDENCYPART_ARC
(2,16),-1.47299 # DEPENDENCYPART_ARC
(2,17),-0.738179 # DEPENDENCYPART_ARC
(2,18),-1.40988 # DEPENDENCYPART_ARC
(2,19),-1.72938 # DEPENDENCYPART_ARC
(2,20),-1.24854 # DEPENDENCYPART_ARC
(2,21),-1.67683 # DEPENDENCYPART_ARC
(2,22),-1.59919 # DEPENDENCYPART_ARC
(3,1),-0.402735 # DEPENDENCYPART_ARC
(3,2),-0.23287 # DEPENDENCYPART_ARC
