# _root_ urtero bezalaxe jarri dira , ailegatu bezain agudo , plaza_erdian danborra eta turutarekin abisua emanez .
#goldHeads=3,1,0,3,4,3,6,7,8,15,12,15,12,15,3,15,
#predictedHeads=3,3,0,3,4,3,6,7,8,11,12,14,12,15,3,15,
(0,1),0.0672691 # DEPENDENCYPART_ARC
(0,2),-0.540178 # DEPENDENCYPART_ARC
(0,3),0.462197 # DEPENDENCYPART_ARC
(0,4),-0.280152 # DEPENDENCYPART_ARC
(0,5),-0.965936 # DEPENDENCYPART_ARC
(0,6),-0.620731 # DEPENDENCYPART_ARC
(0,7),-0.597983 # DEPENDENCYPART_ARC
(0,8),-0.492211 # DEPENDENCYPART_ARC
(0,9),-1.38749 # DEPENDENCYPART_ARC
(0,10),-0.855319 # DEPENDENCYPART_ARC
(0,11),-0.44617 # DEPENDENCYPART_ARC
(0,12),-1.13009 # DEPENDENCYPART_ARC
(0,13),-1.01543 # DEPENDENCYPART_ARC
(0,14),-0.738764 # DEPENDENCYPART_ARC
(0,15),-1.10977 # DEPENDENCYPART_ARC
(0,16),-2.36914 # DEPENDENCYPART_ARC
(1,2),-0.475156 # DEPENDENCYPART_ARC
(1,3),-1.83582 # DEPENDENCYPART_ARC
(1,4),-1.56003 # DEPENDENCYPART_ARC
(1,5),-1.65498 # DEPENDENCYPART_ARC
(1,6),-1.9881 # DEPENDENCYPART_ARC
(1,7),-1.54521 # DEPENDENCYPART_ARC
(1,8),-1.63141 # DEPENDENCYPART_ARC
(1,9),-2.2055 # DEPENDENCYPART_ARC
(1,10),-1.90413 # DEPENDENCYPART_ARC
(1,11),-1.87979 # DEPENDENCYPART_ARC
(1,12),-1.84122 # DEPENDENCYPART_ARC
(1,13),-2.05093 # DEPENDENCYPART_ARC
(1,14),-2.176 # DEPENDENCYPART_ARC
(1,15),-2.47164 # DEPENDENCYPART_ARC
(1,16),-2.01386 # DEPENDENCYPART_ARC
(2,1),0.441903 # DEPENDENCYPART_ARC
(2,3),-0.461416 # DEPENDENCYPART_ARC
(2,4),-0.484329 # DEPENDENCYPART_ARC
(2,5),-0.505616 # DEPENDENCYPART_ARC
(2,6),-1.27036 # DEPENDENCYPART_ARC
(2,7),-0.914571 # DEPENDENCYPART_ARC
(2,8),-0.887938 # DEPENDENCYPART_ARC
(2,9),-0.690876 # DEPENDENCYPART_ARC
(2,10),-1.33518 # DEPENDENCYPART_ARC
(2,11),-1.27088 # DEPENDENCYPART_ARC
(2,12),-1.14027 # DEPENDENCYPART_ARC
(2,13),-1.39884 # DEPENDENCYPART_ARC
(2,14),-1.40358 # DEPENDENCYPART_ARC
(2,15),-1.8904 # DEPENDENCYPART_ARC
(2,16),-1.2064 # DEPENDENCYPART_ARC
(3,1),1.22177 # DEPENDENCYPART_ARC
(3,2),1.07454 # DEPENDENCYPART_ARC
(3,4),2.13417 # DEPENDENCYPART_ARC
(3,5),-0.0147325 # DEPENDENCYPART_ARC
(3,6),0.281516 # DEPENDENCYPART_ARC
(3,7),0.124288 # DEPENDENCYPART_ARC
(3,8),0.182202 # DEPENDENCYPART_ARC
(3,9),-0.568968 # DEPENDENCYPART_ARC
(3,10),-0.530099 # DEPENDENCYPART_ARC
(3,11),-0.457141 # DEPENDENCYPART_ARC
(3,12),-0.150594 # DEPENDENCYPART_ARC
(3,13),-1.32755 # DEPENDENCYPART_ARC
(3,14),-1.19035 # DEPENDENCYPART_ARC
(3,15),0.569296 # DEPENDENCYPART_ARC
(3,16),-0.868139 # DEPENDENCYPART_ARC
(4,1),-0.451598 # DEPENDENCYPART_ARC
(4,2),-0.39468 # DEPENDENCYPART_ARC
(4,3),0.108048 # DEPENDENCYPART_ARC
(4,5),1.41327 # DEPENDENCYPART_ARC
(4,6),-0.728187 # DEPENDENCYPART_ARC
(4,7),-0.560617 # DEPENDENCYPART_ARC
(4,8),-0.738557 # DEPENDENCYPART_ARC
(4,9),-0.675609 # DEPENDENCYPART_ARC
(4,10),-1.09637 # DEPENDENCYPART_ARC
(4,11),-1.12621 # DEPENDENCYPART_ARC
(4,12),-0.889734 # DEPENDENCYPART_ARC
(4,13),-1.32404 # DEPENDENCYPART_ARC
(4,14),-1.20812 # DEPENDENCYPART_ARC
(4,15),-1.01787 # DEPENDENCYPART_ARC
(4,16),-1.20895 # DEPENDENCYPART_ARC
(5,1),-0.828078 # DEPENDENCYPART_ARC
(5,2),-0.591663 # DEPENDENCYPART_ARC
(5,3),0.0204433 # DEPENDENCYPART_ARC
(5,4),0.327514 # DEPENDENCYPART_ARC
(5,6),0.187604 # DEPENDENCYPART_ARC
(5,7),-1.06118 # DEPENDENCYPART_ARC
(5,8),-1.1218 # DEPENDENCYPART_ARC
(5,9),-0.31281 # DEPENDENCYPART_ARC
(5,10),-0.948148 # DEPENDENCYPART_ARC
(5,11),-0.918408 # DEPENDENCYPART_ARC
(5,12),-0.942056 # DEPENDENCYPART_ARC
(5,13),-1.12429 # DEPENDENCYPART_ARC
(5,14),-1.1076 # DEPENDENCYPART_ARC
(5,15),-1.14595 # DEPENDENCYPART_ARC
(5,16),-0.848382 # DEPENDENCYPART_ARC
(6,1),-0.381913 # DEPENDENCYPART_ARC
(6,2),-0.481155 # DEPENDENCYPART_ARC
(6,3),0.000539178 # DEPENDENCYPART_ARC
(6,4),-0.128498 # DEPENDENCYPART_ARC
(6,5),0.153234 # DEPENDENCYPART_ARC
(6,7),0.961962 # DEPENDENCYPART_ARC
(6,8),0.233446 # DEPENDENCYPART_ARC
(6,9),-0.795151 # DEPENDENCYPART_ARC
(6,10),-0.301115 # DEPENDENCYPART_ARC
(6,11),-0.0909543 # DEPENDENCYPART_ARC
(6,12),-0.918419 # DEPENDENCYPART_ARC
(6,13),-1.01303 # DEPENDENCYPART_ARC
(6,14),-0.833763 # DEPENDENCYPART_ARC
(6,15),0.231777 # DEPENDENCYPART_ARC
(6,16),-0.864366 # DEPENDENCYPART_ARC
(7,1),-1.05895 # DEPENDENCYPART_ARC
(7,2),-0.968228 # DEPENDENCYPART_ARC
(7,3),-1.19614 # DEPENDENCYPART_ARC
(7,4),-0.994735 # DEPENDENCYPART_ARC
(7,5),-0.945254 # DEPENDENCYPART_ARC
(7,6),-0.226071 # DEPENDENCYPART_ARC
(7,8),0.757578 # DEPENDENCYPART_ARC
(7,9),0.386125 # DEPENDENCYPART_ARC
(7,10),-0.824056 # DEPENDENCYPART_ARC
(7,11),-0.894198 # DEPENDENCYPART_ARC
(7,12),-0.79206 # DEPENDENCYPART_ARC
(7,13),-1.03802 # DEPENDENCYPART_ARC
(7,14),-1.02658 # DEPENDENCYPART_ARC
(7,15),-1.37143 # DEPENDENCYPART_ARC
(7,16),-0.576757 # DEPENDENCYPART_ARC
(8,1),-1.01835 # DEPENDENCYPART_ARC
(8,2),-0.916812 # DEPENDENCYPART_ARC
(8,3),-1.23922 # DEPENDENCYPART_ARC
(8,4),-1.16295 # DEPENDENCYPART_ARC
(8,5),-0.920841 # DEPENDENCYPART_ARC
(8,6),-0.799236 # DEPENDENCYPART_ARC
(8,7),0.0607463 # DEPENDENCYPART_ARC
(8,9),1.65657 # DEPENDENCYPART_ARC
(8,10),-0.667454 # DEPENDENCYPART_ARC
(8,11),-0.754385 # DEPENDENCYPART_ARC
(8,12),-0.681173 # DEPENDENCYPART_ARC
(8,13),-0.947731 # DEPENDENCYPART_ARC
(8,14),-0.947381 # DEPENDENCYPART_ARC
(8,15),-1.2379 # DEPENDENCYPART_ARC
(8,16),-0.408926 # DEPENDENCYPART_ARC
(9,1),-1.52953 # DEPENDENCYPART_ARC
(9,2),-1.47167 # DEPENDENCYPART_ARC
(9,3),-1.18566 # DEPENDENCYPART_ARC
(9,4),-1.02621 # DEPENDENCYPART_ARC
(9,5),-1.24168 # DEPENDENCYPART_ARC
(9,6),-0.626051 # DEPENDENCYPART_ARC
(9,7),-1.18991 # DEPENDENCYPART_ARC
(9,8),-0.612746 # DEPENDENCYPART_ARC
(9,10),-0.744563 # DEPENDENCYPART_ARC
(9,11),-1.28852 # DEPENDENCYPART_ARC
(9,12),-1.28645 # DEPENDENCYPART_ARC
(9,13),-1.31052 # DEPENDENCYPART_ARC
(9,14),-1.35606 # DEPENDENCYPART_ARC
(9,15),-1.33253 # DEPENDENCYPART_ARC
(9,16),-0.958563 # DEPENDENCYPART_ARC
(10,1),-1.67653 # DEPENDENCYPART_ARC
(10,2),-1.52708 # DEPENDENCYPART_ARC
(10,3),-2.72555 # DEPENDENCYPART_ARC
(10,4),-1.83817 # DEPENDENCYPART_ARC
(10,5),-1.79417 # DEPENDENCYPART_ARC
(10,6),-1.40581 # DEPENDENCYPART_ARC
(10,7),-1.05081 # DEPENDENCYPART_ARC
(10,8),-0.693303 # DEPENDENCYPART_ARC
(10,9),0.41911 # DEPENDENCYPART_ARC
(10,11),0.974709 # DEPENDENCYPART_ARC
(10,12),-0.616291 # DEPENDENCYPART_ARC
(10,13),-1.23822 # DEPENDENCYPART_ARC
(10,14),-0.680444 # DEPENDENCYPART_ARC
(10,15),-1.31769 # DEPENDENCYPART_ARC
(10,16),-0.328814 # DEPENDENCYPART_ARC
(11,1),-1.4408 # DEPENDENCYPART_ARC
(11,2),-1.38321 # DEPENDENCYPART_ARC
(11,3),-2.48756 # DEPENDENCYPART_ARC
(11,4),-2.40356 # DEPENDENCYPART_ARC
(11,5),-1.7471 # DEPENDENCYPART_ARC
(11,6),-1.30561 # DEPENDENCYPART_ARC
(11,7),-1.06668 # DEPENDENCYPART_ARC
(11,8),-0.86797 # DEPENDENCYPART_ARC
(11,9),-0.85325 # DEPENDENCYPART_ARC
(11,10),1.29319 # DEPENDENCYPART_ARC
(11,12),-0.27666 # DEPENDENCYPART_ARC
(11,13),-1.61902 # DEPENDENCYPART_ARC
(11,14),-1.48107 # DEPENDENCYPART_ARC
(11,15),-2.38655 # DEPENDENCYPART_ARC
(11,16),-1.27049 # DEPENDENCYPART_ARC
(12,1),-0.73244 # DEPENDENCYPART_ARC
(12,2),-0.803362 # DEPENDENCYPART_ARC
(12,3),-0.623763 # DEPENDENCYPART_ARC
(12,4),-1.51217 # DEPENDENCYPART_ARC
(12,5),-1.82477 # DEPENDENCYPART_ARC
(12,6),-0.670643 # DEPENDENCYPART_ARC
(12,7),-0.813338 # DEPENDENCYPART_ARC
(12,8),-0.732265 # DEPENDENCYPART_ARC
(12,9),-1.43168 # DEPENDENCYPART_ARC
(12,10),0.524608 # DEPENDENCYPART_ARC
(12,11),1.96744 # DEPENDENCYPART_ARC
(12,13),2.10223 # DEPENDENCYPART_ARC
(12,14),1.109 # DEPENDENCYPART_ARC
(12,15),-0.0388886 # DEPENDENCYPART_ARC
(12,16),-0.528613 # DEPENDENCYPART_ARC
(13,1),-2.25838 # DEPENDENCYPART_ARC
(13,2),-2.19105 # DEPENDENCYPART_ARC
(13,3),-2.73747 # DEPENDENCYPART_ARC
(13,4),-3.14829 # DEPENDENCYPART_ARC
(13,5),-2.60405 # DEPENDENCYPART_ARC
(13,6),-1.92869 # DEPENDENCYPART_ARC
(13,7),-1.9574 # DEPENDENCYPART_ARC
(13,8),-1.92186 # DEPENDENCYPART_ARC
(13,9),-2.08199 # DEPENDENCYPART_ARC
(13,10),-1.04646 # DEPENDENCYPART_ARC
(13,11),-2.56024 # DEPENDENCYPART_ARC
(13,12),-0.425376 # DEPENDENCYPART_ARC
(13,14),-0.214507 # DEPENDENCYPART_ARC
(13,15),-2.55991 # DEPENDENCYPART_ARC
(13,16),-1.05479 # DEPENDENCYPART_ARC
(14,1),-0.753863 # DEPENDENCYPART_ARC
(14,2),-0.834375 # DEPENDENCYPART_ARC
(14,3),-1.95775 # DEPENDENCYPART_ARC
(14,4),-2.00237 # DEPENDENCYPART_ARC
(14,5),-1.46434 # DEPENDENCYPART_ARC
(14,6),-0.972262 # DEPENDENCYPART_ARC
(14,7),-0.61412 # DEPENDENCYPART_ARC
(14,8),-0.634213 # DEPENDENCYPART_ARC
(14,9),-1.17862 # DEPENDENCYPART_ARC
(14,10),-0.0229204 # DEPENDENCYPART_ARC
(14,11),-1.93328 # DEPENDENCYPART_ARC
(14,12),0.773499 # DEPENDENCYPART_ARC
(14,13),-0.740837 # DEPENDENCYPART_ARC
(14,15),-1.04191 # DEPENDENCYPART_ARC
(14,16),-0.502441 # DEPENDENCYPART_ARC
(15,1),-0.641267 # DEPENDENCYPART_ARC
(15,2),-0.840579 # DEPENDENCYPART_ARC
(15,3),-1.33871 # DEPENDENCYPART_ARC
(15,4),-0.523955 # DEPENDENCYPART_ARC
(15,5),-1.83801 # DEPENDENCYPART_ARC
(15,6),-0.322697 # DEPENDENCYPART_ARC
(15,7),-0.0745121 # DEPENDENCYPART_ARC
(15,8),-0.200012 # DEPENDENCYPART_ARC
(15,9),-1.70936 # DEPENDENCYPART_ARC
(15,10),0.58309 # DEPENDENCYPART_ARC
(15,11),0.750675 # DEPENDENCYPART_ARC
(15,12),0.617808 # DEPENDENCYPART_ARC
(15,13),1.49822 # DEPENDENCYPART_ARC
(15,14),2.97248 # DEPENDENCYPART_ARC
(15,16),2.07175 # DEPENDENCYPART_ARC
(16,1),-1.51938 # DEPENDENCYPART_ARC
(16,2),-1.50899 # DEPENDENCYPART_ARC
(16,3),-1.70813 # DEPENDENCYPART_ARC
(16,4),-1.44163 # DEPENDENCYPART_ARC
(16,5),-1.4756 # DEPENDENCYPART_ARC
(16,6),-1.53834 # DEPENDENCYPART_ARC
(16,7),-1.41493 # DEPENDENCYPART_ARC
(16,8),-1.39327 # DEPENDENCYPART_ARC
(16,9),-1.39836 # DEPENDENCYPART_ARC
(16,10),-1.1792 # DEPENDENCYPART_ARC
(16,11),-1.10428 # DEPENDENCYPART_ARC
(16,12),-0.62578 # DEPENDENCYPART_ARC
(16,13),-0.67842 # DEPENDENCYPART_ARC
(16,14),-0.518947 # DEPENDENCYPART_ARC
(16,15),-0.436976 # DEPENDENCYPART_ARC
