# _root_ hori guztia " bazterketarik gabe , inor bakartu gabe , betorik gabe eta indarkeriarik gabe " egin behar_dela gaineratu zuen ibarretxek .
#goldHeads=17,1,2,13,14,5,8,13,14,9,13,14,17,13,14,15,18,19,0,19,19,21,
#predictedHeads=0,1,2,8,4,5,8,18,8,9,13,11,17,13,14,15,18,19,0,19,19,21,
(0,1),-0.437011 # DEPENDENCYPART_ARC
(0,2),-1.09219 # DEPENDENCYPART_ARC
(0,3),0.11074 # DEPENDENCYPART_ARC
(0,4),-0.494729 # DEPENDENCYPART_ARC
(0,5),-0.515243 # DEPENDENCYPART_ARC
(0,6),-0.75689 # DEPENDENCYPART_ARC
(0,7),-0.424764 # DEPENDENCYPART_ARC
(0,8),-0.608454 # DEPENDENCYPART_ARC
(0,9),-0.476478 # DEPENDENCYPART_ARC
(0,10),-0.767537 # DEPENDENCYPART_ARC
(0,11),-0.868356 # DEPENDENCYPART_ARC
(0,12),-0.407935 # DEPENDENCYPART_ARC
(0,13),-0.70992 # DEPENDENCYPART_ARC
(0,14),-1.0834 # DEPENDENCYPART_ARC
(0,15),-0.41023 # DEPENDENCYPART_ARC
(0,16),-1.87408 # DEPENDENCYPART_ARC
(0,17),0.684021 # DEPENDENCYPART_ARC
(0,18),-0.108799 # DEPENDENCYPART_ARC
(0,19),0.917491 # DEPENDENCYPART_ARC
(0,20),-0.667352 # DEPENDENCYPART_ARC
(0,21),-2.1747 # DEPENDENCYPART_ARC
(0,22),-2.79446 # DEPENDENCYPART_ARC
(1,2),0.65939 # DEPENDENCYPART_ARC
(1,3),-0.923414 # DEPENDENCYPART_ARC
(1,4),-1.59552 # DEPENDENCYPART_ARC
(1,5),-1.66103 # DEPENDENCYPART_ARC
(1,6),-1.4977 # DEPENDENCYPART_ARC
(1,7),-1.67296 # DEPENDENCYPART_ARC
(1,8),-1.78176 # DEPENDENCYPART_ARC
(1,9),-1.80573 # DEPENDENCYPART_ARC
(1,10),-1.81808 # DEPENDENCYPART_ARC
(1,11),-1.96168 # DEPENDENCYPART_ARC
(1,12),-1.77368 # DEPENDENCYPART_ARC
(1,13),-2.25422 # DEPENDENCYPART_ARC
(1,14),-2.34941 # DEPENDENCYPART_ARC
(1,15),-2.00539 # DEPENDENCYPART_ARC
(1,16),-1.79555 # DEPENDENCYPART_ARC
(1,17),-1.94302 # DEPENDENCYPART_ARC
(1,18),-2.33338 # DEPENDENCYPART_ARC
(1,19),-2.28918 # DEPENDENCYPART_ARC
(1,20),-2.60939 # DEPENDENCYPART_ARC
(1,21),-2.41096 # DEPENDENCYPART_ARC
(1,22),-2.64692 # DEPENDENCYPART_ARC
(2,1),-0.596677 # DEPENDENCYPART_ARC
(2,3),1.47599 # DEPENDENCYPART_ARC
(2,4),-0.628102 # DEPENDENCYPART_ARC
(2,5),-0.653703 # DEPENDENCYPART_ARC
(2,6),-0.343524 # DEPENDENCYPART_ARC
(2,7),-0.745094 # DEPENDENCYPART_ARC
(2,8),-0.852138 # DEPENDENCYPART_ARC
(2,9),-0.84876 # DEPENDENCYPART_ARC
(2,10),-0.614809 # DEPENDENCYPART_ARC
(2,11),-1.11579 # DEPENDENCYPART_ARC
(2,12),-0.912381 # DEPENDENCYPART_ARC
(2,13),-1.02652 # DEPENDENCYPART_ARC
(2,14),-1.34165 # DEPENDENCYPART_ARC
(2,15),-1.20097 # DEPENDENCYPART_ARC
(2,16),-0.773058 # DEPENDENCYPART_ARC
(2,17),-0.898362 # DEPENDENCYPART_ARC
(2,18),-1.52186 # DEPENDENCYPART_ARC
(2,19),-1.3191 # DEPENDENCYPART_ARC
(2,20),-1.70879 # DEPENDENCYPART_ARC
(2,21),-1.55814 # DEPENDENCYPART_ARC
(2,22),-1.33023 # DEPENDENCYPART_ARC
(3,1),-1.60698 # DEPENDENCYPART_ARC
(3,2),-0.974729 # DEPENDENCYPART_ARC
(3,4),-1.17669 # DEPENDENCYPART_ARC
(3,5),-1.59118 # DEPENDENCYPART_ARC
(3,6),-0.244188 # DEPENDENCYPART_ARC
(3,7),-1.58501 # DEPENDENCYPART_ARC
(3,8),-1.53435 # DEPENDENCYPART_ARC
(3,9),-1.75652 # DEPENDENCYPART_ARC
(3,10),-0.748888 # DEPENDENCYPART_ARC
(3,11),-2.13057 # DEPENDENCYPART_ARC
(3,12),-1.85985 # DEPENDENCYPART_ARC
(3,13),-1.61685 # DEPENDENCYPART_ARC
(3,14),-1.98746 # DEPENDENCYPART_ARC
(3,15),-1.95758 # DEPENDENCYPART_ARC
(3,16),-1.28395 # DEPENDENCYPART_ARC
(3,17),-2.45332 # DEPENDENCYPART_ARC
(3,18),-1.82489 # DEPENDENCYPART_ARC
(3,19),-2.14925 # DEPENDENCYPART_ARC
(3,20),-1.14821 # DEPENDENCYPART_ARC
(3,21),-2.34484 # DEPENDENCYPART_ARC
(3,22),-1.92201 # DEPENDENCYPART_ARC
(4,1),-1.58871 # DEPENDENCYPART_ARC
(4,2),-1.04897 # DEPENDENCYPART_ARC
(4,3),-0.332313 # DEPENDENCYPART_ARC
(4,5),1.52838 # DEPENDENCYPART_ARC
(4,6),0.545227 # DEPENDENCYPART_ARC
(4,7),-0.32332 # DEPENDENCYPART_ARC
(4,8),-0.31916 # DEPENDENCYPART_ARC
(4,9),0.0577892 # DEPENDENCYPART_ARC
(4,10),-0.316834 # DEPENDENCYPART_ARC
(4,11),-0.715136 # DEPENDENCYPART_ARC
(4,12),-0.0098436 # DEPENDENCYPART_ARC
(4,13),-0.630186 # DEPENDENCYPART_ARC
(4,14),-0.90663 # DEPENDENCYPART_ARC
(4,15),-0.176166 # DEPENDENCYPART_ARC
(4,16),-0.534836 # DEPENDENCYPART_ARC
(4,17),-0.404552 # DEPENDENCYPART_ARC
(4,18),0.0121927 # DEPENDENCYPART_ARC
(4,19),-1.0116 # DEPENDENCYPART_ARC
(4,20),-0.309876 # DEPENDENCYPART_ARC
(4,21),-0.410311 # DEPENDENCYPART_ARC
(4,22),-0.34671 # DEPENDENCYPART_ARC
(5,1),-1.05033 # DEPENDENCYPART_ARC
(5,2),-1.00339 # DEPENDENCYPART_ARC
(5,3),-1.1131 # DEPENDENCYPART_ARC
(5,4),-0.309386 # DEPENDENCYPART_ARC
(5,6),1.53878 # DEPENDENCYPART_ARC
(5,7),-0.671141 # DEPENDENCYPART_ARC
(5,8),-0.970197 # DEPENDENCYPART_ARC
(5,9),-0.731402 # DEPENDENCYPART_ARC
(5,10),0.0251674 # DEPENDENCYPART_ARC
(5,11),-1.05695 # DEPENDENCYPART_ARC
(5,12),-0.819297 # DEPENDENCYPART_ARC
(5,13),-0.972556 # DEPENDENCYPART_ARC
(5,14),-1.15926 # DEPENDENCYPART_ARC
(5,15),-0.795911 # DEPENDENCYPART_ARC
(5,16),-0.352721 # DEPENDENCYPART_ARC
(5,17),-1.53767 # DEPENDENCYPART_ARC
(5,18),-1.67664 # DEPENDENCYPART_ARC
(5,19),-1.69767 # DEPENDENCYPART_ARC
(5,20),-1.06078 # DEPENDENCYPART_ARC
(5,21),-1.45245 # DEPENDENCYPART_ARC
(5,22),-0.962435 # DEPENDENCYPART_ARC
(6,1),-1.71958 # DEPENDENCYPART_ARC
(6,2),-1.60487 # DEPENDENCYPART_ARC
(6,3),-1.12528 # DEPENDENCYPART_ARC
(6,4),-0.631093 # DEPENDENCYPART_ARC
(6,5),-0.599653 # DEPENDENCYPART_ARC
(6,7),-0.312132 # DEPENDENCYPART_ARC
(6,8),-0.854682 # DEPENDENCYPART_ARC
(6,9),-1.27437 # DEPENDENCYPART_ARC
(6,10),-0.495894 # DEPENDENCYPART_ARC
(6,11),-0.986602 # DEPENDENCYPART_ARC
(6,12),-1.39558 # DEPENDENCYPART_ARC
(6,13),-0.947156 # DEPENDENCYPART_ARC
(6,14),-1.19845 # DEPENDENCYPART_ARC
(6,15),-1.55429 # DEPENDENCYPART_ARC
(6,16),-0.565082 # DEPENDENCYPART_ARC
(6,17),-1.95517 # DEPENDENCYPART_ARC
(6,18),-1.42101 # DEPENDENCYPART_ARC
(6,19),-1.63284 # DEPENDENCYPART_ARC
(6,20),-0.90741 # DEPENDENCYPART_ARC
(6,21),-1.70958 # DEPENDENCYPART_ARC
(6,22),-1.48271 # DEPENDENCYPART_ARC
(7,1),-1.27665 # DEPENDENCYPART_ARC
(7,2),-1.21885 # DEPENDENCYPART_ARC
(7,3),-0.934782 # DEPENDENCYPART_ARC
(7,4),-0.544854 # DEPENDENCYPART_ARC
(7,5),-0.360867 # DEPENDENCYPART_ARC
(7,6),0.0996756 # DEPENDENCYPART_ARC
(7,8),0.127618 # DEPENDENCYPART_ARC
(7,9),-0.493702 # DEPENDENCYPART_ARC
(7,10),-0.326695 # DEPENDENCYPART_ARC
(7,11),-0.92833 # DEPENDENCYPART_ARC
(7,12),-0.868532 # DEPENDENCYPART_ARC
(7,13),-0.759437 # DEPENDENCYPART_ARC
(7,14),-1.19938 # DEPENDENCYPART_ARC
(7,15),-0.943704 # DEPENDENCYPART_ARC
(7,16),-0.625101 # DEPENDENCYPART_ARC
(7,17),-1.12007 # DEPENDENCYPART_ARC
(7,18),-1.17978 # DEPENDENCYPART_ARC
(7,19),-1.17667 # DEPENDENCYPART_ARC
(7,20),-1.00269 # DEPENDENCYPART_ARC
(7,21),-1.34711 # DEPENDENCYPART_ARC
(7,22),-0.691344 # DEPENDENCYPART_ARC
(8,1),-0.891709 # DEPENDENCYPART_ARC
(8,2),-0.807053 # DEPENDENCYPART_ARC
(8,3),-1.52453 # DEPENDENCYPART_ARC
(8,4),0.0988666 # DEPENDENCYPART_ARC
(8,5),-0.528009 # DEPENDENCYPART_ARC
(8,6),-0.766823 # DEPENDENCYPART_ARC
(8,7),1.95057 # DEPENDENCYPART_ARC
(8,9),2.24209 # DEPENDENCYPART_ARC
(8,10),0.320714 # DEPENDENCYPART_ARC
(8,11),0.268958 # DEPENDENCYPART_ARC
(8,12),0.0341023 # DEPENDENCYPART_ARC
(8,13),-0.116391 # DEPENDENCYPART_ARC
(8,14),-0.382786 # DEPENDENCYPART_ARC
(8,15),-0.186179 # DEPENDENCYPART_ARC
(8,16),-0.381138 # DEPENDENCYPART_ARC
