# _root_ gero pistorius organista zaharrak paperezko pezeta , hogerleko eta bosdurokoak eman zizkidan gordetzeko , baina mesede_baten_truke .
#goldHeads=11,3,11,3,6,9,6,9,11,9,15,11,11,13,0,15,16,
#predictedHeads=11,3,5,3,6,9,6,9,11,11,15,11,11,13,0,15,16,
(0,1),-0.200871 # DEPENDENCYPART_ARC
(0,2),-0.868025 # DEPENDENCYPART_ARC
(0,3),-1.01821 # DEPENDENCYPART_ARC
(0,4),-1.77359 # DEPENDENCYPART_ARC
(0,5),-1.29071 # DEPENDENCYPART_ARC
(0,6),-1.86249 # DEPENDENCYPART_ARC
(0,7),-1.1466 # DEPENDENCYPART_ARC
(0,8),-1.40027 # DEPENDENCYPART_ARC
(0,9),-1.32239 # DEPENDENCYPART_ARC
(0,10),-1.46663 # DEPENDENCYPART_ARC
(0,11),0.362159 # DEPENDENCYPART_ARC
(0,12),-1.07062 # DEPENDENCYPART_ARC
(0,13),-1.48089 # DEPENDENCYPART_ARC
(0,14),-1.20646 # DEPENDENCYPART_ARC
(0,15),0.756427 # DEPENDENCYPART_ARC
(0,16),-1.9766 # DEPENDENCYPART_ARC
(0,17),-2.00657 # DEPENDENCYPART_ARC
(1,2),-0.449477 # DEPENDENCYPART_ARC
(1,3),-1.59524 # DEPENDENCYPART_ARC
(1,4),-2.02585 # DEPENDENCYPART_ARC
(1,5),-1.75341 # DEPENDENCYPART_ARC
(1,6),-1.77749 # DEPENDENCYPART_ARC
(1,7),-1.70754 # DEPENDENCYPART_ARC
(1,8),-1.92803 # DEPENDENCYPART_ARC
(1,9),-1.81079 # DEPENDENCYPART_ARC
(1,11),-2.28112 # DEPENDENCYPART_ARC
(1,12),-1.96063 # DEPENDENCYPART_ARC
(1,13),-2.36744 # DEPENDENCYPART_ARC
(1,14),-2.35258 # DEPENDENCYPART_ARC
(1,15),-2.25434 # DEPENDENCYPART_ARC
(1,16),-2.13123 # DEPENDENCYPART_ARC
(1,17),-2.26294 # DEPENDENCYPART_ARC
(2,1),-0.920323 # DEPENDENCYPART_ARC
(2,3),0.32653 # DEPENDENCYPART_ARC
(2,4),0.186208 # DEPENDENCYPART_ARC
(2,5),-0.658486 # DEPENDENCYPART_ARC
(2,6),-1.24145 # DEPENDENCYPART_ARC
(2,7),-0.862302 # DEPENDENCYPART_ARC
(2,8),-1.44581 # DEPENDENCYPART_ARC
(2,10),-0.990363 # DEPENDENCYPART_ARC
(2,11),-1.66481 # DEPENDENCYPART_ARC
(2,13),-1.42021 # DEPENDENCYPART_ARC
(2,14),-1.55267 # DEPENDENCYPART_ARC
(2,16),-1.88922 # DEPENDENCYPART_ARC
(2,17),-0.80204 # DEPENDENCYPART_ARC
(3,1),-0.536206 # DEPENDENCYPART_ARC
(3,2),1.4014 # DEPENDENCYPART_ARC
(3,4),2.1463 # DEPENDENCYPART_ARC
(3,5),-0.131455 # DEPENDENCYPART_ARC
(3,6),-0.880309 # DEPENDENCYPART_ARC
(3,7),-0.566041 # DEPENDENCYPART_ARC
(3,8),-0.829938 # DEPENDENCYPART_ARC
(3,9),-0.575252 # DEPENDENCYPART_ARC
(3,10),-1.10421 # DEPENDENCYPART_ARC
(3,11),-1.18505 # DEPENDENCYPART_ARC
(3,12),-1.39552 # DEPENDENCYPART_ARC
(3,13),-1.06271 # DEPENDENCYPART_ARC
(3,14),-1.33253 # DEPENDENCYPART_ARC
(3,15),-1.36532 # DEPENDENCYPART_ARC
(3,16),-1.64866 # DEPENDENCYPART_ARC
(3,17),-0.851499 # DEPENDENCYPART_ARC
(4,1),-0.401458 # DEPENDENCYPART_ARC
(4,2),0.37405 # DEPENDENCYPART_ARC
