# _root_ giza jendea , sustrai eta guzi , zuhaitz bidaiariak gara .
#goldHeads=2,10,2,10,4,5,6,9,10,0,10,
#predictedHeads=2,5,2,5,9,5,6,9,10,0,10,
(0,1),-0.427171 # DEPENDENCYPART_ARC
(0,2),-0.998406 # DEPENDENCYPART_ARC
(0,3),-0.8437 # DEPENDENCYPART_ARC
(0,4),-0.923538 # DEPENDENCYPART_ARC
(0,5),-0.66665 # DEPENDENCYPART_ARC
(0,6),-1.20572 # DEPENDENCYPART_ARC
(0,7),-0.868657 # DEPENDENCYPART_ARC
(0,8),-0.857253 # DEPENDENCYPART_ARC
(0,9),-0.711039 # DEPENDENCYPART_ARC
(0,10),0.224907 # DEPENDENCYPART_ARC
(0,11),-1.28684 # DEPENDENCYPART_ARC
(1,2),0.506739 # DEPENDENCYPART_ARC
(1,3),-1.11264 # DEPENDENCYPART_ARC
(1,4),-1.00296 # DEPENDENCYPART_ARC
(1,5),-0.869998 # DEPENDENCYPART_ARC
(1,6),-0.983906 # DEPENDENCYPART_ARC
(1,7),-1.86036 # DEPENDENCYPART_ARC
(1,8),-1.32212 # DEPENDENCYPART_ARC
(1,9),-1.12573 # DEPENDENCYPART_ARC
(1,10),-1.38453 # DEPENDENCYPART_ARC
(1,11),-1.44791 # DEPENDENCYPART_ARC
(2,1),1.71577 # DEPENDENCYPART_ARC
(2,3),1.41544 # DEPENDENCYPART_ARC
(2,4),-0.410048 # DEPENDENCYPART_ARC
(2,5),-0.992467 # DEPENDENCYPART_ARC
(2,6),-0.91452 # DEPENDENCYPART_ARC
(2,7),-1.0012 # DEPENDENCYPART_ARC
(2,8),-1.42823 # DEPENDENCYPART_ARC
(2,9),-1.31399 # DEPENDENCYPART_ARC
(2,10),-1.81395 # DEPENDENCYPART_ARC
(2,11),-1.05515 # DEPENDENCYPART_ARC
(3,1),-0.802428 # DEPENDENCYPART_ARC
(3,2),-0.563394 # DEPENDENCYPART_ARC
(3,4),-0.452162 # DEPENDENCYPART_ARC
(3,5),-1.11397 # DEPENDENCYPART_ARC
(3,8),-1.08845 # DEPENDENCYPART_ARC
(3,9),-0.895258 # DEPENDENCYPART_ARC
(3,10),-1.05607 # DEPENDENCYPART_ARC
(4,1),-1.02434 # DEPENDENCYPART_ARC
(4,2),-0.532797 # DEPENDENCYPART_ARC
(4,3),0.126148 # DEPENDENCYPART_ARC
(4,5),0.47368 # DEPENDENCYPART_ARC
(4,6),0.137777 # DEPENDENCYPART_ARC
(4,7),-0.714877 # DEPENDENCYPART_ARC
(4,8),-0.996392 # DEPENDENCYPART_ARC
(4,9),-0.846658 # DEPENDENCYPART_ARC
(4,10),-1.22938 # DEPENDENCYPART_ARC
(4,11),-0.891817 # DEPENDENCYPART_ARC
(5,1),-0.123542 # DEPENDENCYPART_ARC
(5,2),0.510564 # DEPENDENCYPART_ARC
(5,3),-1.13086 # DEPENDENCYPART_ARC
(5,4),1.88312 # DEPENDENCYPART_ARC
(5,6),0.490584 # DEPENDENCYPART_ARC
(5,7),-0.130689 # DEPENDENCYPART_ARC
(5,8),-0.385151 # DEPENDENCYPART_ARC
(5,9),1.08248 # DEPENDENCYPART_ARC
(5,10),0.289222 # DEPENDENCYPART_ARC
(5,11),-0.833842 # DEPENDENCYPART_ARC
(6,1),-2.52082 # DEPENDENCYPART_ARC
(6,2),-2.47796 # DEPENDENCYPART_ARC
(6,3),-1.88953 # DEPENDENCYPART_ARC
(6,4),-1.73075 # DEPENDENCYPART_ARC
(6,7),1.83375 # DEPENDENCYPART_ARC
(6,8),-0.116138 # DEPENDENCYPART_ARC
(6,9),-0.389258 # DEPENDENCYPART_ARC
(6,10),-0.378741 # DEPENDENCYPART_ARC
(6,11),-0.099225 # DEPENDENCYPART_ARC
(7,1),-1.24103 # DEPENDENCYPART_ARC
(7,2),-1.44006 # DEPENDENCYPART_ARC
(7,4),-0.892839 # DEPENDENCYPART_ARC
(7,5),-0.793365 # DEPENDENCYPART_ARC
(7,8),-0.818975 # DEPENDENCYPART_ARC
(7,9),-1.2862 # DEPENDENCYPART_ARC
(7,10),-0.978599 # DEPENDENCYPART_ARC
(8,1),-1.85829 # DEPENDENCYPART_ARC
(8,2),-3.12668 # DEPENDENCYPART_ARC
(8,3),-1.75414 # DEPENDENCYPART_ARC
(8,4),-1.24864 # DEPENDENCYPART_ARC
(8,5),-0.696467 # DEPENDENCYPART_ARC
(8,6),-0.163497 # DEPENDENCYPART_ARC
(8,7),0.0248515 # DEPENDENCYPART_ARC
(8,9),1.32762 # DEPENDENCYPART_ARC
(8,10),-0.890464 # DEPENDENCYPART_ARC
(8,11),-0.349111 # DEPENDENCYPART_ARC
(9,1),-1.07487 # DEPENDENCYPART_ARC
(9,2),-1.95234 # DEPENDENCYPART_ARC
(9,3),-1.73945 # DEPENDENCYPART_ARC
(9,4),-0.875915 # DEPENDENCYPART_ARC
(9,5),0.157458 # DEPENDENCYPART_ARC
(9,6),-0.448409 # DEPENDENCYPART_ARC
(9,7),-0.856527 # DEPENDENCYPART_ARC
(9,8),1.86881 # DEPENDENCYPART_ARC
(9,10),-0.471768 # DEPENDENCYPART_ARC
(9,11),-0.318713 # DEPENDENCYPART_ARC
(10,1),-0.860042 # DEPENDENCYPART_ARC
(10,2),-0.537214 # DEPENDENCYPART_ARC
(10,3),-0.921252 # DEPENDENCYPART_ARC
(10,4),-0.831703 # DEPENDENCYPART_ARC
(10,5),-0.354875 # DEPENDENCYPART_ARC
(10,6),-0.171408 # DEPENDENCYPART_ARC
(10,7),-0.510575 # DEPENDENCYPART_ARC
(10,8),1.33434 # DEPENDENCYPART_ARC
(10,9),2.02648 # DEPENDENCYPART_ARC
(10,11),1.7809 # DEPENDENCYPART_ARC
(11,1),-1.93529 # DEPENDENCYPART_ARC
(11,2),-2.04341 # DEPENDENCYPART_ARC
(11,3),-1.53117 # DEPENDENCYPART_ARC
(11,4),-1.65218 # DEPENDENCYPART_ARC
(11,5),-1.17874 # DEPENDENCYPART_ARC
(11,7),-1.32983 # DEPENDENCYPART_ARC
(11,8),-0.960054 # DEPENDENCYPART_ARC
(11,9),-0.86343 # DEPENDENCYPART_ARC
