# _root_ politikarien_artean , jordi pujol_kataluniako erkidegoko presidentea egon zen , eta pp eta pscko ordezkariak ere han ziren .
#goldHeads=7,1,6,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
#predictedHeads=7,3,7,3,6,7,10,7,8,0,12,14,12,10,0,17,10,17,
(0,1),-0.751837 # DEPENDENCYPART_ARC
(0,2),-0.998749 # DEPENDENCYPART_ARC
(0,3),-0.513602 # DEPENDENCYPART_ARC
(0,4),-0.818085 # DEPENDENCYPART_ARC
(0,5),-0.895288 # DEPENDENCYPART_ARC
(0,6),-1.20881 # DEPENDENCYPART_ARC
(0,7),-0.568385 # DEPENDENCYPART_ARC
(0,8),-1.30319 # DEPENDENCYPART_ARC
(0,9),-1.30362 # DEPENDENCYPART_ARC
(0,10),0.504409 # DEPENDENCYPART_ARC
(0,11),-1.51609 # DEPENDENCYPART_ARC
(0,12),-1.33732 # DEPENDENCYPART_ARC
(0,13),-1.78622 # DEPENDENCYPART_ARC
(0,14),-1.20703 # DEPENDENCYPART_ARC
(0,15),2.54718 # DEPENDENCYPART_ARC
(0,16),-1.06449 # DEPENDENCYPART_ARC
(0,17),0.495753 # DEPENDENCYPART_ARC
(0,18),-2.73651 # DEPENDENCYPART_ARC
(1,2),-0.333308 # DEPENDENCYPART_ARC
(1,3),-0.430362 # DEPENDENCYPART_ARC
(1,4),-1.27972 # DEPENDENCYPART_ARC
(1,5),-1.01876 # DEPENDENCYPART_ARC
(1,6),-1.52054 # DEPENDENCYPART_ARC
(1,7),-2.71922 # DEPENDENCYPART_ARC
(1,8),-1.59854 # DEPENDENCYPART_ARC
(1,9),-1.49441 # DEPENDENCYPART_ARC
(1,10),-1.57217 # DEPENDENCYPART_ARC
(1,11),-1.18617 # DEPENDENCYPART_ARC
(1,12),-1.63262 # DEPENDENCYPART_ARC
(1,13),-2.24043 # DEPENDENCYPART_ARC
(1,14),-1.60109 # DEPENDENCYPART_ARC
(1,15),-1.90592 # DEPENDENCYPART_ARC
(1,16),-0.997377 # DEPENDENCYPART_ARC
(1,17),-2.27814 # DEPENDENCYPART_ARC
(1,18),-1.11924 # DEPENDENCYPART_ARC
(2,1),-0.479926 # DEPENDENCYPART_ARC
(2,3),-0.317573 # DEPENDENCYPART_ARC
(2,4),-0.837354 # DEPENDENCYPART_ARC
(2,5),-0.633745 # DEPENDENCYPART_ARC
(2,6),-0.764482 # DEPENDENCYPART_ARC
(2,7),-0.900985 # DEPENDENCYPART_ARC
(2,8),-0.775897 # DEPENDENCYPART_ARC
(2,9),-0.837411 # DEPENDENCYPART_ARC
(2,10),-1.66532 # DEPENDENCYPART_ARC
(2,11),-1.40704 # DEPENDENCYPART_ARC
