# _root_ joseba_egibarrek , berriz , " juan maria_jauregi hil zutenek gaiztokeriaz " jokatu zutela ziurtatu zuen .
#goldHeads=14,1,0,3,4,8,6,12,8,12,10,14,12,0,14,15,
#predictedHeads=12,1,0,3,4,8,6,12,8,12,10,14,12,0,14,15,
(0,1),-0.957314 # DEPENDENCYPART_ARC
(0,2),-0.915914 # DEPENDENCYPART_ARC
(0,3),1.9734 # DEPENDENCYPART_ARC
(0,4),-1.06923 # DEPENDENCYPART_ARC
(0,5),-0.411397 # DEPENDENCYPART_ARC
(0,6),-0.504587 # DEPENDENCYPART_ARC
(0,7),-0.827554 # DEPENDENCYPART_ARC
(0,8),-0.615021 # DEPENDENCYPART_ARC
(0,9),-0.899193 # DEPENDENCYPART_ARC
(0,10),-1.05689 # DEPENDENCYPART_ARC
(0,11),-1.3987 # DEPENDENCYPART_ARC
(0,12),0.431598 # DEPENDENCYPART_ARC
(0,13),-0.798805 # DEPENDENCYPART_ARC
(0,14),0.301282 # DEPENDENCYPART_ARC
(0,15),-0.521656 # DEPENDENCYPART_ARC
(0,16),-1.9448 # DEPENDENCYPART_ARC
(1,2),0.644482 # DEPENDENCYPART_ARC
(1,3),0.274998 # DEPENDENCYPART_ARC
(1,4),-0.267833 # DEPENDENCYPART_ARC
(1,5),-0.813932 # DEPENDENCYPART_ARC
(1,6),-0.8759 # DEPENDENCYPART_ARC
(1,7),-1.87956 # DEPENDENCYPART_ARC
(1,8),-1.13801 # DEPENDENCYPART_ARC
(1,9),-0.319337 # DEPENDENCYPART_ARC
(1,10),-1.29322 # DEPENDENCYPART_ARC
(1,11),-0.708629 # DEPENDENCYPART_ARC
(1,12),-1.75609 # DEPENDENCYPART_ARC
(1,13),-1.57928 # DEPENDENCYPART_ARC
(1,14),-2.25012 # DEPENDENCYPART_ARC
(1,15),-1.54394 # DEPENDENCYPART_ARC
(1,16),-0.792619 # DEPENDENCYPART_ARC
(2,1),-0.869724 # DEPENDENCYPART_ARC
(2,3),-0.458345 # DEPENDENCYPART_ARC
(2,4),-0.439042 # DEPENDENCYPART_ARC
(2,5),-0.21366 # DEPENDENCYPART_ARC
(2,6),-0.922382 # DEPENDENCYPART_ARC
(2,7),-0.848245 # DEPENDENCYPART_ARC
(2,8),-1.21047 # DEPENDENCYPART_ARC
(2,9),-1.28755 # DEPENDENCYPART_ARC
(2,10),-1.03112 # DEPENDENCYPART_ARC
(2,11),-1.10842 # DEPENDENCYPART_ARC
(2,12),-1.53628 # DEPENDENCYPART_ARC
(2,13),-1.0806 # DEPENDENCYPART_ARC
(2,14),-1.50111 # DEPENDENCYPART_ARC
(2,15),-1.19712 # DEPENDENCYPART_ARC
(2,16),-1.78929 # DEPENDENCYPART_ARC
(3,1),-1.67789 # DEPENDENCYPART_ARC
(3,2),-0.149865 # DEPENDENCYPART_ARC
(3,4),1.76358 # DEPENDENCYPART_ARC
(3,5),-0.0541979 # DEPENDENCYPART_ARC
(3,6),-1.62795 # DEPENDENCYPART_ARC
(3,7),-0.817792 # DEPENDENCYPART_ARC
(3,8),-1.2907 # DEPENDENCYPART_ARC
(3,9),-1.05452 # DEPENDENCYPART_ARC
(3,10),-1.22809 # DEPENDENCYPART_ARC
(3,11),-1.00987 # DEPENDENCYPART_ARC
(3,12),-1.67816 # DEPENDENCYPART_ARC
(3,13),-1.1067 # DEPENDENCYPART_ARC
(3,14),-1.86826 # DEPENDENCYPART_ARC
(3,15),-1.53119 # DEPENDENCYPART_ARC
(3,16),-1.24636 # DEPENDENCYPART_ARC
(4,1),-1.34217 # DEPENDENCYPART_ARC
(4,2),-1.42018 # DEPENDENCYPART_ARC
(4,3),-0.392808 # DEPENDENCYPART_ARC
(4,5),1.80331 # DEPENDENCYPART_ARC
(4,6),-1.10381 # DEPENDENCYPART_ARC
(4,7),-0.796195 # DEPENDENCYPART_ARC
(4,8),-1.22178 # DEPENDENCYPART_ARC
(4,9),-0.980967 # DEPENDENCYPART_ARC
(4,10),-1.12147 # DEPENDENCYPART_ARC
(4,11),-0.356121 # DEPENDENCYPART_ARC
(4,12),-1.62034 # DEPENDENCYPART_ARC
(4,13),-0.996427 # DEPENDENCYPART_ARC
(4,14),-1.52666 # DEPENDENCYPART_ARC
(4,15),-0.775405 # DEPENDENCYPART_ARC
(4,16),-1.11343 # DEPENDENCYPART_ARC
(5,1),-1.44798 # DEPENDENCYPART_ARC
(5,2),-1.31422 # DEPENDENCYPART_ARC
(5,3),-1.16071 # DEPENDENCYPART_ARC
(5,4),-0.693734 # DEPENDENCYPART_ARC
(5,6),-1.06543 # DEPENDENCYPART_ARC
(5,7),-1.63649 # DEPENDENCYPART_ARC
(5,8),-1.19246 # DEPENDENCYPART_ARC
(5,9),-1.20046 # DEPENDENCYPART_ARC
(5,10),-1.56517 # DEPENDENCYPART_ARC
(5,11),-0.468489 # DEPENDENCYPART_ARC
(5,12),-1.88047 # DEPENDENCYPART_ARC
(5,13),-1.1047 # DEPENDENCYPART_ARC
(5,14),-1.77053 # DEPENDENCYPART_ARC
(5,15),-0.887996 # DEPENDENCYPART_ARC
(5,16),-1.15185 # DEPENDENCYPART_ARC
(6,1),-3.38985 # DEPENDENCYPART_ARC
(6,2),-1.75228 # DEPENDENCYPART_ARC
(6,3),-1.23077 # DEPENDENCYPART_ARC
(6,4),-1.3204 # DEPENDENCYPART_ARC
(6,5),-0.452206 # DEPENDENCYPART_ARC
(6,7),2.92271 # DEPENDENCYPART_ARC
(6,8),0.166019 # DEPENDENCYPART_ARC
(6,9),0.000985194 # DEPENDENCYPART_ARC
(6,10),0.774683 # DEPENDENCYPART_ARC
(6,11),0.168729 # DEPENDENCYPART_ARC
(6,12),-0.740326 # DEPENDENCYPART_ARC
