# _root_ bestetik , nicolas_redondo_terreros_pse-eeko idazkari nagusiaren ustez , proposamen horrek " pp bere iraganera itzularazten du " .
#goldHeads=14,3,4,6,4,14,6,14,8,9,14,13,14,0,14,15,16,
#predictedHeads=0,3,4,6,4,14,6,14,8,9,14,13,14,0,14,15,16,
(0,1),-0.0481162 # DEPENDENCYPART_ARC
(0,2),-0.958843 # DEPENDENCYPART_ARC
(0,4),-1.0692 # DEPENDENCYPART_ARC
(0,5),-1.76793 # DEPENDENCYPART_ARC
(0,6),-0.79638 # DEPENDENCYPART_ARC
(0,7),-0.993132 # DEPENDENCYPART_ARC
(0,8),-0.93236 # DEPENDENCYPART_ARC
(0,9),-1.64122 # DEPENDENCYPART_ARC
(0,10),-1.03711 # DEPENDENCYPART_ARC
(0,11),-0.507402 # DEPENDENCYPART_ARC
(0,13),-1.796 # DEPENDENCYPART_ARC
(0,14),0.0212206 # DEPENDENCYPART_ARC
(0,15),-0.545466 # DEPENDENCYPART_ARC
(0,16),-2.01444 # DEPENDENCYPART_ARC
(0,17),-1.42011 # DEPENDENCYPART_ARC
(1,2),-0.359662 # DEPENDENCYPART_ARC
(1,4),-1.91469 # DEPENDENCYPART_ARC
(1,5),-2.30543 # DEPENDENCYPART_ARC
(1,6),-2.00224 # DEPENDENCYPART_ARC
(1,7),-2.00093 # DEPENDENCYPART_ARC
(1,8),-2.1493 # DEPENDENCYPART_ARC
(1,9),-2.03782 # DEPENDENCYPART_ARC
(1,10),-1.9923 # DEPENDENCYPART_ARC
(1,11),-2.04854 # DEPENDENCYPART_ARC
(1,13),-2.35137 # DEPENDENCYPART_ARC
(1,16),-2.12711 # DEPENDENCYPART_ARC
(1,17),-2.53039 # DEPENDENCYPART_ARC
(2,1),-0.425516 # DEPENDENCYPART_ARC
(2,4),-1.09737 # DEPENDENCYPART_ARC
(2,5),-0.955334 # DEPENDENCYPART_ARC
(2,8),-1.21009 # DEPENDENCYPART_ARC
(2,10),-0.650249 # DEPENDENCYPART_ARC
(2,13),-0.957028 # DEPENDENCYPART_ARC
(2,15),-1.53677 # DEPENDENCYPART_ARC
(2,16),-1.3359 # DEPENDENCYPART_ARC
(3,2),-0.011021 # DEPENDENCYPART_ARC
(3,7),-0.547434 # DEPENDENCYPART_ARC
(3,10),-0.626148 # DEPENDENCYPART_ARC
(3,16),-0.934403 # DEPENDENCYPART_ARC
(3,17),-0.886369 # DEPENDENCYPART_ARC
(4,1),-0.180762 # DEPENDENCYPART_ARC
(4,2),-0.5066 # DEPENDENCYPART_ARC
(4,3),0.834635 # DEPENDENCYPART_ARC
(4,5),2.18198 # DEPENDENCYPART_ARC
(4,6),0.0156767 # DEPENDENCYPART_ARC
(4,7),-0.320342 # DEPENDENCYPART_ARC
(4,8),-0.348444 # DEPENDENCYPART_ARC
(4,9),0.0714995 # DEPENDENCYPART_ARC
(4,10),-0.600926 # DEPENDENCYPART_ARC
(4,11),-0.641978 # DEPENDENCYPART_ARC
(4,12),-0.610314 # DEPENDENCYPART_ARC
(4,13),-0.820593 # DEPENDENCYPART_ARC
(4,14),-0.758283 # DEPENDENCYPART_ARC
(4,15),-0.922656 # DEPENDENCYPART_ARC
(4,16),-1.03928 # DEPENDENCYPART_ARC
(4,17),-0.961082 # DEPENDENCYPART_ARC
(5,1),-2.02684 # DEPENDENCYPART_ARC
(5,2),-1.09861 # DEPENDENCYPART_ARC
(5,4),0.0904887 # DEPENDENCYPART_ARC
(5,6),-0.0536785 # DEPENDENCYPART_ARC
(5,7),-0.368457 # DEPENDENCYPART_ARC
(5,8),-1.47473 # DEPENDENCYPART_ARC
(5,9),-2.83739 # DEPENDENCYPART_ARC
(5,10),-0.785459 # DEPENDENCYPART_ARC
(5,11),-2.16602 # DEPENDENCYPART_ARC
(5,12),-2.03532 # DEPENDENCYPART_ARC
(5,13),-1.90834 # DEPENDENCYPART_ARC
