# _root_ gobernuak , hilabete sari aurrezki planaren_bidez , pentsio fondoak " ehortzi " dituela zehaztu zuen .
#goldHeads=14,3,4,5,6,11,6,9,11,9,14,11,11,0,14,15,
#predictedHeads=11,3,4,5,6,11,6,9,11,9,14,11,11,0,14,15,
(0,1),-0.949377 # DEPENDENCYPART_ARC
(0,2),-1.042 # DEPENDENCYPART_ARC
(0,3),-0.714391 # DEPENDENCYPART_ARC
(0,4),-0.854423 # DEPENDENCYPART_ARC
(0,5),-0.966339 # DEPENDENCYPART_ARC
(0,6),-1.39401 # DEPENDENCYPART_ARC
(0,7),-1.28527 # DEPENDENCYPART_ARC
(0,8),-1.09727 # DEPENDENCYPART_ARC
(0,9),-1.55276 # DEPENDENCYPART_ARC
(0,10),-2.22106 # DEPENDENCYPART_ARC
(0,11),0.0610971 # DEPENDENCYPART_ARC
(0,12),-2.33894 # DEPENDENCYPART_ARC
(0,13),-1.23252 # DEPENDENCYPART_ARC
(0,14),-0.58038 # DEPENDENCYPART_ARC
(0,15),-0.852153 # DEPENDENCYPART_ARC
(0,16),-2.32025 # DEPENDENCYPART_ARC
(1,2),-0.750775 # DEPENDENCYPART_ARC
(1,3),-0.447751 # DEPENDENCYPART_ARC
(1,4),-1.18469 # DEPENDENCYPART_ARC
(1,5),-1.37719 # DEPENDENCYPART_ARC
(1,6),-2.58015 # DEPENDENCYPART_ARC
(1,7),-2.10686 # DEPENDENCYPART_ARC
(1,8),-1.84964 # DEPENDENCYPART_ARC
(1,9),-2.19154 # DEPENDENCYPART_ARC
(1,10),-1.67951 # DEPENDENCYPART_ARC
(1,11),-2.07048 # DEPENDENCYPART_ARC
(1,12),-2.03932 # DEPENDENCYPART_ARC
(1,13),-3.36908 # DEPENDENCYPART_ARC
(1,14),-2.79219 # DEPENDENCYPART_ARC
(1,15),-2.52712 # DEPENDENCYPART_ARC
(1,16),-1.65048 # DEPENDENCYPART_ARC
(2,1),-0.66114 # DEPENDENCYPART_ARC
(2,3),-0.323824 # DEPENDENCYPART_ARC
(2,4),-0.902181 # DEPENDENCYPART_ARC
(2,5),-0.732054 # DEPENDENCYPART_ARC
(2,6),-0.716407 # DEPENDENCYPART_ARC
(2,8),-1.17046 # DEPENDENCYPART_ARC
(2,9),-0.819566 # DEPENDENCYPART_ARC
(2,10),-1.03328 # DEPENDENCYPART_ARC
(2,11),-1.83644 # DEPENDENCYPART_ARC
(2,12),-1.35026 # DEPENDENCYPART_ARC
(2,13),-1.13015 # DEPENDENCYPART_ARC
(2,14),-1.77115 # DEPENDENCYPART_ARC
(2,15),-1.22467 # DEPENDENCYPART_ARC
(3,1),-0.649756 # DEPENDENCYPART_ARC
(3,2),-0.33139 # DEPENDENCYPART_ARC
(3,4),0.938937 # DEPENDENCYPART_ARC
(3,5),-0.11483 # DEPENDENCYPART_ARC
(3,6),-0.551139 # DEPENDENCYPART_ARC
(3,7),-0.663737 # DEPENDENCYPART_ARC
(3,8),-1.14015 # DEPENDENCYPART_ARC
(3,9),-0.974991 # DEPENDENCYPART_ARC
(3,10),-0.718044 # DEPENDENCYPART_ARC
(3,11),-0.764247 # DEPENDENCYPART_ARC
(3,12),-1.30921 # DEPENDENCYPART_ARC
(3,13),-1.4126 # DEPENDENCYPART_ARC
(3,14),-1.2342 # DEPENDENCYPART_ARC
(3,15),-1.47941 # DEPENDENCYPART_ARC
(3,16),-1.18348 # DEPENDENCYPART_ARC
(4,1),-1.85799 # DEPENDENCYPART_ARC
(4,2),-1.12411 # DEPENDENCYPART_ARC
(4,3),1.29981 # DEPENDENCYPART_ARC
(4,5),0.764067 # DEPENDENCYPART_ARC
(4,6),-0.749031 # DEPENDENCYPART_ARC
(4,7),-0.614474 # DEPENDENCYPART_ARC
(4,8),-0.966763 # DEPENDENCYPART_ARC
(4,9),-1.19409 # DEPENDENCYPART_ARC
(4,10),-0.819909 # DEPENDENCYPART_ARC
(4,11),-1.14313 # DEPENDENCYPART_ARC
(4,12),-1.42544 # DEPENDENCYPART_ARC
(4,13),-2.01721 # DEPENDENCYPART_ARC
(4,14),-1.49664 # DEPENDENCYPART_ARC
(4,15),-1.72362 # DEPENDENCYPART_ARC
(4,16),-1.24713 # DEPENDENCYPART_ARC
(5,1),-2.11772 # DEPENDENCYPART_ARC
(5,2),-1.43864 # DEPENDENCYPART_ARC
(5,3),0.289481 # DEPENDENCYPART_ARC
(5,4),1.44677 # DEPENDENCYPART_ARC
(5,6),0.0635277 # DEPENDENCYPART_ARC
(5,7),-0.00321559 # DEPENDENCYPART_ARC
