# _root_ hala ekarri dituzte antton_lopez ruiz algecirastik langraizera , joxean etxebarri_aiesta jaendik langraizera , eta iñigo_azkue eta jose_antonio galarraga mansillatik langraizera .
#goldHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,14,16,17,2,2,20,
#predictedHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,2,16,17,2,2,20,
(0,1),0.634384 # DEPENDENCYPART_ARC
(0,2),0.652694 # DEPENDENCYPART_ARC
(0,3),0.0650991 # DEPENDENCYPART_ARC
(0,4),-0.859112 # DEPENDENCYPART_ARC
(0,5),-0.320739 # DEPENDENCYPART_ARC
(0,6),-0.971717 # DEPENDENCYPART_ARC
(0,7),-1.279 # DEPENDENCYPART_ARC
(0,8),-0.915308 # DEPENDENCYPART_ARC
(0,9),-1.01716 # DEPENDENCYPART_ARC
(0,10),-1.12065 # DEPENDENCYPART_ARC
(0,11),-1.31743 # DEPENDENCYPART_ARC
(0,12),-1.54217 # DEPENDENCYPART_ARC
(0,13),-1.46525 # DEPENDENCYPART_ARC
(0,14),-0.188515 # DEPENDENCYPART_ARC
(0,15),-1.30661 # DEPENDENCYPART_ARC
(0,16),-1.79231 # DEPENDENCYPART_ARC
(0,17),-1.29298 # DEPENDENCYPART_ARC
(0,18),-1.01014 # DEPENDENCYPART_ARC
(0,19),-1.50501 # DEPENDENCYPART_ARC
(0,20),-1.73933 # DEPENDENCYPART_ARC
(0,21),-3.32436 # DEPENDENCYPART_ARC
(1,2),-1.27102 # DEPENDENCYPART_ARC
(1,3),-1.27421 # DEPENDENCYPART_ARC
(1,4),-1.6915 # DEPENDENCYPART_ARC
(1,5),-1.74527 # DEPENDENCYPART_ARC
(1,6),-1.7808 # DEPENDENCYPART_ARC
(1,7),-1.80935 # DEPENDENCYPART_ARC
(1,8),-2.01299 # DEPENDENCYPART_ARC
(1,9),-1.99805 # DEPENDENCYPART_ARC
(1,10),-1.94841 # DEPENDENCYPART_ARC
(1,11),-1.90078 # DEPENDENCYPART_ARC
(1,12),-1.96077 # DEPENDENCYPART_ARC
(1,13),-2.19119 # DEPENDENCYPART_ARC
(1,14),-2.35838 # DEPENDENCYPART_ARC
(1,15),-2.21847 # DEPENDENCYPART_ARC
(1,16),-2.22959 # DEPENDENCYPART_ARC
(1,17),-2.27152 # DEPENDENCYPART_ARC
(1,18),-2.14526 # DEPENDENCYPART_ARC
(1,19),-2.21088 # DEPENDENCYPART_ARC
(1,20),-2.15904 # DEPENDENCYPART_ARC
(1,21),-2.4074 # DEPENDENCYPART_ARC
