# _root_ horrela zeudela , john_wayne famatuarengana joatea erabaki zuten , beren loria egunetan john_wayne beren adiskidea izan zelako .
#goldHeads=2,7,2,6,4,7,0,7,8,12,12,16,16,15,16,7,16,17,
#predictedHeads=2,6,2,6,6,7,0,7,8,11,12,16,15,13,16,7,16,17,
(0,1),0.2647 # DEPENDENCYPART_ARC
(0,2),-0.651764 # DEPENDENCYPART_ARC
(0,3),-0.837233 # DEPENDENCYPART_ARC
(0,4),-0.294896 # DEPENDENCYPART_ARC
(0,5),-1.56002 # DEPENDENCYPART_ARC
(0,6),-0.835864 # DEPENDENCYPART_ARC
(0,7),0.100167 # DEPENDENCYPART_ARC
(0,8),-0.425472 # DEPENDENCYPART_ARC
(0,9),-0.496013 # DEPENDENCYPART_ARC
(0,11),-1.40394 # DEPENDENCYPART_ARC
(0,12),-1.74787 # DEPENDENCYPART_ARC
(0,13),-1.96354 # DEPENDENCYPART_ARC
(0,15),-1.27588 # DEPENDENCYPART_ARC
(0,16),-1.44463 # DEPENDENCYPART_ARC
(0,17),-0.845325 # DEPENDENCYPART_ARC
(0,18),-2.10917 # DEPENDENCYPART_ARC
(1,2),-0.421561 # DEPENDENCYPART_ARC
(1,3),-1.20411 # DEPENDENCYPART_ARC
(1,4),-1.59374 # DEPENDENCYPART_ARC
(1,5),-2.11142 # DEPENDENCYPART_ARC
(1,6),-1.98785 # DEPENDENCYPART_ARC
(1,7),-2.10638 # DEPENDENCYPART_ARC
(1,8),-1.92677 # DEPENDENCYPART_ARC
(1,9),-2.03389 # DEPENDENCYPART_ARC
(1,10),-2.23163 # DEPENDENCYPART_ARC
(1,11),-1.81125 # DEPENDENCYPART_ARC
(1,12),-1.91135 # DEPENDENCYPART_ARC
(1,13),-1.97006 # DEPENDENCYPART_ARC
(1,14),-2.48266 # DEPENDENCYPART_ARC
(1,15),-2.02702 # DEPENDENCYPART_ARC
(1,16),-2.35717 # DEPENDENCYPART_ARC
(1,17),-2.18271 # DEPENDENCYPART_ARC
(1,18),-2.22621 # DEPENDENCYPART_ARC
(2,1),1.63826 # DEPENDENCYPART_ARC
(2,3),1.38379 # DEPENDENCYPART_ARC
(2,4),-0.0630361 # DEPENDENCYPART_ARC
(2,5),-1.79744 # DEPENDENCYPART_ARC
(2,6),-0.619192 # DEPENDENCYPART_ARC
