# _root_ " ekintza guztietan material asko kendu digute , telefono mobilak , mendiko materiala ... portugalen kendu zizkiguten hiru furgonetak ez dizkigute itzuli " .
#goldHeads=0,6,2,6,4,8,6,0,11,9,4,13,11,13,16,19,16,19,22,22,22,8,22,23,
#predictedHeads=0,6,2,6,4,0,6,7,22,9,10,13,16,13,16,22,16,19,22,22,22,6,22,23,
(0,1),1.38705 # DEPENDENCYPART_ARC
(0,2),-0.71146 # DEPENDENCYPART_ARC
(0,3),-1.28946 # DEPENDENCYPART_ARC
(0,4),-0.92414 # DEPENDENCYPART_ARC
(0,5),-1.36432 # DEPENDENCYPART_ARC
(0,6),-0.0827808 # DEPENDENCYPART_ARC
(0,7),-0.863284 # DEPENDENCYPART_ARC
(0,8),-0.677308 # DEPENDENCYPART_ARC
(0,9),-1.4821 # DEPENDENCYPART_ARC
(0,10),-1.31424 # DEPENDENCYPART_ARC
(0,11),-0.576456 # DEPENDENCYPART_ARC
(0,12),-1.42353 # DEPENDENCYPART_ARC
(0,13),-1.33385 # DEPENDENCYPART_ARC
(0,14),-0.897322 # DEPENDENCYPART_ARC
(0,15),-1.83059 # DEPENDENCYPART_ARC
(0,16),-0.401616 # DEPENDENCYPART_ARC
(0,17),-0.788869 # DEPENDENCYPART_ARC
(0,18),-1.35843 # DEPENDENCYPART_ARC
(0,19),-2.05796 # DEPENDENCYPART_ARC
(0,20),-1.49424 # DEPENDENCYPART_ARC
(0,21),-1.35585 # DEPENDENCYPART_ARC
(0,22),-1.96253 # DEPENDENCYPART_ARC
(0,23),-3.82184 # DEPENDENCYPART_ARC
(0,24),-3.13073 # DEPENDENCYPART_ARC
(1,2),-2.00347 # DEPENDENCYPART_ARC
(1,3),-2.20303 # DEPENDENCYPART_ARC
(1,4),-2.33506 # DEPENDENCYPART_ARC
(1,5),-2.39743 # DEPENDENCYPART_ARC
(1,6),-2.26959 # DEPENDENCYPART_ARC
(1,7),-1.99569 # DEPENDENCYPART_ARC
(1,8),-1.58208 # DEPENDENCYPART_ARC
(1,9),-3.27184 # DEPENDENCYPART_ARC
(1,10),-2.42724 # DEPENDENCYPART_ARC
(1,11),-2.0035 # DEPENDENCYPART_ARC
(1,12),-3.12792 # DEPENDENCYPART_ARC
(1,13),-2.87725 # DEPENDENCYPART_ARC
(1,14),-2.54575 # DEPENDENCYPART_ARC
(1,15),-3.23166 # DEPENDENCYPART_ARC
(1,16),-2.74034 # DEPENDENCYPART_ARC
(1,17),-2.1236 # DEPENDENCYPART_ARC
(1,18),-2.63829 # DEPENDENCYPART_ARC
(1,19),-3.14567 # DEPENDENCYPART_ARC
(1,20),-2.67516 # DEPENDENCYPART_ARC
(1,21),-2.16203 # DEPENDENCYPART_ARC
(1,22),-3.02805 # DEPENDENCYPART_ARC
(1,23),-3.09136 # DEPENDENCYPART_ARC
(1,24),-3.30078 # DEPENDENCYPART_ARC
(2,1),-0.219491 # DEPENDENCYPART_ARC
(2,3),2.68741 # DEPENDENCYPART_ARC
(2,4),-0.236613 # DEPENDENCYPART_ARC
(2,5),1.18048 # DEPENDENCYPART_ARC
(2,6),-1.02666 # DEPENDENCYPART_ARC
(2,7),-0.60715 # DEPENDENCYPART_ARC
(2,8),-0.614937 # DEPENDENCYPART_ARC
(2,9),-1.04766 # DEPENDENCYPART_ARC
(2,10),-1.09562 # DEPENDENCYPART_ARC
(2,11),-0.926913 # DEPENDENCYPART_ARC
(2,12),-0.679419 # DEPENDENCYPART_ARC
(2,13),-0.545833 # DEPENDENCYPART_ARC
(2,14),-0.688721 # DEPENDENCYPART_ARC
(2,15),-1.21729 # DEPENDENCYPART_ARC
(2,16),-1.40618 # DEPENDENCYPART_ARC
(2,17),-0.895497 # DEPENDENCYPART_ARC
(2,18),-1.64932 # DEPENDENCYPART_ARC
(2,19),-1.70857 # DEPENDENCYPART_ARC
(2,20),-1.17011 # DEPENDENCYPART_ARC
(2,21),-1.58416 # DEPENDENCYPART_ARC
(2,22),-1.43336 # DEPENDENCYPART_ARC
(2,23),-1.80318 # DEPENDENCYPART_ARC
(2,24),-1.29609 # DEPENDENCYPART_ARC
(3,1),-0.93338 # DEPENDENCYPART_ARC
(3,2),-0.123378 # DEPENDENCYPART_ARC
(3,4),-0.763719 # DEPENDENCYPART_ARC
(3,5),-1.92446 # DEPENDENCYPART_ARC
(3,6),-2.16138 # DEPENDENCYPART_ARC
(3,7),-1.9364 # DEPENDENCYPART_ARC
(3,8),-1.18458 # DEPENDENCYPART_ARC
(3,9),-1.93474 # DEPENDENCYPART_ARC
