# _root_ preso gasteiztarrak , gainera , bere garaian esan zuen azken egunetan egarri greba hasteko asmoa duela .
#goldHeads=8,1,2,0,4,7,8,0,8,11,8,13,14,16,16,8,16,
#predictedHeads=8,1,2,0,4,7,8,0,8,11,14,13,14,15,16,8,16,
(0,1),-0.679125 # DEPENDENCYPART_ARC
(0,2),-1.62044 # DEPENDENCYPART_ARC
(0,3),-0.69039 # DEPENDENCYPART_ARC
(0,4),1.70015 # DEPENDENCYPART_ARC
(0,5),-0.881508 # DEPENDENCYPART_ARC
(0,6),-1.40839 # DEPENDENCYPART_ARC
(0,7),-1.37067 # DEPENDENCYPART_ARC
(0,8),0.822041 # DEPENDENCYPART_ARC
(0,9),-1.02929 # DEPENDENCYPART_ARC
(0,10),-1.22977 # DEPENDENCYPART_ARC
(0,11),-1.79934 # DEPENDENCYPART_ARC
(0,12),-1.53728 # DEPENDENCYPART_ARC
(0,13),-2.00046 # DEPENDENCYPART_ARC
(0,14),-1.53626 # DEPENDENCYPART_ARC
(0,15),-1.35449 # DEPENDENCYPART_ARC
(0,16),-1.88355 # DEPENDENCYPART_ARC
(0,17),-2.09973 # DEPENDENCYPART_ARC
(1,2),1.99276 # DEPENDENCYPART_ARC
(1,3),-0.461969 # DEPENDENCYPART_ARC
(1,4),-0.508652 # DEPENDENCYPART_ARC
(1,5),-1.09609 # DEPENDENCYPART_ARC
(1,6),-0.405232 # DEPENDENCYPART_ARC
(1,7),-0.696037 # DEPENDENCYPART_ARC
(1,8),-0.728055 # DEPENDENCYPART_ARC
(1,9),-1.2126 # DEPENDENCYPART_ARC
(1,10),-1.05622 # DEPENDENCYPART_ARC
(1,11),-0.999968 # DEPENDENCYPART_ARC
(1,12),-0.843907 # DEPENDENCYPART_ARC
(1,13),-1.00859 # DEPENDENCYPART_ARC
(1,14),-1.12832 # DEPENDENCYPART_ARC
(1,15),-1.23817 # DEPENDENCYPART_ARC
(1,16),-0.858922 # DEPENDENCYPART_ARC
(1,17),-1.48715 # DEPENDENCYPART_ARC
(2,1),0.154804 # DEPENDENCYPART_ARC
(2,3),1.31256 # DEPENDENCYPART_ARC
(2,4),-1.11174 # DEPENDENCYPART_ARC
(2,5),-0.461996 # DEPENDENCYPART_ARC
(2,6),-1.16266 # DEPENDENCYPART_ARC
(2,7),-3.34106 # DEPENDENCYPART_ARC
(2,8),-1.99894 # DEPENDENCYPART_ARC
(2,9),-2.39459 # DEPENDENCYPART_ARC
(2,10),-1.18787 # DEPENDENCYPART_ARC
(2,11),-3.75415 # DEPENDENCYPART_ARC
(2,12),-2.27449 # DEPENDENCYPART_ARC
(2,13),-3.02417 # DEPENDENCYPART_ARC
(2,14),-1.70883 # DEPENDENCYPART_ARC
(2,15),-3.31255 # DEPENDENCYPART_ARC
(2,16),-3.42533 # DEPENDENCYPART_ARC
(2,17),-0.889855 # DEPENDENCYPART_ARC
(3,1),-0.695148 # DEPENDENCYPART_ARC
(3,2),0.155485 # DEPENDENCYPART_ARC
(3,4),-0.204818 # DEPENDENCYPART_ARC
(3,5),-0.290461 # DEPENDENCYPART_ARC
(3,6),-1.52347 # DEPENDENCYPART_ARC
(3,7),-0.830031 # DEPENDENCYPART_ARC
(3,8),-0.723411 # DEPENDENCYPART_ARC
(3,9),-0.912157 # DEPENDENCYPART_ARC
(3,10),-1.79128 # DEPENDENCYPART_ARC
(3,11),-1.41114 # DEPENDENCYPART_ARC
(3,12),-1.47222 # DEPENDENCYPART_ARC
(3,13),-1.44004 # DEPENDENCYPART_ARC
(3,14),-1.46766 # DEPENDENCYPART_ARC
(3,15),-1.6525 # DEPENDENCYPART_ARC
(3,16),-1.80416 # DEPENDENCYPART_ARC
(3,17),-1.43231 # DEPENDENCYPART_ARC
(4,1),-1.10503 # DEPENDENCYPART_ARC
(4,2),-0.874784 # DEPENDENCYPART_ARC
(4,3),-0.450228 # DEPENDENCYPART_ARC
(4,5),0.853747 # DEPENDENCYPART_ARC
(4,6),-1.79713 # DEPENDENCYPART_ARC
(4,7),-1.15741 # DEPENDENCYPART_ARC
(4,8),-0.727875 # DEPENDENCYPART_ARC
(4,9),-1.54996 # DEPENDENCYPART_ARC
(4,10),-1.87423 # DEPENDENCYPART_ARC
