# _root_ ertzaintzaren_arabera , indar handiko suziri bat bota zioten , banketxearen eta goiko etxebizitza baten leihoak hautsiz .
#goldHeads=7,1,5,3,7,5,0,7,8,11,15,13,11,13,16,7,16,
#predictedHeads=7,3,7,3,7,5,0,7,8,11,13,11,15,13,16,7,16,
(0,1),-0.824027 # DEPENDENCYPART_ARC
(0,2),-1.0181 # DEPENDENCYPART_ARC
(0,3),-0.889706 # DEPENDENCYPART_ARC
(0,4),-1.89422 # DEPENDENCYPART_ARC
(0,5),-1.80904 # DEPENDENCYPART_ARC
(0,6),-1.48456 # DEPENDENCYPART_ARC
(0,7),0.126703 # DEPENDENCYPART_ARC
(0,8),-1.22227 # DEPENDENCYPART_ARC
(0,9),-0.762701 # DEPENDENCYPART_ARC
(0,10),-1.60776 # DEPENDENCYPART_ARC
(0,11),-1.07504 # DEPENDENCYPART_ARC
(0,12),-1.77754 # DEPENDENCYPART_ARC
(0,13),-1.99069 # DEPENDENCYPART_ARC
(0,14),-1.76115 # DEPENDENCYPART_ARC
(0,15),-1.79795 # DEPENDENCYPART_ARC
(0,16),-1.2626 # DEPENDENCYPART_ARC
(0,17),-2.07235 # DEPENDENCYPART_ARC
(1,2),0.0300425 # DEPENDENCYPART_ARC
(1,3),-0.963324 # DEPENDENCYPART_ARC
(1,4),-1.48256 # DEPENDENCYPART_ARC
(1,5),-1.33673 # DEPENDENCYPART_ARC
(1,6),-1.02835 # DEPENDENCYPART_ARC
(1,7),-2.7403 # DEPENDENCYPART_ARC
(1,9),-1.29239 # DEPENDENCYPART_ARC
(1,10),-2.81785 # DEPENDENCYPART_ARC
(1,12),-1.9781 # DEPENDENCYPART_ARC
(1,13),-1.93613 # DEPENDENCYPART_ARC
(1,14),-2.06794 # DEPENDENCYPART_ARC
(1,15),-2.96475 # DEPENDENCYPART_ARC
(1,16),-2.64381 # DEPENDENCYPART_ARC
(1,17),-1.06349 # DEPENDENCYPART_ARC
(2,1),-0.596497 # DEPENDENCYPART_ARC
(2,3),-0.90766 # DEPENDENCYPART_ARC
(2,4),-0.877131 # DEPENDENCYPART_ARC
(2,5),-1.02999 # DEPENDENCYPART_ARC
(2,6),-1.23702 # DEPENDENCYPART_ARC
(2,7),-1.09299 # DEPENDENCYPART_ARC
(2,8),-1.10909 # DEPENDENCYPART_ARC
(2,10),-1.80615 # DEPENDENCYPART_ARC
(2,11),-1.6444 # DEPENDENCYPART_ARC
(2,12),-1.5609 # DEPENDENCYPART_ARC
(2,13),-1.80001 # DEPENDENCYPART_ARC
(2,14),-1.21677 # DEPENDENCYPART_ARC
(2,15),-1.78125 # DEPENDENCYPART_ARC
(2,16),-1.73327 # DEPENDENCYPART_ARC
(3,1),-0.291274 # DEPENDENCYPART_ARC
(3,2),0.0726001 # DEPENDENCYPART_ARC
(3,4),2.86526 # DEPENDENCYPART_ARC
(3,5),-0.198094 # DEPENDENCYPART_ARC
(3,6),1.34058 # DEPENDENCYPART_ARC
(3,7),-1.12963 # DEPENDENCYPART_ARC
(3,8),-1.2419 # DEPENDENCYPART_ARC
(3,9),-0.523339 # DEPENDENCYPART_ARC
(3,10),-0.742919 # DEPENDENCYPART_ARC
(3,11),-0.772547 # DEPENDENCYPART_ARC
(3,12),-0.774469 # DEPENDENCYPART_ARC
(3,13),-0.979908 # DEPENDENCYPART_ARC
(3,14),-0.400332 # DEPENDENCYPART_ARC
(3,15),-1.15866 # DEPENDENCYPART_ARC
(3,16),-1.1027 # DEPENDENCYPART_ARC
(3,17),-0.819575 # DEPENDENCYPART_ARC
(4,1),-2.03537 # DEPENDENCYPART_ARC
(4,2),-1.19521 # DEPENDENCYPART_ARC
(4,3),-0.107135 # DEPENDENCYPART_ARC
(4,5),-1.25876 # DEPENDENCYPART_ARC
(4,6),-2.07516 # DEPENDENCYPART_ARC
(4,7),-2.86015 # DEPENDENCYPART_ARC
(4,8),-3.16873 # DEPENDENCYPART_ARC
(4,9),-1.30856 # DEPENDENCYPART_ARC
(4,10),-3.51135 # DEPENDENCYPART_ARC
(4,11),-1.97719 # DEPENDENCYPART_ARC
(4,12),-3.01869 # DEPENDENCYPART_ARC
(4,13),-2.761 # DEPENDENCYPART_ARC
(4,14),-2.40456 # DEPENDENCYPART_ARC
(4,15),-3.01603 # DEPENDENCYPART_ARC
(4,16),-3.03783 # DEPENDENCYPART_ARC
(4,17),-1.78028 # DEPENDENCYPART_ARC
(5,1),-0.908335 # DEPENDENCYPART_ARC
(5,2),-1.03263 # DEPENDENCYPART_ARC
(5,3),0.923395 # DEPENDENCYPART_ARC
(5,4),0.536118 # DEPENDENCYPART_ARC
(5,6),3.04248 # DEPENDENCYPART_ARC
(5,7),-0.816318 # DEPENDENCYPART_ARC
(5,8),-1.16644 # DEPENDENCYPART_ARC
(5,9),-0.765447 # DEPENDENCYPART_ARC
(5,10),-0.739942 # DEPENDENCYPART_ARC
(5,11),-0.440328 # DEPENDENCYPART_ARC
(5,12),-0.782866 # DEPENDENCYPART_ARC
(5,13),-1.079 # DEPENDENCYPART_ARC
(5,14),-0.327204 # DEPENDENCYPART_ARC
(5,15),-1.0482 # DEPENDENCYPART_ARC
(5,16),-0.936919 # DEPENDENCYPART_ARC
(5,17),-1.00725 # DEPENDENCYPART_ARC
(6,2),-1.36162 # DEPENDENCYPART_ARC
(6,3),-1.30674 # DEPENDENCYPART_ARC
(6,5),-0.0385987 # DEPENDENCYPART_ARC
(6,7),-1.12113 # DEPENDENCYPART_ARC
(6,9),-0.529352 # DEPENDENCYPART_ARC
(6,10),-1.93302 # DEPENDENCYPART_ARC
(6,11),-0.874829 # DEPENDENCYPART_ARC
(6,12),-1.53863 # DEPENDENCYPART_ARC
(6,13),-1.82822 # DEPENDENCYPART_ARC
(6,14),-1.69635 # DEPENDENCYPART_ARC
(6,15),-2.31073 # DEPENDENCYPART_ARC
(6,16),-1.87036 # DEPENDENCYPART_ARC
(6,17),-1.18203 # DEPENDENCYPART_ARC
(7,1),1.65836 # DEPENDENCYPART_ARC
(7,2),-0.836024 # DEPENDENCYPART_ARC
(7,3),1.16069 # DEPENDENCYPART_ARC
(7,4),-0.623205 # DEPENDENCYPART_ARC
(7,5),1.88196 # DEPENDENCYPART_ARC
(7,6),0.618341 # DEPENDENCYPART_ARC
(7,8),2.64124 # DEPENDENCYPART_ARC
(7,9),-0.277321 # DEPENDENCYPART_ARC
(7,10),-0.623218 # DEPENDENCYPART_ARC
(7,11),-0.181569 # DEPENDENCYPART_ARC
(7,12),-1.97517 # DEPENDENCYPART_ARC
(7,13),-1.08797 # DEPENDENCYPART_ARC
(7,14),-1.66787 # DEPENDENCYPART_ARC
(7,15),-1.12306 # DEPENDENCYPART_ARC
(7,16),0.610507 # DEPENDENCYPART_ARC
(7,17),-0.573653 # DEPENDENCYPART_ARC
(8,1),-1.27501 # DEPENDENCYPART_ARC
(8,2),-1.45928 # DEPENDENCYPART_ARC
(8,3),-0.535891 # DEPENDENCYPART_ARC
(8,4),-1.86844 # DEPENDENCYPART_ARC
(8,5),-0.27182 # DEPENDENCYPART_ARC
(8,6),-0.662863 # DEPENDENCYPART_ARC
(8,7),-1.51503 # DEPENDENCYPART_ARC
(8,9),1.29596 # DEPENDENCYPART_ARC
(8,10),-2.71113 # DEPENDENCYPART_ARC
(8,11),-1.69949 # DEPENDENCYPART_ARC
(8,12),-2.91192 # DEPENDENCYPART_ARC
(8,13),-2.20015 # DEPENDENCYPART_ARC
(8,14),-1.90547 # DEPENDENCYPART_ARC
(8,15),-3.65261 # DEPENDENCYPART_ARC
(8,16),-2.32443 # DEPENDENCYPART_ARC
(8,17),-1.3612 # DEPENDENCYPART_ARC
(9,1),-1.16899 # DEPENDENCYPART_ARC
(9,3),-0.886294 # DEPENDENCYPART_ARC
(9,4),-1.10889 # DEPENDENCYPART_ARC
(9,5),-0.782639 # DEPENDENCYPART_ARC
(9,6),-1.14524 # DEPENDENCYPART_ARC
(9,7),-0.219888 # DEPENDENCYPART_ARC
(9,8),0.0218693 # DEPENDENCYPART_ARC
(9,10),-0.853085 # DEPENDENCYPART_ARC
(9,11),-1.23553 # DEPENDENCYPART_ARC
(9,12),-1.26411 # DEPENDENCYPART_ARC
(9,13),-1.51542 # DEPENDENCYPART_ARC
(9,14),-1.12395 # DEPENDENCYPART_ARC
(9,15),-1.47767 # DEPENDENCYPART_ARC
(9,16),-1.16563 # DEPENDENCYPART_ARC
(10,1),-1.9618 # DEPENDENCYPART_ARC
(10,2),-1.5493 # DEPENDENCYPART_ARC
(10,3),-1.20233 # DEPENDENCYPART_ARC
(10,4),-0.700423 # DEPENDENCYPART_ARC
(10,5),-1.16168 # DEPENDENCYPART_ARC
(10,6),-2.74683 # DEPENDENCYPART_ARC
(10,7),-1.74198 # DEPENDENCYPART_ARC
(10,8),-1.72977 # DEPENDENCYPART_ARC
(10,9),-0.0714299 # DEPENDENCYPART_ARC
(10,11),-0.597503 # DEPENDENCYPART_ARC
(10,12),-0.401471 # DEPENDENCYPART_ARC
(10,13),-1.52569 # DEPENDENCYPART_ARC
(10,14),-2.37601 # DEPENDENCYPART_ARC
(10,15),-1.97187 # DEPENDENCYPART_ARC
(10,16),-2.47422 # DEPENDENCYPART_ARC
(10,17),-1.34373 # DEPENDENCYPART_ARC
(11,1),-0.0141552 # DEPENDENCYPART_ARC
(11,2),-1.9609 # DEPENDENCYPART_ARC
(11,3),-0.0105398 # DEPENDENCYPART_ARC
(11,4),-1.89625 # DEPENDENCYPART_ARC
(11,5),-0.547916 # DEPENDENCYPART_ARC
(11,6),-1.34533 # DEPENDENCYPART_ARC
(11,7),0.512835 # DEPENDENCYPART_ARC
(11,8),-1.21034 # DEPENDENCYPART_ARC
(11,9),-1.1514 # DEPENDENCYPART_ARC
(11,10),2.57107 # DEPENDENCYPART_ARC
(11,12),2.25621 # DEPENDENCYPART_ARC
(11,13),0.206346 # DEPENDENCYPART_ARC
(11,14),-0.617445 # DEPENDENCYPART_ARC
(11,15),1.16628 # DEPENDENCYPART_ARC
(11,16),-0.260419 # DEPENDENCYPART_ARC
(11,17),-0.741265 # DEPENDENCYPART_ARC
(12,1),-3.77327 # DEPENDENCYPART_ARC
(12,2),-3.0037 # DEPENDENCYPART_ARC
(12,3),-2.48964 # DEPENDENCYPART_ARC
(12,4),-1.8186 # DEPENDENCYPART_ARC
(12,5),-2.35176 # DEPENDENCYPART_ARC
(12,6),-4.25959 # DEPENDENCYPART_ARC
(12,7),-2.6594 # DEPENDENCYPART_ARC
(12,8),-3.29605 # DEPENDENCYPART_ARC
(12,9),-2.36993 # DEPENDENCYPART_ARC
