# _root_ jaurlaritzak prezioak hitzartzen dituztela irizten badio , europako_batzordera jotzeko asmoa du , hark azter dezan europako lehia askearen gaineko legedia betetzen den ala ez .
#goldHeads=5,3,5,3,11,5,6,9,10,11,0,11,14,11,14,17,20,17,18,21,23,21,14,21,24,
#predictedHeads=3,3,5,3,23,5,6,9,10,11,0,11,14,23,14,17,20,17,20,21,23,21,11,23,24,
(0,1),-0.458302 # DEPENDENCYPART_ARC
(0,2),-0.595447 # DEPENDENCYPART_ARC
(0,3),0.132927 # DEPENDENCYPART_ARC
(0,4),-0.366792 # DEPENDENCYPART_ARC
(0,5),-0.0638492 # DEPENDENCYPART_ARC
(0,6),-0.118617 # DEPENDENCYPART_ARC
(0,7),-0.63039 # DEPENDENCYPART_ARC
(0,8),-1.52462 # DEPENDENCYPART_ARC
(0,9),-1.77184 # DEPENDENCYPART_ARC
(0,10),-1.104 # DEPENDENCYPART_ARC
(0,11),-0.198912 # DEPENDENCYPART_ARC
(0,12),-0.756262 # DEPENDENCYPART_ARC
(0,13),-1.42875 # DEPENDENCYPART_ARC
(0,14),-1.28695 # DEPENDENCYPART_ARC
(0,15),-0.335312 # DEPENDENCYPART_ARC
(0,16),-2.55552 # DEPENDENCYPART_ARC
(0,17),-2.13654 # DEPENDENCYPART_ARC
(0,18),-1.89466 # DEPENDENCYPART_ARC
(0,19),-2.79373 # DEPENDENCYPART_ARC
(0,20),-2.09138 # DEPENDENCYPART_ARC
(0,21),-1.09674 # DEPENDENCYPART_ARC
(0,22),-1.67581 # DEPENDENCYPART_ARC
(0,23),-2.52487 # DEPENDENCYPART_ARC
(0,24),-2.15158 # DEPENDENCYPART_ARC
(0,25),-3.52097 # DEPENDENCYPART_ARC
(1,2),-0.231771 # DEPENDENCYPART_ARC
(1,3),-1.69808 # DEPENDENCYPART_ARC
(1,4),-2.26098 # DEPENDENCYPART_ARC
(1,5),-2.20204 # DEPENDENCYPART_ARC
(1,6),-2.70666 # DEPENDENCYPART_ARC
(1,7),-2.01862 # DEPENDENCYPART_ARC
(1,8),-2.7901 # DEPENDENCYPART_ARC
(1,9),-2.69801 # DEPENDENCYPART_ARC
(1,10),-2.50621 # DEPENDENCYPART_ARC
(1,11),-1.73631 # DEPENDENCYPART_ARC
(1,12),-2.33017 # DEPENDENCYPART_ARC
(1,13),-3.30144 # DEPENDENCYPART_ARC
(1,14),-2.59442 # DEPENDENCYPART_ARC
(1,15),-2.81722 # DEPENDENCYPART_ARC
(1,16),-2.83037 # DEPENDENCYPART_ARC
(1,17),-2.44474 # DEPENDENCYPART_ARC
(1,18),-4.37786 # DEPENDENCYPART_ARC
(1,19),-2.63342 # DEPENDENCYPART_ARC
(1,20),-2.79083 # DEPENDENCYPART_ARC
(1,21),-3.03422 # DEPENDENCYPART_ARC
(1,22),-3.10408 # DEPENDENCYPART_ARC
(1,23),-2.2843 # DEPENDENCYPART_ARC
(1,24),-2.70461 # DEPENDENCYPART_ARC
(1,25),-2.39648 # DEPENDENCYPART_ARC
(2,1),-0.296213 # DEPENDENCYPART_ARC
(2,3),-0.626871 # DEPENDENCYPART_ARC
(2,4),-1.14627 # DEPENDENCYPART_ARC
(2,5),-1.79427 # DEPENDENCYPART_ARC
(2,6),-1.87069 # DEPENDENCYPART_ARC
(2,7),-1.13182 # DEPENDENCYPART_ARC
(2,8),-2.77288 # DEPENDENCYPART_ARC
(2,9),-2.21318 # DEPENDENCYPART_ARC
(2,10),-1.89522 # DEPENDENCYPART_ARC
(2,11),-2.06013 # DEPENDENCYPART_ARC
(2,12),-1.62492 # DEPENDENCYPART_ARC
(2,13),-2.17524 # DEPENDENCYPART_ARC
(2,14),-2.35236 # DEPENDENCYPART_ARC
(2,15),-1.91888 # DEPENDENCYPART_ARC
(2,16),-2.32278 # DEPENDENCYPART_ARC
(2,17),-2.20754 # DEPENDENCYPART_ARC
(2,18),-3.58382 # DEPENDENCYPART_ARC
(2,19),-1.92529 # DEPENDENCYPART_ARC
(2,20),-2.20883 # DEPENDENCYPART_ARC
(2,21),-2.7207 # DEPENDENCYPART_ARC
(2,22),-2.06892 # DEPENDENCYPART_ARC
(2,23),-1.74808 # DEPENDENCYPART_ARC
(2,24),-2.61044 # DEPENDENCYPART_ARC
(2,25),-1.87896 # DEPENDENCYPART_ARC
(3,1),2.30359 # DEPENDENCYPART_ARC
(3,2),2.59837 # DEPENDENCYPART_ARC
(3,4),2.55804 # DEPENDENCYPART_ARC
(3,5),-0.247609 # DEPENDENCYPART_ARC
(3,6),0.727152 # DEPENDENCYPART_ARC
(3,7),-1.10887 # DEPENDENCYPART_ARC
(3,8),-1.59251 # DEPENDENCYPART_ARC
(3,9),-0.759083 # DEPENDENCYPART_ARC
(3,10),-0.851284 # DEPENDENCYPART_ARC
(3,11),-1.25615 # DEPENDENCYPART_ARC
(3,12),-0.907018 # DEPENDENCYPART_ARC
(3,13),-1.36561 # DEPENDENCYPART_ARC
(3,14),-0.564639 # DEPENDENCYPART_ARC
(3,15),-0.703534 # DEPENDENCYPART_ARC
(3,16),-2.30841 # DEPENDENCYPART_ARC
(3,17),-1.68605 # DEPENDENCYPART_ARC
(3,18),-2.5112 # DEPENDENCYPART_ARC
(3,19),-2.535 # DEPENDENCYPART_ARC
(3,20),-1.83588 # DEPENDENCYPART_ARC
(3,21),-1.458 # DEPENDENCYPART_ARC
(3,22),-0.912711 # DEPENDENCYPART_ARC
(3,23),-0.597823 # DEPENDENCYPART_ARC
(3,24),-0.975792 # DEPENDENCYPART_ARC
(3,25),-1.89882 # DEPENDENCYPART_ARC
(4,1),-1.04728 # DEPENDENCYPART_ARC
(4,2),-0.69781 # DEPENDENCYPART_ARC
(4,3),-1.03167 # DEPENDENCYPART_ARC
(4,5),-1.33017 # DEPENDENCYPART_ARC
(4,6),-0.775954 # DEPENDENCYPART_ARC
(4,7),-0.183531 # DEPENDENCYPART_ARC
(4,8),-2.49112 # DEPENDENCYPART_ARC
(4,9),-1.4295 # DEPENDENCYPART_ARC
(4,10),-2.32538 # DEPENDENCYPART_ARC
(4,11),-1.46358 # DEPENDENCYPART_ARC
(4,12),-0.958428 # DEPENDENCYPART_ARC
(4,13),-2.06375 # DEPENDENCYPART_ARC
(4,14),-1.78255 # DEPENDENCYPART_ARC
(4,15),-1.17198 # DEPENDENCYPART_ARC
(4,16),-3.0734 # DEPENDENCYPART_ARC
(4,17),-2.72541 # DEPENDENCYPART_ARC
(4,18),-1.71173 # DEPENDENCYPART_ARC
(4,19),-2.79501 # DEPENDENCYPART_ARC
(4,20),-2.89265 # DEPENDENCYPART_ARC
(4,21),-2.55923 # DEPENDENCYPART_ARC
(4,22),-1.53675 # DEPENDENCYPART_ARC
(4,23),-1.75876 # DEPENDENCYPART_ARC
(4,24),-0.938361 # DEPENDENCYPART_ARC
(4,25),-1.87641 # DEPENDENCYPART_ARC
(5,1),1.70764 # DEPENDENCYPART_ARC
(5,2),0.880537 # DEPENDENCYPART_ARC
(5,3),1.48634 # DEPENDENCYPART_ARC
(5,4),0.482323 # DEPENDENCYPART_ARC
(5,6),2.68342 # DEPENDENCYPART_ARC
(5,7),-0.305403 # DEPENDENCYPART_ARC
(5,8),-1.19663 # DEPENDENCYPART_ARC
(5,9),-0.382977 # DEPENDENCYPART_ARC
(5,10),-0.341179 # DEPENDENCYPART_ARC
(5,11),-0.996096 # DEPENDENCYPART_ARC
(5,12),-0.651859 # DEPENDENCYPART_ARC
(5,13),-1.19381 # DEPENDENCYPART_ARC
(5,14),-0.335987 # DEPENDENCYPART_ARC
(5,15),-0.414148 # DEPENDENCYPART_ARC
(5,16),-1.69762 # DEPENDENCYPART_ARC
(5,17),-1.40172 # DEPENDENCYPART_ARC
(5,18),-2.50557 # DEPENDENCYPART_ARC
(5,19),-2.15723 # DEPENDENCYPART_ARC
(5,20),-1.57734 # DEPENDENCYPART_ARC
(5,21),-1.22925 # DEPENDENCYPART_ARC
(5,22),-0.548855 # DEPENDENCYPART_ARC
(5,23),-0.593115 # DEPENDENCYPART_ARC
(5,24),-0.654838 # DEPENDENCYPART_ARC
(5,25),-1.4612 # DEPENDENCYPART_ARC
(6,1),-0.916647 # DEPENDENCYPART_ARC
(6,2),-0.449815 # DEPENDENCYPART_ARC
(6,3),-1.48205 # DEPENDENCYPART_ARC
(6,4),-0.910565 # DEPENDENCYPART_ARC
(6,5),-0.556051 # DEPENDENCYPART_ARC
(6,7),1.66088 # DEPENDENCYPART_ARC
(6,8),-1.63494 # DEPENDENCYPART_ARC
(6,9),-1.32268 # DEPENDENCYPART_ARC
(6,10),-0.75633 # DEPENDENCYPART_ARC
(6,11),-1.57775 # DEPENDENCYPART_ARC
(6,12),-0.468361 # DEPENDENCYPART_ARC
(6,13),-1.70401 # DEPENDENCYPART_ARC
(6,14),-1.65656 # DEPENDENCYPART_ARC
(6,15),-0.967957 # DEPENDENCYPART_ARC
(6,16),-2.16029 # DEPENDENCYPART_ARC
(6,17),-1.80349 # DEPENDENCYPART_ARC
(6,18),-1.5756 # DEPENDENCYPART_ARC
(6,19),-1.90933 # DEPENDENCYPART_ARC
(6,20),-1.48856 # DEPENDENCYPART_ARC
(6,21),-2.40191 # DEPENDENCYPART_ARC
(6,22),-1.29021 # DEPENDENCYPART_ARC
(6,23),-1.28802 # DEPENDENCYPART_ARC
(6,24),-0.781809 # DEPENDENCYPART_ARC
(6,25),-1.32757 # DEPENDENCYPART_ARC
(7,1),-0.384366 # DEPENDENCYPART_ARC
(7,2),-0.294681 # DEPENDENCYPART_ARC
(7,3),-0.166006 # DEPENDENCYPART_ARC
(7,4),-0.160029 # DEPENDENCYPART_ARC
(7,5),0.303589 # DEPENDENCYPART_ARC
(7,6),0.525293 # DEPENDENCYPART_ARC
(7,8),-0.540275 # DEPENDENCYPART_ARC
(7,9),-0.470675 # DEPENDENCYPART_ARC
(7,10),-0.884979 # DEPENDENCYPART_ARC
(7,11),-0.772533 # DEPENDENCYPART_ARC
(7,12),-0.529823 # DEPENDENCYPART_ARC
(7,13),-1.38253 # DEPENDENCYPART_ARC
(7,14),-0.785063 # DEPENDENCYPART_ARC
(7,15),-0.801944 # DEPENDENCYPART_ARC
(7,16),-1.61034 # DEPENDENCYPART_ARC
(7,17),-1.78892 # DEPENDENCYPART_ARC
(7,18),-1.10259 # DEPENDENCYPART_ARC
(7,19),-1.73648 # DEPENDENCYPART_ARC
(7,20),-1.91384 # DEPENDENCYPART_ARC
(7,21),-1.53849 # DEPENDENCYPART_ARC
(7,22),-0.785036 # DEPENDENCYPART_ARC
(7,23),-1.19033 # DEPENDENCYPART_ARC
(7,24),-1.40731 # DEPENDENCYPART_ARC
(7,25),-1.46158 # DEPENDENCYPART_ARC
(8,1),-5.22149 # DEPENDENCYPART_ARC
(8,2),-5.06271 # DEPENDENCYPART_ARC
(8,3),-2.19005 # DEPENDENCYPART_ARC
(8,4),-2.22325 # DEPENDENCYPART_ARC
(8,5),-1.76402 # DEPENDENCYPART_ARC
(8,6),-1.69205 # DEPENDENCYPART_ARC
(8,7),-0.576346 # DEPENDENCYPART_ARC
(8,9),-0.491894 # DEPENDENCYPART_ARC
(8,10),-0.448727 # DEPENDENCYPART_ARC
(8,11),-1.64982 # DEPENDENCYPART_ARC
(8,12),-0.815747 # DEPENDENCYPART_ARC
(8,13),-1.20563 # DEPENDENCYPART_ARC
(8,14),-1.54899 # DEPENDENCYPART_ARC
(8,15),-2.24016 # DEPENDENCYPART_ARC
(8,16),-1.08128 # DEPENDENCYPART_ARC
(8,17),-1.80104 # DEPENDENCYPART_ARC
(8,18),-4.4473 # DEPENDENCYPART_ARC
(8,19),-1.61205 # DEPENDENCYPART_ARC
(8,20),-1.54089 # DEPENDENCYPART_ARC
(8,21),-2.39186 # DEPENDENCYPART_ARC
(8,22),-2.43044 # DEPENDENCYPART_ARC
(8,23),-1.3948 # DEPENDENCYPART_ARC
(8,24),-2.17973 # DEPENDENCYPART_ARC
