# _root_ bestalde , atzo jakinarazi zuenez , psoek uztailean eztabaidatuko duen ponentziari " adiziozko zuzenketa " aurkeztuko diote .
#goldHeads=0,3,4,16,4,5,9,9,11,9,16,11,14,16,14,0,16,17,
#predictedHeads=0,3,4,0,4,5,9,9,11,9,16,11,14,16,14,0,16,17,
(0,1),1.56601 # DEPENDENCYPART_ARC
(0,2),-1.1672 # DEPENDENCYPART_ARC
(0,3),-0.815656 # DEPENDENCYPART_ARC
(0,4),0.343015 # DEPENDENCYPART_ARC
(0,5),-0.504528 # DEPENDENCYPART_ARC
(0,6),-0.69861 # DEPENDENCYPART_ARC
(0,7),-0.862957 # DEPENDENCYPART_ARC
(0,8),-1.21176 # DEPENDENCYPART_ARC
(0,9),0.0664159 # DEPENDENCYPART_ARC
(0,10),-0.0191066 # DEPENDENCYPART_ARC
(0,11),-1.65144 # DEPENDENCYPART_ARC
(0,12),-1.46417 # DEPENDENCYPART_ARC
(0,13),-1.27581 # DEPENDENCYPART_ARC
(0,14),-1.56024 # DEPENDENCYPART_ARC
(0,15),-2.10156 # DEPENDENCYPART_ARC
(0,16),-0.893994 # DEPENDENCYPART_ARC
(0,17),0.770438 # DEPENDENCYPART_ARC
(0,18),-2.23487 # DEPENDENCYPART_ARC
(1,2),-1.26241 # DEPENDENCYPART_ARC
(1,4),-2.85059 # DEPENDENCYPART_ARC
(1,6),-2.69334 # DEPENDENCYPART_ARC
(1,8),-3.11297 # DEPENDENCYPART_ARC
(1,9),-3.93052 # DEPENDENCYPART_ARC
(1,11),-3.39083 # DEPENDENCYPART_ARC
(1,12),-3.03948 # DEPENDENCYPART_ARC
(1,13),-4.31969 # DEPENDENCYPART_ARC
(1,14),-3.70433 # DEPENDENCYPART_ARC
(1,15),-3.58395 # DEPENDENCYPART_ARC
(1,16),-4.7384 # DEPENDENCYPART_ARC
(1,18),-3.58894 # DEPENDENCYPART_ARC
(2,5),-1.37885 # DEPENDENCYPART_ARC
(2,8),-1.96291 # DEPENDENCYPART_ARC
(2,9),-2.08073 # DEPENDENCYPART_ARC
(2,10),-1.91915 # DEPENDENCYPART_ARC
(2,11),-2.36419 # DEPENDENCYPART_ARC
(2,12),-1.52767 # DEPENDENCYPART_ARC
(2,13),-2.45849 # DEPENDENCYPART_ARC
(2,14),-2.35503 # DEPENDENCYPART_ARC
(2,15),-2.14857 # DEPENDENCYPART_ARC
(2,16),-2.85108 # DEPENDENCYPART_ARC
(2,17),-1.79278 # DEPENDENCYPART_ARC
(3,1),-0.663674 # DEPENDENCYPART_ARC
(3,2),0.0466133 # DEPENDENCYPART_ARC
(3,5),-0.644967 # DEPENDENCYPART_ARC
(3,6),-0.527639 # DEPENDENCYPART_ARC
(3,7),-1.31596 # DEPENDENCYPART_ARC
(3,8),-1.25993 # DEPENDENCYPART_ARC
(3,9),-1.67137 # DEPENDENCYPART_ARC
(3,10),-1.37132 # DEPENDENCYPART_ARC
(3,11),-1.50659 # DEPENDENCYPART_ARC
(3,12),-0.924192 # DEPENDENCYPART_ARC
(3,13),-1.54394 # DEPENDENCYPART_ARC
(3,14),-1.52831 # DEPENDENCYPART_ARC
(3,15),-1.20788 # DEPENDENCYPART_ARC
(3,16),-2.08921 # DEPENDENCYPART_ARC
(3,17),-1.57513 # DEPENDENCYPART_ARC
(3,18),-1.47332 # DEPENDENCYPART_ARC
(4,1),0.0801877 # DEPENDENCYPART_ARC
(4,2),-0.928367 # DEPENDENCYPART_ARC
(4,3),1.3095 # DEPENDENCYPART_ARC
(4,5),1.86367 # DEPENDENCYPART_ARC
(4,6),-0.532218 # DEPENDENCYPART_ARC
(4,7),-0.0706834 # DEPENDENCYPART_ARC
(4,8),-0.57725 # DEPENDENCYPART_ARC
(4,9),-0.394183 # DEPENDENCYPART_ARC
(4,10),-0.589754 # DEPENDENCYPART_ARC
(4,11),0.376263 # DEPENDENCYPART_ARC
(4,12),-0.994965 # DEPENDENCYPART_ARC
(4,13),-1.87059 # DEPENDENCYPART_ARC
(4,14),-0.35795 # DEPENDENCYPART_ARC
(4,15),-1.08295 # DEPENDENCYPART_ARC
(4,16),-1.01281 # DEPENDENCYPART_ARC
(4,17),-1.1486 # DEPENDENCYPART_ARC
(4,18),-1.91236 # DEPENDENCYPART_ARC
(5,1),-1.295 # DEPENDENCYPART_ARC
(5,2),-0.928342 # DEPENDENCYPART_ARC
(5,3),-0.519696 # DEPENDENCYPART_ARC
