# _root_ berdin egiten dute elefante eta zaldi gidariek , zeintzuek praktikaz hezitzen dituzte abere hoiek , hezitzeko zientziatik ezertxo_ere jakin gabe .
#goldHeads=2,0,2,5,7,5,2,7,11,11,7,11,11,13,14,17,19,19,11,19,20,
#predictedHeads=2,4,2,5,7,7,11,7,10,11,0,11,11,13,14,17,19,19,11,19,20,
(0,1),0.1545 # DEPENDENCYPART_ARC
(0,2),-0.352357 # DEPENDENCYPART_ARC
(0,3),-0.0997546 # DEPENDENCYPART_ARC
(0,4),-1.4294 # DEPENDENCYPART_ARC
(0,5),-0.393114 # DEPENDENCYPART_ARC
(0,6),-1.34945 # DEPENDENCYPART_ARC
(0,7),-1.74112 # DEPENDENCYPART_ARC
(0,8),-0.732667 # DEPENDENCYPART_ARC
(0,9),-1.73603 # DEPENDENCYPART_ARC
(0,10),-1.48609 # DEPENDENCYPART_ARC
(0,11),-0.410478 # DEPENDENCYPART_ARC
(0,12),-0.543353 # DEPENDENCYPART_ARC
(0,13),-2.32984 # DEPENDENCYPART_ARC
(0,14),-1.58959 # DEPENDENCYPART_ARC
(0,15),-0.783635 # DEPENDENCYPART_ARC
(0,16),-1.66773 # DEPENDENCYPART_ARC
(0,17),-2.11665 # DEPENDENCYPART_ARC
(0,18),-1.24931 # DEPENDENCYPART_ARC
(0,19),-1.95384 # DEPENDENCYPART_ARC
(0,20),-1.10443 # DEPENDENCYPART_ARC
(0,21),-3.00304 # DEPENDENCYPART_ARC
(1,2),-0.431352 # DEPENDENCYPART_ARC
(1,3),-0.00131376 # DEPENDENCYPART_ARC
(1,4),-0.5801 # DEPENDENCYPART_ARC
(1,5),-0.592205 # DEPENDENCYPART_ARC
(1,6),-0.99033 # DEPENDENCYPART_ARC
(1,7),-0.916808 # DEPENDENCYPART_ARC
(1,8),-0.447699 # DEPENDENCYPART_ARC
(1,9),-1.56938 # DEPENDENCYPART_ARC
(1,10),-1.13865 # DEPENDENCYPART_ARC
(1,11),-1.67747 # DEPENDENCYPART_ARC
(1,12),-0.81288 # DEPENDENCYPART_ARC
(1,13),-1.30016 # DEPENDENCYPART_ARC
(1,14),-2.0186 # DEPENDENCYPART_ARC
(1,15),-0.916074 # DEPENDENCYPART_ARC
(1,16),-1.30868 # DEPENDENCYPART_ARC
(1,17),-1.85882 # DEPENDENCYPART_ARC
(1,18),-1.53803 # DEPENDENCYPART_ARC
(1,19),-1.4616 # DEPENDENCYPART_ARC
(1,20),-1.05886 # DEPENDENCYPART_ARC
(1,21),-0.959823 # DEPENDENCYPART_ARC
(2,1),1.26361 # DEPENDENCYPART_ARC
(2,3),1.5105 # DEPENDENCYPART_ARC
(2,4),-0.0614269 # DEPENDENCYPART_ARC
(2,5),0.0252779 # DEPENDENCYPART_ARC
(2,6),-0.817271 # DEPENDENCYPART_ARC
(2,7),0.11058 # DEPENDENCYPART_ARC
(2,8),-0.393761 # DEPENDENCYPART_ARC
(2,9),-0.45801 # DEPENDENCYPART_ARC
(2,10),-1.3259 # DEPENDENCYPART_ARC
(2,11),-0.702687 # DEPENDENCYPART_ARC
(2,12),-1.31355 # DEPENDENCYPART_ARC
(2,13),-1.70477 # DEPENDENCYPART_ARC
(2,14),-1.50908 # DEPENDENCYPART_ARC
(2,15),-0.892792 # DEPENDENCYPART_ARC
(2,16),-1.19932 # DEPENDENCYPART_ARC
(2,17),-1.34979 # DEPENDENCYPART_ARC
(2,18),-0.613051 # DEPENDENCYPART_ARC
(2,19),-0.526306 # DEPENDENCYPART_ARC
(2,20),-1.80824 # DEPENDENCYPART_ARC
(2,21),-1.38267 # DEPENDENCYPART_ARC
(3,1),-0.804178 # DEPENDENCYPART_ARC
(3,2),-0.517068 # DEPENDENCYPART_ARC
(3,4),-0.733865 # DEPENDENCYPART_ARC
(3,5),-1.34706 # DEPENDENCYPART_ARC
(3,6),-1.50887 # DEPENDENCYPART_ARC
(3,7),-2.43141 # DEPENDENCYPART_ARC
(3,8),-1.16541 # DEPENDENCYPART_ARC
(3,9),-2.08096 # DEPENDENCYPART_ARC
(3,10),-2.76839 # DEPENDENCYPART_ARC
(3,11),-2.15227 # DEPENDENCYPART_ARC
(3,12),-1.68805 # DEPENDENCYPART_ARC
(3,13),-2.57564 # DEPENDENCYPART_ARC
(3,14),-2.26835 # DEPENDENCYPART_ARC
(3,15),-1.57216 # DEPENDENCYPART_ARC
(3,16),-1.80105 # DEPENDENCYPART_ARC
(3,17),-3.74348 # DEPENDENCYPART_ARC
(3,18),-2.12317 # DEPENDENCYPART_ARC
(3,19),-1.78233 # DEPENDENCYPART_ARC
(3,20),-1.08826 # DEPENDENCYPART_ARC
(3,21),-1.92881 # DEPENDENCYPART_ARC
(4,1),-1.28195 # DEPENDENCYPART_ARC
(4,2),0.279996 # DEPENDENCYPART_ARC
(4,3),-0.247773 # DEPENDENCYPART_ARC
(4,5),0.269435 # DEPENDENCYPART_ARC
(4,6),-0.293206 # DEPENDENCYPART_ARC
(4,7),-0.0538923 # DEPENDENCYPART_ARC
(4,8),-0.73179 # DEPENDENCYPART_ARC
(4,9),-0.573218 # DEPENDENCYPART_ARC
(4,10),-0.782221 # DEPENDENCYPART_ARC
(4,11),-0.936811 # DEPENDENCYPART_ARC
(4,12),-1.41991 # DEPENDENCYPART_ARC
(4,13),-1.16575 # DEPENDENCYPART_ARC
(4,14),-1.34395 # DEPENDENCYPART_ARC
(4,15),-1.40682 # DEPENDENCYPART_ARC
(4,16),-1.23058 # DEPENDENCYPART_ARC
(4,17),-1.83818 # DEPENDENCYPART_ARC
(4,18),-1.43723 # DEPENDENCYPART_ARC
(4,19),-1.34938 # DEPENDENCYPART_ARC
(4,20),-0.875845 # DEPENDENCYPART_ARC
(4,21),-1.21217 # DEPENDENCYPART_ARC
(5,1),-0.824277 # DEPENDENCYPART_ARC
(5,2),-0.179414 # DEPENDENCYPART_ARC
(5,3),-0.715353 # DEPENDENCYPART_ARC
(5,4),2.20728 # DEPENDENCYPART_ARC
(5,6),1.77248 # DEPENDENCYPART_ARC
(5,7),1.76424 # DEPENDENCYPART_ARC
(5,8),-0.427974 # DEPENDENCYPART_ARC
(5,9),-0.28032 # DEPENDENCYPART_ARC
(5,10),0.460126 # DEPENDENCYPART_ARC
(5,11),-0.827404 # DEPENDENCYPART_ARC
(5,12),-0.520384 # DEPENDENCYPART_ARC
(5,13),-0.784424 # DEPENDENCYPART_ARC
(5,14),-0.798285 # DEPENDENCYPART_ARC
(5,15),-1.15983 # DEPENDENCYPART_ARC
(5,16),-1.03358 # DEPENDENCYPART_ARC
(5,17),-1.44347 # DEPENDENCYPART_ARC
(5,18),-1.04658 # DEPENDENCYPART_ARC
(5,19),-1.10639 # DEPENDENCYPART_ARC
(5,20),-0.815851 # DEPENDENCYPART_ARC
(5,21),-1.59638 # DEPENDENCYPART_ARC
(6,1),-2.06226 # DEPENDENCYPART_ARC
(6,2),-1.18846 # DEPENDENCYPART_ARC
(6,3),-2.01074 # DEPENDENCYPART_ARC
(6,4),-0.803822 # DEPENDENCYPART_ARC
(6,5),-0.681387 # DEPENDENCYPART_ARC
(6,7),0.711704 # DEPENDENCYPART_ARC
(6,8),0.102819 # DEPENDENCYPART_ARC
(6,9),-0.431521 # DEPENDENCYPART_ARC
(6,10),-0.857156 # DEPENDENCYPART_ARC
(6,11),-1.20795 # DEPENDENCYPART_ARC
(6,12),-1.21381 # DEPENDENCYPART_ARC
(6,13),-1.32968 # DEPENDENCYPART_ARC
(6,14),-1.37282 # DEPENDENCYPART_ARC
(6,15),-1.28845 # DEPENDENCYPART_ARC
(6,16),-1.14596 # DEPENDENCYPART_ARC
(6,17),-1.48753 # DEPENDENCYPART_ARC
(6,18),-1.36954 # DEPENDENCYPART_ARC
(6,19),-1.7315 # DEPENDENCYPART_ARC
(6,20),-0.898882 # DEPENDENCYPART_ARC
(6,21),-1.06977 # DEPENDENCYPART_ARC
(7,1),-1.78316 # DEPENDENCYPART_ARC
(7,2),-0.189356 # DEPENDENCYPART_ARC
(7,3),-1.53933 # DEPENDENCYPART_ARC
(7,4),0.319544 # DEPENDENCYPART_ARC
(7,5),1.57961 # DEPENDENCYPART_ARC
(7,6),1.79113 # DEPENDENCYPART_ARC
(7,8),1.21833 # DEPENDENCYPART_ARC
(7,9),-0.528826 # DEPENDENCYPART_ARC
(7,10),-1.52692 # DEPENDENCYPART_ARC
(7,11),-1.45043 # DEPENDENCYPART_ARC
(7,12),-2.87016 # DEPENDENCYPART_ARC
(7,13),-1.25375 # DEPENDENCYPART_ARC
(7,14),-2.31711 # DEPENDENCYPART_ARC
(7,15),-1.20281 # DEPENDENCYPART_ARC
(7,16),-2.25632 # DEPENDENCYPART_ARC
