# _root_ bigarrenik , polimerizazio edo oxigeno zein nitrogenozko zubi baten bidezko bi molekula organikoren konbinazioa , eta alderantzizko prozesu edo hidrolisia .
#goldHeads=0,1,4,14,6,8,6,4,8,9,12,14,12,16,14,0,18,19,16,19,20,
#predictedHeads=4,1,4,8,6,8,6,12,8,9,12,14,12,16,14,0,18,19,4,19,20,
(0,1),-0.600014 # DEPENDENCYPART_ARC
(0,2),-1.0667 # DEPENDENCYPART_ARC
(0,3),-0.753326 # DEPENDENCYPART_ARC
(0,4),-0.983732 # DEPENDENCYPART_ARC
(0,5),-0.884997 # DEPENDENCYPART_ARC
(0,6),-0.933872 # DEPENDENCYPART_ARC
(0,7),-0.741091 # DEPENDENCYPART_ARC
(0,8),-1.022 # DEPENDENCYPART_ARC
(0,9),-1.82589 # DEPENDENCYPART_ARC
(0,10),-1.24809 # DEPENDENCYPART_ARC
(0,11),-1.55802 # DEPENDENCYPART_ARC
(0,12),-1.62753 # DEPENDENCYPART_ARC
(0,13),-1.46973 # DEPENDENCYPART_ARC
(0,14),-2.12758 # DEPENDENCYPART_ARC
(0,15),-1.22191 # DEPENDENCYPART_ARC
(0,16),-0.474454 # DEPENDENCYPART_ARC
(0,17),-1.24548 # DEPENDENCYPART_ARC
(0,18),-2.19 # DEPENDENCYPART_ARC
(0,19),-2.47163 # DEPENDENCYPART_ARC
(0,20),-2.05848 # DEPENDENCYPART_ARC
(0,21),-2.83163 # DEPENDENCYPART_ARC
(1,2),0.323296 # DEPENDENCYPART_ARC
(1,3),-0.999535 # DEPENDENCYPART_ARC
(1,4),-0.869505 # DEPENDENCYPART_ARC
(1,5),-1.36786 # DEPENDENCYPART_ARC
(1,6),-1.06202 # DEPENDENCYPART_ARC
(1,7),-1.26892 # DEPENDENCYPART_ARC
(1,8),-1.75853 # DEPENDENCYPART_ARC
(1,9),-1.28034 # DEPENDENCYPART_ARC
(1,10),-1.59708 # DEPENDENCYPART_ARC
(1,11),-1.4226 # DEPENDENCYPART_ARC
(1,12),-1.92209 # DEPENDENCYPART_ARC
(1,13),-1.7499 # DEPENDENCYPART_ARC
(1,14),-1.64372 # DEPENDENCYPART_ARC
(1,15),-1.62301 # DEPENDENCYPART_ARC
(1,16),-2.04674 # DEPENDENCYPART_ARC
(1,17),-2.05165 # DEPENDENCYPART_ARC
(1,18),-2.09744 # DEPENDENCYPART_ARC
(1,19),-1.75712 # DEPENDENCYPART_ARC
