# _root_ ondoren , kamera ilunari aplikatu zizkion bere argazki-emultsioak , benetako erretratuak lortuz .
#goldHeads=0,3,5,3,0,5,8,5,8,11,12,5,12,
#predictedHeads=5,3,5,3,0,5,8,5,8,11,12,5,12,
(0,1),-0.1656 # DEPENDENCYPART_ARC
(0,2),-1.38838 # DEPENDENCYPART_ARC
(0,3),-0.75414 # DEPENDENCYPART_ARC
(0,4),-1.65646 # DEPENDENCYPART_ARC
(0,5),-0.00580914 # DEPENDENCYPART_ARC
(0,6),-0.766531 # DEPENDENCYPART_ARC
(0,8),-1.4333 # DEPENDENCYPART_ARC
(0,9),-0.937847 # DEPENDENCYPART_ARC
(0,10),-1.54615 # DEPENDENCYPART_ARC
(0,11),-1.95322 # DEPENDENCYPART_ARC
(0,12),-0.806939 # DEPENDENCYPART_ARC
(0,13),-1.50431 # DEPENDENCYPART_ARC
(1,2),-0.543139 # DEPENDENCYPART_ARC
(1,3),-1.52949 # DEPENDENCYPART_ARC
(1,4),-1.88502 # DEPENDENCYPART_ARC
(1,5),-1.91772 # DEPENDENCYPART_ARC
(1,6),-1.6846 # DEPENDENCYPART_ARC
(1,7),-1.99027 # DEPENDENCYPART_ARC
(1,8),-1.80836 # DEPENDENCYPART_ARC
(1,9),-1.71495 # DEPENDENCYPART_ARC
(1,10),-2.38008 # DEPENDENCYPART_ARC
(1,11),-1.8689 # DEPENDENCYPART_ARC
(1,12),-2.15629 # DEPENDENCYPART_ARC
(1,13),-1.73899 # DEPENDENCYPART_ARC
(2,3),-1.11477 # DEPENDENCYPART_ARC
(2,4),-0.872419 # DEPENDENCYPART_ARC
(2,5),-1.01896 # DEPENDENCYPART_ARC
(2,6),-1.09997 # DEPENDENCYPART_ARC
(2,8),-1.75706 # DEPENDENCYPART_ARC
(2,10),-1.64885 # DEPENDENCYPART_ARC
(2,11),-1.84752 # DEPENDENCYPART_ARC
(2,12),-1.51534 # DEPENDENCYPART_ARC
(3,1),-0.648266 # DEPENDENCYPART_ARC
(3,2),0.230173 # DEPENDENCYPART_ARC
(3,4),2.69428 # DEPENDENCYPART_ARC
(3,5),-0.835024 # DEPENDENCYPART_ARC
(3,6),-1.12449 # DEPENDENCYPART_ARC
(3,7),-0.537428 # DEPENDENCYPART_ARC
(3,8),-0.771669 # DEPENDENCYPART_ARC
(3,9),-0.460252 # DEPENDENCYPART_ARC
(3,10),-1.16258 # DEPENDENCYPART_ARC
(3,11),-1.13583 # DEPENDENCYPART_ARC
(3,12),-1.02093 # DEPENDENCYPART_ARC
(3,13),-0.90462 # DEPENDENCYPART_ARC
(4,1),-0.445679 # DEPENDENCYPART_ARC
(4,2),-0.866554 # DEPENDENCYPART_ARC
(4,3),0.266715 # DEPENDENCYPART_ARC
(4,5),-1.1436 # DEPENDENCYPART_ARC
(4,6),-2.05677 # DEPENDENCYPART_ARC
(4,7),-1.2056 # DEPENDENCYPART_ARC
(4,8),-1.31889 # DEPENDENCYPART_ARC
(4,9),-0.807628 # DEPENDENCYPART_ARC
(4,10),-0.996799 # DEPENDENCYPART_ARC
(4,11),-2.12089 # DEPENDENCYPART_ARC
(4,12),-1.92491 # DEPENDENCYPART_ARC
(4,13),-0.891848 # DEPENDENCYPART_ARC
(5,1),0.868414 # DEPENDENCYPART_ARC
(5,2),-0.585725 # DEPENDENCYPART_ARC
(5,3),1.31918 # DEPENDENCYPART_ARC
(5,4),0.634263 # DEPENDENCYPART_ARC
(5,6),2.19026 # DEPENDENCYPART_ARC
(5,7),-0.297205 # DEPENDENCYPART_ARC
(5,8),0.92204 # DEPENDENCYPART_ARC
(5,9),-0.282754 # DEPENDENCYPART_ARC
(5,10),-0.699015 # DEPENDENCYPART_ARC
(5,11),-0.887065 # DEPENDENCYPART_ARC
(5,12),1.20694 # DEPENDENCYPART_ARC
(5,13),-0.322849 # DEPENDENCYPART_ARC
(6,1),-1.19804 # DEPENDENCYPART_ARC
(6,2),-1.43325 # DEPENDENCYPART_ARC
(6,3),-0.427274 # DEPENDENCYPART_ARC
(6,4),-1.33344 # DEPENDENCYPART_ARC
(6,5),-1.2603 # DEPENDENCYPART_ARC
(6,8),-2.08954 # DEPENDENCYPART_ARC
(6,9),-0.872891 # DEPENDENCYPART_ARC
(6,10),-1.72067 # DEPENDENCYPART_ARC
(6,11),-1.57321 # DEPENDENCYPART_ARC
(6,12),-1.21536 # DEPENDENCYPART_ARC
(6,13),-1.27128 # DEPENDENCYPART_ARC
(7,1),-1.07652 # DEPENDENCYPART_ARC
(7,2),-1.28232 # DEPENDENCYPART_ARC
(7,5),-0.760079 # DEPENDENCYPART_ARC
(7,9),-0.140485 # DEPENDENCYPART_ARC
(7,12),-1.12547 # DEPENDENCYPART_ARC
(7,13),-0.755848 # DEPENDENCYPART_ARC
(8,1),-1.10024 # DEPENDENCYPART_ARC
(8,2),-1.30471 # DEPENDENCYPART_ARC
(8,3),0.0723033 # DEPENDENCYPART_ARC
(8,4),-2.98901 # DEPENDENCYPART_ARC
(8,5),-0.649078 # DEPENDENCYPART_ARC
(8,6),-1.4533 # DEPENDENCYPART_ARC
(8,7),1.26555 # DEPENDENCYPART_ARC
(8,9),1.33013 # DEPENDENCYPART_ARC
(8,10),-1.64644 # DEPENDENCYPART_ARC
(8,11),-2.15386 # DEPENDENCYPART_ARC
(8,12),-1.8354 # DEPENDENCYPART_ARC
(8,13),-0.800033 # DEPENDENCYPART_ARC
(9,3),-0.958492 # DEPENDENCYPART_ARC
(9,4),-0.752874 # DEPENDENCYPART_ARC
(9,5),-0.29482 # DEPENDENCYPART_ARC
(9,6),-0.52578 # DEPENDENCYPART_ARC
(9,8),0.0184393 # DEPENDENCYPART_ARC
(9,10),-0.261791 # DEPENDENCYPART_ARC
(9,11),-0.652406 # DEPENDENCYPART_ARC
(9,12),-0.580565 # DEPENDENCYPART_ARC
(10,1),-1.56019 # DEPENDENCYPART_ARC
(10,2),-1.72095 # DEPENDENCYPART_ARC
(10,3),-1.70172 # DEPENDENCYPART_ARC
(10,4),-1.80463 # DEPENDENCYPART_ARC
(10,5),-1.39608 # DEPENDENCYPART_ARC
(10,6),-1.62677 # DEPENDENCYPART_ARC
(10,7),-1.05059 # DEPENDENCYPART_ARC
(10,8),-0.974122 # DEPENDENCYPART_ARC
(10,9),-0.332445 # DEPENDENCYPART_ARC
(10,11),-0.0358579 # DEPENDENCYPART_ARC
(10,12),-0.476669 # DEPENDENCYPART_ARC
(10,13),-0.0870085 # DEPENDENCYPART_ARC
(11,1),-1.04056 # DEPENDENCYPART_ARC
