# _root_ eajko diputatu iñaki_anasagastik adierazi zuenez , bartzelonako_adierazpena " ez da fronte bat " , eta ciuk gobernuarekin izan dezakeen harremanak ez du oztopatzen hiru alderdien elkarlana .
#goldHeads=2,3,4,15,4,5,10,7,10,15,10,11,12,13,0,18,18,20,18,23,23,23,15,25,26,23,26,
#predictedHeads=2,4,2,15,4,5,15,7,10,15,10,11,12,13,0,18,18,20,18,23,23,23,25,25,26,10,26,
(0,1),-0.330496 # DEPENDENCYPART_ARC
(0,2),-0.709097 # DEPENDENCYPART_ARC
(0,3),-1.4419 # DEPENDENCYPART_ARC
(0,4),0.0205945 # DEPENDENCYPART_ARC
(0,5),-0.686052 # DEPENDENCYPART_ARC
(0,6),-0.700788 # DEPENDENCYPART_ARC
(0,7),-1.52757 # DEPENDENCYPART_ARC
(0,8),-1.48916 # DEPENDENCYPART_ARC
(0,9),-1.6136 # DEPENDENCYPART_ARC
(0,10),0.0995379 # DEPENDENCYPART_ARC
(0,11),-1.62458 # DEPENDENCYPART_ARC
(0,12),-1.49413 # DEPENDENCYPART_ARC
(0,13),-1.91326 # DEPENDENCYPART_ARC
(0,14),-0.838109 # DEPENDENCYPART_ARC
(0,15),0.674369 # DEPENDENCYPART_ARC
(0,16),-1.4228 # DEPENDENCYPART_ARC
(0,17),-1.5239 # DEPENDENCYPART_ARC
(0,18),-0.637001 # DEPENDENCYPART_ARC
(0,19),-1.18241 # DEPENDENCYPART_ARC
(0,20),-2.1969 # DEPENDENCYPART_ARC
(0,21),-2.46331 # DEPENDENCYPART_ARC
(0,22),-1.64494 # DEPENDENCYPART_ARC
(0,23),-2.77208 # DEPENDENCYPART_ARC
(0,24),-1.79959 # DEPENDENCYPART_ARC
(0,25),-2.63507 # DEPENDENCYPART_ARC
(0,26),-2.05091 # DEPENDENCYPART_ARC
(0,27),-3.60935 # DEPENDENCYPART_ARC
(1,2),-0.0873059 # DEPENDENCYPART_ARC
(1,3),-3.11872 # DEPENDENCYPART_ARC
(1,4),-3.94386 # DEPENDENCYPART_ARC
(1,6),-2.23541 # DEPENDENCYPART_ARC
(1,7),-2.75765 # DEPENDENCYPART_ARC
(1,8),-2.18032 # DEPENDENCYPART_ARC
(1,10),-3.24833 # DEPENDENCYPART_ARC
(1,11),-3.14827 # DEPENDENCYPART_ARC
(1,12),-4.0549 # DEPENDENCYPART_ARC
(1,13),-2.34328 # DEPENDENCYPART_ARC
(1,14),-2.88834 # DEPENDENCYPART_ARC
(1,16),-3.6316 # DEPENDENCYPART_ARC
(1,17),-2.90933 # DEPENDENCYPART_ARC
(1,18),-2.3763 # DEPENDENCYPART_ARC
(1,20),-3.28535 # DEPENDENCYPART_ARC
(1,23),-2.80809 # DEPENDENCYPART_ARC
(1,24),-6.20406 # DEPENDENCYPART_ARC
(1,25),-4.19608 # DEPENDENCYPART_ARC
(1,26),-4.49795 # DEPENDENCYPART_ARC
(1,27),-2.68815 # DEPENDENCYPART_ARC
(2,1),2.15528 # DEPENDENCYPART_ARC
(2,3),1.66696 # DEPENDENCYPART_ARC
(2,4),-0.658327 # DEPENDENCYPART_ARC
(2,5),-0.804365 # DEPENDENCYPART_ARC
(2,6),-0.783163 # DEPENDENCYPART_ARC
(2,7),-0.809943 # DEPENDENCYPART_ARC
(2,8),-0.636915 # DEPENDENCYPART_ARC
(2,9),-1.39663 # DEPENDENCYPART_ARC
(2,10),-1.09326 # DEPENDENCYPART_ARC
(2,11),-1.33011 # DEPENDENCYPART_ARC
(2,12),-0.506751 # DEPENDENCYPART_ARC
(2,13),-1.22106 # DEPENDENCYPART_ARC
(2,14),-1.48625 # DEPENDENCYPART_ARC
(2,15),-1.33732 # DEPENDENCYPART_ARC
(2,16),-0.964376 # DEPENDENCYPART_ARC
(2,17),-0.501472 # DEPENDENCYPART_ARC
(2,18),-1.4423 # DEPENDENCYPART_ARC
(2,19),-1.45968 # DEPENDENCYPART_ARC
(2,20),-1.14731 # DEPENDENCYPART_ARC
(2,21),-1.67338 # DEPENDENCYPART_ARC
(2,22),-1.18228 # DEPENDENCYPART_ARC
(2,23),-1.55281 # DEPENDENCYPART_ARC
(2,24),-2.64422 # DEPENDENCYPART_ARC
(2,25),-1.96576 # DEPENDENCYPART_ARC
(2,26),-2.09215 # DEPENDENCYPART_ARC
(2,27),-1.30871 # DEPENDENCYPART_ARC
(3,1),-0.81576 # DEPENDENCYPART_ARC
(3,2),0.643564 # DEPENDENCYPART_ARC
(3,4),-1.38603 # DEPENDENCYPART_ARC
(3,6),-0.403762 # DEPENDENCYPART_ARC
(3,7),-1.48203 # DEPENDENCYPART_ARC
(3,8),-0.403377 # DEPENDENCYPART_ARC
(3,10),-1.03613 # DEPENDENCYPART_ARC
(3,11),-2.01383 # DEPENDENCYPART_ARC
(3,12),-1.87875 # DEPENDENCYPART_ARC
(3,13),-0.954756 # DEPENDENCYPART_ARC
(3,14),-1.17209 # DEPENDENCYPART_ARC
(3,16),-2.31528 # DEPENDENCYPART_ARC
(3,17),-1.49683 # DEPENDENCYPART_ARC
(3,18),-1.59226 # DEPENDENCYPART_ARC
(3,20),-1.32058 # DEPENDENCYPART_ARC
(3,23),-1.99702 # DEPENDENCYPART_ARC
(3,24),-3.91217 # DEPENDENCYPART_ARC
(3,25),-2.71663 # DEPENDENCYPART_ARC
(3,26),-3.69904 # DEPENDENCYPART_ARC
(3,27),-1.17967 # DEPENDENCYPART_ARC
(4,1),0.22378 # DEPENDENCYPART_ARC
(4,2),0.528229 # DEPENDENCYPART_ARC
(4,3),1.50484 # DEPENDENCYPART_ARC
(4,5),1.5264 # DEPENDENCYPART_ARC
(4,6),-1.00082 # DEPENDENCYPART_ARC
(4,7),-0.76893 # DEPENDENCYPART_ARC
(4,8),-1.14701 # DEPENDENCYPART_ARC
(4,9),-1.22052 # DEPENDENCYPART_ARC
(4,10),-1.64912 # DEPENDENCYPART_ARC
(4,11),-2.25796 # DEPENDENCYPART_ARC
(4,12),-1.76941 # DEPENDENCYPART_ARC
(4,13),-1.37285 # DEPENDENCYPART_ARC
(4,14),-1.69559 # DEPENDENCYPART_ARC
(4,15),-1.25278 # DEPENDENCYPART_ARC
(4,16),-2.76816 # DEPENDENCYPART_ARC
(4,17),-2.80266 # DEPENDENCYPART_ARC
(4,18),-2.32699 # DEPENDENCYPART_ARC
(4,19),-1.08037 # DEPENDENCYPART_ARC
(4,20),-2.69333 # DEPENDENCYPART_ARC
(4,21),-1.76424 # DEPENDENCYPART_ARC
(4,22),-2.53738 # DEPENDENCYPART_ARC
(4,23),-2.56736 # DEPENDENCYPART_ARC
(4,24),-2.75859 # DEPENDENCYPART_ARC
(4,25),-4.19383 # DEPENDENCYPART_ARC
(4,26),-2.66093 # DEPENDENCYPART_ARC
(4,27),-2.38486 # DEPENDENCYPART_ARC
(5,1),-2.11991 # DEPENDENCYPART_ARC
(5,2),-0.895502 # DEPENDENCYPART_ARC
(5,3),-1.23211 # DEPENDENCYPART_ARC
(5,6),1.5733 # DEPENDENCYPART_ARC
(5,7),-1.90743 # DEPENDENCYPART_ARC
(5,8),-0.427022 # DEPENDENCYPART_ARC
(5,9),-0.897416 # DEPENDENCYPART_ARC
(5,10),-1.81079 # DEPENDENCYPART_ARC
(5,11),-1.68331 # DEPENDENCYPART_ARC
(5,12),-0.97192 # DEPENDENCYPART_ARC
(5,13),-0.733552 # DEPENDENCYPART_ARC
(5,14),-0.986926 # DEPENDENCYPART_ARC
(5,15),-1.2906 # DEPENDENCYPART_ARC
(5,16),-3.14649 # DEPENDENCYPART_ARC
(5,17),-3.12356 # DEPENDENCYPART_ARC
(5,18),-2.50579 # DEPENDENCYPART_ARC
(5,19),-1.21091 # DEPENDENCYPART_ARC
(5,20),-2.56329 # DEPENDENCYPART_ARC
(5,21),-1.44132 # DEPENDENCYPART_ARC
(5,22),-1.60256 # DEPENDENCYPART_ARC
(5,23),-2.87676 # DEPENDENCYPART_ARC
(5,24),-1.89642 # DEPENDENCYPART_ARC
(5,25),-2.38011 # DEPENDENCYPART_ARC
(5,26),-2.62739 # DEPENDENCYPART_ARC
(5,27),-2.13721 # DEPENDENCYPART_ARC
(6,1),-0.59391 # DEPENDENCYPART_ARC
(6,2),-0.406258 # DEPENDENCYPART_ARC
(6,3),-0.266363 # DEPENDENCYPART_ARC
(6,5),0.140001 # DEPENDENCYPART_ARC
(6,8),0.128869 # DEPENDENCYPART_ARC
(6,10),-0.949076 # DEPENDENCYPART_ARC
(6,11),-1.28456 # DEPENDENCYPART_ARC
(6,12),-1.52293 # DEPENDENCYPART_ARC
(6,13),-0.639863 # DEPENDENCYPART_ARC
(6,15),-1.68791 # DEPENDENCYPART_ARC
(6,17),-1.34249 # DEPENDENCYPART_ARC
(6,18),-1.35613 # DEPENDENCYPART_ARC
(6,19),-1.50315 # DEPENDENCYPART_ARC
(6,20),-1.79596 # DEPENDENCYPART_ARC
(6,22),-1.68997 # DEPENDENCYPART_ARC
(6,23),-1.49536 # DEPENDENCYPART_ARC
(6,24),-1.57896 # DEPENDENCYPART_ARC
(6,25),-2.01583 # DEPENDENCYPART_ARC
(6,26),-1.97753 # DEPENDENCYPART_ARC
(7,1),-2.87178 # DEPENDENCYPART_ARC
(7,2),-1.97728 # DEPENDENCYPART_ARC
(7,3),-3.50673 # DEPENDENCYPART_ARC
(7,6),-0.464091 # DEPENDENCYPART_ARC
(7,8),2.08226 # DEPENDENCYPART_ARC
(7,9),-0.343694 # DEPENDENCYPART_ARC
(7,10),-0.157577 # DEPENDENCYPART_ARC
(7,11),-0.647482 # DEPENDENCYPART_ARC
(7,12),-0.665582 # DEPENDENCYPART_ARC
(7,13),-0.21118 # DEPENDENCYPART_ARC
(7,14),-0.48149 # DEPENDENCYPART_ARC
(7,15),-0.843347 # DEPENDENCYPART_ARC
(7,16),0.143909 # DEPENDENCYPART_ARC
(7,17),0.0176356 # DEPENDENCYPART_ARC
(7,18),-0.649998 # DEPENDENCYPART_ARC
(7,20),-0.954026 # DEPENDENCYPART_ARC
(7,21),-1.34047 # DEPENDENCYPART_ARC
(7,23),-0.876998 # DEPENDENCYPART_ARC
(7,24),-2.00378 # DEPENDENCYPART_ARC
(7,25),-1.28091 # DEPENDENCYPART_ARC
(7,26),-0.956739 # DEPENDENCYPART_ARC
(7,27),-0.160304 # DEPENDENCYPART_ARC
(8,1),-1.26784 # DEPENDENCYPART_ARC
(8,2),-1.16303 # DEPENDENCYPART_ARC
(8,3),-1.17679 # DEPENDENCYPART_ARC
(8,5),-0.87259 # DEPENDENCYPART_ARC
(8,6),-1.21173 # DEPENDENCYPART_ARC
(8,7),-0.44064 # DEPENDENCYPART_ARC
(8,9),-0.63259 # DEPENDENCYPART_ARC
(8,10),-0.987388 # DEPENDENCYPART_ARC
(8,11),-1.02484 # DEPENDENCYPART_ARC
(8,12),-1.48939 # DEPENDENCYPART_ARC
(8,13),-0.407117 # DEPENDENCYPART_ARC
(8,14),-0.229542 # DEPENDENCYPART_ARC
(8,16),-1.25795 # DEPENDENCYPART_ARC
(8,17),-1.22116 # DEPENDENCYPART_ARC
(8,18),-1.40191 # DEPENDENCYPART_ARC
(8,19),-1.29249 # DEPENDENCYPART_ARC
(8,20),-1.58348 # DEPENDENCYPART_ARC
(8,21),-1.87181 # DEPENDENCYPART_ARC
(8,22),-1.56414 # DEPENDENCYPART_ARC
(8,23),-1.55214 # DEPENDENCYPART_ARC
(8,24),-1.87977 # DEPENDENCYPART_ARC
(8,25),-1.62092 # DEPENDENCYPART_ARC
(8,26),-1.54885 # DEPENDENCYPART_ARC
(8,27),-1.84425 # DEPENDENCYPART_ARC
(9,1),-1.45966 # DEPENDENCYPART_ARC
(9,2),-0.804617 # DEPENDENCYPART_ARC
(9,3),-1.06527 # DEPENDENCYPART_ARC
(9,6),-0.576314 # DEPENDENCYPART_ARC
(9,7),0.0101073 # DEPENDENCYPART_ARC
(9,8),0.120105 # DEPENDENCYPART_ARC
(9,10),-0.53878 # DEPENDENCYPART_ARC
(9,11),-0.492097 # DEPENDENCYPART_ARC
(9,13),-0.0247742 # DEPENDENCYPART_ARC
(9,14),-0.228216 # DEPENDENCYPART_ARC
(9,15),-0.437597 # DEPENDENCYPART_ARC
(9,16),-0.54837 # DEPENDENCYPART_ARC
(9,17),-1.08129 # DEPENDENCYPART_ARC
(9,18),-0.87527 # DEPENDENCYPART_ARC
(9,20),-1.26031 # DEPENDENCYPART_ARC
(9,21),-0.365836 # DEPENDENCYPART_ARC
(9,23),-1.08114 # DEPENDENCYPART_ARC
(9,25),-1.45329 # DEPENDENCYPART_ARC
(9,26),-1.45357 # DEPENDENCYPART_ARC
(9,27),-0.608161 # DEPENDENCYPART_ARC
(10,1),-0.855796 # DEPENDENCYPART_ARC
(10,2),-0.983277 # DEPENDENCYPART_ARC
(10,3),-0.754657 # DEPENDENCYPART_ARC
(10,4),0.150176 # DEPENDENCYPART_ARC
(10,5),-1.72794 # DEPENDENCYPART_ARC
(10,6),-0.893934 # DEPENDENCYPART_ARC
(10,7),-0.12473 # DEPENDENCYPART_ARC
(10,8),-0.63161 # DEPENDENCYPART_ARC
(10,9),1.79025 # DEPENDENCYPART_ARC
(10,11),1.07783 # DEPENDENCYPART_ARC
(10,12),0.657917 # DEPENDENCYPART_ARC
(10,13),0.0684974 # DEPENDENCYPART_ARC
(10,14),-0.118856 # DEPENDENCYPART_ARC
(10,15),-0.107489 # DEPENDENCYPART_ARC
(10,16),-1.61034 # DEPENDENCYPART_ARC
(10,17),-1.02179 # DEPENDENCYPART_ARC
(10,18),-0.65611 # DEPENDENCYPART_ARC
(10,19),-0.33586 # DEPENDENCYPART_ARC
(10,20),-0.711568 # DEPENDENCYPART_ARC
(10,21),-0.21367 # DEPENDENCYPART_ARC
(10,22),-0.651796 # DEPENDENCYPART_ARC
(10,23),-0.868784 # DEPENDENCYPART_ARC
(10,24),-1.34658 # DEPENDENCYPART_ARC
(10,25),-1.60092 # DEPENDENCYPART_ARC
(10,26),-0.219018 # DEPENDENCYPART_ARC
(10,27),-1.21712 # DEPENDENCYPART_ARC
(11,1),-1.57951 # DEPENDENCYPART_ARC
(11,2),-1.75524 # DEPENDENCYPART_ARC
(11,3),-2.67818 # DEPENDENCYPART_ARC
(11,4),-1.59609 # DEPENDENCYPART_ARC
(11,5),-1.83758 # DEPENDENCYPART_ARC
(11,6),-1.81811 # DEPENDENCYPART_ARC
(11,7),-0.970518 # DEPENDENCYPART_ARC
