# _root_ lehendakariaz_gain , jaurlaritzako ordezkariak egon ziren han , baita psoeko idazkari rodriguez_zapatero eta pse-eeko nicolas_redondo_terreros ere .
#goldHeads=5,1,4,5,9,5,5,7,0,11,13,11,9,15,13,0,16,
#predictedHeads=5,3,4,5,9,5,5,7,0,11,12,13,5,13,13,0,16,
(0,1),-0.730215 # DEPENDENCYPART_ARC
(0,2),-1.02114 # DEPENDENCYPART_ARC
(0,3),-0.645173 # DEPENDENCYPART_ARC
(0,4),-0.699568 # DEPENDENCYPART_ARC
(0,5),-0.353098 # DEPENDENCYPART_ARC
(0,6),-0.775062 # DEPENDENCYPART_ARC
(0,7),-0.800055 # DEPENDENCYPART_ARC
(0,8),-1.35261 # DEPENDENCYPART_ARC
(0,9),1.54235 # DEPENDENCYPART_ARC
(0,10),-1.26945 # DEPENDENCYPART_ARC
(0,11),-1.29437 # DEPENDENCYPART_ARC
(0,12),-1.4614 # DEPENDENCYPART_ARC
(0,13),-1.59336 # DEPENDENCYPART_ARC
(0,14),-1.52899 # DEPENDENCYPART_ARC
(0,15),-1.48331 # DEPENDENCYPART_ARC
(0,16),2.40407 # DEPENDENCYPART_ARC
(0,17),-2.74402 # DEPENDENCYPART_ARC
(1,2),-0.46229 # DEPENDENCYPART_ARC
(1,3),-0.589935 # DEPENDENCYPART_ARC
(1,4),-0.917113 # DEPENDENCYPART_ARC
(1,5),-2.10684 # DEPENDENCYPART_ARC
(1,6),-2.18497 # DEPENDENCYPART_ARC
(1,7),-1.06467 # DEPENDENCYPART_ARC
(1,8),-1.4379 # DEPENDENCYPART_ARC
(1,9),-1.5579 # DEPENDENCYPART_ARC
(1,10),-1.73131 # DEPENDENCYPART_ARC
(1,11),-0.999341 # DEPENDENCYPART_ARC
(1,12),-1.61247 # DEPENDENCYPART_ARC
(1,13),-1.63094 # DEPENDENCYPART_ARC
(1,14),-2.24699 # DEPENDENCYPART_ARC
(1,15),-1.86608 # DEPENDENCYPART_ARC
(1,16),-1.79063 # DEPENDENCYPART_ARC
(1,17),-1.26407 # DEPENDENCYPART_ARC
(2,1),-0.617511 # DEPENDENCYPART_ARC
(2,3),-0.462598 # DEPENDENCYPART_ARC
(2,4),-1.01091 # DEPENDENCYPART_ARC
(2,5),-0.718373 # DEPENDENCYPART_ARC
