# _root_ agian , bizpahiru urte gehiago izan zitzakeen , kirolariak erretiratu baina profesionariek gailurra jotzen duteneko adina .
#goldHeads=6,3,4,6,4,0,6,7,10,11,16,14,14,11,14,4,16,
#predictedHeads=6,3,4,6,4,0,6,7,10,11,0,14,14,11,14,14,16,
(0,1),0.0969716 # DEPENDENCYPART_ARC
(0,2),-1.01124 # DEPENDENCYPART_ARC
(0,3),-0.96758 # DEPENDENCYPART_ARC
(0,4),-0.648224 # DEPENDENCYPART_ARC
(0,5),-1.43334 # DEPENDENCYPART_ARC
(0,6),-0.24438 # DEPENDENCYPART_ARC
(0,7),-0.747776 # DEPENDENCYPART_ARC
(0,8),-0.714198 # DEPENDENCYPART_ARC
(0,9),-0.983923 # DEPENDENCYPART_ARC
(0,10),-0.735428 # DEPENDENCYPART_ARC
(0,11),0.498435 # DEPENDENCYPART_ARC
(0,12),-1.25874 # DEPENDENCYPART_ARC
(0,13),-0.8997 # DEPENDENCYPART_ARC
(0,14),-0.547018 # DEPENDENCYPART_ARC
(0,15),-0.98426 # DEPENDENCYPART_ARC
(0,16),-1.53348 # DEPENDENCYPART_ARC
(0,17),-2.09149 # DEPENDENCYPART_ARC
(1,2),-0.28757 # DEPENDENCYPART_ARC
(1,3),-1.37679 # DEPENDENCYPART_ARC
(1,4),-1.46613 # DEPENDENCYPART_ARC
(1,5),-1.88247 # DEPENDENCYPART_ARC
(1,6),-1.94701 # DEPENDENCYPART_ARC
(1,7),-1.75006 # DEPENDENCYPART_ARC
(1,8),-1.52037 # DEPENDENCYPART_ARC
(1,9),-1.86207 # DEPENDENCYPART_ARC
(1,10),-2.08284 # DEPENDENCYPART_ARC
(1,11),-1.80655 # DEPENDENCYPART_ARC
(1,12),-1.94676 # DEPENDENCYPART_ARC
(1,13),-1.96901 # DEPENDENCYPART_ARC
(1,14),-2.41829 # DEPENDENCYPART_ARC
(1,15),-1.99535 # DEPENDENCYPART_ARC
(1,16),-1.98123 # DEPENDENCYPART_ARC
(1,17),-1.97386 # DEPENDENCYPART_ARC
(2,3),-0.273507 # DEPENDENCYPART_ARC
(2,4),-0.943641 # DEPENDENCYPART_ARC
(2,5),-1.13196 # DEPENDENCYPART_ARC
(2,6),-0.56548 # DEPENDENCYPART_ARC
(2,7),-0.902672 # DEPENDENCYPART_ARC
(2,9),-1.29777 # DEPENDENCYPART_ARC
(2,10),-1.29679 # DEPENDENCYPART_ARC
(2,11),-0.533694 # DEPENDENCYPART_ARC
(2,12),-1.50706 # DEPENDENCYPART_ARC
(2,13),-1.58168 # DEPENDENCYPART_ARC
(2,14),-1.46709 # DEPENDENCYPART_ARC
(2,15),-1.38223 # DEPENDENCYPART_ARC
(2,16),-1.98465 # DEPENDENCYPART_ARC
(3,1),-0.719327 # DEPENDENCYPART_ARC
(3,2),-0.0339483 # DEPENDENCYPART_ARC
(3,4),-0.290242 # DEPENDENCYPART_ARC
(3,5),-0.320267 # DEPENDENCYPART_ARC
(3,6),-1.05826 # DEPENDENCYPART_ARC
(3,8),-0.723001 # DEPENDENCYPART_ARC
(3,9),-1.27683 # DEPENDENCYPART_ARC
(3,10),-1.14917 # DEPENDENCYPART_ARC
(3,11),-0.938234 # DEPENDENCYPART_ARC
(3,12),-1.57249 # DEPENDENCYPART_ARC
(3,13),-1.3901 # DEPENDENCYPART_ARC
(3,14),-1.21767 # DEPENDENCYPART_ARC
(3,16),-1.94053 # DEPENDENCYPART_ARC
(3,17),-1.37022 # DEPENDENCYPART_ARC
(4,1),-0.824857 # DEPENDENCYPART_ARC
(4,2),-0.760769 # DEPENDENCYPART_ARC
(4,3),1.22679 # DEPENDENCYPART_ARC
(4,5),2.39515 # DEPENDENCYPART_ARC
(4,6),-0.886376 # DEPENDENCYPART_ARC
(4,7),-1.01022 # DEPENDENCYPART_ARC
(4,8),-0.80453 # DEPENDENCYPART_ARC
(4,9),-0.913554 # DEPENDENCYPART_ARC
(4,10),-0.842674 # DEPENDENCYPART_ARC
(4,11),-0.504641 # DEPENDENCYPART_ARC
(4,12),-1.13147 # DEPENDENCYPART_ARC
(4,13),-0.830422 # DEPENDENCYPART_ARC
(4,14),-1.45167 # DEPENDENCYPART_ARC
(4,15),-1.15685 # DEPENDENCYPART_ARC
(4,16),-1.23623 # DEPENDENCYPART_ARC
(4,17),-0.96097 # DEPENDENCYPART_ARC
(5,1),-1.18844 # DEPENDENCYPART_ARC
(5,2),-1.20212 # DEPENDENCYPART_ARC
(5,3),-0.815698 # DEPENDENCYPART_ARC
(5,4),-0.443532 # DEPENDENCYPART_ARC
(5,6),-0.512285 # DEPENDENCYPART_ARC
(5,8),-0.146758 # DEPENDENCYPART_ARC
(5,9),-1.2244 # DEPENDENCYPART_ARC
(5,10),-1.0879 # DEPENDENCYPART_ARC
(5,11),-0.339937 # DEPENDENCYPART_ARC
(5,12),-1.56462 # DEPENDENCYPART_ARC
(5,13),-1.22929 # DEPENDENCYPART_ARC
(5,14),-1.56196 # DEPENDENCYPART_ARC
(5,16),-1.5024 # DEPENDENCYPART_ARC
(5,17),-0.939784 # DEPENDENCYPART_ARC
