# _root_ polizia bat , bederen , miarritzeko komisaldegiko polizia da .
#goldHeads=9,1,2,0,4,7,8,9,0,9,
#predictedHeads=9,1,2,0,4,7,8,9,0,9,
(0,1),-0.832759 # DEPENDENCYPART_ARC
(0,2),-1.32362 # DEPENDENCYPART_ARC
(0,3),-0.921414 # DEPENDENCYPART_ARC
(0,4),1.65442 # DEPENDENCYPART_ARC
(0,5),-1.12155 # DEPENDENCYPART_ARC
(0,6),-1.17691 # DEPENDENCYPART_ARC
(0,7),-1.0524 # DEPENDENCYPART_ARC
(0,8),-0.707461 # DEPENDENCYPART_ARC
(0,9),0.565181 # DEPENDENCYPART_ARC
(0,10),-1.36678 # DEPENDENCYPART_ARC
(1,2),1.90232 # DEPENDENCYPART_ARC
(1,3),-0.665969 # DEPENDENCYPART_ARC
(1,4),-0.851666 # DEPENDENCYPART_ARC
(1,5),-1.5013 # DEPENDENCYPART_ARC
(1,6),-0.823312 # DEPENDENCYPART_ARC
(1,7),-0.819344 # DEPENDENCYPART_ARC
(1,8),-0.884039 # DEPENDENCYPART_ARC
(1,9),-0.905223 # DEPENDENCYPART_ARC
(1,10),-1.38363 # DEPENDENCYPART_ARC
(2,1),-0.256583 # DEPENDENCYPART_ARC
(2,3),1.64209 # DEPENDENCYPART_ARC
(2,4),-0.335873 # DEPENDENCYPART_ARC
(2,5),-0.164972 # DEPENDENCYPART_ARC
(2,6),-0.452462 # DEPENDENCYPART_ARC
(2,7),-1.09174 # DEPENDENCYPART_ARC
(2,8),-1.60348 # DEPENDENCYPART_ARC
(2,9),-1.97777 # DEPENDENCYPART_ARC
(2,10),-0.689451 # DEPENDENCYPART_ARC
(3,1),-0.957106 # DEPENDENCYPART_ARC
(3,2),-0.638475 # DEPENDENCYPART_ARC
(3,7),-1.1507 # DEPENDENCYPART_ARC
(3,8),-1.1404 # DEPENDENCYPART_ARC
(3,9),-1.2428 # DEPENDENCYPART_ARC
(4,1),-0.947285 # DEPENDENCYPART_ARC
(4,3),-0.575218 # DEPENDENCYPART_ARC
(4,5),1.78758 # DEPENDENCYPART_ARC
(4,7),-1.15889 # DEPENDENCYPART_ARC
(4,8),-0.61365 # DEPENDENCYPART_ARC
(4,9),-0.155496 # DEPENDENCYPART_ARC
(4,10),-1.00431 # DEPENDENCYPART_ARC
(5,1),-1.30825 # DEPENDENCYPART_ARC
(5,2),-1.50938 # DEPENDENCYPART_ARC
(5,7),-1.52578 # DEPENDENCYPART_ARC
(5,8),-1.24709 # DEPENDENCYPART_ARC
(5,9),-1.28365 # DEPENDENCYPART_ARC
(6,1),-1.89714 # DEPENDENCYPART_ARC
(6,2),-3.70181 # DEPENDENCYPART_ARC
(6,3),-1.7218 # DEPENDENCYPART_ARC
(6,5),-0.385831 # DEPENDENCYPART_ARC
(6,7),-0.165015 # DEPENDENCYPART_ARC
(6,8),-1.45381 # DEPENDENCYPART_ARC
(6,9),-1.72908 # DEPENDENCYPART_ARC
(6,10),-1.32442 # DEPENDENCYPART_ARC
(7,1),-1.40958 # DEPENDENCYPART_ARC
(7,2),-3.31998 # DEPENDENCYPART_ARC
(7,3),-1.66319 # DEPENDENCYPART_ARC
(7,4),-1.31284 # DEPENDENCYPART_ARC
(7,5),-1.22324 # DEPENDENCYPART_ARC
(7,6),1.55209 # DEPENDENCYPART_ARC
(7,8),-0.0293946 # DEPENDENCYPART_ARC
(7,9),-1.22951 # DEPENDENCYPART_ARC
(7,10),-0.917367 # DEPENDENCYPART_ARC
(8,1),-1.08679 # DEPENDENCYPART_ARC
(8,2),-2.70216 # DEPENDENCYPART_ARC
(8,3),-1.51337 # DEPENDENCYPART_ARC
(8,4),-1.32327 # DEPENDENCYPART_ARC
(8,5),-1.24041 # DEPENDENCYPART_ARC
(8,6),1.19271 # DEPENDENCYPART_ARC
(8,7),1.86201 # DEPENDENCYPART_ARC
(8,9),-0.502894 # DEPENDENCYPART_ARC
(8,10),-0.314216 # DEPENDENCYPART_ARC
(9,1),0.0967903 # DEPENDENCYPART_ARC
(9,2),-0.637545 # DEPENDENCYPART_ARC
(9,3),-1.0581 # DEPENDENCYPART_ARC
(9,4),-0.61473 # DEPENDENCYPART_ARC
(9,5),-0.792173 # DEPENDENCYPART_ARC
(9,6),-0.391379 # DEPENDENCYPART_ARC
(9,7),0.847611 # DEPENDENCYPART_ARC
(9,8),1.92521 # DEPENDENCYPART_ARC
(9,10),1.91875 # DEPENDENCYPART_ARC
(10,1),-2.13211 # DEPENDENCYPART_ARC
(10,3),-1.63309 # DEPENDENCYPART_ARC
(10,5),-1.59327 # DEPENDENCYPART_ARC
(10,6),-1.36784 # DEPENDENCYPART_ARC
(10,7),-1.04105 # DEPENDENCYPART_ARC
(10,8),-1.0043 # DEPENDENCYPART_ARC
