# _root_ proposamenak pse , pp eta uaren babesa jaso zuen ; eajk eta eak kontra bozkatu zuten , eta iu-eb abstenitu egin zen .
#goldHeads=8,5,2,5,15,7,8,0,8,9,12,15,12,15,18,15,16,0,20,18,20,21,22,
#predictedHeads=8,5,2,5,8,7,8,18,8,9,12,15,12,15,18,15,16,0,20,18,20,20,22,
(0,1),-0.190657 # DEPENDENCYPART_ARC
(0,2),-1.00723 # DEPENDENCYPART_ARC
(0,3),-0.770728 # DEPENDENCYPART_ARC
(0,4),-0.750875 # DEPENDENCYPART_ARC
(0,5),-0.905296 # DEPENDENCYPART_ARC
(0,6),-0.807207 # DEPENDENCYPART_ARC
(0,7),-0.519444 # DEPENDENCYPART_ARC
(0,8),0.532372 # DEPENDENCYPART_ARC
(0,9),-1.0266 # DEPENDENCYPART_ARC
(0,10),-0.098177 # DEPENDENCYPART_ARC
(0,11),-1.02088 # DEPENDENCYPART_ARC
(0,12),-1.18318 # DEPENDENCYPART_ARC
(0,13),-1.50109 # DEPENDENCYPART_ARC
(0,14),-0.865826 # DEPENDENCYPART_ARC
(0,15),-0.644153 # DEPENDENCYPART_ARC
(0,16),-0.809349 # DEPENDENCYPART_ARC
(0,17),-1.44302 # DEPENDENCYPART_ARC
(0,18),0.395776 # DEPENDENCYPART_ARC
(0,19),-1.12838 # DEPENDENCYPART_ARC
(0,20),-1.43394 # DEPENDENCYPART_ARC
(0,21),-1.63798 # DEPENDENCYPART_ARC
(0,22),-1.69141 # DEPENDENCYPART_ARC
(0,23),-3.45778 # DEPENDENCYPART_ARC
(1,2),-0.692121 # DEPENDENCYPART_ARC
(1,3),-1.55196 # DEPENDENCYPART_ARC
(1,4),-1.90589 # DEPENDENCYPART_ARC
(1,5),-1.78843 # DEPENDENCYPART_ARC
(1,6),-3.15359 # DEPENDENCYPART_ARC
(1,7),-2.10583 # DEPENDENCYPART_ARC
(1,8),-2.94116 # DEPENDENCYPART_ARC
(1,9),-2.94621 # DEPENDENCYPART_ARC
