# _root_ azkenik , agiri " nazionala " zein den ere zalantzan jarri zuen , " epaigelako bi banderen_artean ere bakoitzak bat hartzen baitu bere naziokotzat " .
#goldHeads=0,3,8,3,3,5,8,11,0,11,0,11,12,13,17,17,21,0,21,21,11,21,24,21,24,25,
#predictedHeads=0,3,8,3,3,5,8,11,0,11,0,11,12,13,17,17,21,0,21,3,13,21,24,21,24,25,
(0,1),0.236743 # DEPENDENCYPART_ARC
(0,2),-1.17849 # DEPENDENCYPART_ARC
(0,3),-0.52459 # DEPENDENCYPART_ARC
(0,4),-0.479204 # DEPENDENCYPART_ARC
(0,5),-1.14161 # DEPENDENCYPART_ARC
(0,6),-0.314255 # DEPENDENCYPART_ARC
(0,7),-1.0137 # DEPENDENCYPART_ARC
(0,8),-0.964056 # DEPENDENCYPART_ARC
(0,9),1.9748 # DEPENDENCYPART_ARC
(0,10),-0.257776 # DEPENDENCYPART_ARC
(0,11),0.872495 # DEPENDENCYPART_ARC
(0,12),-0.596838 # DEPENDENCYPART_ARC
(0,13),-0.8167 # DEPENDENCYPART_ARC
(0,14),-0.929544 # DEPENDENCYPART_ARC
(0,15),-0.980061 # DEPENDENCYPART_ARC
(0,16),-0.982847 # DEPENDENCYPART_ARC
(0,17),-1.29268 # DEPENDENCYPART_ARC
(0,18),1.25683 # DEPENDENCYPART_ARC
(0,19),-1.57886 # DEPENDENCYPART_ARC
(0,20),-0.920136 # DEPENDENCYPART_ARC
(0,21),-0.506566 # DEPENDENCYPART_ARC
(0,22),-0.654567 # DEPENDENCYPART_ARC
(0,23),-1.75528 # DEPENDENCYPART_ARC
(0,24),-2.32057 # DEPENDENCYPART_ARC
(0,25),-2.76231 # DEPENDENCYPART_ARC
(0,26),-2.21486 # DEPENDENCYPART_ARC
(1,2),-0.595351 # DEPENDENCYPART_ARC
(1,3),-1.38651 # DEPENDENCYPART_ARC
(1,4),-1.25299 # DEPENDENCYPART_ARC
(1,5),-1.96831 # DEPENDENCYPART_ARC
(1,6),-1.38767 # DEPENDENCYPART_ARC
(1,7),-1.83872 # DEPENDENCYPART_ARC
(1,8),-1.67976 # DEPENDENCYPART_ARC
(1,9),-1.55763 # DEPENDENCYPART_ARC
(1,10),-1.58814 # DEPENDENCYPART_ARC
