# _root_ horren_ondotik , " gatazka-egoeraren_gainetik " , " geure auzolana indartzeko " deia egiten da .
#goldHeads=13,1,2,1,4,5,6,9,10,12,10,13,0,13,14,
#predictedHeads=13,1,2,10,4,5,6,9,10,12,10,13,0,13,14,
(0,1),-1.15422 # DEPENDENCYPART_ARC
(0,2),-1.17213 # DEPENDENCYPART_ARC
(0,3),0.00243553 # DEPENDENCYPART_ARC
(0,4),-0.624929 # DEPENDENCYPART_ARC
(0,5),-0.777807 # DEPENDENCYPART_ARC
(0,6),-0.837392 # DEPENDENCYPART_ARC
(0,7),-0.512232 # DEPENDENCYPART_ARC
(0,9),-0.945269 # DEPENDENCYPART_ARC
(0,10),-0.874045 # DEPENDENCYPART_ARC
(0,11),-1.01898 # DEPENDENCYPART_ARC
(0,12),-0.316047 # DEPENDENCYPART_ARC
(0,13),-1.4562 # DEPENDENCYPART_ARC
(0,14),-1.05519 # DEPENDENCYPART_ARC
(0,15),-1.36917 # DEPENDENCYPART_ARC
(1,2),1.12729 # DEPENDENCYPART_ARC
(1,3),-0.0639376 # DEPENDENCYPART_ARC
(1,4),-1.48775 # DEPENDENCYPART_ARC
(1,5),-0.489472 # DEPENDENCYPART_ARC
(1,6),-0.67463 # DEPENDENCYPART_ARC
(1,7),-0.637714 # DEPENDENCYPART_ARC
(1,9),-1.45533 # DEPENDENCYPART_ARC
(1,10),-0.896892 # DEPENDENCYPART_ARC
(1,11),-0.969514 # DEPENDENCYPART_ARC
(1,12),-1.68971 # DEPENDENCYPART_ARC
(1,13),-1.56287 # DEPENDENCYPART_ARC
(1,15),-1.25745 # DEPENDENCYPART_ARC
(2,3),1.81224 # DEPENDENCYPART_ARC
(2,4),-0.920293 # DEPENDENCYPART_ARC
(2,5),0.101204 # DEPENDENCYPART_ARC
(2,7),-0.10168 # DEPENDENCYPART_ARC
(2,9),-0.517003 # DEPENDENCYPART_ARC
(2,10),-1.30581 # DEPENDENCYPART_ARC
(2,11),-0.984017 # DEPENDENCYPART_ARC
(2,12),-0.763474 # DEPENDENCYPART_ARC
