# _root_ jeltzaleen jarrerari_buruz mintzatu zen eta , adierazi zuenez , " konturatu behar_dute haien apustuak kale_egin duela eta estatutuaren bidera itzuli beharko dute " .
#goldHeads=2,3,5,3,0,5,17,7,8,9,17,11,14,15,11,15,0,19,20,17,20,21,22,23,
#predictedHeads=2,3,5,3,0,5,5,7,8,9,12,17,14,15,17,15,0,19,20,21,17,21,22,23,
(0,1),-0.376437 # DEPENDENCYPART_ARC
(0,2),-0.865857 # DEPENDENCYPART_ARC
(0,3),0.594 # DEPENDENCYPART_ARC
(0,4),-0.588882 # DEPENDENCYPART_ARC
(0,5),0.27408 # DEPENDENCYPART_ARC
(0,6),-0.619992 # DEPENDENCYPART_ARC
(0,7),0.625133 # DEPENDENCYPART_ARC
(0,8),-0.399864 # DEPENDENCYPART_ARC
(0,9),-0.836036 # DEPENDENCYPART_ARC
(0,10),-0.791561 # DEPENDENCYPART_ARC
(0,11),-0.531247 # DEPENDENCYPART_ARC
(0,12),-0.310239 # DEPENDENCYPART_ARC
(0,13),-1.52897 # DEPENDENCYPART_ARC
(0,14),-1.76715 # DEPENDENCYPART_ARC
(0,15),-0.218852 # DEPENDENCYPART_ARC
(0,16),-0.509836 # DEPENDENCYPART_ARC
(0,17),0.357999 # DEPENDENCYPART_ARC
(0,18),-1.99839 # DEPENDENCYPART_ARC
(0,19),-1.73255 # DEPENDENCYPART_ARC
(0,20),-2.26127 # DEPENDENCYPART_ARC
(0,21),-2.22689 # DEPENDENCYPART_ARC
(0,22),-0.68682 # DEPENDENCYPART_ARC
(0,23),-3.39335 # DEPENDENCYPART_ARC
(0,24),-3.03835 # DEPENDENCYPART_ARC
(1,2),0.781185 # DEPENDENCYPART_ARC
(1,3),-2.16686 # DEPENDENCYPART_ARC
(1,4),-1.46221 # DEPENDENCYPART_ARC
(1,5),-1.54195 # DEPENDENCYPART_ARC
(1,6),-1.71873 # DEPENDENCYPART_ARC
(1,7),-2.50633 # DEPENDENCYPART_ARC
(1,8),-2.57093 # DEPENDENCYPART_ARC
(1,9),-1.9719 # DEPENDENCYPART_ARC
(1,10),-1.99123 # DEPENDENCYPART_ARC
(1,11),-1.86629 # DEPENDENCYPART_ARC
(1,12),-2.99888 # DEPENDENCYPART_ARC
(1,13),-2.75038 # DEPENDENCYPART_ARC
(1,14),-1.50466 # DEPENDENCYPART_ARC
(1,15),-2.86652 # DEPENDENCYPART_ARC
(1,16),-2.77567 # DEPENDENCYPART_ARC
(1,17),-2.04842 # DEPENDENCYPART_ARC
(1,18),-1.26179 # DEPENDENCYPART_ARC
(1,19),-1.18826 # DEPENDENCYPART_ARC
(1,20),-2.51945 # DEPENDENCYPART_ARC
(1,21),-2.41562 # DEPENDENCYPART_ARC
(1,22),-3.37211 # DEPENDENCYPART_ARC
(1,23),-2.97171 # DEPENDENCYPART_ARC
(1,24),-2.62295 # DEPENDENCYPART_ARC
(2,1),2.24043 # DEPENDENCYPART_ARC
(2,3),-1.74094 # DEPENDENCYPART_ARC
(2,4),-0.686593 # DEPENDENCYPART_ARC
(2,5),-0.977239 # DEPENDENCYPART_ARC
(2,6),-0.570638 # DEPENDENCYPART_ARC
(2,7),-2.86383 # DEPENDENCYPART_ARC
(2,8),-3.06928 # DEPENDENCYPART_ARC
(2,9),-0.885007 # DEPENDENCYPART_ARC
(2,10),-0.963056 # DEPENDENCYPART_ARC
(2,11),-1.57899 # DEPENDENCYPART_ARC
(2,12),-3.28988 # DEPENDENCYPART_ARC
(2,13),-3.42044 # DEPENDENCYPART_ARC
(2,14),-2.0234 # DEPENDENCYPART_ARC
