# _root_ gainontzekoak , batel , trainerilla eta traineru txapelketetan arituko dira .
#goldHeads=9,3,6,3,6,8,6,9,0,9,10,
#predictedHeads=3,1,6,3,6,8,6,9,0,9,10,
(0,1),-0.865641 # DEPENDENCYPART_ARC
(0,2),-0.679141 # DEPENDENCYPART_ARC
(0,3),-0.904146 # DEPENDENCYPART_ARC
(0,4),-0.704663 # DEPENDENCYPART_ARC
(0,5),-0.981251 # DEPENDENCYPART_ARC
(0,6),-0.70007 # DEPENDENCYPART_ARC
(0,7),-1.03128 # DEPENDENCYPART_ARC
(0,8),-1.48506 # DEPENDENCYPART_ARC
(0,9),0.256235 # DEPENDENCYPART_ARC
(0,10),-0.608565 # DEPENDENCYPART_ARC
(0,11),-1.1623 # DEPENDENCYPART_ARC
(1,2),0.596211 # DEPENDENCYPART_ARC
(1,3),-2.06595 # DEPENDENCYPART_ARC
(1,4),-0.830904 # DEPENDENCYPART_ARC
(1,5),-1.75904 # DEPENDENCYPART_ARC
(1,6),-1.56662 # DEPENDENCYPART_ARC
(1,7),-1.9212 # DEPENDENCYPART_ARC
(1,8),-3.54243 # DEPENDENCYPART_ARC
(1,9),-2.25459 # DEPENDENCYPART_ARC
(1,10),-1.4636 # DEPENDENCYPART_ARC
(1,11),-1.20453 # DEPENDENCYPART_ARC
(2,1),-0.000424168 # DEPENDENCYPART_ARC
(2,3),-0.560235 # DEPENDENCYPART_ARC
(2,5),-1.137 # DEPENDENCYPART_ARC
(2,6),-1.34609 # DEPENDENCYPART_ARC
(2,7),-1.12814 # DEPENDENCYPART_ARC
(2,8),-1.27038 # DEPENDENCYPART_ARC
(2,9),-1.30867 # DEPENDENCYPART_ARC
(2,10),-0.967728 # DEPENDENCYPART_ARC
(3,1),-0.372251 # DEPENDENCYPART_ARC
(3,2),-0.0305597 # DEPENDENCYPART_ARC
(3,4),1.98507 # DEPENDENCYPART_ARC
(3,5),0.0778309 # DEPENDENCYPART_ARC
(3,6),-0.257091 # DEPENDENCYPART_ARC
(3,7),-0.548296 # DEPENDENCYPART_ARC
(3,8),-0.0499144 # DEPENDENCYPART_ARC
(3,9),-0.442918 # DEPENDENCYPART_ARC
(3,10),-1.27693 # DEPENDENCYPART_ARC
(3,11),-0.327952 # DEPENDENCYPART_ARC
(4,1),-0.896365 # DEPENDENCYPART_ARC
(4,3),-0.311225 # DEPENDENCYPART_ARC
(4,5),-0.463738 # DEPENDENCYPART_ARC
(4,6),-1.18829 # DEPENDENCYPART_ARC
(4,7),-0.868932 # DEPENDENCYPART_ARC
(4,8),-0.987476 # DEPENDENCYPART_ARC
(4,9),-0.956409 # DEPENDENCYPART_ARC
(4,10),-0.895468 # DEPENDENCYPART_ARC
(5,1),-0.928711 # DEPENDENCYPART_ARC
(5,2),-1.35276 # DEPENDENCYPART_ARC
(5,3),-0.537956 # DEPENDENCYPART_ARC
(5,4),0.0498441 # DEPENDENCYPART_ARC
(5,6),0.142902 # DEPENDENCYPART_ARC
(5,7),-0.429914 # DEPENDENCYPART_ARC
(5,8),-0.696621 # DEPENDENCYPART_ARC
(5,9),-0.919212 # DEPENDENCYPART_ARC
(5,10),-1.24645 # DEPENDENCYPART_ARC
(5,11),-0.792335 # DEPENDENCYPART_ARC
(6,1),-1.10629 # DEPENDENCYPART_ARC
